metric,ctrl_a,ctrl_b,n,p_raw,p_holm,cohen_d_paired,cliff_delta,median_diff_a_minus_b
ey_rmse,Mamba2,GRU,0,NaN,NaN,NaN,NaN,NaN
ey_rmse,Mamba2,IMU,0,NaN,NaN,NaN,NaN,NaN
ey_rmse,GRU,IMU,0,NaN,NaN,NaN,NaN,NaN
epsi_rmse,Mamba2,GRU,0,NaN,NaN,NaN,NaN,NaN
epsi_rmse,Mamba2,IMU,0,NaN,NaN,NaN,NaN,NaN
epsi_rmse,GRU,IMU,0,NaN,NaN,NaN,NaN,NaN
ev_rmse,Mamba2,GRU,0,NaN,NaN,NaN,NaN,NaN
ev_rmse,Mamba2,IMU,0,NaN,NaN,NaN,NaN,NaN
ev_rmse,GRU,IMU,0,NaN,NaN,NaN,NaN,NaN
eomega_rmse,Mamba2,GRU,0,NaN,NaN,NaN,NaN,NaN
eomega_rmse,Mamba2,IMU,0,NaN,NaN,NaN,NaN,NaN
eomega_rmse,GRU,IMU,0,NaN,NaN,NaN,NaN,NaN
j_du,Mamba2,GRU,0,NaN,NaN,NaN,NaN,NaN
j_du,Mamba2,IMU,0,NaN,NaN,NaN,NaN,NaN
j_du,GRU,IMU,0,NaN,NaN,NaN,NaN,NaN
viol_rate,Mamba2,GRU,0,NaN,NaN,NaN,NaN,NaN
viol_rate,Mamba2,IMU,0,NaN,NaN,NaN,NaN,NaN
viol_rate,GRU,IMU,0,NaN,NaN,NaN,NaN,NaN
timeout_rate,Mamba2,GRU,0,NaN,NaN,NaN,NaN,NaN
timeout_rate,Mamba2,IMU,0,NaN,NaN,NaN,NaN,NaN
timeout_rate,GRU,IMU,0,NaN,NaN,NaN,NaN,NaN
