case_index,controller,model_name,path_name,path_file,ref_file,disturbance_level,seed,status,message,elapsed_sec,n_samples,ey_rmse,ey_peak,epsi_rmse,epsi_peak,ev_rmse,eomega_rmse,j_du,viol_rate,F_sat_pct,omega_sat_pct,realtime_p50_ms,realtime_p95_ms,realtime_p99_ms,timeout_rate,timeseries_file
1,Mamba2,LPVMPC_AGV_simulink_Mamba,path_industrial,E:\Matlab\Simulink\S-Function_16\data\paths\path_industrial.mat,E:\Matlab\Simulink\S-Function_16\data\paths\path_industrial.mat,0,1,error,"计算 Adaptive MPC block (mask) '<a href=""matlab:open_and_hilite_hyperlink ('LPVMPC_AGV_simulink_Mamba/Adaptive MPC Controller','error')"">LPVMPC_AGV_simulink_Mamba/Adaptive MPC Controller</a>' 的 <a href=""matlab:Simulink.internal.OpenCallbackParamsDialog(['LPVMPC_AGV_simulink_Mamba/Adaptive MPC Controller'],'InitFcn');"">'InitFcn'</a> 回调时出错。
回调字符串为 'ampcblock_InitFcn'",0.3459165,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
2,Mamba2,LPVMPC_AGV_simulink_Mamba,path_industrial,E:\Matlab\Simulink\S-Function_16\data\paths\path_industrial.mat,E:\Matlab\Simulink\S-Function_16\data\paths\path_industrial.mat,1,1,error,"计算 Adaptive MPC block (mask) '<a href=""matlab:open_and_hilite_hyperlink ('LPVMPC_AGV_simulink_Mamba/Adaptive MPC Controller','error')"">LPVMPC_AGV_simulink_Mamba/Adaptive MPC Controller</a>' 的 <a href=""matlab:Simulink.internal.OpenCallbackParamsDialog(['LPVMPC_AGV_simulink_Mamba/Adaptive MPC Controller'],'InitFcn');"">'InitFcn'</a> 回调时出错。
回调字符串为 'ampcblock_InitFcn'",0.1906724,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
3,Mamba2,LPVMPC_AGV_simulink_Mamba,path_industrial,E:\Matlab\Simulink\S-Function_16\data\paths\path_industrial.mat,E:\Matlab\Simulink\S-Function_16\data\paths\path_industrial.mat,2,1,error,"计算 Adaptive MPC block (mask) '<a href=""matlab:open_and_hilite_hyperlink ('LPVMPC_AGV_simulink_Mamba/Adaptive MPC Controller','error')"">LPVMPC_AGV_simulink_Mamba/Adaptive MPC Controller</a>' 的 <a href=""matlab:Simulink.internal.OpenCallbackParamsDialog(['LPVMPC_AGV_simulink_Mamba/Adaptive MPC Controller'],'InitFcn');"">'InitFcn'</a> 回调时出错。
回调字符串为 'ampcblock_InitFcn'",0.1478143,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
4,Mamba2,LPVMPC_AGV_simulink_Mamba,path_s_curve,E:\Matlab\Simulink\S-Function_16\data\paths\path_s_curve.mat,E:\Matlab\Simulink\S-Function_16\data\paths\path_s_curve.mat,0,1,error,"计算 Adaptive MPC block (mask) '<a href=""matlab:open_and_hilite_hyperlink ('LPVMPC_AGV_simulink_Mamba/Adaptive MPC Controller','error')"">LPVMPC_AGV_simulink_Mamba/Adaptive MPC Controller</a>' 的 <a href=""matlab:Simulink.internal.OpenCallbackParamsDialog(['LPVMPC_AGV_simulink_Mamba/Adaptive MPC Controller'],'InitFcn');"">'InitFcn'</a> 回调时出错。
回调字符串为 'ampcblock_InitFcn'",0.1423988,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
5,Mamba2,LPVMPC_AGV_simulink_Mamba,path_s_curve,E:\Matlab\Simulink\S-Function_16\data\paths\path_s_curve.mat,E:\Matlab\Simulink\S-Function_16\data\paths\path_s_curve.mat,1,1,error,"计算 Adaptive MPC block (mask) '<a href=""matlab:open_and_hilite_hyperlink ('LPVMPC_AGV_simulink_Mamba/Adaptive MPC Controller','error')"">LPVMPC_AGV_simulink_Mamba/Adaptive MPC Controller</a>' 的 <a href=""matlab:Simulink.internal.OpenCallbackParamsDialog(['LPVMPC_AGV_simulink_Mamba/Adaptive MPC Controller'],'InitFcn');"">'InitFcn'</a> 回调时出错。
回调字符串为 'ampcblock_InitFcn'",0.1399251,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
6,Mamba2,LPVMPC_AGV_simulink_Mamba,path_s_curve,E:\Matlab\Simulink\S-Function_16\data\paths\path_s_curve.mat,E:\Matlab\Simulink\S-Function_16\data\paths\path_s_curve.mat,2,1,error,"计算 Adaptive MPC block (mask) '<a href=""matlab:open_and_hilite_hyperlink ('LPVMPC_AGV_simulink_Mamba/Adaptive MPC Controller','error')"">LPVMPC_AGV_simulink_Mamba/Adaptive MPC Controller</a>' 的 <a href=""matlab:Simulink.internal.OpenCallbackParamsDialog(['LPVMPC_AGV_simulink_Mamba/Adaptive MPC Controller'],'InitFcn');"">'InitFcn'</a> 回调时出错。
回调字符串为 'ampcblock_InitFcn'",0.1306954,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
7,Mamba2,LPVMPC_AGV_simulink_Mamba,path_slope,E:\Matlab\Simulink\S-Function_16\data\paths\path_slope.mat,E:\Matlab\Simulink\S-Function_16\data\paths\path_slope.mat,0,1,error,"计算 Adaptive MPC block (mask) '<a href=""matlab:open_and_hilite_hyperlink ('LPVMPC_AGV_simulink_Mamba/Adaptive MPC Controller','error')"">LPVMPC_AGV_simulink_Mamba/Adaptive MPC Controller</a>' 的 <a href=""matlab:Simulink.internal.OpenCallbackParamsDialog(['LPVMPC_AGV_simulink_Mamba/Adaptive MPC Controller'],'InitFcn');"">'InitFcn'</a> 回调时出错。
回调字符串为 'ampcblock_InitFcn'",0.1295209,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
8,Mamba2,LPVMPC_AGV_simulink_Mamba,path_slope,E:\Matlab\Simulink\S-Function_16\data\paths\path_slope.mat,E:\Matlab\Simulink\S-Function_16\data\paths\path_slope.mat,1,1,error,"计算 Adaptive MPC block (mask) '<a href=""matlab:open_and_hilite_hyperlink ('LPVMPC_AGV_simulink_Mamba/Adaptive MPC Controller','error')"">LPVMPC_AGV_simulink_Mamba/Adaptive MPC Controller</a>' 的 <a href=""matlab:Simulink.internal.OpenCallbackParamsDialog(['LPVMPC_AGV_simulink_Mamba/Adaptive MPC Controller'],'InitFcn');"">'InitFcn'</a> 回调时出错。
回调字符串为 'ampcblock_InitFcn'",0.1297503,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
9,Mamba2,LPVMPC_AGV_simulink_Mamba,path_slope,E:\Matlab\Simulink\S-Function_16\data\paths\path_slope.mat,E:\Matlab\Simulink\S-Function_16\data\paths\path_slope.mat,2,1,error,"计算 Adaptive MPC block (mask) '<a href=""matlab:open_and_hilite_hyperlink ('LPVMPC_AGV_simulink_Mamba/Adaptive MPC Controller','error')"">LPVMPC_AGV_simulink_Mamba/Adaptive MPC Controller</a>' 的 <a href=""matlab:Simulink.internal.OpenCallbackParamsDialog(['LPVMPC_AGV_simulink_Mamba/Adaptive MPC Controller'],'InitFcn');"">'InitFcn'</a> 回调时出错。
回调字符串为 'ampcblock_InitFcn'",0.1282486,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
10,GRU,LPVMPC_AGV_simulink_GRU,path_industrial,E:\Matlab\Simulink\S-Function_16\data\paths\path_industrial.mat,E:\Matlab\Simulink\S-Function_16\data\paths\path_industrial.mat,0,1,ok,"",190.0261426,14950,0.0141094530243384,0.0772600281486729,0.0515891021218738,0.123365365122845,NaN,NaN,13820.0269207128,0,0,0,0.01063365,0.011904735,0.01264481,0,
