controller,path_name,seed,metric,n_rows,n_disturbance_levels,n_valid_levels,value_min,value_max,value_range,rel_range,invariant_flag,check_status
GRU,tmp_path_straight_0p5s,1,ey_rmse,3,3,3,0,0,0,0,0,flat_zero_ignored
GRU,tmp_path_straight_0p5s,1,epsi_rmse,3,3,3,0,0,0,0,0,flat_zero_ignored
GRU,tmp_path_straight_0p5s,1,ev_rmse,3,3,3,0.605991477306327,0.615697988775611,0.00970651146928403,0.00970651146928403,0,checked
GRU,tmp_path_straight_0p5s,1,eomega_rmse,3,3,3,0,0,0,0,0,flat_zero_ignored
GRU,tmp_path_straight_0p5s,1,j_du,3,3,3,7140374.33551525,7205994.10209862,65619.7665833691,0.00914813091251943,0,checked
GRU,tmp_path_straight_0p5s,1,viol_rate,3,3,3,0.0588235294117647,0.117647058823529,0.0588235294117643,0.0588235294117643,0,checked
GRU,tmp_path_straight_0p5s,2,ey_rmse,3,3,3,0,0,0,0,0,flat_zero_ignored
GRU,tmp_path_straight_0p5s,2,epsi_rmse,3,3,3,0,0,0,0,0,flat_zero_ignored
GRU,tmp_path_straight_0p5s,2,ev_rmse,3,3,3,0.605991477306327,0.615697988775611,0.00970651146928403,0.00970651146928403,0,checked
GRU,tmp_path_straight_0p5s,2,eomega_rmse,3,3,3,0,0,0,0,0,flat_zero_ignored
GRU,tmp_path_straight_0p5s,2,j_du,3,3,3,7140374.33551525,7205994.10209862,65619.7665833691,0.00914813091251943,0,checked
GRU,tmp_path_straight_0p5s,2,viol_rate,3,3,3,0.0588235294117647,0.117647058823529,0.0588235294117643,0.0588235294117643,0,checked
GRU,tmp_path_straight_0p5s,3,ey_rmse,3,3,3,0,0,0,0,0,flat_zero_ignored
GRU,tmp_path_straight_0p5s,3,epsi_rmse,3,3,3,0,0,0,0,0,flat_zero_ignored
GRU,tmp_path_straight_0p5s,3,ev_rmse,3,3,3,0.605991477306327,0.615697988775611,0.00970651146928403,0.00970651146928403,0,checked
GRU,tmp_path_straight_0p5s,3,eomega_rmse,3,3,3,0,0,0,0,0,flat_zero_ignored
GRU,tmp_path_straight_0p5s,3,j_du,3,3,3,7140374.33551525,7205994.10209862,65619.7665833691,0.00914813091251943,0,checked
GRU,tmp_path_straight_0p5s,3,viol_rate,3,3,3,0.0588235294117647,0.117647058823529,0.0588235294117643,0.0588235294117643,0,checked
