controller,zone,t0,t1,duration_s,n_samples,ey_rmse,ey_peak,ey_iae,epsi_rmse,epsi_peak,ev_rmse,ev_peak,eomega_rmse,eomega_peak,xy_rmse,xy_peak,F_rms,F_peak,F_sat595_pct,F_limit_hit_pct,omega_cmd_rms,omega_cmd_peak,omega_sat060_pct,omega_limit_hit_pct,viol_rate,j_du,dF_rms,domega_cmd_rms,solve_time_p50_ms,solve_time_p95_ms,solve_time_p99_ms,solve_time_max_ms,timeout_rate,theta_mae_deg,theta_peak_deg,theta_sched_mae_deg,theta_hat_step_p95_deg,theta_sched_step_p95_deg,main_acc_pct,turn_acc_pct,flat_false_slope_pct,slope_recall_pct,right_recall_pct,left_recall_pct,pred_main_1_pct,pred_main_2_pct,pred_main_3_pct,pred_turn_m1_pct,pred_turn_0_pct,pred_turn_1_pct
ModernTCN,all,0,245.82,245.82,24533,0.0274909112031697,0.274201314911951,1.63734784570382,0.104380997328254,0.496997846385333,0.0516722022904072,0.14532129456715,0.0280419428460319,0.302955091158027,2.44119566554353,4.29072273487659,125.247560031487,221.134017257777,0,0,0.0787404973622727,1.21414386722068,0.623649777850243,0,0,0.926265717093764,0.96239263441385,0.00813230101082663,0.0216054,0.024426865,0.026489935,1.6940924,0,0.378933541574306,2.07483021634955,0.420849008389734,0.00801715935349162,0.0032814266872795,98.0516039620104,95.3002078832593,1.25335720680394,97.5690607734807,78.2397782397782,NaN,41.8986671014552,0,58.1013328985448,14.3357926058778,84.7226185138385,0.9415888802837
ModernTCN,startup,0,12,12,1200,0,0,0,0,0,0.108444972982152,0.86,0,0,0.264261967834552,0.289169908160032,82.1742428104987,522.827486127149,0,0,2.56180808095313e-05,0.000251891371812363,0,0,0,22.4311596707656,4.73615452352935,4.25444372616867e-06,0.0221831,0.0271168,0.0345577,8.6794314,0,0.0762375889606549,0.120422436640592,0.0537114732911502,0.00266710023498659,0,100,100,0,NaN,NaN,NaN,100,0,0,0,100,0
ModernTCN,outbound_rack_aisle,12,90,78,7800,0,0,0,0,0,0.0615717163241965,0.101679875250522,0,0,1.89889006429392,3.39702679262228,153.240561206384,221.134017257777,0,0,2.2632184224378e-05,7.58460588735233e-05,0,0,0,0.140720398490694,0.375127176421916,6.44168851597492e-07,0.02168775,0.02460615,0.0268321,0.0336518,0,0.219203525922548,0.671708814183973,0.35086631077255,0.00346470489318837,0.002996321558319,97.9102564102564,100,0,97.7668173722428,NaN,NaN,8.51282051282051,0,91.4871794871795,0,100,0
ModernTCN,approach_to_u_turn,90,100,10,1000,0,0,0,0,0,0.0394528709825577,0.051083550576338,0,0,3.53340474813534,3.62920528089204,97.9417566885122,149.498784330499,0,0,1.34935221910423e-05,4.67939211086631e-05,0,0,0,3.19425871904091,1.78724892475391,2.62845030510721e-06,0.0214281,0.0230325,0.023695,0.0273029,0,0.171190847603678,0.388903454320346,0.404439925371249,0.00841867119981034,0.0160292443304724,99.1,100,1.65441176470588,100,NaN,NaN,53.5,0,46.5,0,100,0
ModernTCN,adjacent_aisle_u_turn,100,145.82,45.82,4582,0.0619099407725905,0.274201314911951,1.40816816750769,0.240953459246639,0.496997846385333,0.0290039882333692,0.046725960338351,0.0573198275264799,0.187612130377207,2.67981752567714,3.5055649105352,52.045317597036,71.7718469843252,0,0,0.175392312161206,1.21414386722068,3.12090790048014,0,0,1.88947284173935,1.37446841714918,0.0175901108233938,0.0231783,0.02503842,0.026878628,0.0354086,0,1.08416601501654,2.07483021634955,0.599083385851072,0.0144852081913184,6.45763789322069e-10,97.8830205150589,76.6914011348756,2.11697948494107,NaN,78.2397782397782,NaN,97.8830205150589,0,2.11697948494107,76.669576604103,20.0567437800087,3.27367961588826
ModernTCN,return_recovery_aisle,145.82,158,12.18,1218,0.028311480718062,0.097249360539235,0.189334423191618,0.0323021929765471,0.0860402973151908,0.0370245471969223,0.0693580459875281,0.0589528363563105,0.302955091158027,1.25708706106602,1.5082675640948,62.0249878958877,171.334290570106,0,0,0.0956589993320848,0.789083447825899,0.821018062397373,0,0,4.42244748146173,2.10292154948171,0.0129783738256399,0.02164495,0.02325356,0.024691332,0.0303635,0,0.362880788214676,1.13745195613953,0.897019932656091,0.0227955635903056,4.38931114356422e-55,100,93.0213464696223,0,NaN,NaN,NaN,100,0,0,0.328407224958949,93.0213464696223,6.65024630541872
ModernTCN,return_slope_aisle,158,232,74,7400,0.000522124932681731,0.00199136011067841,0.0316877866054477,0.00043122124145602,0.00280686049377588,0.0610797455238342,0.103588379908962,0.000733872168350811,0.00615014753826839,2.4896999767612,4.1234690208336,150.044187191031,220.369654033959,0,0,0.000949892914962674,0.00695804982352882,0,0,0,0.141156082777831,0.375707442813491,1.38700729468153e-05,0.0207504,0.0228486,0.0243682,0.033086,0,0.236172830966642,0.818563480295629,0.41538764048761,0.00340923164688896,0.00339296695482066,97.445945945946,100,0,97.0601959869342,NaN,NaN,15.6756756756757,0,84.3243243243243,0,100,0
ModernTCN,shipping_return_aisle,232,245.82,13.82,1382,0.000570768569359332,0.000908662262934702,0.00720314313464862,0.000135402951694611,0.000159197177257653,0.0264001051099384,0.053327098870544,0.000128235318243315,0.00099010681637114,4.23552329217084,4.29072273487659,70.449257536685,149.564851211078,0,0,0.000567597549164955,0.00125912500194619,0,0,0,2.1617113426772,1.47027594098496,6.16415399721582e-06,0.0201646,0.0218598,0.02298934,0.0259169,0,0.120456262759376,0.346153821472768,0.150216290829073,0.00927582705982431,0.010678435486944,98.5528219971056,100,1.84162062615101,100,NaN,NaN,77.1345875542692,0,22.8654124457308,0,100,0
GRU,all,0,245.82,245.82,24533,0.0193370550861136,0.198214330278357,1.16371466103294,0.0799234601939705,0.358901205537863,0.040374206647563,0.14532129456715,0.0185931052830129,0.212548008566274,1.87239453893171,3.25361756982888,125.167097377605,218.435979655826,0,0,0.050732259969946,0.966184494050624,0.0611421350833571,0,0,1.00901214988964,1.00444374601194,0.0102426064624604,0.0100524,0.01179708,0.012740161,2.8566095,0,0.507877803265335,1.84859222591724,0.507485424447613,0.00399819318861245,0.00430900216774752,95.3246647372926,97.5380100273102,2.46692529593156,94.5303867403315,89.8128898128898,NaN,40.2722863082379,2.92259405698447,56.8051196347776,16.337178494273,83.4875473851547,0.17527412057229
GRU,startup,0,12,12,1200,0,0,0,0,0,0.108444972982152,0.86,0,0,0.264261967834552,0.289169908160032,82.1742428104987,522.827486127149,0,0,2.56180808095313e-05,0.000251891371812363,0,0,0,22.4311596707656,4.73615452352935,4.25444372616867e-06,0.0107269,0.0123324,0.0153723,2.8566095,0,0.0537114732911502,0.46823618285124,0.0537114732911502,0,0,100,100,0,NaN,NaN,NaN,100,0,0,0,100,0
