controller,zone,t0,t1,duration_s,n_samples,ey_rmse,ey_peak,ey_iae,epsi_rmse,epsi_peak,ev_rmse,ev_peak,eomega_rmse,eomega_peak,xy_rmse,xy_peak,F_rms,F_peak,F_sat595_pct,F_limit_hit_pct,omega_cmd_rms,omega_cmd_peak,omega_sat060_pct,omega_limit_hit_pct,viol_rate,j_du,dF_rms,domega_cmd_rms,solve_time_p50_ms,solve_time_p95_ms,solve_time_p99_ms,solve_time_max_ms,timeout_rate,theta_mae_deg,theta_peak_deg,theta_sched_mae_deg,theta_hat_step_p95_deg,theta_sched_step_p95_deg,main_acc_pct,turn_acc_pct,flat_false_slope_pct,slope_recall_pct,right_recall_pct,left_recall_pct,pred_main_1_pct,pred_main_2_pct,pred_main_3_pct,pred_turn_m1_pct,pred_turn_0_pct,pred_turn_1_pct
ModernTCN,all,0,52,52,5151,0.112966884229869,0.509897527414139,3.0821179065928,0.198640969319013,0.581544662852705,0.100583861080797,0.537738060636122,0.11024429971531,0.489816683821867,1.8304009463808,3.58444754530869,191.619699725506,720.000000000195,1.59192389827218,1.41720054358377,0.290461370637115,1.44000000000128,4.81459910696952,1.88312948941953,0,1372.81439661673,37.0514736068097,0.0519632621869314,0.0235538,0.035097505,0.048311802,0.310255,0,0.819946080401347,4.02509376327941,1.31389005360872,0.0500000000000001,0.0459259326434595,86.2162686856921,62.1821005629975,0,82.0253164556962,33.3745364647713,0,37.0995923121724,0,62.9004076878276,7.24131236653077,92.7586876334692,0
ModernTCN,startup,0,4,4,400,0,0,0,0,0,0.182178856155153,0.82,0,0,0.251193979857498,0.264973660701548,136.405479768965,511.169685586821,0,0,4.28954303098162e-05,0.000240651875782483,0,0,0,62.1324423249205,7.88241348350049,7.08754377783699e-06,0.009025,0.0293796,0.1209709,4.5719744,0,0.0721189420648775,0.472490906784078,0,0.05,0,100,100,0,NaN,NaN,NaN,100,0,0,0,100,0
ModernTCN,uphill_left_transition,4,22,18,1800,0.0559247684121671,0.118048315417964,0.699391477498702,0.129441218960728,0.24399054579936,0.109289850076262,0.229487267830857,0.069856499031841,0.197710006275109,1.18949644824301,1.58361728938454,213.404798735293,346.850651598464,0,0,0.137174961762883,0.702196387941232,0.5,0,0,83.1058725899581,9.11623181712889,0.0137857290311646,0.0239035,0.03625205,0.04739725,0.0566766,0,0.987584075917551,2.43763973246061,2.43350305673902,0.0500000000000001,0.037415283261379,70.5555555555556,55.0555555555556,0,65.8944658944659,NaN,0,43.1111111111111,0,56.8888888888889,0,100,0
ModernTCN,downhill_right_transition,22,42,20,2000,0.0540072093096955,0.165132408239772,0.663435063210904,0.169321245822553,0.34128271779723,0.0685003910417126,0.128428777726686,0.0838458634298095,0.346110707875395,1.7482808139925,2.24333632366332,160.971743401896,261.810582859574,0,0,0.150912177848586,0.553393850741812,0,0,0,199.130725133477,14.1113642621787,0.0111262565199708,0.02340275,0.03233215,0.0447456,0.0547222,0,0.582469107138341,2.0881161391942,0.770860745336906,0.0500000000000001,0.0650066651317123,94.05,67.9,0,93.550135501355,33.3745364647713,NaN,13.7,0,86.3,18.65,81.35,0
ModernTCN,flat_left_exit,42,52,10,1000,0.232614096121532,0.509897527414139,1.71319220287962,0.340048396619272,0.581544662852705,0.144672151314285,0.537738060636122,0.199231310583408,0.489816683821867,2.92593450942235,3.58433877084478,233.240538241238,720.000000000195,8.2,7.3,0.595807498646201,1.44000000000128,23.9,9.7,0,6523.75655458446,80.7696926390055,0.115349837636917,0.0237144,0.03852565,0.0773999,0.310255,0,1.24808003862983,3.97509376327941,0.845820644942623,0.0500000000000001,0.0385515141774336,93.9,50.3,0,88.929219600726,NaN,0,51,0,49,0,100,0
GRU,all,0,52,52,5151,0.151573705175061,0.534564801682278,4.5905559386856,0.207479820232938,0.727591862513415,0.176181857489289,0.793540393132993,0.107702053030169,0.424243419291582,1.96364654015292,3.34805383572202,197.082230972528,718.661680114271,2.21316249271986,2.17433508056688,0.380721053637619,1.44000000000001,11.1628809939818,1.68899242865463,0,573.505203648165,23.9479194825998,0.0485397062533662,0.0122528,0.01930518,0.025017567,0.3375144,0,0.95167518028685,3.44842571061231,0.963441564290033,0.0908775276725347,0.0264154827810033,91.4579693263444,50.3203261502621,11.4904246461282,92.3544303797468,0,0,26.4997087944089,0,73.5002912055912,8.87206367695593,91.1279363230441,0
GRU,startup,0,4,4,400,0,0,0,0,0,0.182178856155131,0.82,0,0,0.251193979855381,0.264973660697927,136.405479768961,511.169685586821,0,0,4.28957434759492e-05,0.000240651875782483,0,0,0,62.1324423249103,7.88241348349983,7.0947848706228e-06,0.0110548,0.0139839,0.0197159,0.0284523,0,0,0,0,0,0,100,65.25,0,NaN,NaN,NaN,100,0,0,34.75,65.25,0
GRU,uphill_left_transition,4,22,18,1800,0.0808388607438347,0.148411581218643,1.01600435335787,0.108976162139738,0.229638838804575,0.168391088767141,0.214630146374844,0.0807214530933134,0.335995304376614,1.17149959281178,2.32372583563562,212.484005481506,250.621035067485,0,0,0.177030135590369,0.929250194380059,1.55555555555556,0,0,0.799612982794979,0.893823208090887,0.0263259467653871,0.01178315,0.0169661,0.02200505,0.0273074,0,1.2674287710248,2.19023413696154,1.13984481074495,0.0862476121401,0.018485346499966,85.8888888888889,38.1111111111111,0,83.6550836550836,NaN,0,27.7777777777778,0,72.2222222222222,17.6666666666667,82.3333333333333,0
GRU,downhill_right_transition,22,42,20,2000,0.220439130329318,0.534564801682278,2.77418905028385,0.292891354218056,0.727591862513415,0.145232243673382,0.792705223233649,0.113422229603409,0.26141567057952,2.90199853959715,3.34805383572202,207.606515563515,718.661680114271,3.55,3.5,0.536668733593674,1.44000000000001,24.15,4,0,855.733789169112,29.2528611139395,0.0624965413399048,0.01241575,0.02038875,0.0262207,0.3375144,0,0.863145050361653,2.06290613425926,1.07616539252657,0.0842619277040773,0.0298138156282695,97.6,59.55,0,97.3983739837398,0,NaN,10.15,0,89.85,0,100,0
GRU,flat_left_exit,42,52,10,1000,0.0969137275001618,0.23204897195653,0.797138461442377,0.169638850734317,0.326334016547838,0.257611042097966,0.793540393132993,0.149300843770968,0.424243419291582,0.724045055156821,1.84782875332076,177.949926190322,614.860546583948,4.3,4.2,0.337918012556356,1.4134686531049,6.4,0.7,0,1241.23879760187,35.2311753308249,0.0555194609967495,0.0130058,0.02172775,0.02746855,0.0594843,0,0.894416965089613,3.44842571061231,0.758568757327931,0.124091111868511,0.028410603633311,86.2,50.3,30.7349665924276,100,NaN,0,31.1,0,68.9,0,100,0
TCN,all,0,52,52,5151,0.107469569478225,0.506458578555389,2.84173122830938,0.20358065235178,0.518923540082418,0.168613602255533,0.287665267696556,0.113557401186809,0.49940846956691,2.19844397692885,3.85097061470784,183.181724892564,720.000000000017,1.28130460104834,1.20364977674238,0.254395587275089,1.44000000000111,4.89225393127548,0.7765482430596,0,818.666013444567,28.6122894627959,0.0538993668331744,0.0111792,0.01715096,0.022946898,0.2218606,0,0.606168200568259,3.07710865965517,3.67485326015582,0.0500000000000001,0.0448923711732125,30.3436225975539,58.9400116482236,0,9.16455696202532,0,0,92.9722384003106,0,7.02776159968938,0,100,0
TCN,startup,0,4,4,400,0,0,0,0,0,0.182178856155153,0.82,0,0,0.251193979857498,0.264973660701548,136.405479768965,511.169685586821,0,0,4.28954303098162e-05,0.000240651875782483,0,0,0,62.1324423249205,7.88241348350049,7.08754377783699e-06,0.00973465,0.01529355,0.02047885,1.916599,0,0.212138697511848,0.774552208436216,0,0.05,0,100,100,0,NaN,NaN,NaN,100,0,0,0,100,0
