case_tag,path_tag,disturbance_level,seed,noise_scale,process_scale,controller,tracking_rank_sum,perception_rank_sum,control_rank_sum,overall_rank_sum,overall_rank
path_closed_loop_long_updown_theta10_v1_d0_seed0,path_closed_loop_long_updown_theta10_v1,0,0,0,0,ModernTCN,6,6,6,18,1
path_closed_loop_long_updown_theta10_v1_d0_seed0,path_closed_loop_long_updown_theta10_v1,0,0,0,0,GRU,13,6,6,25,2
path_closed_loop_long_updown_theta10_v1_d0_seed0,path_closed_loop_long_updown_theta10_v1,0,0,0,0,TCN,17,6,12,35,3
path_closed_loop_long_updown_theta10_v1_d1_seed21,path_closed_loop_long_updown_theta10_v1,1,21,1,0.35,ModernTCN,11,6,6,23,1
path_closed_loop_long_updown_theta10_v1_d1_seed21,path_closed_loop_long_updown_theta10_v1,1,21,1,0.35,TCN,9,6,11,26,2
path_closed_loop_long_updown_theta10_v1_d1_seed21,path_closed_loop_long_updown_theta10_v1,1,21,1,0.35,GRU,16,6,7,29,3
path_closed_loop_long_updown_theta10_v1_d2_seed21,path_closed_loop_long_updown_theta10_v1,2,21,1.5,0.7,ModernTCN,6,5,6,17,1
path_closed_loop_long_updown_theta10_v1_d2_seed21,path_closed_loop_long_updown_theta10_v1,2,21,1.5,0.7,GRU,13,7,6,26,2
path_closed_loop_long_updown_theta10_v1_d2_seed21,path_closed_loop_long_updown_theta10_v1,2,21,1.5,0.7,TCN,17,6,12,35,3
path_closed_loop_sharp_turn_transition_theta10_v1_d0_seed0,path_closed_loop_sharp_turn_transition_theta10_v1,0,0,0,0,ModernTCN,7,5,7,19,1
path_closed_loop_sharp_turn_transition_theta10_v1_d0_seed0,path_closed_loop_sharp_turn_transition_theta10_v1,0,0,0,0,GRU,11,6,5,22,2
path_closed_loop_sharp_turn_transition_theta10_v1_d0_seed0,path_closed_loop_sharp_turn_transition_theta10_v1,0,0,0,0,TCN,18,7,12,37,3
path_closed_loop_sharp_turn_transition_theta10_v1_d1_seed21,path_closed_loop_sharp_turn_transition_theta10_v1,1,21,1,0.35,ModernTCN,9,6,4,19,1
path_closed_loop_sharp_turn_transition_theta10_v1_d1_seed21,path_closed_loop_sharp_turn_transition_theta10_v1,1,21,1,0.35,GRU,10,6,9,25,2
path_closed_loop_sharp_turn_transition_theta10_v1_d1_seed21,path_closed_loop_sharp_turn_transition_theta10_v1,1,21,1,0.35,TCN,17,6,11,34,3
path_closed_loop_sharp_turn_transition_theta10_v1_d2_seed21,path_closed_loop_sharp_turn_transition_theta10_v1,2,21,1.5,0.7,ModernTCN,9,5,10,24,1
path_closed_loop_sharp_turn_transition_theta10_v1_d2_seed21,path_closed_loop_sharp_turn_transition_theta10_v1,2,21,1.5,0.7,GRU,15,7,5,27,2
path_closed_loop_sharp_turn_transition_theta10_v1_d2_seed21,path_closed_loop_sharp_turn_transition_theta10_v1,2,21,1.5,0.7,TCN,12,6,9,27,3
