model,case_name,phase,seed,best_epoch,production_score,main_score,acc_main,acc_turn,acc_turn_pure,acc_turn_transition,theta_mae_deg,flat_recall,stall_recall,slope_recall,uphill_recall,downhill_recall,flat_as_slope,hidden_size,num_layers,head_pooling,turn_head_type,turn_head_source,lambda_turn,model_file,meta_file,report_file
GRU,h96_l2_turn0p05_last_mean_inputstats,grid,NaN,48,0.106384575664522,0.0713283958892416,0.948314606741573,0.88314606741573,0.913366336633663,0.585365853658537,0.415603367657159,0.962264150943396,0.666666666666667,0.95679012345679,0.977443609022556,0.862068965517241,0.0150943396226415,96,2,last_mean_inputstats,mlp,inputstats,0.05,E:\Matlab\Simulink\S-Function_16\data\models\GRU_model_gru_fair_v1_h96_l2_turn0p05_last_mean_inputstats.mat,E:\Matlab\Simulink\S-Function_16\data\models\GRU_meta_gru_fair_v1_h96_l2_turn0p05_last_mean_inputstats.mat,E:\Matlab\Simulink\S-Function_16\results\gru\experiments\gru_fair_v1\h96_l2_turn0p05_last_mean_inputstats\GRU_train_report.md
GRU,h64_l2_turn0p10_last_mean_inputstats,grid,NaN,30,0.115871820960506,0.0794673265784833,0.946067415730337,0.878651685393258,0.905940594059406,0.609756097560976,0.562896859607302,0.962264150943396,0.666666666666667,0.950617283950617,0.969924812030075,0.862068965517241,0.0150943396226415,64,2,last_mean_inputstats,mlp,inputstats,0.1,E:\Matlab\Simulink\S-Function_16\data\models\GRU_model_gru_fair_v1_h64_l2_turn0p10_last_mean_inputstats.mat,E:\Matlab\Simulink\S-Function_16\data\models\GRU_meta_gru_fair_v1_h64_l2_turn0p10_last_mean_inputstats.mat,E:\Matlab\Simulink\S-Function_16\results\gru\experiments\gru_fair_v1\h64_l2_turn0p10_last_mean_inputstats\GRU_train_report.md
GRU,h64_l1_turn0p10_last_mean_inputstats,grid,NaN,32,0.126301172444434,0.0858517342421872,0.943820224719101,0.865168539325843,0.898514851485149,0.536585365853659,0.497654536816852,0.954716981132075,0.722222222222222,0.950617283950617,0.977443609022556,0.827586206896552,0.0264150943396226,64,1,last_mean_inputstats,mlp,inputstats,0.1,E:\Matlab\Simulink\S-Function_16\data\models\GRU_model_gru_fair_v1_h64_l1_turn0p10_last_mean_inputstats.mat,E:\Matlab\Simulink\S-Function_16\data\models\GRU_meta_gru_fair_v1_h64_l1_turn0p10_last_mean_inputstats.mat,E:\Matlab\Simulink\S-Function_16\results\gru\experiments\gru_fair_v1\h64_l1_turn0p10_last_mean_inputstats\GRU_train_report.md
GRU,h64_l1_turn0p20_last_mean_inputstats,grid,NaN,32,0.128261540364786,0.0878121021625393,0.941573033707865,0.865168539325843,0.898514851485149,0.536585365853659,0.471616035016455,0.954716981132075,0.722222222222222,0.944444444444444,0.969924812030075,0.827586206896552,0.030188679245283,64,1,last_mean_inputstats,mlp,inputstats,0.2,E:\Matlab\Simulink\S-Function_16\data\models\GRU_model_gru_fair_v1_h64_l1_turn0p20_last_mean_inputstats.mat,E:\Matlab\Simulink\S-Function_16\data\models\GRU_meta_gru_fair_v1_h64_l1_turn0p20_last_mean_inputstats.mat,E:\Matlab\Simulink\S-Function_16\results\gru\experiments\gru_fair_v1\h64_l1_turn0p20_last_mean_inputstats\GRU_train_report.md
GRU,h64_l1_turn0p05_last_mean_inputstats,grid,NaN,32,0.129613535499641,0.0884899399940233,0.941573033707865,0.862921348314607,0.896039603960396,0.536585365853659,0.526297829860159,0.958490566037736,0.666666666666667,0.944444444444444,0.969924812030075,0.827586206896552,0.0226415094339623,64,1,last_mean_inputstats,mlp,inputstats,0.05,E:\Matlab\Simulink\S-Function_16\data\models\GRU_model_gru_fair_v1_h64_l1_turn0p05_last_mean_inputstats.mat,E:\Matlab\Simulink\S-Function_16\data\models\GRU_meta_gru_fair_v1_h64_l1_turn0p05_last_mean_inputstats.mat,E:\Matlab\Simulink\S-Function_16\results\gru\experiments\gru_fair_v1\h64_l1_turn0p05_last_mean_inputstats\GRU_train_report.md
GRU,h96_l1_turn0p20_last_mean_inputstats,grid,NaN,27,0.135090656305866,0.0966636900137309,0.946067415730337,0.871910112359551,0.898514851485149,0.609756097560976,0.936202171903585,0.954716981132075,0.777777777777778,0.950617283950617,0.969924812030075,0.862068965517241,0.0264150943396226,96,1,last_mean_inputstats,mlp,inputstats,0.2,E:\Matlab\Simulink\S-Function_16\data\models\GRU_model_gru_fair_v1_h96_l1_turn0p20_last_mean_inputstats.mat,E:\Matlab\Simulink\S-Function_16\data\models\GRU_meta_gru_fair_v1_h96_l1_turn0p20_last_mean_inputstats.mat,E:\Matlab\Simulink\S-Function_16\results\gru\experiments\gru_fair_v1\h96_l1_turn0p20_last_mean_inputstats\GRU_train_report.md
GRU,h96_l1_turn0p05_last_mean_inputstats,grid,NaN,27,0.135453092094783,0.0977002831060193,0.943820224719101,0.874157303370787,0.900990099009901,0.609756097560976,0.887069299401594,0.950943396226415,0.777777777777778,0.950617283950617,0.969924812030075,0.862068965517241,0.030188679245283,96,1,last_mean_inputstats,mlp,inputstats,0.05,E:\Matlab\Simulink\S-Function_16\data\models\GRU_model_gru_fair_v1_h96_l1_turn0p05_last_mean_inputstats.mat,E:\Matlab\Simulink\S-Function_16\data\models\GRU_meta_gru_fair_v1_h96_l1_turn0p05_last_mean_inputstats.mat,E:\Matlab\Simulink\S-Function_16\results\gru\experiments\gru_fair_v1\h96_l1_turn0p05_last_mean_inputstats\GRU_train_report.md
GRU,h96_l1_turn0p10_last_mean_inputstats,grid,NaN,27,0.136673900030731,0.0968986191318544,0.941573033707865,0.867415730337079,0.898514851485149,0.560975609756098,0.717646883777635,0.954716981132075,0.777777777777778,0.938271604938272,0.962406015037594,0.827586206896552,0.0264150943396226,96,1,last_mean_inputstats,mlp,inputstats,0.1,E:\Matlab\Simulink\S-Function_16\data\models\GRU_model_gru_fair_v1_h96_l1_turn0p10_last_mean_inputstats.mat,E:\Matlab\Simulink\S-Function_16\data\models\GRU_meta_gru_fair_v1_h96_l1_turn0p10_last_mean_inputstats.mat,E:\Matlab\Simulink\S-Function_16\results\gru\experiments\gru_fair_v1\h96_l1_turn0p10_last_mean_inputstats\GRU_train_report.md
GRU,h96_l2_turn0p10_last_mean_inputstats,grid,NaN,13,0.145094017230755,0.101947949815024,0.937078651685393,0.856179775280899,0.891089108910891,0.51219512195122,0.674916826710178,0.954716981132075,0.666666666666667,0.938271604938272,0.962406015037594,0.827586206896552,0.0377358490566038,96,2,last_mean_inputstats,mlp,inputstats,0.1,E:\Matlab\Simulink\S-Function_16\data\models\GRU_model_gru_fair_v1_h96_l2_turn0p10_last_mean_inputstats.mat,E:\Matlab\Simulink\S-Function_16\data\models\GRU_meta_gru_fair_v1_h96_l2_turn0p10_last_mean_inputstats.mat,E:\Matlab\Simulink\S-Function_16\results\gru\experiments\gru_fair_v1\h96_l2_turn0p10_last_mean_inputstats\GRU_train_report.md
GRU,h96_l1_turn0p10_last_mean,grid,NaN,36,0.156779592096414,0.0947571201863018,0.943820224719101,0.793258426966292,0.839108910891089,0.341463414634146,0.73915710994802,0.962264150943396,0.611111111111111,0.950617283950617,0.977443609022556,0.827586206896552,0.0226415094339623,96,1,last_mean,linear,readout,0.1,E:\Matlab\Simulink\S-Function_16\data\models\GRU_model_gru_fair_v1_h96_l1_turn0p10_last_mean.mat,E:\Matlab\Simulink\S-Function_16\data\models\GRU_meta_gru_fair_v1_h96_l1_turn0p10_last_mean.mat,E:\Matlab\Simulink\S-Function_16\results\gru\experiments\gru_fair_v1\h96_l1_turn0p10_last_mean\GRU_train_report.md
GRU,h96_l2_turn0p05_last_mean,grid,NaN,25,0.158804959528574,0.0927375437982365,0.946067415730337,0.779775280898876,0.826732673267327,0.317073170731707,0.87578436557283,0.966037735849057,0.666666666666667,0.944444444444444,0.962406015037594,0.862068965517241,0.0188679245283019,96,2,last_mean,linear,readout,0.05,E:\Matlab\Simulink\S-Function_16\data\models\GRU_model_gru_fair_v1_h96_l2_turn0p05_last_mean.mat,E:\Matlab\Simulink\S-Function_16\data\models\GRU_meta_gru_fair_v1_h96_l2_turn0p05_last_mean.mat,E:\Matlab\Simulink\S-Function_16\results\gru\experiments\gru_fair_v1\h96_l2_turn0p05_last_mean\GRU_train_report.md
