model,metric,mean,std,min,max,target_op,target,target_pass,values_by_seed_11_21_42_73_101
ModernTCN-small v1,acc_main,0.9631449631449631,0.00363924909675812,0.9589329589329589,0.967005967005967,>=,0.93,True,0.958933;0.967006;0.959635;0.965602;0.964549
ModernTCN-small v1,acc_turn,0.9068445068445068,0.014818285375270069,0.8911898911898912,0.9224289224289224,,,,0.891190;0.893998;0.922429;0.921727;0.904879
ModernTCN-small v1,acc_turn_pure,0.9298543689320389,0.012077122928539782,0.9170711974110033,0.9466019417475728,,,,0.917071;0.921926;0.946602;0.937702;0.925971
ModernTCN-small v1,acc_turn_transition,0.7559681697612732,0.04219091172569462,0.7108753315649867,0.8169761273209549,>=,0.77,False,0.721485;0.710875;0.763926;0.816976;0.766578
ModernTCN-small v1,theta_mae_deg,0.46035037040710447,0.1253010803239082,0.3132477402687073,0.63116455078125,<=,0.43,False,0.631165;0.438073;0.383846;0.313248;0.535421
ModernTCN-small v1,flat_recall,0.9474031327287716,0.006857917343144392,0.9365210222588624,0.9546578730420445,>=,0.9,True,0.948063;0.951360;0.936521;0.946414;0.954658
ModernTCN-small v1,stall_recall,0.8614634146341463,0.03354877827131593,0.8146341463414634,0.8926829268292683,,,,0.839024;0.887805;0.873171;0.892683;0.814634
ModernTCN-small v1,slope_recall,0.9910552061495458,0.003402001801436247,0.9853249475890985,0.9944095038434662,>=,0.94,True,0.985325;0.991614;0.991614;0.992313;0.994410
ModernTCN-small v1,uphill_recall,0.9903559127439724,0.004775346577057499,0.9827784156142365,0.9954075774971297,,,,0.982778;0.990815;0.989667;0.995408;0.993111
ModernTCN-small v1,downhill_recall,0.9921428571428572,0.0037029359559513655,0.9875,0.9964285714285714,,,,0.989286;0.992857;0.994643;0.987500;0.996429
