model,type,metric,mean_or_value,std,note
ModernTCN-small v1,5seed_mean_std,acc_main,0.9631449631449631,0.00363924909675812,
GRU strong baseline,5seed_mean_std,acc_main,0.94,0.005,frozen handoff baseline
TCN staged baseline,5seed_mean_std,acc_main,0.9052,0.035,frozen handoff baseline
TCN calibrated upper bound,single_checkpoint,acc_main,0.9442,,validate base_comp_flat120 seed73; not stable multi-seed conclusion
ModernTCN-small v1,5seed_mean_std,acc_turn,0.9068445068445068,0.014818285375270069,
GRU strong baseline,5seed_mean_std,acc_turn,0.8875,0.0104,frozen handoff baseline
TCN staged baseline,5seed_mean_std,acc_turn,0.9063,0.0027,frozen handoff baseline
TCN calibrated upper bound,single_checkpoint,acc_turn,0.9077,,validate base_comp_flat120 seed73; not stable multi-seed conclusion
ModernTCN-small v1,5seed_mean_std,acc_turn_pure,0.9298543689320389,0.012077122928539782,
TCN calibrated upper bound,single_checkpoint,acc_turn_pure,0.9264,,validate base_comp_flat120 seed73; not stable multi-seed conclusion
ModernTCN-small v1,5seed_mean_std,acc_turn_transition,0.7559681697612732,0.04219091172569462,
GRU strong baseline,5seed_mean_std,acc_turn_transition,0.687,0.0381,frozen handoff baseline
TCN staged baseline,5seed_mean_std,acc_turn_transition,0.783,0.0115,frozen handoff baseline
TCN calibrated upper bound,single_checkpoint,acc_turn_transition,0.7851,,validate base_comp_flat120 seed73; not stable multi-seed conclusion
ModernTCN-small v1,5seed_mean_std,theta_mae_deg,0.46035037040710447,0.1253010803239082,
GRU strong baseline,5seed_mean_std,theta_mae_deg,0.4195,0.0653,frozen handoff baseline
TCN staged baseline,5seed_mean_std,theta_mae_deg,0.449,0.0846,frozen handoff baseline
TCN calibrated upper bound,single_checkpoint,theta_mae_deg,0.3998,,validate base_comp_flat120 seed73; not stable multi-seed conclusion
ModernTCN-small v1,5seed_mean_std,flat_recall,0.9474031327287716,0.006857917343144392,
GRU strong baseline,5seed_mean_std,flat_recall,0.907,0.0086,frozen handoff baseline
TCN staged baseline,5seed_mean_std,flat_recall,0.8594,0.0523,frozen handoff baseline
TCN calibrated upper bound,single_checkpoint,flat_recall,0.9233,,validate base_comp_flat120 seed73; not stable multi-seed conclusion
ModernTCN-small v1,5seed_mean_std,stall_recall,0.8614634146341463,0.03354877827131593,
GRU strong baseline,5seed_mean_std,stall_recall,0.9161,0.0275,frozen handoff baseline
TCN staged baseline,5seed_mean_std,stall_recall,0.9688,0.0168,frozen handoff baseline
TCN calibrated upper bound,single_checkpoint,stall_recall,0.9756,,validate base_comp_flat120 seed73; not stable multi-seed conclusion
ModernTCN-small v1,5seed_mean_std,slope_recall,0.9910552061495458,0.003402001801436247,
GRU strong baseline,5seed_mean_std,slope_recall,0.9715,0.0066,frozen handoff baseline
TCN staged baseline,5seed_mean_std,slope_recall,0.935,0.0458,frozen handoff baseline
TCN calibrated upper bound,single_checkpoint,slope_recall,0.9574,,validate base_comp_flat120 seed73; not stable multi-seed conclusion
ModernTCN-small v1,5seed_mean_std,uphill_recall,0.9903559127439724,0.004775346577057499,
GRU strong baseline,5seed_mean_std,uphill_recall,0.9623,0.0065,frozen handoff baseline
TCN staged baseline,5seed_mean_std,uphill_recall,0.9104,0.0511,frozen handoff baseline
TCN calibrated upper bound,single_checkpoint,uphill_recall,0.9564,,validate base_comp_flat120 seed73; not stable multi-seed conclusion
ModernTCN-small v1,5seed_mean_std,downhill_recall,0.9921428571428572,0.0037029359559513655,
GRU strong baseline,5seed_mean_std,downhill_recall,0.9857,0.0079,frozen handoff baseline
TCN staged baseline,5seed_mean_std,downhill_recall,0.9732,0.0389,frozen handoff baseline
TCN calibrated upper bound,single_checkpoint,downhill_recall,0.9589,,validate base_comp_flat120 seed73; not stable multi-seed conclusion
