metric,mean,std,min,max
acc_main,0.9375,0,0.9375,0.9375
acc_turn,0.9375,0,0.9375,0.9375
acc_turn_pure,0.933333333333333,0,0.933333333333333,0.933333333333333
acc_turn_transition,1,0,1,1
theta_mae_deg,0.735150050077425,0,0.735150050077425,0.735150050077425
flat_recall,1,0,1,1
stall_recall,1,0,1,1
slope_recall,0.833333333333333,0,0.833333333333333,0.833333333333333
uphill_recall,1,0,1,1
downhill_recall,0.25,0,0.25,0.25
theta_abs_le_8_mae_deg,0.735150050077425,0,0.735150050077425,0.735150050077425
theta_abs_le_10_mae_deg,0.735150050077425,0,0.735150050077425,0.735150050077425
theta_pos_6_8_mae_deg,0.804286185453268,0,0.804286185453268,0.804286185453268
theta_pos_6_8_bias_deg,-0.698623589037926,0,-0.698623589037926,-0.698623589037926
theta_neg_8_6_mae_deg,NaN,NaN,NaN,NaN
theta_neg_8_6_bias_deg,NaN,NaN,NaN,NaN
