t,main,turn,theta,pm1,pm2,pm3,ptm,pt0,ptp,confm,conft,thg,thref,wref
2.4,1,0,0.0287411995232105,1,7.23732648111449e-15,5.22921983492353e-12,2.31779564513992e-18,1,2.66731810250054e-11,1,1,0,0,0
2.6,1,0,0.0272521078586578,1,7.98341173578092e-15,5.39068746238658e-12,3.40467519447311e-18,1,3.56333434980982e-11,1,1,0,0,0
2.8,1,0,0.0265976898372173,1,8.4931121177253e-15,5.39267241972397e-12,3.0974859575699e-18,1,3.8140143820975e-11,1,1,0,0,0
3,1,0,0.0271717645227909,1,9.02037403376511e-15,5.57197820869049e-12,2.45710857672549e-18,1,3.35243950655428e-11,1,1,0,0,0
3.2,1,0,0.0271744281053543,1,9.56109106817205e-15,5.78244787122206e-12,2.14316086062742e-18,1,3.22113308248717e-11,1,1,0,0,0
3.4,1,0,0.0271273963153362,1,9.94074817579037e-15,5.90286543603047e-12,1.9463743861059e-18,1,3.22896362425773e-11,1,1,0,0,0
3.6,1,0,0.0271329768002033,1,1.01892269849333e-14,5.9538506937129e-12,1.84485099400967e-18,1,3.26733709532512e-11,1,1,0,0,0
3.8,1,0,0.0270299017429352,1,1.03245659092456e-14,6.01855457832423e-12,1.78081418650341e-18,1,3.3159936602134e-11,1,1,0,0,0
4,1,0,0.0269606932997704,1,1.04072490303918e-14,6.06541162781471e-12,1.74904341994617e-18,1,3.35584962596336e-11,1,1,0,0,0
4.2,1,0,0.0269071981310844,1,1.04590273074245e-14,6.09800751560918e-12,1.72842253105826e-18,1,3.38609418282232e-11,1,1,0,0,0
4.4,1,0,0.0268704332411289,1,1.04860730694304e-14,6.11862904092986e-12,1.71540363879487e-18,1,3.40510293572738e-11,1,1,0,0,0
4.6,1,0,0.0268470197916031,1,1.05014450233571e-14,6.13138619737219e-12,1.70754304483135e-18,1,3.41724357144635e-11,1,1,0,0,0
4.8,1,0,0.0268320664763451,1,1.05104227255651e-14,6.13922671380274e-12,1.70263228032978e-18,1,3.42487808946412e-11,1,1,0,0,0
5,1,0,0.0268227346241474,1,1.05157971496154e-14,6.143982891893e-12,1.69969899448009e-18,1,3.42976792799821e-11,1,1,0,0,0
5.2,1,0,0.0268168672919273,1,1.05189260893226e-14,6.14691283984392e-12,1.69795581473671e-18,1,3.4329095122132e-11,1,1,0,0,0
5.4,1,0,0.0268004611134529,1,1.0494317241106e-14,6.15817856777778e-12,1.70042536245548e-18,1,3.43266699787126e-11,1,1,0,0,0
5.6,1,0,0.0264146253466606,1,9.4063635596971e-15,6.49963286317168e-12,2.00394243442684e-18,1,3.40762383588267e-11,1,1,0,0,0
5.8,1,0,0.0256188623607159,1,7.02587825835961e-15,7.63313717788705e-12,2.92955485153668e-18,1,3.44057872470049e-11,1,1,0,0,0
6,1,0,0.0246912948787212,1,5.75943398265703e-15,8.73372554832663e-12,5.16880473443102e-18,1,3.77653880390127e-11,1,1,0,0,0
6.2,1,0,0.0228745751082897,1,6.84680659946411e-15,1.35071554635546e-11,1.1348906423699e-17,1,5.62455845787291e-11,1,1,0,0,0
6.4,1,0,0.0198781378567219,1,1.1169012017879e-14,3.14668360812398e-11,3.48995309021105e-17,1,1.0673353173507e-10,1,1,0,0,0
6.6,1,0,0.0165809132158756,1,1.41802708965755e-14,5.03906256998921e-11,1.11236323865485e-16,1,1.89620236179522e-10,1,1,0,0,0
6.8,1,0,0.01378118339926,1,2.32428161596855e-14,1.02635039356258e-10,2.93770481395799e-16,1,3.37690514440325e-10,1,1,0,0,0
7,1,0,0.0116238156333566,1,5.64147185455437e-14,3.28207322430885e-10,9.47362623428033e-16,1,7.45219996822755e-10,1,1,0,0,0
7.2,1,0,0.0105846347287297,1,2.28446276652472e-13,2.00445615661238e-09,3.67889448288708e-15,1,1.90834370528137e-09,1,1,0,0,0
7.4,1,0,0.00929159391671419,1,1.28825661076248e-12,2.08356230047002e-08,1.57460561923213e-14,1,4.76420058959093e-09,1,1,0,0,0
7.6,1,0,0.00839750934392214,0.99999988079071,6.17002889752305e-12,1.4690796490413e-07,6.43304989356511e-14,1,1.21259891017189e-08,0.99999988079071,1,0,0,0
7.8,1,0,0.00728815142065287,0.999999403953552,1.74437114058845e-11,5.86966734772432e-07,2.43167736380806e-13,1,2.5600504827139e-08,0.999999403953552,1,0,0,0
8,1,0,0.00645296741276979,0.999997735023499,4.67116414992752e-11,2.2953893221711e-06,8.99547038420156e-13,1,5.55478862906966e-08,0.999997735023499,1,0,0,0
8.2,1,0,0.00651661027222872,0.999992728233337,1.20303544903777e-10,7.25852032701368e-06,3.1445096092958e-12,0.99999988079071,1.09126716552055e-07,0.999992728233337,0.99999988079071,0,0,0
8.4,1,0,0.00649891141802073,0.999984860420227,2.63498278751939e-10,1.50964751810534e-05,1.08881766450186e-11,0.999999761581421,1.89538766903752e-07,0.999984860420227,0.999999761581421,0,0,0
8.6,1,0,0.00667096395045519,0.999974012374878,5.7361670968703e-10,2.60368396993726e-05,3.95261740004926e-11,0.999999642372131,3.41797942837729e-07,0.999974012374878,0.999999642372131,0,0,0
