round,run_tag,model,seed,best_epoch,gate_status,screen_miss_count,screen_gap_score,gate_failures,acc_main,acc_turn,acc_turn_transition,theta_mae_deg,flat_recall,stall_recall,slope_recall,theta_edge_p95_abs_err,false_turn_straight,flat_peak_theta_error,checkpoint_file,summary_file
round1,tune_r1_scale035_s7_seed21,ModernTCN-small-dualkernel,21,65,FAIL,5,0.5983465662476346,acc_turn_transition 0.494784 >= 0.497765 failed; flat_recall 0.955026 >= 0.959577 failed; stall_recall 0.645833 >= 0.66875 failed; theta_edge_p95_abs_err 3.55691 <= 2.80506 failed; flat_peak_theta_error 7.17944 <= 5.58574 failed,0.9658523042754026,0.579400333148251,0.4947839046199702,0.6653428673744202,0.955026455026455,0.6458333333333334,0.98,3.556905508041382,0.4138644593895499,7.179437637329102,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_ablation\exp2_dual_kernel_tune\tune_r1_scale035_s7_seed21\modern_tcn_dualkernel_seed21.pt,results\modern_tcn_ablation\exp2_dual_kernel_tune\tune_r1_scale035_s7_seed21\modern_tcn_dualkernel_seed21_summary.csv
round1,tune_r1_theta_s7_seed21,ModernTCN-small-dualkernel,21,65,FAIL,5,0.5983465662476346,acc_turn_transition 0.494784 >= 0.497765 failed; flat_recall 0.955026 >= 0.959577 failed; stall_recall 0.645833 >= 0.66875 failed; theta_edge_p95_abs_err 3.55691 <= 2.80506 failed; flat_peak_theta_error 7.17944 <= 5.58574 failed,0.9658523042754026,0.579400333148251,0.4947839046199702,0.6653428673744202,0.955026455026455,0.6458333333333334,0.98,3.556905508041382,0.4138644593895499,7.179437637329102,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_ablation\exp2_dual_kernel_tune\tune_r1_theta_s7_seed21\modern_tcn_dualkernel_seed21.pt,results\modern_tcn_ablation\exp2_dual_kernel_tune\tune_r1_theta_s7_seed21\modern_tcn_dualkernel_seed21_summary.csv
round2,tune_r2_edgeflat035_s7_seed21,ModernTCN-small-dualkernel,21,65,FAIL,5,0.5983465662476346,acc_turn_transition 0.494784 >= 0.497765 failed; flat_recall 0.955026 >= 0.959577 failed; stall_recall 0.645833 >= 0.66875 failed; theta_edge_p95_abs_err 3.55691 <= 2.80506 failed; flat_peak_theta_error 7.17944 <= 5.58574 failed,0.9658523042754026,0.579400333148251,0.4947839046199702,0.6653428673744202,0.955026455026455,0.6458333333333334,0.98,3.556905508041382,0.4138644593895499,7.179437637329102,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_ablation\exp2_dual_kernel_tune\tune_r2_edgeflat035_s7_seed21\modern_tcn_dualkernel_seed21.pt,results\modern_tcn_ablation\exp2_dual_kernel_tune\tune_r2_edgeflat035_s7_seed21\modern_tcn_dualkernel_seed21_summary.csv
round1,tune_r1_s5_bal_seed21,ModernTCN-small-dualkernel,21,66,FAIL,7,0.693309546527707,acc_main 0.963076 >= 0.963963 failed; acc_turn 0.560522 >= 0.573845 failed; acc_turn_transition 0.490313 >= 0.497765 failed; theta_mae_deg 0.823587 <= 0.689395 failed; stall_recall 0.625 >= 0.66875 failed; theta_edge_p95_abs_err 3.54366 <= 2.80506 failed; false_turn_straight 0.490429 <= 0.433694 failed,0.9630760688506386,0.5605219322598556,0.4903129657228018,0.8235865831375122,0.9603174603174603,0.625,0.9756363636363636,3.5436577796936035,0.49042938437661665,5.583386421203613,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_ablation\exp2_dual_kernel_tune\tune_r1_s5_bal_seed21\modern_tcn_dualkernel_seed21.pt,results\modern_tcn_ablation\exp2_dual_kernel_tune\tune_r1_s5_bal_seed21\modern_tcn_dualkernel_seed21_summary.csv
round2,tune_r2_mainstall035_s7_seed21,ModernTCN-small-dualkernel,21,35,FAIL,7,1.165084957472374,acc_turn 0.557746 >= 0.573845 failed; acc_turn_transition 0.460507 >= 0.497765 failed; theta_mae_deg 0.828046 <= 0.689395 failed; stall_recall 0.614583 >= 0.66875 failed; theta_edge_p95_abs_err 3.83995 <= 2.80506 failed; false_turn_straight 0.452147 <= 0.433694 failed; flat_peak_theta_error 7.6445 <= 5.58574 failed,0.9644641865630206,0.5577456968350916,0.46050670640834573,0.8280457258224487,0.9722222222222222,0.6145833333333334,0.9745454545454545,3.839954137802124,0.4521469218830833,7.644498348236084,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_ablation\exp2_dual_kernel_tune\tune_r2_mainstall035_s7_seed21\modern_tcn_dualkernel_seed21.pt,results\modern_tcn_ablation\exp2_dual_kernel_tune\tune_r2_mainstall035_s7_seed21\modern_tcn_dualkernel_seed21_summary.csv
round2,tune_r2_zero035_s7_seed21,ModernTCN-small-dualkernel,21,42,FAIL,7,1.2448935805480572,acc_turn 0.546641 >= 0.573845 failed; acc_turn_transition 0.482861 >= 0.497765 failed; theta_mae_deg 0.859132 <= 0.689395 failed; stall_recall 0.625 >= 0.66875 failed; theta_edge_p95_abs_err 3.36439 <= 2.80506 failed; false_turn_straight 0.541645 <= 0.433694 failed; flat_peak_theta_error 7.86249 <= 5.58574 failed,0.970294280955025,0.5466407551360355,0.4828614008941878,0.8591318130493164,0.9814814814814815,0.625,0.9792727272727273,3.3643932342529297,0.5416451112260735,7.862486362457275,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_ablation\exp2_dual_kernel_tune\tune_r2_zero035_s7_seed21\modern_tcn_dualkernel_seed21.pt,results\modern_tcn_ablation\exp2_dual_kernel_tune\tune_r2_zero035_s7_seed21\modern_tcn_dualkernel_seed21_summary.csv
round1,tune_r1_scale025_s7_seed21,ModernTCN-small-dualkernel,21,35,FAIL,7,1.4412676832013238,acc_turn 0.55608 >= 0.573845 failed; acc_turn_transition 0.464978 >= 0.497765 failed; theta_mae_deg 0.906892 <= 0.689395 failed; stall_recall 0.614583 >= 0.66875 failed; theta_edge_p95_abs_err 4.84388 <= 2.80506 failed; false_turn_straight 0.471288 <= 0.433694 failed; flat_peak_theta_error 6.33663 <= 5.58574 failed,0.967518045530261,0.5560799555802332,0.46497764530551416,0.9068920612335205,0.9841269841269841,0.6145833333333334,0.9752727272727273,4.843884468078613,0.47128815312984995,6.3366312980651855,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_ablation\exp2_dual_kernel_tune\tune_r1_scale025_s7_seed21\modern_tcn_dualkernel_seed21.pt,results\modern_tcn_ablation\exp2_dual_kernel_tune\tune_r1_scale025_s7_seed21\modern_tcn_dualkernel_seed21_summary.csv
round1,tune_r1_stall_s7_seed21,ModernTCN-small-dualkernel,21,30,FAIL,8,1.5144535786897628,acc_main 0.963631 >= 0.963963 failed; acc_turn 0.548306 >= 0.573845 failed; acc_turn_transition 0.445604 >= 0.497765 failed; theta_mae_deg 0.945203 <= 0.689395 failed; stall_recall 0.625 >= 0.66875 failed; theta_edge_p95_abs_err 3.50454 <= 2.80506 failed; false_turn_straight 0.461976 <= 0.433694 failed; flat_peak_theta_error 9.014 <= 5.58574 failed,0.9636313159355914,0.5483064963908939,0.4456035767511177,0.9452034831047058,0.9695767195767195,0.625,0.9738181818181818,3.504542350769043,0.4619762027935851,9.01400375366211,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_ablation\exp2_dual_kernel_tune\tune_r1_stall_s7_seed21\modern_tcn_dualkernel_seed21.pt,results\modern_tcn_ablation\exp2_dual_kernel_tune\tune_r1_stall_s7_seed21\modern_tcn_dualkernel_seed21_summary.csv
round1,tune_r1_guard_s7_seed21,ModernTCN-small-dualkernel,21,30,FAIL,7,1.5824850577058767,acc_turn 0.567463 >= 0.573845 failed; acc_turn_transition 0.464978 >= 0.497765 failed; theta_mae_deg 0.99998 <= 0.689395 failed; stall_recall 0.625 >= 0.66875 failed; theta_edge_p95_abs_err 3.88086 <= 2.80506 failed; false_turn_straight 0.45939 <= 0.433694 failed; flat_peak_theta_error 8.63994 <= 5.58574 failed,0.9664075513603554,0.5674625208217657,0.46497764530551416,0.9999802112579346,0.9775132275132276,0.625,0.9752727272727273,3.8808560371398926,0.4593895499224004,8.639937400817871,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_ablation\exp2_dual_kernel_tune\tune_r1_guard_s7_seed21\modern_tcn_dualkernel_seed21.pt,results\modern_tcn_ablation\exp2_dual_kernel_tune\tune_r1_guard_s7_seed21\modern_tcn_dualkernel_seed21_summary.csv
round2,tune_r2_scale030_s7_seed21,ModernTCN-small-dualkernel,21,49,FAIL,7,1.817661432359447,acc_turn 0.558023 >= 0.573845 failed; acc_turn_transition 0.464978 >= 0.497765 failed; theta_mae_deg 1.08799 <= 0.689395 failed; stall_recall 0.625 >= 0.66875 failed; theta_edge_p95_abs_err 3.31663 <= 2.80506 failed; false_turn_straight 0.450595 <= 0.433694 failed; flat_peak_theta_error 10.3854 <= 5.58574 failed,0.966129927817879,0.558023320377568,0.46497764530551416,1.0879937410354614,0.9695767195767195,0.625,0.9770909090909091,3.3166253566741943,0.4505949301603725,10.385400772094727,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_ablation\exp2_dual_kernel_tune\tune_r2_scale030_s7_seed21\modern_tcn_dualkernel_seed21.pt,results\modern_tcn_ablation\exp2_dual_kernel_tune\tune_r2_scale030_s7_seed21\modern_tcn_dualkernel_seed21_summary.csv
