artifact_type,path,exists,size_bytes,modified_time,role,readonly_required
directory,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\00_replay_contract_repair,true,NaN,2026-06-22T01:32:31,repair_boundary,true
file,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\00_replay_contract_repair\e2_e5_repair_final_report.md,true,1590,2026-06-22T01:32:31,repair_boundary,true
file,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\00_replay_contract_repair\invalid_evidence_registry.csv,true,4149,2026-06-22T01:32:31,repair_boundary,true
file,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\00_replay_contract_repair\repair_decision.json,true,370,2026-06-22T01:32:31,repair_boundary,true
file,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\00_replay_contract_repair\replay_contract_audit.csv,true,8511,2026-06-22T01:32:31,repair_boundary,true
file,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\00_replay_contract_repair\replay_contract_audit.md,true,3350,2026-06-22T01:32:31,repair_boundary,true
file,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\00_replay_contract_repair\test_replay_manifest.csv,true,304,2026-06-22T01:32:31,repair_boundary,true
file,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\00_replay_contract_repair\test_replay_segments_summary.csv,true,128,2026-06-22T01:32:31,repair_boundary,true
directory,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\02_e2_smooth_fixed,true,NaN,2026-06-22T01:32:31,e2_repair_boundary,true
file,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\02_e2_smooth_fixed\e2_smooth_fixed_decision.json,true,460,2026-06-22T01:32:31,e2_repair_boundary,true
file,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\02_e2_smooth_fixed\e2_smooth_fixed_metrics.csv,true,2,2026-06-22T01:32:31,e2_repair_boundary,true
file,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\02_e2_smooth_fixed\e2_smooth_fixed_summary.md,true,304,2026-06-22T01:32:31,e2_repair_boundary,true
directory,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\05_e5_replay_fixed,true,NaN,2026-06-22T01:32:31,e5_repair_boundary,true
file,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\05_e5_replay_fixed\e5_replay_fixed_decision.json,true,438,2026-06-22T01:32:31,e5_repair_boundary,true
file,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\05_e5_replay_fixed\e5_replay_fixed_metrics.csv,true,2,2026-06-22T01:32:31,e5_repair_boundary,true
file,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\05_e5_replay_fixed\e5_replay_fixed_summary.md,true,273,2026-06-22T01:32:31,e5_repair_boundary,true
directory,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_sci_innovation\00_baseline_lock,true,NaN,2026-06-21T15:08:26,baseline_lock,true
file,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_sci_innovation\00_baseline_lock\baseline_closed_loop_metrics.csv,true,3986,2026-06-21T11:40:40,baseline_lock,true
file,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_sci_innovation\00_baseline_lock\baseline_file_check.csv,true,2600,2026-06-21T15:08:26,baseline_lock,true
file,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_sci_innovation\00_baseline_lock\baseline_lock.md,true,4805,2026-06-21T15:08:26,baseline_lock,true
file,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_sci_innovation\00_baseline_lock\baseline_offline_metrics.csv,true,1083,2026-06-21T11:40:40,baseline_lock,true
file,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_sci_innovation\00_baseline_lock\e0_decision.json,true,7949,2026-06-21T15:08:26,baseline_lock,true
file,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_sci_innovation\00_baseline_lock\feature_names_audit.md,true,1590,2026-06-21T15:08:26,baseline_lock,true
directory,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_sci_innovation\07_ablation_summary,true,NaN,2026-06-21T21:28:49,source_summary,true
file,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_sci_innovation\07_ablation_summary\HANDOFF_NEXT_CHAT.md,true,2216,2026-06-21T21:28:49,source_summary,true
file,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_sci_innovation\07_ablation_summary\negative_result_analysis.md,true,4194,2026-06-21T21:28:49,source_summary,true
file,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_sci_innovation\07_ablation_summary\phase7_decision.json,true,1842,2026-06-21T21:28:49,source_summary,true
file,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_sci_innovation\07_ablation_summary\phase7_preflight.md,true,4479,2026-06-21T21:28:49,source_summary,true
file,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_sci_innovation\07_ablation_summary\phase7_summary.md,true,1993,2026-06-21T21:28:49,source_summary,true
file,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_sci_innovation\07_ablation_summary\sci_innovation_ablation_master_table.csv,true,11888,2026-06-21T21:28:49,source_summary,true
file,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\ModernTCN_metric_rebuild_and_local_optimization_plan_for_CODEX.md,true,36473,2026-06-22T11:05:23,plan_or_evidence,true
