candidate_id,source_phase,run_tag,is_reference_baseline,is_candidate,repair_status,e2_smooth_fixed_status,e5_replay_fixed_status,evidence_validity,actual_method,advisory_only,invalid_reason,repair_required_for_formal_use,original_gate_status,original_promotion_status,notes
baseline_lock,E0_baseline_lock,baseline_lock,true,false,PASS_REFERENCE,NaN,NaN,reference,baseline_lock,false,NaN,NaN,PASS_reference,reference,reference baseline; keep frozen
uncertainty_seed21,E1_loss_optimization,uncertainty_seed21,false,true,HISTORICAL,NaN,NaN,historical_valid,loss_mode=uncertainty_weighting,false,NaN,NaN,PASS_negative_not_eligible,false,historical negative result; no promotable candidate
uncertainty_seed42,E1_loss_optimization,uncertainty_seed42,false,true,HISTORICAL,NaN,NaN,historical_valid,loss_mode=uncertainty_weighting,false,NaN,NaN,PASS_negative_not_eligible,false,historical negative result; no promotable candidate
uncertainty_seed101,E1_loss_optimization,uncertainty_seed101,false,true,HISTORICAL,NaN,NaN,historical_valid,loss_mode=uncertainty_weighting,false,NaN,NaN,PASS_negative_not_eligible,false,historical negative result; no promotable candidate
gradnorm_seed21,E1_loss_optimization,gradnorm_seed21,false,true,HISTORICAL,NaN,NaN,historical_valid,loss_mode=gradnorm,false,NaN,NaN,PASS_negative_not_eligible,false,historical negative result; no promotable candidate
gradnorm_seed42,E1_loss_optimization,gradnorm_seed42,false,true,HISTORICAL,NaN,NaN,historical_valid,loss_mode=gradnorm,false,NaN,NaN,PASS_negative_not_eligible,false,historical negative result; no promotable candidate
gradnorm_seed101,E1_loss_optimization,gradnorm_seed101,false,true,HISTORICAL,NaN,NaN,historical_valid,loss_mode=gradnorm,false,NaN,NaN,PASS_negative_not_eligible,false,historical negative result; no promotable candidate
fs_t05_s05_sm000_seed21,E2_hard_sample_loss,fs_t05_s05_sm000_seed21,false,true,PASS_CONTRACT_LIMITED,not_run_contract_limited,NaN,degraded,hard_sample_focal_only,false,theta_smoothness_claim_invalid_not_run,rerun_with_valid_theta_smoothness_loss_and_replay_capable_order,PASS_negative_not_eligible,false,E2 evidence degraded; hard-sample focal only candidate; smoothness claim invalid_not_run
fs_t02_s02_sm000_seed21,E2_hard_sample_loss,fs_t02_s02_sm000_seed21,false,true,PASS_CONTRACT_LIMITED,not_run_contract_limited,NaN,degraded,hard_sample_focal_only,false,theta_smoothness_claim_invalid_not_run,rerun_with_valid_theta_smoothness_loss_and_replay_capable_order,PASS_negative_not_eligible,false,E2 evidence degraded; hard-sample focal only candidate; smoothness claim invalid_not_run
fs_t02_s05_sm000_seed21,E2_hard_sample_loss,fs_t02_s05_sm000_seed21,false,true,PASS_CONTRACT_LIMITED,not_run_contract_limited,NaN,degraded,hard_sample_focal_only,false,theta_smoothness_claim_invalid_not_run,rerun_with_valid_theta_smoothness_loss_and_replay_capable_order,PASS_negative_not_eligible,false,E2 evidence degraded; hard-sample focal only candidate; smoothness claim invalid_not_run
fs_t05_s02_sm000_seed21,E2_hard_sample_loss,fs_t05_s02_sm000_seed21,false,true,PASS_CONTRACT_LIMITED,not_run_contract_limited,NaN,degraded,hard_sample_focal_only,false,theta_smoothness_claim_invalid_not_run,rerun_with_valid_theta_smoothness_loss_and_replay_capable_order,PASS_negative_not_eligible,false,E2 evidence degraded; hard-sample focal only candidate; smoothness claim invalid_not_run
pg_alpha01_seed21,E3_physics_group_gate,pg_alpha01_seed21,false,true,HISTORICAL,NaN,NaN,historical_valid,physics_group_gate_alpha_init=0.1,false,NaN,NaN,PASS_negative_not_eligible,false,historical negative result; local interpretation did not survive hard protection
pg_alpha0_seed21,E3_physics_group_gate,pg_alpha0_seed21,false,true,HISTORICAL,NaN,NaN,historical_valid,physics_group_gate_alpha_init=0.0,false,NaN,NaN,PASS_negative_not_eligible,false,historical negative result; local interpretation did not survive hard protection
mode_theta_detach_flatreg001_seed21,E4_mode_conditioned_theta,mode_theta_detach_flatreg001_seed21,false,true,HISTORICAL,NaN,NaN,historical_valid,mode_theta_detach_flatreg=0.01,false,NaN,NaN,PASS_negative_not_safe_eligible,false,historical negative result; theta improvement not sufficient for hard protection
mode_theta_detach_flatreg003_seed21,E4_mode_conditioned_theta,mode_theta_detach_flatreg003_seed21,false,true,HISTORICAL,NaN,NaN,historical_valid,mode_theta_detach_flatreg=0.03,false,NaN,NaN,PASS_negative_not_safe_eligible,false,historical negative result; theta improvement not sufficient for hard protection
mode_theta_detach_flatreg000_seed21,E4_mode_conditioned_theta,mode_theta_detach_flatreg000_seed21,false,true,HISTORICAL,NaN,NaN,historical_valid,mode_theta_detach_flatreg=0.0,false,NaN,NaN,PASS_negative_not_safe_eligible,false,historical negative result; theta improvement not sufficient for hard protection
cs_main_c06_d02,E5_confidence_scheduling,cs_main_c06_d02,false,true,PASS_CONTRACT_LIMITED,NaN,not_run_contract_limited,advisory_only,confidence_scheduling_offline_screen,true,non_replay_capable_dataset_run_id_interleaved,create_E5_replay_fixed_on_replay_capable_dataset,PASS_offline_safety_failed,false,E5 advisory only; scheduled metrics excluded from formal J_control/J_smooth_event
cs_mainturn_c06_d01,E5_confidence_scheduling,cs_mainturn_c06_d01,false,true,PASS_CONTRACT_LIMITED,NaN,not_run_contract_limited,advisory_only,confidence_scheduling_offline_screen,true,non_replay_capable_dataset_run_id_interleaved,create_E5_replay_fixed_on_replay_capable_dataset,PASS_offline_safety_failed,false,E5 advisory only; scheduled metrics excluded from formal J_control/J_smooth_event
cs_main_c07_d01,E5_confidence_scheduling,cs_main_c07_d01,false,true,PASS_CONTRACT_LIMITED,NaN,not_run_contract_limited,advisory_only,confidence_scheduling_offline_screen,true,non_replay_capable_dataset_run_id_interleaved,create_E5_replay_fixed_on_replay_capable_dataset,PASS_offline_safety_failed,false,E5 advisory only; scheduled metrics excluded from formal J_control/J_smooth_event
cs_main_c06_d01,E5_confidence_scheduling,cs_main_c06_d01,false,true,PASS_CONTRACT_LIMITED,NaN,not_run_contract_limited,advisory_only,confidence_scheduling_offline_screen,true,non_replay_capable_dataset_run_id_interleaved,create_E5_replay_fixed_on_replay_capable_dataset,PASS_offline_safety_failed,false,E5 advisory only; scheduled metrics excluded from formal J_control/J_smooth_event
rate_limit_only_d01,E5_confidence_scheduling,rate_limit_only_d01,false,true,PASS_CONTRACT_LIMITED,NaN,not_run_contract_limited,advisory_only,confidence_scheduling_offline_screen,true,non_replay_capable_dataset_run_id_interleaved,create_E5_replay_fixed_on_replay_capable_dataset,PASS_offline_safety_failed,false,E5 advisory only; scheduled metrics excluded from formal J_control/J_smooth_event
