artifact,phase,metric_or_claim,validity,reason,allowed_use,replacement_artifact
E:\Matlab\Simulink\S-Function_16\results\modern_tcn_sci_innovation\02_hard_sample_loss\hard_sample_loss_decision.json,E2,theta_smoothness_claim,invalid_not_run,theta_smooth_status=disabled_contract_limited,not allowed for focal_plus_theta_smoothness ranking,results/modern_tcn_metric_rebuild/02_e2_smooth_fixed/e2_smooth_fixed_decision.json
E:\Matlab\Simulink\S-Function_16\results\modern_tcn_sci_innovation\02_hard_sample_loss\hard_sample_loss_decision.json,E2,focal_loss_metrics,valid_focal_only,method_label=hard-sample focal only,focal-only historical ranking,
E:\Matlab\Simulink\S-Function_16\results\modern_tcn_sci_innovation\05_confidence_scheduling\confidence_scheduling_decision.json,E5,theta_sched_mae_deg,advisory_only,scheduled metric is stateful and old replay order is non-contiguous,historical advisory only; exclude from formal J_control/J_smooth_event,results/modern_tcn_metric_rebuild/05_e5_replay_fixed/e5_replay_fixed_decision.json
E:\Matlab\Simulink\S-Function_16\results\modern_tcn_sci_innovation\05_confidence_scheduling\confidence_scheduling_decision.json,E5,theta_sched_flat_peak_error,advisory_only,scheduled metric is stateful and old replay order is non-contiguous,historical advisory only; exclude from formal J_control/J_smooth_event,results/modern_tcn_metric_rebuild/05_e5_replay_fixed/e5_replay_fixed_decision.json
E:\Matlab\Simulink\S-Function_16\results\modern_tcn_sci_innovation\05_confidence_scheduling\confidence_scheduling_decision.json,E5,theta_sched_edge_p95_abs_err,advisory_only,scheduled metric is stateful and old replay order is non-contiguous,historical advisory only; exclude from formal J_control/J_smooth_event,results/modern_tcn_metric_rebuild/05_e5_replay_fixed/e5_replay_fixed_decision.json
E:\Matlab\Simulink\S-Function_16\results\modern_tcn_sci_innovation\05_confidence_scheduling\confidence_scheduling_decision.json,E5,theta_sched_smoothness,advisory_only,scheduled metric is stateful and old replay order is non-contiguous,historical advisory only; exclude from formal J_control/J_smooth_event,results/modern_tcn_metric_rebuild/05_e5_replay_fixed/e5_replay_fixed_decision.json
E:\Matlab\Simulink\S-Function_16\results\modern_tcn_sci_innovation\05_confidence_scheduling\confidence_scheduling_decision.json,E5,theta_sched_step_p95,advisory_only,scheduled metric is stateful and old replay order is non-contiguous,historical advisory only; exclude from formal J_control/J_smooth_event,results/modern_tcn_metric_rebuild/05_e5_replay_fixed/e5_replay_fixed_decision.json
E:\Matlab\Simulink\S-Function_16\results\modern_tcn_sci_innovation\05_confidence_scheduling\confidence_scheduling_decision.json,E5,theta_sched_jump_p95,advisory_only,scheduled metric is stateful and old replay order is non-contiguous,historical advisory only; exclude from formal J_control/J_smooth_event,results/modern_tcn_metric_rebuild/05_e5_replay_fixed/e5_replay_fixed_decision.json
E:\Matlab\Simulink\S-Function_16\results\modern_tcn_sci_innovation\05_confidence_scheduling\confidence_scheduling_decision.json,E5,theta_step,advisory_only,scheduled metric is stateful and old replay order is non-contiguous,historical advisory only; exclude from formal J_control/J_smooth_event,results/modern_tcn_metric_rebuild/05_e5_replay_fixed/e5_replay_fixed_decision.json
E:\Matlab\Simulink\S-Function_16\results\modern_tcn_sci_innovation\05_confidence_scheduling\confidence_scheduling_decision.json,E5,theta_jump,advisory_only,scheduled metric is stateful and old replay order is non-contiguous,historical advisory only; exclude from formal J_control/J_smooth_event,results/modern_tcn_metric_rebuild/05_e5_replay_fixed/e5_replay_fixed_decision.json
E:\Matlab\Simulink\S-Function_16\results\modern_tcn_sci_innovation\05_confidence_scheduling\baseline_prediction_cache_meta.json,E5,raw_baseline_order_independent_metrics,valid_if_regression_passed,raw baseline metrics do not depend on scheduled state order,baseline reference only after regression check,results/modern_tcn_metric_rebuild/00_replay_contract_repair/baseline_replay_metrics.csv
