split,field_name,exists,source_file,source_dataset,repair_needed,metadata_level,notes
train,sample_id,False,E:\Matlab\Simulink\S-Function_16\data\tcn\ModernTCN_dataset_agv_dualsteer_theta10_uniform_conf_h0_v5_plantfix_passive17_plus_all5.mat,,True,level0_invalid,missing from current dataset contract
train,run_id,True,E:\Matlab\Simulink\S-Function_16\data\tcn\ModernTCN_dataset_agv_dualsteer_theta10_uniform_conf_h0_v5_plantfix_passive17_plus_all5.mat,dataset/run_id_train,False,level0_invalid,per-window split field
train,segment_id,False,E:\Matlab\Simulink\S-Function_16\data\tcn\ModernTCN_dataset_agv_dualsteer_theta10_uniform_conf_h0_v5_plantfix_passive17_plus_all5.mat,,True,level0_invalid,missing from current dataset contract
train,window_start_idx,False,E:\Matlab\Simulink\S-Function_16\data\tcn\ModernTCN_dataset_agv_dualsteer_theta10_uniform_conf_h0_v5_plantfix_passive17_plus_all5.mat,,True,level0_invalid,missing from current dataset contract
train,window_end_idx,False,E:\Matlab\Simulink\S-Function_16\data\tcn\ModernTCN_dataset_agv_dualsteer_theta10_uniform_conf_h0_v5_plantfix_passive17_plus_all5.mat,,True,level0_invalid,missing from current dataset contract
train,global_time_idx,False,E:\Matlab\Simulink\S-Function_16\data\tcn\ModernTCN_dataset_agv_dualsteer_theta10_uniform_conf_h0_v5_plantfix_passive17_plus_all5.mat,,True,level0_invalid,missing from current dataset contract
train,sample_time,False,E:\Matlab\Simulink\S-Function_16\data\tcn\ModernTCN_dataset_agv_dualsteer_theta10_uniform_conf_h0_v5_plantfix_passive17_plus_all5.mat,,True,level0_invalid,missing from current dataset contract
train,split,False,E:\Matlab\Simulink\S-Function_16\data\tcn\ModernTCN_dataset_agv_dualsteer_theta10_uniform_conf_h0_v5_plantfix_passive17_plus_all5.mat,,True,level0_invalid,"split is implicit in *_train/val/test arrays, not stored as per-window metadata"
train,path_id,False,E:\Matlab\Simulink\S-Function_16\data\tcn\ModernTCN_dataset_agv_dualsteer_theta10_uniform_conf_h0_v5_plantfix_passive17_plus_all5.mat,dataset/run_table/path_file,True,level0_invalid,"run-level source exists, but no per-window replay metadata links it safely"
train,scenario_id,False,E:\Matlab\Simulink\S-Function_16\data\tcn\ModernTCN_dataset_agv_dualsteer_theta10_uniform_conf_h0_v5_plantfix_passive17_plus_all5.mat,dataset/run_table/scene,True,level0_invalid,"run-level source exists, but no per-window replay metadata links it safely"
train,label_time_policy,True,E:\Matlab\Simulink\S-Function_16\data\tcn\ModernTCN_dataset_agv_dualsteer_theta10_uniform_conf_h0_v5_plantfix_passive17_plus_all5.mat,dataset/meta/label_time_policy,False,level0_invalid,dataset-level contract field
train,is_contiguous_next,False,E:\Matlab\Simulink\S-Function_16\data\tcn\ModernTCN_dataset_agv_dualsteer_theta10_uniform_conf_h0_v5_plantfix_passive17_plus_all5.mat,,True,level0_invalid,missing from current dataset contract
val,sample_id,False,E:\Matlab\Simulink\S-Function_16\data\tcn\ModernTCN_dataset_agv_dualsteer_theta10_uniform_conf_h0_v5_plantfix_passive17_plus_all5.mat,,True,level0_invalid,missing from current dataset contract
val,run_id,True,E:\Matlab\Simulink\S-Function_16\data\tcn\ModernTCN_dataset_agv_dualsteer_theta10_uniform_conf_h0_v5_plantfix_passive17_plus_all5.mat,dataset/run_id_val,False,level0_invalid,per-window split field
