candidate_id,source_phase,run_tag,model_family,loss_mode,checkpoint_path_if_available,has_offline_metrics,has_closed_loop_metrics,has_onnx,has_matlab,original_gate_status,original_promotion_status,notes,evidence_validity,actual_method,smoothness_loss_valid,scheduling_replay_valid,advisory_only,invalid_reason,repair_required_for_formal_use,is_reference_baseline,is_candidate,repair_status,e2_smooth_fixed_status,e5_replay_fixed_status,metric_missing_ratio,required_offline_metrics_available,hard_protection_metrics_not_unavailable,final_proxy_rank,rank_spread_v0_v3,sensitivity_dependent
baseline_lock,E0_baseline_lock,baseline_lock,ModernTCN_small,frozen_ModernTCN_small_baseline,E:\Matlab\Simulink\S-Function_16\results\paper\agv_model_parameter_correction_workflow\08_models\modern_tcn\modern_tcn_v5_plantfix_turn_l020_tt25_tcm14_stw055_slrw060_seed101\modern_tcn_seed101.pt,true,true,true,false,PASS_reference,reference,reference baseline; keep frozen,reference,baseline_lock,not_applicable,not_applicable,false,NaN,NaN,true,false,PASS_REFERENCE,NaN,NaN,0,true,true,NaN,NaN,false
uncertainty_seed21,E1_loss_optimization,uncertainty_seed21,ModernTCN_small,loss_mode=uncertainty_weighting,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_sci_innovation\01_loss_optimization\uncertainty_seed21\modern_tcn_seed21.pt,true,false,false,false,PASS_negative_not_eligible,false,historical negative result; no promotable candidate,historical_valid,loss_mode=uncertainty_weighting,not_applicable,not_applicable,false,NaN,NaN,false,true,HISTORICAL,NaN,NaN,0,true,true,10,1,false
uncertainty_seed42,E1_loss_optimization,uncertainty_seed42,ModernTCN_small,loss_mode=uncertainty_weighting,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_sci_innovation\01_loss_optimization\uncertainty_seed42\modern_tcn_seed42.pt,true,false,false,false,PASS_negative_not_eligible,false,historical negative result; no promotable candidate,historical_valid,loss_mode=uncertainty_weighting,not_applicable,not_applicable,false,NaN,NaN,false,true,HISTORICAL,NaN,NaN,0,true,true,9,1,false
uncertainty_seed101,E1_loss_optimization,uncertainty_seed101,ModernTCN_small,loss_mode=uncertainty_weighting,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_sci_innovation\01_loss_optimization\uncertainty_seed101\modern_tcn_seed101.pt,true,false,false,false,PASS_negative_not_eligible,false,historical negative result; no promotable candidate,historical_valid,loss_mode=uncertainty_weighting,not_applicable,not_applicable,false,NaN,NaN,false,true,HISTORICAL,NaN,NaN,0,true,true,1,0,false
gradnorm_seed21,E1_loss_optimization,gradnorm_seed21,ModernTCN_small,loss_mode=gradnorm,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_sci_innovation\01_loss_optimization\gradnorm_seed21\modern_tcn_seed21.pt,true,false,false,false,PASS_negative_not_eligible,false,historical negative result; no promotable candidate,historical_valid,loss_mode=gradnorm,not_applicable,not_applicable,false,NaN,NaN,false,true,HISTORICAL,NaN,NaN,0,true,true,14,1,false
gradnorm_seed42,E1_loss_optimization,gradnorm_seed42,ModernTCN_small,loss_mode=gradnorm,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_sci_innovation\01_loss_optimization\gradnorm_seed42\modern_tcn_seed42.pt,true,false,false,false,PASS_negative_not_eligible,false,historical negative result; no promotable candidate,historical_valid,loss_mode=gradnorm,not_applicable,not_applicable,false,NaN,NaN,false,true,HISTORICAL,NaN,NaN,0,true,true,4,1,false
gradnorm_seed101,E1_loss_optimization,gradnorm_seed101,ModernTCN_small,loss_mode=gradnorm,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_sci_innovation\01_loss_optimization\gradnorm_seed101\modern_tcn_seed101.pt,true,false,false,false,PASS_negative_not_eligible,false,historical negative result; no promotable candidate,historical_valid,loss_mode=gradnorm,not_applicable,not_applicable,false,NaN,NaN,false,true,HISTORICAL,NaN,NaN,0,true,true,6,0,false
fs_t05_s05_sm000_seed21,E2_hard_sample_loss,fs_t05_s05_sm000_seed21,ModernTCN_small,transition_focal=0.5;stall_focal=0.5,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_sci_innovation\02_hard_sample_loss\fs_t05_s05_sm000_seed21\modern_tcn_seed21.pt,true,false,false,false,PASS_negative_not_eligible,false,E2 evidence degraded; hard-sample focal only candidate; smoothness claim invalid_not_run,degraded,hard_sample_focal_only,false,not_applicable,false,theta_smoothness_claim_invalid_not_run,rerun_with_valid_theta_smoothness_loss_and_replay_capable_order,false,true,PASS_CONTRACT_LIMITED,not_run_contract_limited,NaN,0,true,true,11,0,false
fs_t02_s02_sm000_seed21,E2_hard_sample_loss,fs_t02_s02_sm000_seed21,ModernTCN_small,transition_focal=0.2;stall_focal=0.2,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_sci_innovation\02_hard_sample_loss\fs_t02_s02_sm000_seed21\modern_tcn_seed21.pt,true,false,false,false,PASS_negative_not_eligible,false,E2 evidence degraded; hard-sample focal only candidate; smoothness claim invalid_not_run,degraded,hard_sample_focal_only,false,not_applicable,false,theta_smoothness_claim_invalid_not_run,rerun_with_valid_theta_smoothness_loss_and_replay_capable_order,false,true,PASS_CONTRACT_LIMITED,not_run_contract_limited,NaN,0,true,true,12,0,false
fs_t02_s05_sm000_seed21,E2_hard_sample_loss,fs_t02_s05_sm000_seed21,ModernTCN_small,transition_focal=0.2;stall_focal=0.5,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_sci_innovation\02_hard_sample_loss\fs_t02_s05_sm000_seed21\modern_tcn_seed21.pt,true,false,false,false,PASS_negative_not_eligible,false,E2 evidence degraded; hard-sample focal only candidate; smoothness claim invalid_not_run,degraded,hard_sample_focal_only,false,not_applicable,false,theta_smoothness_claim_invalid_not_run,rerun_with_valid_theta_smoothness_loss_and_replay_capable_order,false,true,PASS_CONTRACT_LIMITED,not_run_contract_limited,NaN,0,true,true,13,0,false
