sample_id,run_id_if_available,main_true,main_pred,turn_true,turn_pred,theta_true_deg,theta_pred_deg,theta_abs_err_deg,is_main_error,is_turn_error,is_transition_window,is_stall,is_slope,is_flat,is_theta_edge,is_flat_peak,main_conf,turn_conf,theta_error_rank,input_feature_stats
test_02532,27,1,1,0,0,-6.75,1.85067427158356,8.60067462921143,false,false,false,true,false,false,false,false,0.975927069911786,0.935789152143687,1,"{""gyro_z_mean"":0.2730201780796051,""gyro_z_rms"":0.2730201780796051,""I_sum_mean"":-1.7300809677690268,""I_sum_rms"":1.730115365624868,""I_diff_abs_mean"":-0.12992538511753082,""I_diff_abs_rms"":0.12992538511753082,""v_hat_mean"":-0.5960792195983231,""v_hat_rms"":0.5960792320895251,""kappa_proxy_mean"":0.2038741260766983,""kappa_proxy_rms"":0.2038741260766983,""drive_load_proxy_mean"":-0.09529348061187193,""drive_load_proxy_rms"":0.09555176744951661,""yaw_consistency_error_mean"":-0.25675931572914124,""yaw_consistency_error_rms"":0.25675931572914124}"
test_00026,27,1,1,0,0,-6.75,1.72851192951202,8.47851181030273,false,false,false,true,false,false,false,false,0.994482930762517,0.932860117511344,2,"{""gyro_z_mean"":0.2730201780796051,""gyro_z_rms"":0.2730201780796051,""I_sum_mean"":-1.7444452177733183,""I_sum_rms"":1.744897533058356,""I_diff_abs_mean"":-0.12992538511753082,""I_diff_abs_rms"":0.12992538511753082,""v_hat_mean"":-0.5958982198499143,""v_hat_rms"":0.5958984522068433,""kappa_proxy_mean"":0.2038741260766983,""kappa_proxy_rms"":0.2038741260766983,""drive_load_proxy_mean"":-0.1016042105620727,""drive_load_proxy_rms"":0.10434534145697588,""yaw_consistency_error_mean"":-0.25675931572914124,""yaw_consistency_error_rms"":0.25675931572914124}"
test_00737,27,1,1,0,0,-6.75,1.62051725387573,8.37051773071289,false,false,false,true,false,false,false,false,0.999815261146032,0.993615518448254,3,"{""gyro_z_mean"":0.2730201780796051,""gyro_z_rms"":0.2730201780796051,""I_sum_mean"":-1.723875842988491,""I_sum_rms"":1.7270316655115343,""I_diff_abs_mean"":-0.12992538511753082,""I_diff_abs_rms"":0.12992538511753082,""v_hat_mean"":-0.5951295578852296,""v_hat_rms"":0.5951336294191211,""kappa_proxy_mean"":0.2038741260766983,""kappa_proxy_rms"":0.2038741260766983,""drive_load_proxy_mean"":-0.13740692473948002,""drive_load_proxy_rms"":0.17413381186303223,""yaw_consistency_error_mean"":-0.25675931572914124,""yaw_consistency_error_rms"":0.25675931572914124}"
test_02436,27,1,1,0,0,-6.75,1.30675458908081,8.05675506591797,false,false,false,true,false,false,false,false,0.999650197459848,0.99995030197346,4,"{""gyro_z_mean"":0.2730201780796051,""gyro_z_rms"":0.2730201780796051,""I_sum_mean"":-1.6086687240749598,""I_sum_rms"":1.6408186110214984,""I_diff_abs_mean"":-0.12992538511753082,""I_diff_abs_rms"":0.12992538511753082,""v_hat_mean"":-0.5929556898772717,""v_hat_rms"":0.5929844866593342,""kappa_proxy_mean"":0.2038741260766983,""kappa_proxy_rms"":0.2038741260766983,""drive_load_proxy_mean"":-0.22752096253680065,""drive_load_proxy_rms"":0.33684692384225856,""yaw_consistency_error_mean"":-0.25675931572914124,""yaw_consistency_error_rms"":0.25675931572914124}"
test_01367,3,1,0,1,0,-6.49999952316284,1.43110156059265,7.93110084533691,true,true,true,true,false,false,false,false,0.999972460029036,0.577198106758715,5,"{""gyro_z_mean"":-0.9292838633991778,""gyro_z_rms"":1.2148903524687096,""I_sum_mean"":-1.6456460983026773,""I_sum_rms"":1.7086355540229337,""I_diff_abs_mean"":-0.07584804721409455,""I_diff_abs_rms"":0.3754964383197373,""v_hat_mean"":-0.14514783606864512,""v_hat_rms"":0.14826860820935694,""kappa_proxy_mean"":-1.2586044094059616,""kappa_proxy_rms"":1.5088281979195657,""drive_load_proxy_mean"":-0.026920180494471424,""drive_load_proxy_rms"":0.3009735657814995,""yaw_consistency_error_mean"":1.4049890538444743,""yaw_consistency_error_rms"":1.7328054514764888}"
test_02673,3,1,2,-1,-1,1.5,9.2295503616333,7.7295503616333,true,false,false,true,false,false,false,false,0.999968186053992,0.500728659824868,6,"{""gyro_z_mean"":0.18195792468031868,""gyro_z_rms"":0.19975311487896172,""I_sum_mean"":0.2871027959045023,""I_sum_rms"":0.30017676103590807,""I_diff_abs_mean"":0.5130186009919271,""I_diff_abs_rms"":1.3015329929138537,""v_hat_mean"":-0.5545253329910338,""v_hat_rms"":0.554529484377026,""kappa_proxy_mean"":-0.2265473777315492,""kappa_proxy_rms"":0.4084695246001554,""drive_load_proxy_mean"":0.8185576163232327,""drive_load_proxy_rms"":0.825211459800341,""yaw_consistency_error_mean"":-0.1517495572043117,""yaw_consistency_error_rms"":0.17112609187887912}"
test_01117,3,1,0,1,0,-6.49999952316284,1.1866614818573,7.68666076660156,true,true,false,true,false,false,false,false,0.998286833152415,0.589169963810198,7,"{""gyro_z_mean"":-1.2585320572252385,""gyro_z_rms"":1.5364133300936904,""I_sum_mean"":-1.4890518447864451,""I_sum_rms"":1.6498571427987747,""I_diff_abs_mean"":0.15377336571691558,""I_diff_abs_rms"":0.5896590936220879,""v_hat_mean"":-0.12847476669412572,""v_hat_rms"":0.1356692168958941,""kappa_proxy_mean"":-1.5642343636136502,""kappa_proxy_rms"":1.7706243198911789,""drive_load_proxy_mean"":-0.21858447471777254,""drive_load_proxy_rms"":0.5104796354924664,""yaw_consistency_error_mean"":1.801922760438174,""yaw_consistency_error_rms"":2.091693140154657}"
test_01028,3,1,2,-1,-1,1.5,9.11080360412598,7.61080360412598,true,false,false,true,false,false,false,false,0.999991707309664,0.949489613479893,8,"{""gyro_z_mean"":0.19611915101995692,""gyro_z_rms"":0.20842422364070573,""I_sum_mean"":0.29469032504130155,""I_sum_rms"":0.30472402946479926,""I_diff_abs_mean"":0.40949521015863866,""I_diff_abs_rms"":1.321489145368313,""v_hat_mean"":-0.5545853874646127,""v_hat_rms"":0.5545895291001272,""kappa_proxy_mean"":-0.1532813321446156,""kappa_proxy_rms"":0.34365145982430545,""drive_load_proxy_mean"":0.8120712405070662,""drive_load_proxy_rms"":0.8188046418178359,""yaw_consistency_error_mean"":-0.1707096975587774,""yaw_consistency_error_rms"":0.1864893894732747}"
test_02294,3,1,2,-1,-1,1.5,9.08061218261719,7.58061218261719,true,false,false,true,false,false,false,false,0.999992153369177,0.964967196686364,9,"{""gyro_z_mean"":0.20223537139827386,""gyro_z_rms"":0.21123758122287717,""I_sum_mean"":0.3068944583646953,""I_sum_rms"":0.31266801221055796,""I_diff_abs_mean"":0.25937632471323013,""I_diff_abs_rms"":1.3512453975283447,""v_hat_mean"":-0.5545425908640027,""v_hat_rms"":0.5545466289372876,""kappa_proxy_mean"":-0.11019422128993028,""kappa_proxy_rms"":0.2782709038377117,""drive_load_proxy_mean"":0.8087241216562688,""drive_load_proxy_rms"":0.8149488713216031,""yaw_consistency_error_mean"":-0.1831202048342675,""yaw_consistency_error_rms"":0.1935263889656228}"
test_02180,27,1,1,0,0,-6.75,0.663442611694336,7.41344261169434,false,false,false,true,false,false,false,false,0.999970116095864,0.999973596573663,10,"{""gyro_z_mean"":0.2730201780796051,""gyro_z_rms"":0.2730201780796051,""I_sum_mean"":-1.4882510490715504,""I_sum_rms"":1.546873810459109,""I_diff_abs_mean"":-0.12992538511753082,""I_diff_abs_rms"":0.12992538511753082,""v_hat_mean"":-0.5906207407824695,""v_hat_rms"":0.5906693774673922,""kappa_proxy_mean"":0.2038741260766983,""kappa_proxy_rms"":0.2038741260766983,""drive_load_proxy_mean"":-0.3210351982852444,""drive_load_proxy_rms"":0.4486293816316237,""yaw_consistency_error_mean"":-0.25675931572914124,""yaw_consistency_error_rms"":0.25675931572914124}"
