run_id,description,seed101_run_tag,seed21_run_tag,seed42_run_tag,overrides_json
u01_lwlr0003,loss_weight_lr=0.0003,u01_lwlr0003_seed101,u01_lwlr0003_seed21,u01_lwlr0003_seed42,"{""loss_weight_lr"": 0.0003}"
u02_lwlr0006,loss_weight_lr=0.0006,u02_lwlr0006_seed101,u02_lwlr0006_seed21,u02_lwlr0006_seed42,"{""loss_weight_lr"": 0.0006}"
u03_lwlr0015,loss_weight_lr=0.0015,u03_lwlr0015_seed101,u03_lwlr0015_seed21,u03_lwlr0015_seed42,"{""loss_weight_lr"": 0.0015}"
u04_lwlr0030,loss_weight_lr=0.0030,u04_lwlr0030_seed101,u04_lwlr0030_seed21,u04_lwlr0030_seed42,"{""loss_weight_lr"": 0.003}"
u05_lr0007,lr=0.0007,u05_lr0007_seed101,u05_lr0007_seed21,u05_lr0007_seed42,"{""lr"": 0.0007}"
u06_lr0013,lr=0.0013,u06_lr0013_seed101,u06_lr0013_seed21,u06_lr0013_seed42,"{""lr"": 0.0013}"
u07_lturn016,lambda_turn=0.16,u07_lturn016_seed101,u07_lturn016_seed21,u07_lturn016_seed42,"{""lambda_turn"": 0.16}"
u08_lturn024,lambda_turn=0.24,u08_lturn024_seed101,u08_lturn024_seed21,u08_lturn024_seed42,"{""lambda_turn"": 0.24}"
u09_lturn030,lambda_turn=0.30,u09_lturn030_seed101,u09_lturn030_seed21,u09_lturn030_seed42,"{""lambda_turn"": 0.3}"
u10_tt20,turn_transition_weight=2.0,u10_tt20_seed101,u10_tt20_seed21,u10_tt20_seed42,"{""turn_transition_weight"": 2.0}"
u11_tt30,turn_transition_weight=3.0,u11_tt30_seed101,u11_tt30_seed21,u11_tt30_seed42,"{""turn_transition_weight"": 3.0}"
u12_tt35,turn_transition_weight=3.5,u12_tt35_seed101,u12_tt35_seed21,u12_tt35_seed42,"{""turn_transition_weight"": 3.5}"
u13_mainneg16,main_neg_slope_weight=1.6,u13_mainneg16_seed101,u13_mainneg16_seed21,u13_mainneg16_seed42,"{""main_neg_slope_weight"": 1.6}"
u14_mainneg24,main_neg_slope_weight=2.4,u14_mainneg24_seed101,u14_mainneg24_seed21,u14_mainneg24_seed42,"{""main_neg_slope_weight"": 2.4}"
u15_mainneg28,main_neg_slope_weight=2.8,u15_mainneg28_seed101,u15_mainneg28_seed21,u15_mainneg28_seed42,"{""main_neg_slope_weight"": 2.8}"
u16_ltheta045,lambda_theta=0.45,u16_ltheta045_seed101,u16_ltheta045_seed21,u16_ltheta045_seed42,"{""lambda_theta"": 0.45}"
u17_ltheta050,lambda_theta=0.50,u17_ltheta050_seed101,u17_ltheta050_seed21,u17_ltheta050_seed42,"{""lambda_theta"": 0.5}"
u18_ltheta065,lambda_theta=0.65,u18_ltheta065_seed101,u18_ltheta065_seed21,u18_ltheta065_seed42,"{""lambda_theta"": 0.65}"
u19_tflat008,lambda_theta_flat=0.08,u19_tflat008_seed101,u19_tflat008_seed21,u19_tflat008_seed42,"{""lambda_theta_flat"": 0.08}"
u20_tflat016,lambda_theta_flat=0.16,u20_tflat016_seed101,u20_tflat016_seed21,u20_tflat016_seed42,"{""lambda_theta_flat"": 0.16}"
u21_edge_select,theta edge selection emphasis,u21_edge_select_seed101,u21_edge_select_seed21,u21_edge_select_seed42,"{""select_theta_edge_p95_target_deg"": 1.2, ""select_theta_edge_p95_weight"": 1.0}"
u22_flat_select,flat theta selection emphasis,u22_flat_select_seed101,u22_flat_select_seed21,u22_flat_select_seed42,"{""select_theta_flat_bias_target_deg"": 0.1, ""select_theta_flat_bias_weight"": 0.45, ""select_theta_flat_p95_target_deg"": 0.6, ""select_theta_flat_p95_weight"": 0.55}"
u23_turn_protect_mix,turn protection mix,u23_turn_protect_mix_seed101,u23_turn_protect_mix_seed21,u23_turn_protect_mix_seed42,"{""lambda_turn"": 0.24, ""loss_weight_lr"": 0.0006, ""main_neg_slope_weight"": 2.4, ""turn_transition_weight"": 3.0}"
u24_control_theta_mix,control theta mix,u24_control_theta_mix_seed101,u24_control_theta_mix_seed21,u24_control_theta_mix_seed42,"{""lambda_theta"": 0.5, ""lambda_theta_flat"": 0.1, ""loss_weight_lr"": 0.0006, ""select_theta_edge_p95_target_deg"": 1.2, ""select_theta_edge_p95_weight"": 1.0}"
