run_id,seed,run_tag,status,run_dir,returncode
u01_lwlr0003,101,u01_lwlr0003_seed101,ok,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\11_uncertainty_tuning\01_seed101_search\u01_lwlr0003_seed101,0
u02_lwlr0006,101,u02_lwlr0006_seed101,ok,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\11_uncertainty_tuning\01_seed101_search\u02_lwlr0006_seed101,0
u03_lwlr0015,101,u03_lwlr0015_seed101,ok,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\11_uncertainty_tuning\01_seed101_search\u03_lwlr0015_seed101,0
u04_lwlr0030,101,u04_lwlr0030_seed101,ok,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\11_uncertainty_tuning\01_seed101_search\u04_lwlr0030_seed101,0
u05_lr0007,101,u05_lr0007_seed101,ok,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\11_uncertainty_tuning\01_seed101_search\u05_lr0007_seed101,0
u06_lr0013,101,u06_lr0013_seed101,ok,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\11_uncertainty_tuning\01_seed101_search\u06_lr0013_seed101,0
u07_lturn016,101,u07_lturn016_seed101,ok,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\11_uncertainty_tuning\01_seed101_search\u07_lturn016_seed101,0
u08_lturn024,101,u08_lturn024_seed101,ok,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\11_uncertainty_tuning\01_seed101_search\u08_lturn024_seed101,0
u09_lturn030,101,u09_lturn030_seed101,ok,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\11_uncertainty_tuning\01_seed101_search\u09_lturn030_seed101,0
u10_tt20,101,u10_tt20_seed101,ok,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\11_uncertainty_tuning\01_seed101_search\u10_tt20_seed101,0
u11_tt30,101,u11_tt30_seed101,ok,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\11_uncertainty_tuning\01_seed101_search\u11_tt30_seed101,0
u12_tt35,101,u12_tt35_seed101,ok,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\11_uncertainty_tuning\01_seed101_search\u12_tt35_seed101,0
u13_mainneg16,101,u13_mainneg16_seed101,ok,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\11_uncertainty_tuning\01_seed101_search\u13_mainneg16_seed101,0
u14_mainneg24,101,u14_mainneg24_seed101,ok,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\11_uncertainty_tuning\01_seed101_search\u14_mainneg24_seed101,0
u15_mainneg28,101,u15_mainneg28_seed101,ok,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\11_uncertainty_tuning\01_seed101_search\u15_mainneg28_seed101,0
u16_ltheta045,101,u16_ltheta045_seed101,ok,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\11_uncertainty_tuning\01_seed101_search\u16_ltheta045_seed101,0
u17_ltheta050,101,u17_ltheta050_seed101,ok,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\11_uncertainty_tuning\01_seed101_search\u17_ltheta050_seed101,0
u18_ltheta065,101,u18_ltheta065_seed101,ok,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\11_uncertainty_tuning\01_seed101_search\u18_ltheta065_seed101,0
u19_tflat008,101,u19_tflat008_seed101,ok,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\11_uncertainty_tuning\01_seed101_search\u19_tflat008_seed101,0
u20_tflat016,101,u20_tflat016_seed101,ok,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\11_uncertainty_tuning\01_seed101_search\u20_tflat016_seed101,0
u21_edge_select,101,u21_edge_select_seed101,ok,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\11_uncertainty_tuning\01_seed101_search\u21_edge_select_seed101,0
u22_flat_select,101,u22_flat_select_seed101,ok,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\11_uncertainty_tuning\01_seed101_search\u22_flat_select_seed101,0
u23_turn_protect_mix,101,u23_turn_protect_mix_seed101,ok,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\11_uncertainty_tuning\01_seed101_search\u23_turn_protect_mix_seed101,0
u24_control_theta_mix,101,u24_control_theta_mix_seed101,ok,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\11_uncertainty_tuning\01_seed101_search\u24_control_theta_mix_seed101,0
