epoch,lr,loss_mode,train_loss,train_loss_fixed_total,train_loss_main,train_loss_turn,train_loss_theta,train_loss_main_base,train_loss_turn_base,train_loss_theta_base,train_loss_main_raw,train_loss_turn_raw,train_loss_theta_raw,train_loss_transition_focal_raw,train_loss_transition_focal_weighted,train_loss_stall_focal_raw,train_loss_stall_focal_weighted,train_loss_theta_smooth,train_loss_flat_theta_expert_reg,train_loss_flat_theta_expert_reg_weighted,val_loss,val_loss_main,val_loss_turn,val_loss_theta,val_loss_main_base,val_loss_turn_base,val_loss_theta_base,val_loss_main_raw,val_loss_turn_raw,val_loss_theta_raw,val_loss_transition_focal_raw,val_loss_transition_focal_weighted,val_loss_stall_focal_raw,val_loss_stall_focal_weighted,val_loss_theta_smooth,val_loss_flat_theta_expert_reg,val_loss_flat_theta_expert_reg_weighted,val_score,val_acc_main,val_acc_turn,val_main_confidence_mean,val_turn_confidence_mean,val_main_low_conf_0p60_ratio,val_turn_low_conf_0p60_ratio,val_turn_left_recall,val_turn_right_recall,val_acc_turn_transition,val_theta_mae_deg,val_theta_abs_le_10_p95_abs_err_deg,val_theta_neg_10_8_p95_abs_err_deg,val_theta_pos_8_10_p95_abs_err_deg,val_theta_abs_le_8_p95_abs_err_deg,val_theta_neg_8_6_p95_abs_err_deg,val_theta_pos_6_8_p95_abs_err_deg,val_theta_neg_2_0p5_p95_abs_err_deg,val_theta_pos_0p5_2_p95_abs_err_deg,val_theta_flat_abs_p95_deg,val_theta_flat_bias_deg,val_theta_near_flat_abs_p95_deg,val_theta_true_zero_abs_p95_deg,val_flat_recall,val_stall_recall,val_slope_recall,val_flat_as_stall_ratio,val_stall_as_flat_ratio,val_cm_main,val_cm_turn,s_main,s_turn,s_theta,weight_main,weight_turn,weight_theta,task_weight_main,task_weight_turn,task_weight_theta,initial_loss_main,initial_loss_turn,initial_loss_theta,grad_norm_main,grad_norm_turn,grad_norm_theta,gradnorm_loss,gradnorm_unstable
1,0.0009998741174712534,uncertainty_weighting,0.9126406745654181,1.9077585587823764,0.6798353265616874,0.24714017850592246,0.026903778964837182,0.6798353265616874,0.24714017850592246,0.026903778964837182,0.6798353265616874,1.0297507686395453,0.03064841073661343,0.5201059692953465,0.0,1.592957383455905,0.0,0.0,0.0,0.0,0.7662772509500042,0.5170177057244297,0.24546792947149082,0.0037916145177812636,0.5170177057244297,0.24546792947149082,0.0037916145177812636,0.5170177057244297,1.022783060244843,0.005013008986842971,0.5236602807883803,0.0,3.0942769815860487,0.0,0.0,0.0,0.0,8.55441766243949,0.8032476319350473,0.39539918809201624,0.7761239869978601,0.4880888428345589,0.13910690121786198,0.8075778078484438,0.6817691477885652,0.6078199052132701,0.3136645962732919,2.9320905208587646,8.245652198791504,10.454352378845215,7.066740036010742,8.146899223327637,10.275614738464355,6.841281890869141,5.580728054046631,9.112492561340332,8.184962272644043,0.5754774212837219,9.552326202392578,nan,0.3409436834094368,0.047619047619047616,0.9152202937249666,0.0,0.023809523809523808,"[[224, 0, 433], [1, 2, 39], [253, 1, 2742]]","[[513, 30, 301], [845, 316, 763], [271, 24, 632]]",-0.043757252395153046,-0.039110295474529266,-0.03979272022843361,1.0447287559509277,1.03988516330719,1.0405950546264648,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2,0.0009994965332706573,uncertainty_weighting,0.4959997556460402,1.2805507422229168,0.4012517730130554,0.23372923702017798,0.005294362185258657,0.4012517730130554,0.23372923702017798,0.005294362185258657,0.4012517730130554,0.973871847319512,0.006527165323236679,0.5262305546592285,0.0,1.0121223937454789,0.0,0.0,0.0,0.0,0.6091407961548585,0.36735943928461756,0.2382169799286877,0.0035643828897932305,0.36735943928461756,0.2382169799286877,0.0035643828897932305,0.36735943928461756,0.9925707752552988,0.0045403515369315025,0.5391898528971434,0.0,2.541825959050123,0.0,0.0,0.0,0.0,7.050196349976486,0.8768606224627875,0.4435723951285521,0.8244631105885653,0.5212524817882175,0.1358592692828146,0.7472259810554803,0.6019417475728155,0.7156398104265402,0.30434782608695654,2.9699862003326416,7.790015697479248,9.3284330368042,8.1488676071167,7.563553810119629,8.181624412536621,8.974803924560547,7.825221538543701,6.609870910644531,6.584507465362549,0.7613508105278015,6.620863437652588,nan,0.8082191780821918,0.23809523809523808,0.9008678237650201,0.0,0.2619047619047619,"[[531, 0, 126], [11, 10, 21], [221, 76, 2699]]","[[604, 61, 179], [861, 477, 586], [322, 47, 558]]",-0.09551095217466354,-0.07824691385030746,-0.07929597049951553,1.100220799446106,1.0813896656036377,1.0825246572494507,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,0.000998867437523228,uncertainty_weighting,0.21523848680490965,0.9545625357858946,0.2472000052689626,0.22589979845672348,0.004181462006312783,0.2472000052689626,0.22589979845672348,0.004181462006312783,0.2472000052689626,0.941249179244366,0.005334613382753434,0.526090544567501,0.0,0.6741125347334241,0.0,0.0,0.0,0.0,0.5132288722127313,0.27140089030678766,0.2394082143761631,0.0024197657944833675,0.27140089030678766,0.2394082143761631,0.0024197657944833675,0.27140089030678766,0.9975342561169471,0.0033136333732743505,0.5428147541815277,0.0,2.686331949006963,0.0,0.0,0.0,0.0,5.834055822693023,0.9115020297699594,0.4341001353179973,0.9011000167732025,0.5336610769620319,0.04682002706359946,0.7550744248985115,0.5544768069039914,0.6883886255924171,0.31211180124223603,2.370866060256958,6.610815525054932,7.551098346710205,5.857126712799072,6.721820831298828,8.513298034667969,6.1151604652404785,4.367299556732178,7.645218372344971,5.611352920532227,0.9258540868759155,6.2888102531433105,nan,0.9452054794520548,0.23809523809523808,0.9135514018691588,0.0,0.16666666666666666,"[[621, 0, 36], [7, 10, 25], [207, 52, 2737]]","[[581, 70, 193], [814, 509, 601], [324, 89, 514]]",-0.1477174013853073,-0.11726190149784088,-0.11860807985067368,1.1591852903366089,1.1244138479232788,1.1259286403656006,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4,0.0009979871469976195,uncertainty_weighting,0.049374654345492486,0.8498968691061093,0.19862783072456935,0.222155236620545,0.004165366249741245,0.19862783072456935,0.222155236620545,0.004165366249741245,0.19862783072456935,0.9256468383743309,0.005243482027640981,0.5276265817528318,0.0,0.5362780133970925,0.0,0.0,0.0,0.0,0.5613140825812323,0.3189301541193574,0.240213766056888,0.0021701700909816848,0.3189301541193574,0.240213766056888,0.0021701700909816848,0.3189301541193574,1.000890723810467,0.0029650794744809157,0.5669804016453326,0.0,2.1766900898518826,0.0,0.0,0.0,0.0,5.693179771090541,0.9025710419485792,0.4787550744248985,0.9101165317293587,0.5473829467510497,0.0408660351826793,0.6768606224627876,0.6882416396979504,0.4786729857819905,0.35093167701863354,2.35286283493042,6.5253472328186035,7.7085089683532715,5.5831451416015625,6.414251327514648,7.536269664764404,5.916756629943848,5.505048751831055,5.5333123207092285,5.1515793800354,0.9191789627075195,5.933290481567383,nan,0.8584474885844748,0.23809523809523808,0.921562082777036,0.0,0.16666666666666666,"[[564, 0, 93], [7, 10, 25], [146, 89, 2761]]","[[404, 175, 265], [477, 727, 720], [124, 165, 638]]",-0.19634048640727997,-0.15610133111476898,-0.1578216701745987,1.2169411182403564,1.1689447164535522,1.170957326889038,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5,0.0009968561049466212,uncertainty_weighting,-0.0895686782957371,0.7926173513233787,0.17708320653447943,0.21577559850834568,0.0034498696126454213,0.17708320653447943,0.21577559850834568,0.0034498696126454213,0.17708320653447943,0.8990650137479483,0.0044123258207461455,0.5145445060124882,0.0,0.4442724403188523,0.0,0.0,0.0,0.0,0.49782340152337845,0.2559206855797155,0.2384418386930703,0.0034608681405817582,0.2559206855797155,0.2384418386930703,0.0034608681405817582,0.2559206855797155,0.9935076815994892,0.005068497361895075,0.5642594434008386,0.0,1.7766617231849828,0.0,0.0,0.0,0.0,6.661756150212906,0.9144790257104195,0.4571041948579161,0.920125081486348,0.5572170718474276,0.039783491204330175,0.6749661705006766,0.6903991370010788,0.5248815165876777,0.34627329192546585,3.194422960281372,8.071212768554688,9.033754348754883,6.703604221343994,7.892645835876465,8.240299224853516,7.416855335235596,4.4951958656311035,6.817421913146973,6.575406074523926,0.5156407356262207,7.566177845001221,nan,0.745814307458143,0.42857142857142855,0.9582777036048065,0.0,0.09523809523809523,"[[490, 0, 167], [4, 18, 20], [85, 40, 2871]]","[[443, 100, 301], [518, 606, 800], [189, 98, 640]]",-0.24274663627147675,-0.19481806457042694,-0.19699729979038239,1.2747457027435303,1.2150899171829224,1.217740774154663,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6,0.0009954748808839672,uncertainty_weighting,-0.23093675747058506,0.7332260436771988,0.15283106834100244,0.21106410718644275,0.0027178469406237676,0.15283106834100244,0.21106410718644275,0.0027178469406237676,0.15283106834100244,0.8794338011079564,0.0034923285836501185,0.5075184477494181,0.0,0.44494093069852864,0.0,0.0,0.0,0.0,0.4617567476142243,0.2187196662122729,0.24079017682311016,0.002246911114986598,0.2187196662122729,0.24079017682311016,0.002246911114986598,0.2187196662122729,1.0032924295439611,0.0028494867314086754,0.5664382044452776,0.0,1.9910598035104048,0.0,0.0,0.0,0.0,5.590462394251735,0.9377537212449256,0.4649526387009472,0.9395633861231083,0.5535022819071224,0.058457374830852504,0.6614343707713126,0.7691477885652643,0.46327014218009477,0.37888198757763975,2.2235400676727295,6.248587131500244,6.558735370635986,4.525209426879883,6.431607723236084,6.956512928009033,4.8616719245910645,5.444486618041992,7.785699844360352,5.291996479034424,1.9286308288574219,6.217199325561523,nan,0.8280060882800608,0.42857142857142855,0.9689586114819759,0.0,0.07142857142857142,"[[544, 0, 113], [3, 18, 21], [83, 10, 2903]]","[[391, 93, 360], [444, 614, 866], [124, 90, 713]]",-0.28801438212394714,-0.23342499136924744,-0.23616228997707367,1.3337764739990234,1.2629181146621704,1.2663798332214355,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7,0.0009938441702975688,uncertainty_weighting,-0.35799874691227845,0.6974345085387063,0.1395200574224589,0.2062369953739325,0.0029601999667112923,0.1395200574224589,0.2062369953739325,0.0029601999667112923,0.1395200574224589,0.8593208314978829,0.003717593545781764,0.49838259052946127,0.0,0.36929991622576075,0.0,0.0,0.0,0.0,0.441225047524469,0.20268159215117984,0.23704710554770106,0.0014963592652165922,0.20268159215117984,0.23704710554770106,0.0014963592652165922,0.20268159215117984,0.987696295742737,0.001974387329288523,0.5460493380065216,0.0,1.7679344280339029,0.0,0.0,0.0,0.0,4.523923170738952,0.9385656292286875,0.49282814614343706,0.9431690779853573,0.5633249099840112,0.05926928281461434,0.6617050067658998,0.7130528586839266,0.590047393364929,0.38664596273291924,1.8096641302108765,5.114982604980469,5.940750598907471,4.022002696990967,5.10206937789917,5.447976112365723,4.1531662940979,3.656064748764038,6.171973705291748,5.473066329956055,0.3202902376651764,7.2626423835754395,nan,0.9528158295281582,0.5238095238095238,0.9412550066755674,0.0,0.0,"[[626, 0, 31], [0, 22, 20], [158, 18, 2820]]","[[498, 94, 252], [523, 662, 739], [185, 81, 661]]",-0.33267343044281006,-0.2718971371650696,-0.2752857804298401,1.3946917057037354,1.312451958656311,1.3169069290161133,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8,0.0009919647942993148,uncertainty_weighting,-0.48823181297581614,0.6579552351566587,0.125494341352752,0.20081241024972826,0.0026708680903271423,0.125494341352752,0.20081241024972826,0.0026708680903271423,0.125494341352752,0.8367183957228868,0.0034024855862481215,0.4817924679490412,0.0,0.32474707812714826,0.0,0.0,0.0,0.0,0.48211550876316744,0.24118565614555781,0.2390715924748226,0.0018582635872943154,0.24118565614555781,0.2390715924748226,0.0018582635872943154,0.24118565614555781,0.9961316591831925,0.0026807537657134385,0.5783521736265035,0.0,2.0804786696181132,0.0,0.0,0.0,0.0,5.268111148133627,0.9407307171853857,0.47388362652232746,0.9549785214548964,0.5787616917136952,0.013531799729364006,0.6116373477672531,0.6623516720604099,0.5781990521327014,0.39285714285714285,2.2113165855407715,6.1907501220703125,7.010005474090576,4.094682216644287,6.196885585784912,6.819601058959961,4.2525129318237305,4.421942710876465,6.860764503479004,7.614574909210205,1.0072016716003418,6.8696818351745605,nan,0.9756468797564688,0.5,0.9392523364485982,0.0,0.07142857142857142,"[[641, 0, 16], [3, 21, 18], [176, 6, 2814]]","[[488, 154, 202], [570, 649, 705], [202, 111, 614]]",-0.3763698935508728,-0.31027692556381226,-0.3144020438194275,1.4569860696792603,1.3638027906417847,1.3694401979446411,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9,0.0009898376992116178,uncertainty_weighting,-0.5813254988253372,0.669299823672104,0.13577482868246277,0.19658576901800381,0.002289313075022063,0.13577482868246277,0.19658576901800381,0.002289313075022063,0.13577482868246277,0.8191073924921495,0.002882892327359834,0.4752855393489034,0.0,0.2914267859651094,0.0,0.0,0.0,0.0,0.44553980253062164,0.2105939553377593,0.23352418514888568,0.0014216631182112777,0.2105939553377593,0.23352418514888568,0.0014216631182112777,0.2105939553377593,0.9730174499532367,0.0021188165139941263,0.5615654084856682,0.0,1.7685060055476336,0.0,0.0,0.0,0.0,4.589960188103843,0.9399188092016239,0.48606224627875505,0.9638242060324272,0.5888220384511196,0.012719891745602166,0.5794316644113667,0.5846817691477886,0.6741706161137441,0.37267080745341613,1.9720087051391602,5.197057723999023,6.317988872528076,4.474436283111572,5.046037673950195,6.835426330566406,4.666042327880859,3.926359176635742,4.09342098236084,5.123770236968994,0.6032939553260803,7.362957000732422,nan,0.923896499238965,0.5476190476190477,0.9489319092122831,0.0,0.09523809523809523,"[[607, 0, 50], [4, 23, 15], [141, 12, 2843]]","[[569, 93, 182], [675, 685, 564], [268, 117, 542]]",-0.4184819161891937,-0.3485686779022217,-0.35349977016448975,1.5196528434753418,1.417037844657898,1.4240427017211914,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10,0.0009874639560909118,uncertainty_weighting,-0.7102173164814135,0.631522019319536,0.1196367178661968,0.19445525761473972,0.0016690323023396323,0.1196367178661968,0.19445525761473972,0.0016690323023396323,0.1196367178661968,0.8102302619965065,0.00223925882622555,0.46554501222622247,0.0,0.2758080827443506,0.0,0.0,0.0,0.0,0.4350955848764825,0.19537864647634298,0.2385420003868085,0.0011749438603417457,0.19537864647634298,0.2385420003868085,0.0011749438603417457,0.19537864647634298,0.9939250212560972,0.0015821397533269752,0.5743415152752351,0.0,1.6453998982072162,0.0,0.0,0.0,0.0,4.069673272639483,0.9502029769959405,0.4920162381596752,0.9703638377087869,0.5980811440651903,0.010284167794316644,0.5515561569688768,0.7303128371089536,0.54739336492891,0.41459627329192544,1.6710258722305298,4.440227031707764,5.23073148727417,3.660051107406616,4.446261405944824,5.555505752563477,3.1576998233795166,4.003363132476807,4.618828773498535,4.5793328285217285,0.6839788556098938,6.319273471832275,nan,0.958904109589041,0.5714285714285714,0.9536048064085447,0.0,0.047619047619047616,"[[630, 0, 27], [2, 24, 16], [131, 8, 2857]]","[[462, 103, 279], [480, 679, 765], [185, 65, 677]]",-0.46071451902389526,-0.386608362197876,-0.3926205337047577,1.585206151008606,1.4719799757003784,1.4808562994003296,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
