run_id,seed,run_tag,seed101_rank,description,metric_status,full_v2_offline_status,full_v2_offline_failures,offline_score,acc_main,acc_turn,acc_turn_transition,theta_mae_deg,theta_edge_p95_abs_err,flat_peak_theta_error,flat_recall,stall_recall,slope_recall,checkpoint_file,run_dir,overrides_json
u04_lwlr0030,101,u04_lwlr0030_seed101,1,loss_weight_lr=0.0030,ok,pass,none,0.312675658261087,0.9658523042754026,0.5505274847307051,0.47242921013412814,0.39280208945274353,1.7507333755493164,5.978753566741943,0.9576719576719577,0.7083333333333334,0.9770909090909091,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\11_uncertainty_tuning\01_seed101_search\u04_lwlr0030_seed101\modern_tcn_seed101.pt,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\11_uncertainty_tuning\01_seed101_search\u04_lwlr0030_seed101,"{""loss_weight_lr"": 0.003}"
u17_ltheta050,101,u17_ltheta050_seed101,2,lambda_theta=0.50,ok,pass,none,0.350159553957267,0.9697390338700722,0.5982787340366463,0.5529061102831595,0.501952588558197,2.2574992179870605,5.978271961212158,0.9523809523809523,0.6979166666666666,0.984,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\11_uncertainty_tuning\01_seed101_search\u17_ltheta050_seed101\modern_tcn_seed101.pt,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\11_uncertainty_tuning\01_seed101_search\u17_ltheta050_seed101,"{""lambda_theta"": 0.5}"
u18_ltheta065,101,u18_ltheta065_seed101,3,lambda_theta=0.65,ok,pass,none,0.359217538840443,0.9680732926152138,0.5868961687951139,0.5022354694485842,0.5384363532066345,2.1585147380828857,5.951727867126465,0.9537037037037037,0.6354166666666666,0.9836363636363636,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\11_uncertainty_tuning\01_seed101_search\u18_ltheta065_seed101\modern_tcn_seed101.pt,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\11_uncertainty_tuning\01_seed101_search\u18_ltheta065_seed101,"{""lambda_theta"": 0.65}"
u23_turn_protect_mix,101,u23_turn_protect_mix_seed101,4,turn protection mix,ok,pass,none,0.372624944333552,0.967518045530261,0.5744031093836758,0.503725782414307,0.6171326637268066,2.5883312225341797,5.177375793457031,0.9537037037037037,0.6875,0.9810909090909091,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\11_uncertainty_tuning\01_seed101_search\u23_turn_protect_mix_seed101\modern_tcn_seed101.pt,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\11_uncertainty_tuning\01_seed101_search\u23_turn_protect_mix_seed101,"{""lambda_turn"": 0.24, ""loss_weight_lr"": 0.0006, ""main_neg_slope_weight"": 2.4, ""turn_transition_weight"": 3.0}"
u08_lturn024,101,u08_lturn024_seed101,5,lambda_turn=0.24,ok,pass,none,0.37495980718364,0.9664075513603554,0.5830094392004442,0.5081967213114754,0.6103253960609436,2.3193743228912354,6.13002872467041,0.9708994708994709,0.6979166666666666,0.9745454545454545,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\11_uncertainty_tuning\01_seed101_search\u08_lturn024_seed101\modern_tcn_seed101.pt,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\11_uncertainty_tuning\01_seed101_search\u08_lturn024_seed101,"{""lambda_turn"": 0.24}"
u24_control_theta_mix,101,u24_control_theta_mix_seed101,6,control theta mix,ok,pass,none,0.375367532795031,0.964741810105497,0.5974458634092171,0.5320417287630402,0.6035222411155701,2.4170262813568115,5.913843154907227,0.9576719576719577,0.6979166666666666,0.976,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\11_uncertainty_tuning\01_seed101_search\u24_control_theta_mix_seed101\modern_tcn_seed101.pt,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\11_uncertainty_tuning\01_seed101_search\u24_control_theta_mix_seed101,"{""lambda_theta"": 0.5, ""lambda_theta_flat"": 0.1, ""loss_weight_lr"": 0.0006, ""select_theta_edge_p95_target_deg"": 1.2, ""select_theta_edge_p95_weight"": 1.0}"
u15_mainneg28,101,u15_mainneg28_seed101,7,main_neg_slope_weight=2.8,ok,pass,none,0.375482656498126,0.963353692393115,0.5646862853970017,0.5156482861400894,0.6168642044067383,2.3424699306488037,5.896398067474365,0.9444444444444444,0.7083333333333334,0.9774545454545455,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\11_uncertainty_tuning\01_seed101_search\u15_mainneg28_seed101\modern_tcn_seed101.pt,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\11_uncertainty_tuning\01_seed101_search\u15_mainneg28_seed101,"{""main_neg_slope_weight"": 2.8}"
u11_tt30,101,u11_tt30_seed101,8,turn_transition_weight=3.0,ok,pass,none,0.376943380634962,0.9644641865630206,0.5874514158800667,0.511177347242921,0.5776767730712891,2.719545602798462,5.401276588439941,0.9417989417989417,0.6979166666666666,0.98,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\11_uncertainty_tuning\01_seed101_search\u11_tt30_seed101\modern_tcn_seed101.pt,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\11_uncertainty_tuning\01_seed101_search\u11_tt30_seed101,"{""turn_transition_weight"": 3.0}"
u14_mainneg24,101,u14_mainneg24_seed101,9,main_neg_slope_weight=2.4,ok,pass,none,0.381000787811529,0.966129927817879,0.5913381454747363,0.503725782414307,0.629148006439209,2.581115245819092,5.517120838165283,0.958994708994709,0.6875,0.9778181818181818,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\11_uncertainty_tuning\01_seed101_search\u14_mainneg24_seed101\modern_tcn_seed101.pt,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\11_uncertainty_tuning\01_seed101_search\u14_mainneg24_seed101,"{""main_neg_slope_weight"": 2.4}"
u12_tt35,101,u12_tt35_seed101,10,turn_transition_weight=3.5,ok,pass,none,0.387277326328144,0.9597445863409217,0.5732926152137702,0.5081967213114754,0.6892451047897339,2.4697864055633545,5.565676689147949,0.9404761904761905,0.7083333333333334,0.9738181818181818,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\11_uncertainty_tuning\01_seed101_search\u12_tt35_seed101\modern_tcn_seed101.pt,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\11_uncertainty_tuning\01_seed101_search\u12_tt35_seed101,"{""turn_transition_weight"": 3.5}"
