epoch,lr,loss_mode,train_loss,train_loss_fixed_total,train_loss_main,train_loss_turn,train_loss_theta,train_loss_main_base,train_loss_turn_base,train_loss_theta_base,train_loss_main_raw,train_loss_turn_raw,train_loss_theta_raw,train_loss_transition_focal_raw,train_loss_transition_focal_weighted,train_loss_stall_focal_raw,train_loss_stall_focal_weighted,train_loss_theta_smooth,train_loss_flat_theta_expert_reg,train_loss_flat_theta_expert_reg_weighted,val_loss,val_loss_main,val_loss_turn,val_loss_theta,val_loss_main_base,val_loss_turn_base,val_loss_theta_base,val_loss_main_raw,val_loss_turn_raw,val_loss_theta_raw,val_loss_transition_focal_raw,val_loss_transition_focal_weighted,val_loss_stall_focal_raw,val_loss_stall_focal_weighted,val_loss_theta_smooth,val_loss_flat_theta_expert_reg,val_loss_flat_theta_expert_reg_weighted,val_score,val_acc_main,val_acc_turn,val_main_confidence_mean,val_turn_confidence_mean,val_main_low_conf_0p60_ratio,val_turn_low_conf_0p60_ratio,val_turn_left_recall,val_turn_right_recall,val_acc_turn_transition,val_theta_mae_deg,val_theta_abs_le_10_p95_abs_err_deg,val_theta_neg_10_8_p95_abs_err_deg,val_theta_pos_8_10_p95_abs_err_deg,val_theta_abs_le_8_p95_abs_err_deg,val_theta_neg_8_6_p95_abs_err_deg,val_theta_pos_6_8_p95_abs_err_deg,val_theta_neg_2_0p5_p95_abs_err_deg,val_theta_pos_0p5_2_p95_abs_err_deg,val_theta_flat_abs_p95_deg,val_theta_flat_bias_deg,val_theta_near_flat_abs_p95_deg,val_theta_true_zero_abs_p95_deg,val_flat_recall,val_stall_recall,val_slope_recall,val_flat_as_stall_ratio,val_stall_as_flat_ratio,val_cm_main,val_cm_turn,s_main,s_turn,s_theta,weight_main,weight_turn,weight_theta,task_weight_main,task_weight_turn,task_weight_theta,initial_loss_main,initial_loss_turn,initial_loss_theta,grad_norm_main,grad_norm_turn,grad_norm_theta,gradnorm_loss,gradnorm_unstable
1,0.0009998741174712534,uncertainty_weighting,0.9044577614121129,1.9387290445802952,0.709761517584753,0.24344403980734475,0.016158963047941396,0.709761517584753,0.24344403980734475,0.016158963047941396,0.709761517584753,1.0143501855578583,0.019841414270350643,0.5246080452069966,0.0,1.39436749989645,0.0,0.0,0.0,0.0,0.8134503977063222,0.562306730221347,0.2470271365286049,0.00411652806876618,0.562306730221347,0.2470271365286049,0.00411652806876618,0.562306730221347,1.0292797481255538,0.005447623110596842,0.55760617678801,0.0,2.4859104677853305,0.0,0.0,0.0,0.0,8.601096199277347,0.8397834912043302,0.4649526387009472,0.7312066508206907,0.5011305011548078,0.26332882273342356,0.8281461434370772,0.5954692556634305,0.5722748815165877,0.3447204968944099,2.977177143096924,8.653131484985352,8.338059425354004,5.418432235717773,8.995182037353516,9.408283233642578,6.492355823516846,13.121188163757324,4.985889911651611,10.94471549987793,2.0380699634552,9.276076316833496,nan,0.4703196347031963,0.21428571428571427,0.9295727636849133,0.0,0.047619047619047616,"[[309, 0, 348], [2, 9, 31], [197, 14, 2785]]","[[483, 189, 172], [612, 683, 629], [260, 115, 552]]",-0.06259588152170181,-0.06514941155910492,-0.06584901362657547,1.0645966529846191,1.0673184394836426,1.0680654048919678,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2,0.0009994965332706573,uncertainty_weighting,0.3964755166766215,1.2615616201121156,0.3950256248503893,0.23112641422958005,0.004628772143523815,0.3950256248503893,0.23112641422958005,0.004628772143523815,0.3950256248503893,0.9630267481108933,0.006055366326042565,0.5418471331258559,0.0,0.9374260048416524,0.0,0.0,0.0,0.0,0.5825842330194455,0.33762743211728147,0.24146276545056794,0.003494028604295765,0.33762743211728147,0.24146276545056794,0.003494028604295765,0.33762743211728147,1.006094877661807,0.0045947330785822,0.5625678115510488,0.0,2.81778467317718,0.0,0.0,0.0,0.0,7.000721321765737,0.9041948579161029,0.47848443843031124,0.8639174475289126,0.5188203342555903,0.10744248985115021,0.7491204330175913,0.7119741100323624,0.4312796208530806,0.3307453416149068,2.9426634311676025,8.099217414855957,7.854391098022461,5.553183078765869,8.491209030151367,6.752920150756836,7.116684436798096,7.327847957611084,8.762870788574219,8.824362754821777,0.9183298945426941,10.682716369628906,nan,0.893455098934551,0.23809523809523808,0.9158878504672897,0.0,0.2857142857142857,"[[587, 0, 70], [12, 10, 20], [231, 21, 2744]]","[[364, 239, 241], [409, 744, 771], [130, 137, 660]]",-0.15160837769508362,-0.12997040152549744,-0.13131676614284515,1.1637043952941895,1.1387946605682373,1.1403290033340454,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,0.000998867437523228,uncertainty_weighting,0.06926823542323474,0.9841344366922332,0.26312117240171307,0.224746420906477,0.00419962297587725,0.26312117240171307,0.224746420906477,0.00419962297587725,0.26312117240171307,0.9364434408040969,0.0054374806923475445,0.5402751860586714,0.0,0.7036878699485803,0.0,0.0,0.0,0.0,0.5582502576107908,0.31851870547450767,0.2378834321308523,0.0018481158365965574,0.31851870547450767,0.2378834321308523,0.0018481158365965574,0.31851870547450767,0.9911809933201708,0.0025246356082109784,0.5358225868583855,0.0,2.7801967052718894,0.0,0.0,0.0,0.0,5.531115936055574,0.90148849797023,0.44276048714479027,0.8971992656425753,0.5135526214017151,0.07388362652232747,0.7994587280108254,0.5782092772384034,0.6303317535545023,0.2996894409937888,2.184518814086914,5.664268493652344,6.591388702392578,5.158481121063232,5.497379779815674,4.9975056648254395,5.506917476654053,5.273792743682861,4.191512584686279,5.296571731567383,2.161100149154663,9.199061393737793,nan,0.7656012176560122,0.23809523809523808,0.9405874499332443,0.0,0.023809523809523808,"[[503, 0, 154], [1, 10, 31], [127, 51, 2818]]","[[532, 88, 224], [749, 568, 607], [263, 128, 536]]",-0.23730437457561493,-0.19429758191108704,-0.19658076763153076,1.2678269147872925,1.214457631111145,1.217233657836914,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4,0.0009979871469976195,uncertainty_weighting,-0.172527152311781,0.869228652084838,0.21211612603576266,0.2189329159186593,0.003565286827958312,0.21211612603576266,0.2189329159186593,0.003565286827958312,0.21211612603576266,0.9122205066719854,0.004594685580654449,0.532319012614414,0.0,0.5112698023067807,0.0,0.0,0.0,0.0,0.5147477935067049,0.2811352067290527,0.23188120575170557,0.0017313762886464817,0.2811352067290527,0.23188120575170557,0.0017313762886464817,0.2811352067290527,0.9661717188051815,0.0024149879924096015,0.5393022784683476,0.0,2.194786964295078,0.0,0.0,0.0,0.0,5.213789576143604,0.9147496617050067,0.4433017591339648,0.9118679776228745,0.5429062572948532,0.07523680649526387,0.6920162381596753,0.6051779935275081,0.6800947867298578,0.327639751552795,2.1634156703948975,5.71481990814209,7.169742107391357,5.178699016571045,5.612548351287842,6.383643627166748,5.625800132751465,4.202761173248291,5.180013179779053,4.461723804473877,0.5661366581916809,5.104537010192871,nan,0.7823439878234398,0.23809523809523808,0.9532710280373832,0.0,0.047619047619047616,"[[514, 0, 143], [2, 10, 30], [83, 57, 2856]]","[[574, 98, 172], [824, 503, 597], [323, 43, 561]]",-0.31732773780822754,-0.2580830752849579,-0.26179739832878113,1.3734525442123413,1.294446349143982,1.2992632389068604,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5,0.0009968561049466212,uncertainty_weighting,-0.38405852852517347,0.8044968359093462,0.18636197172940566,0.21301140869833596,0.0028750375860652814,0.18636197172940566,0.21301140869833596,0.0028750375860652814,0.18636197172940566,0.8875475564945761,0.0037261225206855096,0.5362397523488588,0.0,0.47743179730218666,0.0,0.0,0.0,0.0,0.5147516318199922,0.27871407079277244,0.23446417245635806,0.0015733857508383297,0.27871407079277244,0.23446417245635806,0.0015733857508383297,0.27871407079277244,0.9769340735649708,0.0020962415378999485,0.580286100172061,0.0,2.022000567323586,0.0,0.0,0.0,0.0,4.787955073464511,0.915020297699594,0.4543978349120433,0.9305652618263579,0.5790703049606364,0.02462787550744249,0.5921515561569689,0.645091693635383,0.5924170616113744,0.35403726708074534,2.0080342292785645,5.059238433837891,5.761728763580322,5.080458164215088,4.991827487945557,5.356605052947998,5.03701114654541,4.648016929626465,4.519387245178223,4.591628074645996,1.6535561084747314,6.634372711181641,nan,0.8767123287671232,0.2857142857142857,0.9322429906542056,0.0,0.0,"[[576, 0, 81], [0, 12, 30], [163, 40, 2793]]","[[500, 104, 240], [657, 581, 686], [236, 93, 598]]",-0.3942236304283142,-0.3213977813720703,-0.3269786536693573,1.4832321405410767,1.379054069519043,1.3867719173431396,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6,0.0009954748808839672,uncertainty_weighting,-0.5948605884209801,0.7434022983345566,0.16054502540285528,0.20863056904705346,0.002525554579353088,0.16054502540285528,0.20863056904705346,0.002525554579353088,0.16054502540285528,0.8692940604709095,0.0033806923239223284,0.5277981228350699,0.0,0.33662444379743567,0.0,0.0,0.0,0.0,0.5291259638672753,0.29294312241435533,0.23438912590963107,0.0017937152793300773,0.29294312241435533,0.23438912590963107,0.0017937152793300773,0.29294312241435533,0.976621370305873,0.0026054973220666906,0.6015820783513809,0.0,2.8740901207574043,0.0,0.0,0.0,0.0,5.352400553474463,0.926657645466847,0.4774018944519621,0.9445056481913472,0.5874217772210929,0.05926928281461434,0.5485791610284168,0.6774541531823085,0.5995260663507109,0.36180124223602483,2.2027547359466553,5.812951564788818,5.85465669631958,5.970895290374756,5.771259784698486,5.824151515960693,6.035323143005371,3.2011587619781494,5.065807819366455,5.4884843826293945,1.073062539100647,7.818139553070068,nan,0.7397260273972602,0.2619047619047619,0.9769692923898531,0.0,0.0,"[[486, 0, 171], [0, 11, 31], [64, 5, 2927]]","[[506, 101, 237], [623, 630, 671], [222, 77, 628]]",-0.4693255126476288,-0.38410988450050354,-0.3921465575695038,1.5989153385162354,1.4683068990707397,1.4801546335220337,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7,0.0009938441702975688,uncertainty_weighting,-0.7827464548816943,0.7129702330162105,0.14861006406692262,0.20551303046730082,0.002362020648723474,0.14861006406692262,0.20551303046730082,0.002362020648723474,0.14861006406692262,0.8563043112741552,0.0029068066167435387,0.5283083434931862,0.0,0.3709839502507149,0.0,0.0,0.0,0.0,0.4869806966052488,0.24926137578987462,0.23593724279264958,0.0017820749080869722,0.24926137578987462,0.23593724279264958,0.0017820749080869722,0.24926137578987462,0.9830718618607166,0.002320160782746013,0.630961002403409,0.0,2.0484890352515945,0.0,0.0,0.0,0.0,4.981430563817621,0.9293640054127199,0.469553450608931,0.9473856297313272,0.59999116996932,0.020027063599458727,0.539106901217862,0.5782092772384034,0.659952606635071,0.3385093167701863,2.025031089782715,5.586012840270996,6.04990291595459,3.737733840942383,5.626199722290039,4.788177013397217,4.794951438903809,6.172687530517578,3.8597683906555176,5.573294162750244,2.0751354694366455,9.498588562011719,nan,0.898021308980213,0.47619047619047616,0.9425901201602136,0.0,0.0,"[[590, 0, 67], [0, 20, 22], [146, 26, 2824]]","[[557, 131, 156], [735, 642, 547], [300, 91, 536]]",-0.5426886081695557,-0.44609978795051575,-0.4572816789150238,1.720626711845398,1.5622073411941528,1.5797737836837769,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8,0.0009919647942993148,uncertainty_weighting,-0.9524490201499921,0.7013455947511851,0.14710580300246964,0.20037148659747397,0.003195507960973869,0.14710580300246964,0.20037148659747397,0.003195507960973869,0.14710580300246964,0.8348812148974749,0.004108833588691429,0.5198600343988901,0.0,0.30876624741489705,0.0,0.0,0.0,0.0,0.4631736662778222,0.230386567148046,0.23152018836289845,0.0012669082700132476,0.230386567148046,0.23152018836289845,0.0012669082700132476,0.230386567148046,0.9646674700615693,0.0018505567319613047,0.5665874959812758,0.0,1.7777737911371112,0.0,0.0,0.0,0.0,4.540134851655719,0.9361299052774019,0.48930987821380245,0.9441079714972834,0.5904423289148838,0.06305818673883627,0.5899864682002707,0.6655879180151025,0.504739336492891,0.37267080745341613,1.9013659954071045,5.0074872970581055,6.384127616882324,5.096154689788818,4.8656439781188965,5.181349754333496,5.08461856842041,3.231677770614624,4.214215278625488,4.230607032775879,0.3654608726501465,4.9222941398620605,nan,0.8158295281582952,0.5238095238095238,0.9682910547396528,0.0,0.047619047619047616,"[[536, 0, 121], [2, 22, 18], [78, 17, 2901]]","[[426, 206, 212], [495, 765, 664], [187, 123, 617]]",-0.612894594669342,-0.5076050162315369,-0.5223053693771362,1.8457664251327515,1.661307692527771,1.6859097480773926,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9,0.0009898376992116178,uncertainty_weighting,-1.1381093549082186,0.6693134939283272,0.13751204980141643,0.19517402154372027,0.001970675493786557,0.13751204980141643,0.19517402154372027,0.001970675493786557,0.13751204980141643,0.8132251066732871,0.002466939205556889,0.5052228211920233,0.0,0.28712471076844354,0.0,0.0,0.0,0.0,0.47156545607743633,0.23919447980649738,0.2308087316877303,0.0015622461587064603,0.23919447980649738,0.2308087316877303,0.0015622461587064603,0.23919447980649738,0.9617030604282477,0.002156440985542804,0.5848703325198048,0.0,2.0021835773164636,0.0,0.0,0.0,0.0,4.847837237828052,0.9347767253044655,0.4500676589986468,0.9458387783582854,0.6077392729734146,0.060081190798376184,0.5309878213802436,0.6839266450916937,0.6374407582938388,0.35093167701863354,1.9774835109710693,5.529857635498047,5.390635013580322,4.972740650177002,5.596996784210205,6.0497212409973145,5.656513214111328,5.944888591766357,4.195750713348389,5.172182559967041,0.5986244082450867,6.574860572814941,nan,0.928462709284627,0.47619047619047616,0.9425901201602136,0.0,0.023809523809523808,"[[610, 0, 47], [1, 20, 21], [156, 16, 2824]]","[[538, 103, 203], [659, 491, 774], [219, 74, 634]]",-0.6815516352653503,-0.5686399340629578,-0.5874366164207458,1.976942777633667,1.7658637762069702,1.7993700504302979,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10,0.0009874639560909118,uncertainty_weighting,-1.3274667242837044,0.6349545662066589,0.12321609524689163,0.19239933581607976,0.0018618508346928278,0.12321609524689163,0.19239933581607976,0.0018618508346928278,0.12321609524689163,0.8016639164004873,0.002368075492100425,0.5021487324068626,0.0,0.2879253505776243,0.0,0.0,0.0,0.0,0.4657690310510473,0.23085833949229714,0.23348007682453795,0.0014306115169904834,0.23085833949229714,0.23348007682453795,0.0014306115169904834,0.23085833949229714,0.9728336752025619,0.001998840497412211,0.5837206909556512,0.0,2.5089682548392913,0.0,0.0,0.0,0.0,4.356285265298574,0.9485791610284168,0.46197564276048714,0.9573785605936317,0.6121127072157202,0.05277401894451962,0.510148849797023,0.7486515641855448,0.542654028436019,0.3695652173913043,1.9939202070236206,4.951923847198486,4.724852085113525,5.6999382972717285,4.867166519165039,5.990655899047852,5.08824348449707,3.3823447227478027,4.462693691253662,3.9563276767730713,-0.110309898853302,5.160067558288574,nan,0.9665144596651446,0.47619047619047616,0.9512683578104139,0.0,0.0,"[[635, 0, 22], [0, 20, 22], [136, 10, 2850]]","[[458, 110, 276], [521, 555, 848], [163, 70, 694]]",-0.7507686018943787,-0.6289307475090027,-0.6525304317474365,2.1186277866363525,1.8756039142608643,1.9203940629959106,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
