epoch,lr,loss_mode,train_loss,train_loss_fixed_total,train_loss_main,train_loss_turn,train_loss_theta,train_loss_main_base,train_loss_turn_base,train_loss_theta_base,train_loss_main_raw,train_loss_turn_raw,train_loss_theta_raw,train_loss_transition_focal_raw,train_loss_transition_focal_weighted,train_loss_stall_focal_raw,train_loss_stall_focal_weighted,train_loss_theta_smooth,train_loss_flat_theta_expert_reg,train_loss_flat_theta_expert_reg_weighted,val_loss,val_loss_main,val_loss_turn,val_loss_theta,val_loss_main_base,val_loss_turn_base,val_loss_theta_base,val_loss_main_raw,val_loss_turn_raw,val_loss_theta_raw,val_loss_transition_focal_raw,val_loss_transition_focal_weighted,val_loss_stall_focal_raw,val_loss_stall_focal_weighted,val_loss_theta_smooth,val_loss_flat_theta_expert_reg,val_loss_flat_theta_expert_reg_weighted,val_score,val_acc_main,val_acc_turn,val_main_confidence_mean,val_turn_confidence_mean,val_main_low_conf_0p60_ratio,val_turn_low_conf_0p60_ratio,val_turn_left_recall,val_turn_right_recall,val_acc_turn_transition,val_theta_mae_deg,val_theta_abs_le_10_p95_abs_err_deg,val_theta_neg_10_8_p95_abs_err_deg,val_theta_pos_8_10_p95_abs_err_deg,val_theta_abs_le_8_p95_abs_err_deg,val_theta_neg_8_6_p95_abs_err_deg,val_theta_pos_6_8_p95_abs_err_deg,val_theta_neg_2_0p5_p95_abs_err_deg,val_theta_pos_0p5_2_p95_abs_err_deg,val_theta_flat_abs_p95_deg,val_theta_flat_bias_deg,val_theta_near_flat_abs_p95_deg,val_theta_true_zero_abs_p95_deg,val_flat_recall,val_stall_recall,val_slope_recall,val_flat_as_stall_ratio,val_stall_as_flat_ratio,val_cm_main,val_cm_turn,s_main,s_turn,s_theta,weight_main,weight_turn,weight_theta,task_weight_main,task_weight_turn,task_weight_theta,initial_loss_main,initial_loss_turn,initial_loss_theta,grad_norm_main,grad_norm_turn,grad_norm_theta,gradnorm_loss,gradnorm_unstable
1,0.0009998741174712534,uncertainty_weighting,0.9018260000535138,1.8829664741484726,0.6804330209828496,0.24494041926008048,0.016109791896998175,0.6804330209828496,0.24494041926008048,0.016109791896998175,0.6804330209828496,1.020585102094223,0.019784914532179267,0.5181578169559075,0.0,1.4330638379076732,0.0,0.0,0.0,0.0,0.7832601200743844,0.5296178092653278,0.24961620576891427,0.004026104434215651,0.5296178092653278,0.24961620576891427,0.004026104434215651,0.5296178092653278,1.0400675429704225,0.005349741998873399,0.5524181965723411,0.0,2.4860435692318723,0.0,0.0,0.0,0.0,8.632745111372296,0.8330175913396481,0.45629228687415424,0.7369825304888958,0.4931694842877594,0.26170500676589986,0.8408660351826793,0.6062567421790723,0.5201421800947867,0.3385093167701863,2.9562034606933594,8.66252326965332,8.039351463317871,5.707307815551758,8.995269775390625,9.15158748626709,6.515376091003418,12.551868438720703,5.162971019744873,10.393988609313965,2.1367130279541016,9.633116722106934,nan,0.4307458143074581,0.21428571428571427,0.9299065420560748,0.0,0.07142857142857142,"[[283, 0, 374], [3, 9, 30], [198, 12, 2786]]","[[439, 225, 180], [600, 685, 639], [252, 113, 562]]",-0.03808725252747536,-0.03912299498915672,-0.03950999677181244,1.038821816444397,1.03989839553833,1.040300965309143,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2,0.0009994965332706573,uncertainty_weighting,0.47198961032836795,1.2290162745978368,0.3761338203346688,0.2336360638906767,0.0047382532726389336,0.3761338203346688,0.2336360638906767,0.0047382532726389336,0.3761338203346688,0.9734836229143403,0.006209912815735432,0.5291192303862703,0.0,0.9703329859220424,0.0,0.0,0.0,0.0,0.5589508945467669,0.3130981425713138,0.24262141563976247,0.0032313418705066784,0.3130981425713138,0.24262141563976247,0.0032313418705066784,0.3130981425713138,1.010922593160637,0.004349763506169006,0.5516880975605186,0.0,2.8577760066650555,0.0,0.0,0.0,0.0,6.653379785995484,0.9090663058186739,0.476319350473613,0.8630778754289078,0.51427471109302,0.10987821380243572,0.7721244925575101,0.7098166127292341,0.42890995260663506,0.32142857142857145,2.873570680618286,7.82075309753418,7.376055717468262,5.468931198120117,8.091609001159668,6.17302942276001,6.804797172546387,7.703873157501221,6.481271743774414,8.020722389221191,1.1475855112075806,11.191996574401855,nan,0.8888888888888888,0.23809523809523808,0.9228971962616822,0.0,0.30952380952380953,"[[584, 0, 73], [13, 10, 19], [216, 15, 2765]]","[[362, 182, 300], [388, 740, 796], [124, 145, 658]]",-0.09047862887382507,-0.07818306982517242,-0.07878895103931427,1.0946980714797974,1.0813206434249878,1.0819759368896484,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,0.000998867437523228,uncertainty_weighting,0.22628719610393036,0.9657944293353625,0.251560538513156,0.22705242131891423,0.004284256671027559,0.251560538513156,0.22705242131891423,0.004284256671027559,0.251560538513156,0.9460517740688131,0.005543512283106608,0.5239050870593255,0.0,0.7268681745757366,0.0,0.0,0.0,0.0,0.5391170006966236,0.2970127412043663,0.24034968821460403,0.0017545705674095167,0.2970127412043663,0.24034968821460403,0.0017545705674095167,0.2970127412043663,1.0014570665133662,0.002414678695771707,0.5289492723583691,0.0,2.7187598695401958,0.0,0.0,0.0,0.0,5.300859008088551,0.9044654939106901,0.44546684709066303,0.8918524710997228,0.5078860624899635,0.07713125845737483,0.8043301759133965,0.6170442286947141,0.6279620853080569,0.31521739130434784,2.1423866748809814,5.63734769821167,6.248292922973633,5.201074600219727,5.5809550285339355,4.938580513000488,5.422332286834717,6.573817253112793,4.552078723907471,5.805299282073975,1.875040054321289,8.583383560180664,nan,0.9010654490106544,0.23809523809523808,0.9145527369826435,0.0,0.047619047619047616,"[[592, 0, 65], [2, 10, 30], [198, 58, 2740]]","[[530, 73, 241], [704, 544, 676], [248, 107, 572]]",-0.1412346214056015,-0.11713174730539322,-0.117949478328228,1.151694893836975,1.124267578125,1.1251872777938843,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4,0.0009979871469976195,uncertainty_weighting,0.061930248410481496,0.8608752940280792,0.20552783390864665,0.22139222333053904,0.003517586222936388,0.20552783390864665,0.22139222333053904,0.003517586222936388,0.20552783390864665,0.9224676176210563,0.004643212008571773,0.5153627844963585,0.0,0.5266691350112938,0.0,0.0,0.0,0.0,0.4992503256371928,0.26242089532063684,0.23523163772887565,0.0015977863401945816,0.26242089532063684,0.23523163772887565,0.0015977863401945816,0.26242089532063684,0.9801318577565101,0.002191321839703214,0.529000108603373,0.0,2.119994785598596,0.0,0.0,0.0,0.0,4.97152026426887,0.9123139377537213,0.44005412719891746,0.9043973596615354,0.5341361780689773,0.08064952638700948,0.7388362652232747,0.6094929881337648,0.6587677725118484,0.34006211180124224,2.0381858348846436,5.700900077819824,7.154755592346191,4.086149215698242,5.6382975578308105,5.75303840637207,5.097068786621094,3.9859330654144287,4.087118625640869,4.502147197723389,0.7184066772460938,5.902885913848877,nan,0.7777777777777778,0.23809523809523808,0.9512683578104139,0.0,0.047619047619047616,"[[511, 0, 146], [2, 10, 30], [88, 58, 2850]]","[[556, 104, 184], [795, 505, 624], [320, 42, 565]]",-0.18893137574195862,-0.15594537556171417,-0.15708841383457184,1.2079579830169678,1.1687623262405396,1.1700990200042725,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5,0.0009968561049466212,uncertainty_weighting,-0.078896719539322,0.7989959845821872,0.1807550597435348,0.2158957348711745,0.002847194730313929,0.1807550597435348,0.2158957348711745,0.002847194730313929,0.1807550597435348,0.8995655797427792,0.0036555543642821735,0.5177041103232757,0.0,0.500601118476064,0.0,0.0,0.0,0.0,0.4985663214942922,0.25900390376418786,0.23803115303606723,0.0015312664405504525,0.25900390376418786,0.23803115303606723,0.0015312664405504525,0.25900390376418786,0.9917964898362372,0.0020839113211234043,0.5736566101262631,0.0,1.9888475675241062,0.0,0.0,0.0,0.0,4.703137457616513,0.9196211096075778,0.45250338294993236,0.9294922097818182,0.5723857456956017,0.02246278755074425,0.6170500676589986,0.6364617044228694,0.6066350710900474,0.35403726708074534,1.9720046520233154,5.271315097808838,5.4907965660095215,4.863546371459961,5.30628776550293,5.419166088104248,4.931715965270996,4.413104057312012,4.449457168579102,4.500433444976807,1.2149417400360107,6.062585353851318,nan,0.8691019786910198,0.23809523809523808,0.9402536715620827,0.0,0.0,"[[571, 0, 86], [0, 10, 32], [141, 38, 2817]]","[[512, 107, 225], [676, 570, 678], [253, 84, 590]]",-0.2349809855222702,-0.19464457035064697,-0.19620493054389954,1.2648847103118896,1.2148791551589966,1.2167762517929077,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6,0.0009954748808839672,uncertainty_weighting,-0.2214772438705851,0.7367515294195137,0.155275231554191,0.21072910989583588,0.0023714233274000317,0.155275231554191,0.21072910989583588,0.0023714233274000317,0.155275231554191,0.8780379745313884,0.0031963398510943927,0.5054478217681485,0.0,0.3500782978161386,0.0,0.0,0.0,0.0,0.5091806964074161,0.26851689292065023,0.2387778585391051,0.0018859418023047473,0.26851689292065023,0.2387778585391051,0.0018859418023047473,0.26851689292065023,0.9949077618138232,0.0027521030976108106,0.585541233997061,0.0,2.7825442528833557,0.0,0.0,0.0,0.0,5.248423383159902,0.9215155615696887,0.4652232746955345,0.9443351535045497,0.5746232299270412,0.059810554803788905,0.5945872801082543,0.6903991370010788,0.5936018957345972,0.36180124223602483,2.247192621231079,5.527482509613037,4.646088123321533,5.7715911865234375,5.54469633102417,4.596465110778809,5.967637062072754,4.043301582336426,4.149742126464844,5.507528305053711,1.3040331602096558,10.170878410339355,nan,0.7382039573820396,0.2619047619047619,0.9709612817089452,0.0,0.0,"[[485, 0, 172], [0, 11, 31], [82, 5, 2909]]","[[501, 87, 256], [633, 578, 713], [216, 71, 640]]",-0.28018584847450256,-0.23322412371635437,-0.2353186011314392,1.3233758211135864,1.2626644372940063,1.26531183719635,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7,0.0009938441702975688,uncertainty_weighting,-0.3462102658606259,0.7039532285145128,0.1417289175905891,0.2080214081368261,0.0022262905281223255,0.1417289175905891,0.2080214081368261,0.0022262905281223255,0.1417289175905891,0.8667558861215864,0.0028300883808346274,0.5067428774485766,0.0,0.37599903056432343,0.0,0.0,0.0,0.0,0.4567998076162738,0.2185215219270554,0.23640163656984517,0.0018766568445616953,0.2185215219270554,0.23640163656984517,0.0018766568445616953,0.2185215219270554,0.9850068405613364,0.0025439738558733858,0.6026438546519479,0.0,2.0098167796778923,0.0,0.0,0.0,0.0,5.179904817572816,0.9407307171853857,0.4462787550744249,0.9454511489764609,0.5915953078741778,0.02110960757780785,0.5456021650879567,0.5782092772384034,0.6658767772511849,0.3167701863354037,2.11376690864563,5.6729888916015625,6.432333946228027,4.147972106933594,5.8884196281433105,5.063644886016846,4.5313005447387695,7.135130405426025,3.1963679790496826,6.145168781280518,2.2095000743865967,10.038920402526855,nan,0.9360730593607306,0.47619047619047616,0.94826435246996,0.0,0.0,"[[615, 0, 42], [0, 20, 22], [141, 14, 2841]]","[[562, 139, 143], [799, 551, 574], [309, 82, 536]]",-0.3246319890022278,-0.27159732580184937,-0.27441370487213135,1.3835214376449585,1.3120585680007935,1.3157590627670288,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8,0.0009919647942993148,uncertainty_weighting,-0.45605047807567123,0.6923051895503304,0.14010862338452065,0.2029995834342768,0.0030443855128010704,0.14010862338452065,0.2029995834342768,0.0030443855128010704,0.14010862338452065,0.8458316144107207,0.003890982406026026,0.4997915931817256,0.0,0.3117564355691358,0.0,0.0,0.0,0.0,0.4440860697155231,0.20977022292972095,0.23304879466558182,0.0012670497137313413,0.20977022292972095,0.23304879466558182,0.0012670497137313413,0.20977022292972095,0.9710366647040247,0.0018221548001038689,0.5496883868606552,0.0,1.8296410561041514,0.0,0.0,0.0,0.0,4.430290723497739,0.9431664411366711,0.4792963464140731,0.9478207644512744,0.5861277135377191,0.06062246278755074,0.6,0.7130528586839266,0.5201421800947867,0.37267080745341613,1.8978461027145386,4.780582427978516,7.212273120880127,4.427602767944336,4.5959296226501465,4.8929595947265625,4.412508487701416,3.075432062149048,3.8516130447387695,4.462194919586182,0.8013771772384644,5.687436580657959,nan,0.8264840182648402,0.5238095238095238,0.9746328437917223,0.0,0.023809523809523808,"[[543, 0, 114], [1, 22, 19], [63, 13, 2920]]","[[439, 184, 221], [513, 671, 740], [181, 85, 661]]",-0.36769258975982666,-0.30988678336143494,-0.3134516179561615,1.4443979263305664,1.3632707595825195,1.3681392669677734,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9,0.0009898376992116178,uncertainty_weighting,-0.5789012588140023,0.6615684156633057,0.13042970265751633,0.19818500712783477,0.0021694956348938046,0.13042970265751633,0.19818500712783477,0.0021694956348938046,0.13042970265751633,0.8257708798750709,0.0027493825921421104,0.4845564250065011,0.0,0.3066713470525911,0.0,0.0,0.0,0.0,0.4571728495848195,0.22021510360689384,0.23520726888605642,0.0017504813505906274,0.22021510360689384,0.23520726888605642,0.0017504813505906274,0.22021510360689384,0.9800303175097712,0.0023706927663660502,0.571309028894556,0.0,1.850357552011263,0.0,0.0,0.0,0.0,4.679127753613054,0.937212449255751,0.45115020297699593,0.9486433736269182,0.602840573368181,0.060081190798376184,0.5515561569688768,0.6817691477885652,0.6362559241706162,0.35248447204968947,2.1233625411987305,5.609560012817383,6.112827777862549,4.721052646636963,5.619277000427246,6.779500484466553,5.374166965484619,3.5642917156219482,3.656705617904663,5.273426055908203,0.7473028898239136,6.129918098449707,nan,0.9467275494672754,0.5238095238095238,0.9409212283044058,0.0,0.0,"[[622, 0, 35], [0, 22, 20], [160, 17, 2819]]","[[537, 104, 203], [675, 498, 751], [228, 67, 632]]",-0.41000500321388245,-0.3480992019176483,-0.35252508521080017,1.5068254470825195,1.4163727760314941,1.4226553440093994,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10,0.0009874639560909118,uncertainty_weighting,-0.7055828106714194,0.6269679825061736,0.11764370045811794,0.1940106457073738,0.001829644898642899,0.11764370045811794,0.1940106457073738,0.001829644898642899,0.11764370045811794,0.8083777111529641,0.0022759209799588895,0.46994526225142014,0.0,0.28973917552695455,0.0,0.0,0.0,0.0,0.4584611296976371,0.21582453400098262,0.24127824144773136,0.001358346177229761,0.21582453400098262,0.24127824144773136,0.001358346177229761,0.21582453400098262,1.0053260173139456,0.0019589166282972317,0.5887103682199899,0.0,2.1809550245597924,0.0,0.0,0.0,0.0,4.415043049423043,0.9496617050067659,0.460893098782138,0.9533621089771381,0.6179975609884386,0.055209742895805144,0.5001353179972936,0.7357065803667745,0.542654028436019,0.38975155279503104,1.9855077266693115,5.065053462982178,4.957363605499268,5.213598251342773,5.060426712036133,5.835399627685547,5.480307579040527,3.5521240234375,4.865861892700195,4.30373477935791,-0.07323005050420761,5.023115158081055,nan,0.974124809741248,0.5238095238095238,0.9502670226969292,0.0,0.0,"[[640, 0, 17], [0, 22, 20], [135, 14, 2847]]","[[458, 122, 264], [523, 563, 838], [167, 78, 682]]",-0.4524915814399719,-0.38620948791503906,-0.39159300923347473,1.5722246170043945,1.4713928699493408,1.4793355464935303,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
