controller,zone,t0,t1,duration_s,n_samples,ey_rmse,ey_peak,ey_iae,epsi_rmse,epsi_peak,ev_rmse,ev_peak,eomega_rmse,eomega_peak,xy_rmse,xy_peak,F_rms,F_peak,F_sat595_pct,F_limit_hit_pct,omega_cmd_rms,omega_cmd_peak,omega_sat060_pct,omega_limit_hit_pct,viol_rate,j_du,dF_rms,domega_cmd_rms,solve_time_p50_ms,solve_time_p95_ms,solve_time_p99_ms,solve_time_max_ms,timeout_rate,theta_mae_deg,theta_peak_deg,theta_sched_mae_deg,theta_hat_step_p95_deg,theta_sched_step_p95_deg,main_acc_pct,turn_acc_pct,flat_false_slope_pct,slope_recall_pct,right_recall_pct,left_recall_pct,pred_main_1_pct,pred_main_2_pct,pred_main_3_pct,pred_turn_m1_pct,pred_turn_0_pct,pred_turn_1_pct
baseline_lock,all,0,52,52,5151,0.0405837714490269,0.12690287779986,1.40274657735239,0.0415952419404275,0.0946014381012255,0.0355769981358947,0.129934566927505,0.0219126603467524,0.100119389051316,0.513652824986013,0.679181139413126,157.137673102785,224.704391134481,0,0,0.0792461283900394,1.35086687840308,0.07765482430596,0,0,5.32370259076876,2.30721172899333,0.0218318199973113,0.0208541,0.022550575,0.023888691,0.2452377,0,0.600177618700356,3.32314074074074,0.712585144187336,0.016546320359511,0.0240934768744909,94.1370607649,48.8448844884488,12.323064113239,96.1012658227848,91.3473423980222,46.6309341500766,23.4323432343234,0,76.5676567656766,27.4898078043098,36.2065618326539,36.3036303630363
baseline_lock,startup,0,4,4,400,0,0,0,0,0,0.175318965954327,0.82,0,0,0.233527977397704,0.245250100324083,130.519914022882,508.814670318738,0,0,4.14803413030845e-05,0.000245715645736055,0,0,0,66.3592694553824,8.14611990184716,1.05861007494259e-05,0.0073666,0.0220107,0.09793125,4.0511424,0,0,0,0,0,0,100,100,0,NaN,NaN,NaN,100,0,0,0,100,0
baseline_lock,uphill_left_transition,4,22,18,1800,0.0370977796262635,0.0676463369025724,0.465920309573442,0.0542246497684397,0.0946014381012255,0.0372102589791132,0.119434879624378,0.0259447720155561,0.100119389051316,0.543572651072902,0.672205583789543,196.591985211355,224.704391134481,0,0,0.0815649602744738,0.144050227413507,0,0,0,0.962100753869758,0.980862998721816,0.00292089168006242,0.02123025,0.0231167,0.02475845,0.0325373,0,0.567596467858896,3.161125,0.705972030773276,0.0138145104544489,0.0154368517196438,93.9444444444444,63.6111111111111,0,92.985842985843,NaN,43.1396786155748,19.7222222222222,0,80.2777777777778,1.83333333333333,69.7777777777778,28.3888888888889
baseline_lock,downhill_right_transition,22,42,20,2000,0.0199914364131767,0.0390604024821615,0.329998601501967,0.0304047576097038,0.0520949553768676,0.0299067562592184,0.106524686752093,0.0228768139244661,0.0808983703452953,0.499967037273231,0.679181139413126,154.058651191476,221.809355331163,0,0,0.0779749302627381,0.130091277742777,0,0,0,3.48551651072878,1.86694902477694,0.00422488026258057,0.02073045,0.0217703,0.022617,0.0346328,0,0.523226585822837,3.32314074074074,0.668474050049112,0.0274671289333318,0.0326571263419476,96.6,36.95,14.8387096774194,97.5609756097561,91.3473423980222,NaN,8.85,0,91.15,69.15,0,30.85
baseline_lock,flat_left_exit,42,52,10,1000,0.0721618836080623,0.12690287779986,0.606227812553717,0.0420785602838962,0.074660005086531,0.0451229343193057,0.0695868440689511,0.0146516694551251,0.0454912903434778,0.553321354564253,0.666757367980061,97.5028004854607,157.637758955252,0,0,0.0906178690077542,1.35086687840308,0.4,0,0,18.4221039342532,4.29181755900467,0.0490507336582943,0.02069565,0.0220101,0.023293,0.0245591,0,1.02338810013385,1.85162068877451,1.06282778604874,0.0155919688414955,0.0212605807831194,87.5,28.2,27.8396436525612,100,NaN,52.3138832997988,32.4,0,67.6,0,25.9,74.1
u06_lr0013_seed101,all,0,52,52,5151,0.0459392715040932,0.125247211556583,1.70316435556262,0.05068666938664,0.108158039386952,0.0323187000982068,0.129934566927505,0.0276898718799807,0.120407304046833,0.635925064483,0.851969011545781,156.870699587852,228.697695405433,0,0,0.0790301480222137,1.36462526070187,0.05824111822947,0,0,2.62396224812567,1.61974535271124,0.0196784271727043,0.0213688,0.023611575,0.031804411,0.2499342,0,0.532560058717027,3.62976446759259,0.648695344494379,0.0153389200012626,0.0176221604645904,95.4377790720249,46.5346534653465,10.9908409658618,97.3924050632911,96.9097651421508,34.8392036753446,22.7528635216463,0,77.2471364783537,28.3245971655989,39.0021355076684,32.6732673267327
u06_lr0013_seed101,startup,0,4,4,400,0,0,0,0,0,0.175318965954327,0.82,0,0,0.233527977397704,0.245250100324083,130.519914022882,508.814670318738,0,0,4.14803413030845e-05,0.000245715645736055,0,0,0,66.3592694553824,8.14611990184716,1.05861007494259e-05,0.0075023,0.0233187,0.0964964,4.2955498,0,0,0,0,0,0,100,100,0,NaN,NaN,NaN,100,0,0,0,100,0
u06_lr0013_seed101,uphill_left_transition,4,22,18,1800,0.0439885014423799,0.0762967096954169,0.554908391490732,0.0634291045514684,0.108158039386952,0.0444364187435222,0.12611231442545,0.0308859900746098,0.120407304046833,0.626236091332771,0.797461015166181,196.105813591529,223.340230149726,0,0,0.0826050744343177,0.177111984340355,0,0,0,0.661847596796721,0.813527211205743,0.00459057997718308,0.02172085,0.0264937,0.0326664,0.0473371,0,0.82893232627018,3.62976446759259,0.916458215763707,0.0115496224362118,0.0131734930767512,95.2777777777778,56.0555555555556,0,94.5302445302445,NaN,26.3288009888752,18.3888888888889,0,81.6111111111111,0.222222222222222,77.3333333333333,22.4444444444444
u06_lr0013_seed101,downhill_right_transition,22,42,20,2000,0.0318510057815156,0.0525040168817181,0.533597445039826,0.0445061414052361,0.0689512684917972,0.0253680775748588,0.0755881094983548,0.0284816702286908,0.101835381169342,0.694752016482836,0.851969011545781,154.627381994771,228.697695405433,0,0,0.079967375816588,0.178823109638996,0,0,0,3.32048244802007,1.82220507812806,0.00714851483607674,0.02118015,0.0229308,0.0263483,0.0383222,0,0.463344063045052,2.18527500000001,0.642967339033613,0.0207472695248062,0.0261842214160894,97.2,39.2,24.5161290322581,99.0243902439024,96.9097651421508,NaN,6.75,0,93.25,67.1,0,32.9
u06_lr0013_seed101,flat_left_exit,42,52,10,1000,0.0731946377598522,0.125247211556583,0.613826770438977,0.0450552962879608,0.0797547648386461,0.0183389784519186,0.0403291658480247,0.0246924640259545,0.077744649312565,0.625074119660706,0.669714794690753,95.2236009978449,148.524570359596,0,0,0.0842552098717033,1.36462526070187,0.3,0,0,5.37526356424214,2.31806115643831,0.043081774035264,0.0212363,0.02288235,0.0273256,0.0334956,0,0.324450549074979,1.01578148148148,0.405869899941949,0.0135303268112589,0.0177208084130724,90.6,25.4,20.9354120267261,100,NaN,48.692152917505,35.5,0,64.5,11.2,26.7,62.1
