evidence_id,exists,path,official_use,notes
baseline_metric_matrix,true,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\03_rerank_existing_experiments\candidate_metric_matrix.csv,yes,baseline_lock offline reference metrics
v2_full_thresholds,true,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\10_threshold_recalibration\hard_constraint_thresholds_v2_full_proposed.json,yes,offline hard gate thresholds
v2_closed_loop_thresholds,true,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\10_threshold_recalibration\hard_constraint_thresholds_v2_closed_loop_proposed.json,yes,closed-loop hard gate thresholds
uncertainty_offline_multiseed,true,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\12_uncertainty_replacement_qualification\02_offline_multiseed\same_recipe_offline_multiseed.csv,yes,Uncertainty seed21/42/101 offline v2 table
uncertainty_closed_loop_multiseed,true,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\12_uncertainty_replacement_qualification\03_closed_loop_representatives\closed_loop_replacement_results.csv,yes,Uncertainty seed21/42/101 current v2 closed-loop representatives
strict_gru_tcn_closed_loop,true,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\09_strict_gru_tcn_validation\strict_gru_tcn_new_metric_aggregate.csv,yes,GRU seed101 strict three-path closed-loop aggregate
modern_turn_historical_multiseed_closed_loop,true,E:\Matlab\Simulink\S-Function_16\results\paper\agv_model_parameter_correction_workflow\09_closed_loop\modern_multiseed_l020_tt25_full\modern_multiseed_summary.csv,yes,ModernTCN turn champion seed101/202/303 historical closed-loop summary
legacy_gru_theta10_v2,true,E:\Matlab\Simulink\S-Function_16\results\gru\train_logs_theta10_uniform_h0_v2\GRU_theta10_v2_multi_seed_summary.csv,excluded,"old-contract GRU seed21/42/73/101 summary, excluded from official comparison"
modern_base_seed21_offline,true,E:\Matlab\Simulink\S-Function_16\results\paper\agv_model_parameter_correction_workflow\08_models\modern_tcn\modern_tcn_v5_plantfix_passive17_plus_all5_seed21\modern_tcn_seed21_summary.csv,yes,ModernTCN_small base current-contract offline summary
modern_base_seed73_offline,true,E:\Matlab\Simulink\S-Function_16\results\paper\agv_model_parameter_correction_workflow\08_models\modern_tcn\modern_tcn_v5_plantfix_passive17_plus_all5_seed73\modern_tcn_seed73_summary.csv,yes,ModernTCN_small base current-contract offline summary
modern_base_seed101_offline,true,E:\Matlab\Simulink\S-Function_16\results\paper\agv_model_parameter_correction_workflow\08_models\modern_tcn\modern_tcn_v5_plantfix_passive17_plus_all5_seed101\modern_tcn_seed101_summary.csv,yes,ModernTCN_small base current-contract offline summary
modern_champion_seed101_offline,true,E:\Matlab\Simulink\S-Function_16\results\paper\agv_model_parameter_correction_workflow\08_models\modern_tcn\modern_tcn_v5_plantfix_turn_l020_tt25_tcm14_stw055_slrw060_seed101\modern_tcn_seed101_summary.csv,yes,current baseline_lock offline summary
gru_plantfix_seed21_offline_report,true,E:\Matlab\Simulink\S-Function_16\results\paper\agv_model_parameter_correction_workflow\08_models\matlab_logs\full_gru_v5_plantfix_passive17_plus_all5_seed21\GRU_train_report.md,limited,"GRU current-contract training report, flat_peak_theta_error unavailable"
gru_plantfix_seed73_offline_report,true,E:\Matlab\Simulink\S-Function_16\results\paper\agv_model_parameter_correction_workflow\08_models\matlab_logs\full_gru_v5_plantfix_passive17_plus_all5_seed73\GRU_train_report.md,limited,"GRU current-contract training report, flat_peak_theta_error unavailable"
gru_plantfix_seed101_offline_report,true,E:\Matlab\Simulink\S-Function_16\results\paper\agv_model_parameter_correction_workflow\08_models\matlab_logs\full_gru_v5_plantfix_passive17_plus_all5_seed101\GRU_train_report.md,limited,"GRU current-contract training report, flat_peak_theta_error unavailable"
