algorithm_group,variant_id,seed,source_contract,evidence_level,is_reference_baseline,official_offline_comparison_eligible,offline_v2_status,hard_gate_failures,hard_gate_unavailable,offline_score_vs_baseline,metric_missing_ratio,best_epoch,acc_main,acc_turn,acc_turn_transition,theta_mae_deg,theta_edge_p95_abs_err,flat_peak_theta_error,flat_recall,stall_recall,slope_recall,checkpoint_file,report_file,source_file,notes
ModernTCN_small_base,plantfix_passive17_plus_all5_seed21,21,plantfix_passive17_plus_all5,current_contract_complete,false,true,fail,theta_edge_p95_abs_err_ratio=1.21467>1.05;flat_peak_theta_error_ratio=1.24187>1.15,none,1.08138457217925,0,56,0.972515269294836,0.579677956690727,0.475409836065574,0.818802356719971,3.34648656845093,6.62629556655884,0.957671957671958,0.697916666666667,0.986181818181818,E:\Matlab\Simulink\S-Function_16\results\paper\agv_model_parameter_correction_workflow\08_models\modern_tcn\modern_tcn_v5_plantfix_passive17_plus_all5_seed21\modern_tcn_seed21.pt,E:\Matlab\Simulink\S-Function_16\results\paper\agv_model_parameter_correction_workflow\08_models\modern_tcn\modern_tcn_v5_plantfix_passive17_plus_all5_seed21\ModernTCN_train_report.md,E:\Matlab\Simulink\S-Function_16\results\paper\agv_model_parameter_correction_workflow\08_models\modern_tcn\modern_tcn_v5_plantfix_passive17_plus_all5_seed21\modern_tcn_seed21_summary.csv,原始 ModernTCN_small 多 seed 训练历史；不是当前 frozen champion。
ModernTCN_small_base,plantfix_passive17_plus_all5_seed73,73,plantfix_passive17_plus_all5,current_contract_complete,false,true,fail,flat_peak_theta_error_ratio=1.17885>1.15,none,1.05146783283019,0,54,0.965019433647973,0.573847862298723,0.479880774962742,0.712327182292938,2.83646965026855,6.2900538444519,0.957671957671958,0.625,0.978909090909091,E:\Matlab\Simulink\S-Function_16\results\paper\agv_model_parameter_correction_workflow\08_models\modern_tcn\modern_tcn_v5_plantfix_passive17_plus_all5_seed73\modern_tcn_seed73.pt,E:\Matlab\Simulink\S-Function_16\results\paper\agv_model_parameter_correction_workflow\08_models\modern_tcn\modern_tcn_v5_plantfix_passive17_plus_all5_seed73\ModernTCN_train_report.md,E:\Matlab\Simulink\S-Function_16\results\paper\agv_model_parameter_correction_workflow\08_models\modern_tcn\modern_tcn_v5_plantfix_passive17_plus_all5_seed73\modern_tcn_seed73_summary.csv,原始 ModernTCN_small 多 seed 训练历史；不是当前 frozen champion。
ModernTCN_small_base,plantfix_passive17_plus_all5_seed101,101,plantfix_passive17_plus_all5,current_contract_complete,false,true,pass,none,none,1.00914528585944,0,74,0.961132704053304,0.574680732926152,0.46795827123696,0.64795458316803,2.55618762969971,5.6189980506897,0.927248677248677,0.697916666666667,0.979636363636364,E:\Matlab\Simulink\S-Function_16\results\paper\agv_model_parameter_correction_workflow\08_models\modern_tcn\modern_tcn_v5_plantfix_passive17_plus_all5_seed101\modern_tcn_seed101.pt,E:\Matlab\Simulink\S-Function_16\results\paper\agv_model_parameter_correction_workflow\08_models\modern_tcn\modern_tcn_v5_plantfix_passive17_plus_all5_seed101\ModernTCN_train_report.md,E:\Matlab\Simulink\S-Function_16\results\paper\agv_model_parameter_correction_workflow\08_models\modern_tcn\modern_tcn_v5_plantfix_passive17_plus_all5_seed101\modern_tcn_seed101_summary.csv,原始 ModernTCN_small 多 seed 训练历史；不是当前 frozen champion。
ModernTCN_small_champion_baseline,turn_l020_tt25_tcm14_stw055_slrw060_seed101,101,plantfix_passive17_plus_all5_turn_champion,current_contract_complete,true,true,pass,reference,none,1,0,63,0.966962798445308,0.578845086063298,0.497764530551416,0.679394781589508,2.75505685806274,5.3357400894165,0.96957671957672,0.71875,0.974909090909091,E:\Matlab\Simulink\S-Function_16\results\paper\agv_model_parameter_correction_workflow\08_models\modern_tcn\modern_tcn_v5_plantfix_turn_l020_tt25_tcm14_stw055_slrw060_seed101\modern_tcn_seed101.pt,E:\Matlab\Simulink\S-Function_16\results\paper\agv_model_parameter_correction_workflow\08_models\modern_tcn\modern_tcn_v5_plantfix_turn_l020_tt25_tcm14_stw055_slrw060_seed101\ModernTCN_train_report.md,E:\Matlab\Simulink\S-Function_16\results\paper\agv_model_parameter_correction_workflow\08_models\modern_tcn\modern_tcn_v5_plantfix_turn_l020_tt25_tcm14_stw055_slrw060_seed101\modern_tcn_seed101_summary.csv,当前 baseline_lock / frozen ModernTCN_small champion。
Uncertainty_weighted_ModernTCN_small,uncertainty_anchor_same_recipe_seed21,21,plantfix_passive17_plus_all5_uncertainty_same_recipe,current_contract_complete,false,true,fail,flat_peak_theta_error_ratio=1.3324>1.15,none,1.09351261643159,0,NaN,0.960022209883398,0.506662965019434,0.451564828614009,0.877005279064178,2.43688559532166,7.10931348800659,0.933862433862434,0.6875,0.976727272727273,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\12_uncertainty_replacement_qualification\01_same_recipe_multiseed\uncertainty_anchor_same_recipe_seed21\modern_tcn_seed21.pt,,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\12_uncertainty_replacement_qualification\01_same_recipe_multiseed\uncertainty_anchor_same_recipe_seed21\metrics_test.csv,uncertainty weighting 同配方复验；seed21/42 是 replacement qualification 节点补训。
Uncertainty_weighted_ModernTCN_small,uncertainty_anchor_same_recipe_seed42,42,plantfix_passive17_plus_all5_uncertainty_same_recipe,current_contract_complete,false,true,fail,theta_edge_p95_abs_err_ratio=1.24186>1.05,none,1.07901896581399,0,NaN,0.967240421987785,0.564408661854525,0.497764530551416,0.875044822692871,3.42140817642212,5.89323759078979,0.94047619047619,0.697916666666667,0.984,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\12_uncertainty_replacement_qualification\01_same_recipe_multiseed\uncertainty_anchor_same_recipe_seed42\modern_tcn_seed42.pt,,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\12_uncertainty_replacement_qualification\01_same_recipe_multiseed\uncertainty_anchor_same_recipe_seed42\metrics_test.csv,uncertainty weighting 同配方复验；seed21/42 是 replacement qualification 节点补训。
Uncertainty_weighted_ModernTCN_small,uncertainty_seed101_rerun_20260622,101,plantfix_passive17_plus_all5_uncertainty_same_recipe,current_contract_complete,false,true,pass,none,none,0.970838817749306,0,NaN,0.967518045530261,0.58717379233759,0.491803278688525,0.609225153923035,2.27067041397095,5.24426937103271,0.958994708994709,0.697916666666667,0.979272727272727,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_sci_innovation\01_loss_optimization\uncertainty_seed101_rerun_20260622\modern_tcn_seed101.pt,,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_sci_innovation\01_loss_optimization\uncertainty_seed101_rerun_20260622\metrics_test.csv,uncertainty weighting 同配方复验；seed21/42 是 replacement qualification 节点补训。
GRU_plantfix,full_gru_v5_plantfix_passive17_plus_all5_seed21,21,plantfix_passive17_plus_all5,current_contract_limited,false,false,fail,stall_recall_drop=0.11455>0.1;theta_edge_p95_abs_err_ratio=1.2337>1.05,flat_peak_theta_error,1.10872679128676,0.111111111111111,NaN,0.9581,0.5294,0.3979,0.731,3.3989,NaN,0.9577,0.6042,0.9705,E:\Matlab\Simulink\S-Function_16\results\paper\agv_model_parameter_correction_workflow\08_models\models\GRU_model_full_gru_v5_plantfix_passive17_plus_all5_seed21.mat,E:\Matlab\Simulink\S-Function_16\results\paper\agv_model_parameter_correction_workflow\08_models\matlab_logs\full_gru_v5_plantfix_passive17_plus_all5_seed21\GRU_train_report.md,E:\Matlab\Simulink\S-Function_16\results\paper\agv_model_parameter_correction_workflow\08_models\matlab_logs\full_gru_v5_plantfix_passive17_plus_all5_seed21\GRU_train_report.md,同 plantfix 数据契约，但训练报告缺少 flat_peak_theta_error，不能正式判定 full offline pass。
GRU_plantfix,full_gru_v5_plantfix_passive17_plus_all5_seed73,73,plantfix_passive17_plus_all5,current_contract_limited,false,false,fail,theta_edge_p95_abs_err_ratio=1.90493>1.05,flat_peak_theta_error,1.22191425694843,0.111111111111111,NaN,0.9589,0.5186,0.4277,1.009,5.2482,NaN,0.9365,0.6771,0.9749,E:\Matlab\Simulink\S-Function_16\results\paper\agv_model_parameter_correction_workflow\08_models\models\GRU_model_full_gru_v5_plantfix_passive17_plus_all5_seed73.mat,E:\Matlab\Simulink\S-Function_16\results\paper\agv_model_parameter_correction_workflow\08_models\matlab_logs\full_gru_v5_plantfix_passive17_plus_all5_seed73\GRU_train_report.md,E:\Matlab\Simulink\S-Function_16\results\paper\agv_model_parameter_correction_workflow\08_models\matlab_logs\full_gru_v5_plantfix_passive17_plus_all5_seed73\GRU_train_report.md,同 plantfix 数据契约，但训练报告缺少 flat_peak_theta_error，不能正式判定 full offline pass。
GRU_plantfix,full_gru_v5_plantfix_passive17_plus_all5_seed101,101,plantfix_passive17_plus_all5,current_contract_limited,false,false,unavailable,none,flat_peak_theta_error,1.06858365938923,0.111111111111111,NaN,0.9603,0.538,0.3934,0.7158,2.6859,NaN,0.9259,0.6354,0.9811,E:\Matlab\Simulink\S-Function_16\results\paper\agv_model_parameter_correction_workflow\08_models\models\GRU_model_full_gru_v5_plantfix_passive17_plus_all5_seed101.mat,E:\Matlab\Simulink\S-Function_16\results\paper\agv_model_parameter_correction_workflow\08_models\matlab_logs\full_gru_v5_plantfix_passive17_plus_all5_seed101\GRU_train_report.md,E:\Matlab\Simulink\S-Function_16\results\paper\agv_model_parameter_correction_workflow\08_models\matlab_logs\full_gru_v5_plantfix_passive17_plus_all5_seed101\GRU_train_report.md,同 plantfix 数据契约，但训练报告缺少 flat_peak_theta_error，不能正式判定 full offline pass。
