epoch,lr,loss_mode,train_loss,train_loss_fixed_total,train_loss_main,train_loss_turn,train_loss_theta,train_loss_main_base,train_loss_turn_base,train_loss_theta_base,train_loss_main_raw,train_loss_turn_raw,train_loss_theta_raw,train_loss_transition_focal_raw,train_loss_transition_focal_weighted,train_loss_stall_focal_raw,train_loss_stall_focal_weighted,train_loss_theta_smooth,train_loss_flat_theta_expert_reg,train_loss_flat_theta_expert_reg_weighted,val_loss,val_loss_main,val_loss_turn,val_loss_theta,val_loss_main_base,val_loss_turn_base,val_loss_theta_base,val_loss_main_raw,val_loss_turn_raw,val_loss_theta_raw,val_loss_transition_focal_raw,val_loss_transition_focal_weighted,val_loss_stall_focal_raw,val_loss_stall_focal_weighted,val_loss_theta_smooth,val_loss_flat_theta_expert_reg,val_loss_flat_theta_expert_reg_weighted,val_score,val_acc_main,val_acc_turn,val_main_confidence_mean,val_turn_confidence_mean,val_main_low_conf_0p60_ratio,val_turn_low_conf_0p60_ratio,val_turn_left_recall,val_turn_right_recall,val_acc_turn_transition,val_theta_mae_deg,val_theta_abs_le_10_p95_abs_err_deg,val_theta_neg_10_8_p95_abs_err_deg,val_theta_pos_8_10_p95_abs_err_deg,val_theta_abs_le_8_p95_abs_err_deg,val_theta_neg_8_6_p95_abs_err_deg,val_theta_pos_6_8_p95_abs_err_deg,val_theta_neg_2_0p5_p95_abs_err_deg,val_theta_pos_0p5_2_p95_abs_err_deg,val_theta_flat_abs_p95_deg,val_theta_flat_bias_deg,val_theta_near_flat_abs_p95_deg,val_theta_true_zero_abs_p95_deg,val_flat_recall,val_stall_recall,val_slope_recall,val_flat_as_stall_ratio,val_stall_as_flat_ratio,val_cm_main,val_cm_turn,s_main,s_turn,s_theta,weight_main,weight_turn,weight_theta,task_weight_main,task_weight_turn,task_weight_theta,initial_loss_main,initial_loss_turn,initial_loss_theta,grad_norm_main,grad_norm_turn,grad_norm_theta,gradnorm_loss,gradnorm_unstable
1,0.001299777261234112,uncertainty_weighting,0.8622046016912595,1.8527565631266982,0.7053895994693616,0.20316878431750207,0.017819893631229496,0.7053895994693616,0.20316878431750207,0.017819893631229496,0.7053895994693616,1.0158439072479937,0.018461099313850957,0.5328968918989196,0.0,1.462472782441381,0.0,0.0,0.0,0.0,0.684133454540263,0.4751419543978003,0.2035965407451209,0.005394962290995055,0.4751419543978003,0.2035965407451209,0.005394962290995055,0.4751419543978003,1.0179826795328937,0.006336073783076342,0.5316770621662372,0.0,2.406996388106288,0.0,0.0,0.0,0.0,10.934190991562119,0.8354533152909337,0.4273342354533153,0.7683776875126274,0.4817620009325899,0.17591339648173207,0.8736129905277402,0.5965480043149946,0.580568720379147,0.29037267080745344,3.426938056945801,9.341828346252441,10.656042098999023,7.810420513153076,9.35934066772461,11.518715858459473,8.173518180847168,8.977398872375488,6.6357831954956055,8.501952171325684,2.500556468963623,10.026174545288086,nan,0.771689497716895,0.0,0.8611481975967957,0.0,0.2857142857142857,"[[507, 0, 150], [12, 0, 30], [407, 9, 2580]]","[[490, 80, 274], [751, 536, 637], [255, 119, 553]]",-0.051679834723472595,-0.06514783948659897,-0.06588029861450195,1.053038477897644,1.0673167705535889,1.068098783493042,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2,0.001299109197590473,uncertainty_weighting,0.2958773013617456,1.0669751679142199,0.3365092629136202,0.19121776532565007,0.005760550731215512,0.3365092629136202,0.19121776532565007,0.005760550731215512,0.3365092629136202,0.9560888119578772,0.006769846294011468,0.5431750829217366,0.0,0.902777261905369,0.0,0.0,0.0,0.0,0.5117553344437492,0.31162599496170373,0.1976174825300867,0.002511863698439322,0.31162599496170373,0.1976174825300867,0.002511863698439322,0.31162599496170373,0.9880874040807536,0.003039693516516536,0.5264540932820517,0.0,2.7763704878067617,0.0,0.0,0.0,0.0,6.629708447357585,0.9136671177266577,0.4311231393775372,0.8912745435719726,0.5256006954041096,0.0503382949932341,0.7705006765899864,0.6893203883495146,0.580568720379147,0.33540372670807456,2.31048846244812,6.5382866859436035,7.942924499511719,5.96503210067749,6.480768203735352,8.013992309570312,6.305534362792969,5.387318134307861,3.5859193801879883,4.862632751464844,0.8407038450241089,5.946841716766357,nan,0.9071537290715372,0.21428571428571427,0.9248998664886515,0.0,0.2619047619047619,"[[596, 0, 61], [11, 9, 22], [209, 16, 2771]]","[[490, 57, 297], [676, 464, 784], [256, 32, 639]]",-0.14016035199165344,-0.1301197111606598,-0.13135939836502075,1.1504583358764648,1.1389647722244263,1.1403776407241821,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,0.0012979962669265332,uncertainty_weighting,-0.011667656139602202,0.8329869536041197,0.22671356705534126,0.18486259658973903,0.0049173127441696374,0.22671356705534126,0.18486259658973903,0.0049173127441696374,0.22671356705534126,0.9243129708169917,0.005645540132288108,0.5312830494647234,0.0,0.5648708516598941,0.0,0.0,0.0,0.0,0.4686942007690063,0.2671302228157833,0.1977813970776469,0.003782578728808259,0.2671302228157833,0.1977813970776469,0.003782578728808259,0.2671302228157833,0.98890697578616,0.004835619927536449,0.5703962205872646,0.0,2.522618757565386,0.0,0.0,0.0,0.0,7.855536022073478,0.9228687415426252,0.4668470906630582,0.9223451789987692,0.5571095710337102,0.07280108254397835,0.6611637347767253,0.6235167206040992,0.5864928909952607,0.34627329192546585,2.950381278991699,8.210031509399414,10.772733688354492,5.453423976898193,7.800189971923828,8.777437210083008,5.961356163024902,4.301395893096924,5.341700077056885,7.602614402770996,-0.6302764415740967,8.365107536315918,nan,0.7656012176560122,0.21428571428571427,0.9672897196261683,0.0,0.047619047619047616,"[[503, 0, 154], [2, 9, 31], [85, 13, 2898]]","[[495, 127, 222], [648, 652, 624], [242, 107, 578]]",-0.223205104470253,-0.1946844905614853,-0.19666224718093872,1.2500768899917603,1.2149276733398438,1.2173328399658203,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4,0.0012964392319893775,uncertainty_weighting,-0.24089947350986265,0.7450620132700214,0.1892095766936783,0.180233006446452,0.0030884226972076197,0.1892095766936783,0.180233006446452,0.0030884226972076197,0.1892095766936783,0.9011650178233266,0.0037086085470523908,0.5361337309899423,0.0,0.4018950037110769,0.0,0.0,0.0,0.0,0.5437911114770118,0.3396024787538913,0.20212755060889562,0.0020610848930380805,0.3396024787538913,0.20212755060889562,0.0020610848930380805,0.3396024787538913,1.0106377340137394,0.0023260972199833,0.5939046945478339,0.0,2.254534187874721,0.0,0.0,0.0,0.0,6.514986687607859,0.8987821380243572,0.40460081190798375,0.9272953385050215,0.5721094368132817,0.033288227334235455,0.6051420838971583,0.6267529665587918,0.6007109004739336,0.30745341614906835,1.9508321285247803,5.934110164642334,6.133602619171143,6.681719779968262,5.8022871017456055,6.64371919631958,5.999795913696289,4.5158257484436035,3.8971078395843506,5.788890361785889,0.3847346901893616,6.91620397567749,nan,0.6834094368340944,0.2857142857142857,0.9546061415220294,0.0,0.23809523809523808,"[[449, 0, 208], [10, 12, 20], [93, 43, 2860]]","[[507, 34, 303], [806, 407, 711], [267, 79, 581]]",-0.3011387288570404,-0.25882014632225037,-0.2619517743587494,1.351396918296814,1.295400857925415,1.2994638681411743,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5,0.0012944391598929768,uncertainty_weighting,-0.4423454764168206,0.7007934033845454,0.1716626481288242,0.1757063682635803,0.0030276865294447475,0.1716626481288242,0.1757063682635803,0.0030276865294447475,0.1716626481288242,0.878531823978139,0.0033689387243177288,0.5353148388331798,0.0,0.46120780718542587,0.0,0.0,0.0,0.0,0.4169854392460138,0.2118451512069599,0.20361322458525954,0.0015270637295678943,0.2118451512069599,0.20361322458525954,0.0015270637295678943,0.2118451512069599,1.0180661140823881,0.002060324677861017,0.5968232576998709,0.0,2.129105782492719,0.0,0.0,0.0,0.0,4.818934816827103,0.9420838971583221,0.44871447902571043,0.9486933570292305,0.5644498713002143,0.020568335588633288,0.637618403247632,0.6267529665587918,0.6090047393364929,0.35248447204968947,2.0074048042297363,5.2898478507995605,5.419979095458984,5.826058864593506,5.17646598815918,6.005218029022217,5.768340110778809,4.680730819702148,3.3684067726135254,4.20480489730835,0.07277539372444153,4.328207015991211,nan,0.9452054794520548,0.40476190476190477,0.9489319092122831,0.0015220700152207,0.14285714285714285,"[[621, 1, 35], [6, 17, 19], [145, 8, 2843]]","[[514, 81, 249], [675, 563, 686], [223, 123, 581]]",-0.375931978225708,-0.322579562664032,-0.3271724283695221,1.4563480615615845,1.380684733390808,1.387040615081787,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6,0.0012919974213868395,uncertainty_weighting,-0.630418941830253,0.673395252352553,0.1627073444485109,0.17161200267266533,0.002378279276802853,0.1627073444485109,0.17161200267266533,0.002378279276802853,0.1627073444485109,0.8580599985622337,0.0026169962572720777,0.5398974605073686,0.0,0.3152772054298319,0.0,0.0,0.0,0.0,0.43104472576523345,0.2305556485230287,0.1963938938426068,0.004095187682043433,0.2305556485230287,0.1963938938426068,0.004095187682043433,0.2305556485230287,0.9819694640510621,0.00495190317194319,0.6014881724998334,0.0,2.3043613792514286,0.0,0.0,0.0,0.0,9.034596736427286,0.9326116373477673,0.4479025710419486,0.9486763171920737,0.5836343027245846,0.018403247631935047,0.5972936400541272,0.7411003236245954,0.6492890995260664,0.36801242236024845,3.109278917312622,8.414247512817383,7.484190940856934,5.561022758483887,8.87961196899414,7.907626152038574,5.919404983520508,6.669935703277588,9.950956344604492,11.241964340209961,4.293879508972168,9.369791030883789,nan,0.9025875190258752,0.35714285714285715,0.9472630173564753,0.0,0.047619047619047616,"[[593, 0, 64], [2, 15, 25], [150, 8, 2838]]","[[548, 67, 229], [756, 420, 748], [219, 21, 687]]",-0.44735032320022583,-0.38592082262039185,-0.3923901617527008,1.5641621351242065,1.470968246459961,1.4805152416229248,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7,0.0012891156899165705,uncertainty_weighting,-0.8138806801019992,0.6498870061539977,0.15414965821665497,0.16850589268133553,0.0022879505455033027,0.15414965821665497,0.16850589268133553,0.0022879505455033027,0.15414965821665497,0.8425294472515075,0.002586778640067327,0.5358470620776674,0.0,0.38288866063535754,0.0,0.0,0.0,0.0,0.47038172599588585,0.25706578049511325,0.211737304744443,0.0015786391993258678,0.25706578049511325,0.211737304744443,0.0015786391993258678,0.25706578049511325,1.0586865089581687,0.0021579857045439287,0.6412491082499895,0.0,1.7223154548682291,0.0,0.0,0.0,0.0,5.757030835849282,0.9028416779431664,0.45899864682002706,0.9206538797326684,0.6042188451685012,0.07686062246278755,0.5420838971583221,0.7583603020496225,0.4253554502369668,0.37111801242236025,2.1522109508514404,5.189850330352783,6.446106910705566,5.031554698944092,4.91202449798584,6.169182300567627,5.139843463897705,3.5955867767333984,3.317185878753662,4.126516342163086,1.1935840845108032,4.333054542541504,nan,0.7823439878234398,0.47619047619047616,0.9352469959946595,0.0,0.16666666666666666,"[[514, 0, 143], [7, 20, 15], [111, 83, 2802]]","[[359, 124, 361], [349, 634, 941], [126, 98, 703]]",-0.5176506042480469,-0.44869837164878845,-0.4575565457344055,1.678080439567566,1.5662721395492554,1.5802080631256104,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8,0.0012857959404769736,uncertainty_weighting,-0.9994587727687531,0.6227080873701936,0.14310323661775293,0.1658590961376374,0.0023917098324203858,0.14310323661775293,0.1658590961376374,0.0023917098324203858,0.14310323661775293,0.8292954618329758,0.0026791000662280125,0.5235080687945923,0.0,0.32557177354656497,0.0,0.0,0.0,0.0,0.4224915085529281,0.21395225035321566,0.20010174560853367,0.008437512963203681,0.21395225035321566,0.20010174560853367,0.008437512963203681,0.21395225035321566,1.000508710044324,0.00833220167894607,0.6126199492098353,0.0,1.7651501561959817,0.0,0.0,0.0,0.0,10.906504941524426,0.9456021650879567,0.4822733423545332,0.9350053085204253,0.6090941040782885,0.06684709066305819,0.5382949932341001,0.6526429341963322,0.6291469194312796,0.37888198757763975,4.269413948059082,9.828938484191895,8.147770881652832,6.5722880363464355,10.087178230285645,8.974288940429688,7.949618816375732,10.654918670654297,9.988693237304688,11.333551406860352,7.034120559692383,11.383840560913086,nan,0.9375951293759512,0.47619047619047616,0.9539385847797063,0.0,0.0,"[[616, 0, 41], [0, 20, 22], [117, 21, 2858]]","[[531, 87, 226], [599, 646, 679], [250, 72, 605]]",-0.5863840579986572,-0.5108339190483093,-0.5226976275444031,1.797477126121521,1.6666805744171143,1.6865713596343994,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9,0.0012820404482584897,uncertainty_weighting,-1.1891785198348759,0.5910229099172597,0.13117459426756903,0.16164266868683827,0.0026941911595723036,0.13117459426756903,0.16164266868683827,0.0026941911595723036,0.13117459426756903,0.808213332425777,0.0028702320881165153,0.5068629544330412,0.0,0.26002238596749266,0.0,0.0,0.0,0.0,0.38681854193523546,0.18701943243791996,0.19820261024977098,0.001596497905570434,0.18701943243791996,0.19820261024977098,0.001596497905570434,0.18701943243791996,0.9910130307380821,0.001950818561496407,0.6021294852232255,0.0,1.7371569757572856,0.0,0.0,0.0,0.0,4.758026427257402,0.9382949932341001,0.5123139377537212,0.9426087156419553,0.5967782177687063,0.06062246278755074,0.5466847090663058,0.5771305285868392,0.6646919431279621,0.40217391304347827,2.003241539001465,4.971852779388428,5.0689263343811035,4.486190319061279,4.9646477699279785,5.171215057373047,6.287017345428467,3.7328550815582275,4.270142555236816,4.587434768676758,-0.33381521701812744,4.490013599395752,nan,0.9558599695585996,0.5,0.9405874499332443,0.0,0.07142857142857142,"[[628, 0, 29], [3, 21, 18], [157, 21, 2818]]","[[561, 159, 124], [527, 797, 600], [225, 167, 535]]",-0.6547474265098572,-0.5726483464241028,-0.5877333283424377,1.9246563911437988,1.772956132888794,1.7999039888381958,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10,0.0012778517870878942,uncertainty_weighting,-1.3462218926212404,0.5924138611447278,0.13641242573940499,0.15790051450922798,0.00189399147480511,0.13641242573940499,0.15790051450922798,0.00189399147480511,0.13641242573940499,0.7895025557986736,0.002006883470872782,0.49369312660816295,0.0,0.293949779857705,0.0,0.0,0.0,0.0,0.3896069241392758,0.18571940232194326,0.20279349868207242,0.0010940270960905635,0.18571940232194326,0.20279349868207242,0.0010940270960905635,0.18571940232194326,1.0139674786463158,0.0014744438890415637,0.6605521915891335,0.0,1.6949059342024972,0.0,0.0,0.0,0.0,5.028393614674307,0.9504736129905278,0.5144790257104195,0.9494692460393378,0.6153118061871292,0.05953991880920163,0.5198917456021651,0.6925566343042071,0.6244075829383886,0.39751552795031053,1.6997473239898682,4.39475679397583,5.501880168914795,4.793308258056641,4.1542158126831055,5.129796981811523,4.44320011138916,3.985440969467163,2.6036717891693115,3.6746726036071777,1.0957517623901367,4.120059967041016,nan,0.9726027397260274,0.5238095238095238,0.9516021361815754,0.0,0.14285714285714285,"[[639, 0, 18], [6, 22, 14], [139, 6, 2851]]","[[527, 164, 153], [534, 732, 658], [176, 109, 642]]",-0.7208737134933472,-0.6340146064758301,-0.6528428792953491,2.0562291145324707,1.8851635456085205,1.9209942817687988,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
