run_id,seed,run_tag,status,returncode,run_dir,log_file
s01_lr13_select_edges_flat,21,s01_lr13_select_edges_flat_seed21,ok,0,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\14_uncertainty_stability_optimization\01_seed21_42_stability_search\s01_lr13_select_edges_flat_seed21,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\14_uncertainty_stability_optimization\01_seed21_42_stability_search\s01_lr13_select_edges_flat_seed21.log
s01_lr13_select_edges_flat,42,s01_lr13_select_edges_flat_seed42,ok,0,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\14_uncertainty_stability_optimization\01_seed21_42_stability_search\s01_lr13_select_edges_flat_seed42,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\14_uncertainty_stability_optimization\01_seed21_42_stability_search\s01_lr13_select_edges_flat_seed42.log
s02_flat_excess_loss,21,s02_flat_excess_loss_seed21,ok,0,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\14_uncertainty_stability_optimization\01_seed21_42_stability_search\s02_flat_excess_loss_seed21,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\14_uncertainty_stability_optimization\01_seed21_42_stability_search\s02_flat_excess_loss_seed21.log
s02_flat_excess_loss,42,s02_flat_excess_loss_seed42,ok,0,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\14_uncertainty_stability_optimization\01_seed21_42_stability_search\s02_flat_excess_loss_seed42,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\14_uncertainty_stability_optimization\01_seed21_42_stability_search\s02_flat_excess_loss_seed42.log
s03_edge_active_loss,21,s03_edge_active_loss_seed21,ok,0,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\14_uncertainty_stability_optimization\01_seed21_42_stability_search\s03_edge_active_loss_seed21,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\14_uncertainty_stability_optimization\01_seed21_42_stability_search\s03_edge_active_loss_seed21.log
s03_edge_active_loss,42,s03_edge_active_loss_seed42,ok,0,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\14_uncertainty_stability_optimization\01_seed21_42_stability_search\s03_edge_active_loss_seed42,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\14_uncertainty_stability_optimization\01_seed21_42_stability_search\s03_edge_active_loss_seed42.log
s04_balanced_protect,21,s04_balanced_protect_seed21,ok,0,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\14_uncertainty_stability_optimization\01_seed21_42_stability_search\s04_balanced_protect_seed21,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\14_uncertainty_stability_optimization\01_seed21_42_stability_search\s04_balanced_protect_seed21.log
s04_balanced_protect,42,s04_balanced_protect_seed42,ok,0,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\14_uncertainty_stability_optimization\01_seed21_42_stability_search\s04_balanced_protect_seed42,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\14_uncertainty_stability_optimization\01_seed21_42_stability_search\s04_balanced_protect_seed42.log
s05_conservative_lr,21,s05_conservative_lr_seed21,ok,0,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\14_uncertainty_stability_optimization\01_seed21_42_stability_search\s05_conservative_lr_seed21,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\14_uncertainty_stability_optimization\01_seed21_42_stability_search\s05_conservative_lr_seed21.log
s05_conservative_lr,42,s05_conservative_lr_seed42,ok,0,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\14_uncertainty_stability_optimization\01_seed21_42_stability_search\s05_conservative_lr_seed42,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\14_uncertainty_stability_optimization\01_seed21_42_stability_search\s05_conservative_lr_seed42.log
s06_strong_flat_soft_edge,21,s06_strong_flat_soft_edge_seed21,ok,0,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\14_uncertainty_stability_optimization\01_seed21_42_stability_search\s06_strong_flat_soft_edge_seed21,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\14_uncertainty_stability_optimization\01_seed21_42_stability_search\s06_strong_flat_soft_edge_seed21.log
s06_strong_flat_soft_edge,42,s06_strong_flat_soft_edge_seed42,ok,0,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\14_uncertainty_stability_optimization\01_seed21_42_stability_search\s06_strong_flat_soft_edge_seed42,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\14_uncertainty_stability_optimization\01_seed21_42_stability_search\s06_strong_flat_soft_edge_seed42.log
s07_pos_edge_guard,21,s07_pos_edge_guard_seed21,ok,0,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\14_uncertainty_stability_optimization\01_seed21_42_stability_search\s07_pos_edge_guard_seed21,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\14_uncertainty_stability_optimization\01_seed21_42_stability_search\s07_pos_edge_guard_seed21.log
s07_pos_edge_guard,42,s07_pos_edge_guard_seed42,ok,0,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\14_uncertainty_stability_optimization\01_seed21_42_stability_search\s07_pos_edge_guard_seed42,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\14_uncertainty_stability_optimization\01_seed21_42_stability_search\s07_pos_edge_guard_seed42.log
s08_full_protect_mix,21,s08_full_protect_mix_seed21,ok,0,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\14_uncertainty_stability_optimization\01_seed21_42_stability_search\s08_full_protect_mix_seed21,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\14_uncertainty_stability_optimization\01_seed21_42_stability_search\s08_full_protect_mix_seed21.log
s08_full_protect_mix,42,s08_full_protect_mix_seed42,ok,0,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\14_uncertainty_stability_optimization\01_seed21_42_stability_search\s08_full_protect_mix_seed42,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\14_uncertainty_stability_optimization\01_seed21_42_stability_search\s08_full_protect_mix_seed42.log
