epoch,lr,loss_mode,train_loss,train_loss_fixed_total,train_loss_main,train_loss_turn,train_loss_theta,train_loss_main_base,train_loss_turn_base,train_loss_theta_base,train_loss_main_raw,train_loss_turn_raw,train_loss_theta_raw,train_loss_transition_focal_raw,train_loss_transition_focal_weighted,train_loss_stall_focal_raw,train_loss_stall_focal_weighted,train_loss_theta_smooth,train_loss_flat_theta_expert_reg,train_loss_flat_theta_expert_reg_weighted,val_loss,val_loss_main,val_loss_turn,val_loss_theta,val_loss_main_base,val_loss_turn_base,val_loss_theta_base,val_loss_main_raw,val_loss_turn_raw,val_loss_theta_raw,val_loss_transition_focal_raw,val_loss_transition_focal_weighted,val_loss_stall_focal_raw,val_loss_stall_focal_weighted,val_loss_theta_smooth,val_loss_flat_theta_expert_reg,val_loss_flat_theta_expert_reg_weighted,val_score,val_acc_main,val_acc_turn,val_main_confidence_mean,val_turn_confidence_mean,val_main_low_conf_0p60_ratio,val_turn_low_conf_0p60_ratio,val_turn_left_recall,val_turn_right_recall,val_acc_turn_transition,val_theta_mae_deg,val_theta_abs_le_10_p95_abs_err_deg,val_theta_neg_10_8_p95_abs_err_deg,val_theta_pos_8_10_p95_abs_err_deg,val_theta_abs_le_8_p95_abs_err_deg,val_theta_neg_8_6_p95_abs_err_deg,val_theta_pos_6_8_p95_abs_err_deg,val_theta_neg_2_0p5_p95_abs_err_deg,val_theta_pos_0p5_2_p95_abs_err_deg,val_theta_flat_abs_p95_deg,val_theta_flat_bias_deg,val_theta_near_flat_abs_p95_deg,val_theta_true_zero_abs_p95_deg,val_flat_recall,val_stall_recall,val_slope_recall,val_flat_as_stall_ratio,val_stall_as_flat_ratio,val_cm_main,val_cm_turn,s_main,s_turn,s_theta,weight_main,weight_turn,weight_theta,task_weight_main,task_weight_turn,task_weight_theta,initial_loss_main,initial_loss_turn,initial_loss_theta,grad_norm_main,grad_norm_turn,grad_norm_theta,gradnorm_loss,gradnorm_unstable
1,0.001299777261234112,uncertainty_weighting,0.8364343598076606,1.8114291592008933,0.6788121893406058,0.20353771600653886,0.023364672298364034,0.6788121893406058,0.20353771600653886,0.023364672298364034,0.6788121893406058,1.0176885633158794,0.026119248165786032,0.532965911602006,0.0,1.5187770921872858,0.0,0.0,0.0,0.0,0.7365894795431981,0.5298751266141383,0.20252033648294104,0.004194014986878682,0.5298751266141383,0.20252033648294104,0.004194014986878682,0.5298751266141383,1.0126016666182647,0.005551530509879649,0.5280455037286059,0.0,3.342097440107911,0.0,0.0,0.0,0.0,11.580379323214121,0.828958051420839,0.43382949932341003,0.8103941306514181,0.4906608421289718,0.11907983761840325,0.8216508795669825,0.5620280474649406,0.6765402843601895,0.30124223602484473,3.1527493000030518,8.567730903625488,9.079022407531738,7.610346794128418,8.584089279174805,9.002309799194336,6.613098621368408,5.694418907165527,8.564849853515625,9.069971084594727,-1.2315008640289307,11.234612464904785,nan,0.4764079147640791,0.0,0.917890520694259,0.0,0.023809523809523808,"[[313, 0, 344], [1, 0, 41], [241, 5, 2750]]","[[571, 104, 169], [888, 511, 525], [327, 79, 521]]",-0.07069604098796844,-0.06511206924915314,-0.06610520929098129,1.073254942893982,1.0672786235809326,1.0683391094207764,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2,0.001299109197590473,uncertainty_weighting,0.32687869021709937,1.1436645037516744,0.37575000921728907,0.19081816394025153,0.005264079833246704,0.37575000921728907,0.19081816394025153,0.005264079833246704,0.37575000921728907,0.9540908035460873,0.006507314581648701,0.5417822400933205,0.0,0.8906475927425517,0.0,0.0,0.0,0.0,0.5876530756163177,0.387927440183895,0.19622228394422545,0.003503356025212713,0.387927440183895,0.19622228394422545,0.003503356025212713,0.387927440183895,0.9811114036504568,0.004610704905095136,0.5709765016548688,0.0,2.527325896153146,0.0,0.0,0.0,0.0,8.92655774633423,0.8682002706359946,0.4354533152909337,0.8424949679829311,0.5421361925248905,0.14614343707713126,0.6841677943166441,0.5674217907227616,0.7227488151658767,0.2981366459627329,2.985295057296753,7.970567226409912,9.034109115600586,7.560081481933594,7.942155838012695,8.101661682128906,8.659599304199219,8.0806245803833,6.5544867515563965,7.410739421844482,0.46721261739730835,8.14333724975586,nan,0.8340943683409436,0.23809523809523808,0.8845126835781041,0.0,0.19047619047619047,"[[548, 0, 109], [8, 10, 24], [201, 145, 2650]]","[[610, 70, 164], [879, 473, 572], [345, 56, 526]]",-0.15777768194675446,-0.13011600077152252,-0.13178685307502747,1.1709058284759521,1.1389604806900024,1.1408650875091553,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,0.0012979962669265332,uncertainty_weighting,-0.015587714087999886,0.8500706277414909,0.23787227926135848,0.18301652617185948,0.004146509800774874,0.23787227926135848,0.18301652617185948,0.004146509800774874,0.23787227926135848,0.9150826193198901,0.005292017516415861,0.5387068990859372,0.0,0.5989771839602002,0.0,0.0,0.0,0.0,0.4922769140971368,0.2920683280944179,0.1976725014604638,0.0025360837443927065,0.2920683280944179,0.1976725014604638,0.0025360837443927065,0.2920683280944179,0.9883624940183069,0.003531046794898838,0.5531057495306245,0.0,2.425613795950913,0.0,0.0,0.0,0.0,7.513694503487001,0.9023004059539919,0.4584573748308525,0.8993894480046671,0.543822457372846,0.09336941813261164,0.6974289580514208,0.6138079827400216,0.6184834123222749,0.3416149068322981,2.530393600463867,7.163438320159912,8.582476615905762,6.0148468017578125,7.1163330078125,8.382570266723633,6.285861015319824,3.959951639175415,6.761754512786865,6.145948886871338,-0.11267928034067154,7.834671974182129,nan,0.9512937595129376,0.2619047619047619,0.9005340453938585,0.0,0.19047619047619047,"[[625, 0, 32], [8, 11, 23], [251, 47, 2698]]","[[522, 98, 224], [674, 603, 647], [266, 92, 569]]",-0.24363036453723907,-0.1948111653327942,-0.19721803069114685,1.2758727073669434,1.2150815725326538,1.2180095911026,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4,0.0012964392319893775,uncertainty_weighting,-0.24492895905187856,0.7634887427309766,0.19972142700318438,0.1785079710930631,0.0035149766685625607,0.19972142700318438,0.1785079710930631,0.0035149766685625607,0.19972142700318438,0.8925398405641543,0.004467459104901556,0.5367407824045604,0.0,0.4939540916183271,0.0,0.0,0.0,0.0,0.5084536403215948,0.3094830279340602,0.19637522964419468,0.0025953921445308905,0.3094830279340602,0.19637522964419468,0.0025953921445308905,0.3094830279340602,0.9818761204834398,0.0031610003483503128,0.5841631600998736,0.0,1.790595166760208,0.0,0.0,0.0,0.0,6.962620983516535,0.9044654939106901,0.46630581867388365,0.9202873497499595,0.5738846669443898,0.037889039242219216,0.5926928281461434,0.5922330097087378,0.6113744075829384,0.3447204968944099,2.5681514739990234,6.076918601989746,6.29044771194458,5.292230129241943,6.141204833984375,7.6325788497924805,5.624271869659424,5.714998245239258,5.200237274169922,6.012109279632568,0.33765989542007446,6.103784561157227,nan,0.8417047184170472,0.40476190476190477,0.9252336448598131,0.0,0.16666666666666666,"[[553, 0, 104], [7, 17, 18], [162, 62, 2772]]","[[516, 128, 200], [661, 658, 605], [235, 143, 549]]",-0.3226141631603241,-0.25910210609436035,-0.26254352927207947,1.380732536315918,1.2957661151885986,1.3002331256866455,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5,0.0012944391598929768,uncertainty_weighting,-0.4586510146960235,0.702144122464852,0.17394759893413753,0.17409678547086946,0.0030276761897512524,0.17394759893413753,0.17409678547086946,0.0030276761897512524,0.17394759893413753,0.870483912222398,0.0038917365632858856,0.5303060888335351,0.0,0.42615070006975087,0.0,0.0,0.0,0.0,0.49571491352437475,0.2942566213410988,0.19905935890055154,0.0023989328093126073,0.2942566213410988,0.19905935890055154,0.0023989328093126073,0.2942566213410988,0.9952967826987797,0.0034428358815247456,0.5940615500745657,0.0,1.6726989777741548,0.0,0.0,0.0,0.0,7.766015226716046,0.9125845737483085,0.46738836265223277,0.9329447010203039,0.5744409224307326,0.03031123139377537,0.6200270635994587,0.6407766990291263,0.5627962085308057,0.35714285714285715,2.6124556064605713,6.617807388305664,8.404316902160645,5.484549045562744,6.513849258422852,7.113370418548584,6.109156608581543,4.7505106925964355,7.018006324768066,6.555689334869385,0.8759351372718811,6.961889743804932,nan,0.710806697108067,0.5714285714285714,0.9616154873164219,0.0,0.16666666666666666,"[[467, 0, 190], [7, 24, 11], [97, 18, 2881]]","[[475, 140, 229], [576, 658, 690], [213, 120, 594]]",-0.3986041247844696,-0.322878360748291,-0.32780224084854126,1.4897438287734985,1.3810973167419434,1.3879144191741943,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6,0.0012919974213868395,uncertainty_weighting,-0.6594867967413979,0.6597157201678836,0.15737696714828636,0.17002116621056287,0.0024597259338148885,0.15737696714828636,0.17002116621056287,0.0024597259338148885,0.15737696714828636,0.8501058176364503,0.0030800746204591267,0.5174724102467416,0.0,0.42736134668643144,0.0,0.0,0.0,0.0,0.4199688787711973,0.22013589013897195,0.1980892929156514,0.0017437093193656658,0.22013589013897195,0.1980892929156514,0.0017437093193656658,0.22013589013897195,0.9904464502618503,0.0021380560876516795,0.5794884691622325,0.0,1.819225681079091,0.0,0.0,0.0,0.0,5.905742188008034,0.9453315290933694,0.4665764546684709,0.944586480267969,0.5743852020189234,0.05548037889039242,0.6121786197564276,0.7055016181229773,0.5758293838862559,0.35714285714285715,1.9222185611724854,5.453308582305908,6.423848628997803,3.5879478454589844,5.400976181030273,5.393361568450928,3.974318742752075,5.191544532775879,4.352279186248779,5.061790943145752,1.7520017623901367,5.4003753662109375,nan,0.9573820395738204,0.5714285714285714,0.9479305740987984,0.0,0.0,"[[629, 0, 28], [0, 24, 18], [146, 10, 2840]]","[[486, 107, 251], [612, 584, 728], [196, 77, 654]]",-0.4720212519168854,-0.3862755596637726,-0.3930405080318451,1.6032315492630005,1.4714901447296143,1.4814784526824951,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7,0.0012891156899165705,uncertainty_weighting,-0.8525380990676723,0.6272339322611845,0.14537622417063034,0.16589566356737376,0.0023450792173487244,0.14537622417063034,0.16589566356737376,0.0023450792173487244,0.14537622417063034,0.8294783025047828,0.0029227855840894077,0.5104089774607429,0.0,0.35966756583273524,0.0,0.0,0.0,0.0,0.4214428869248727,0.22469786237799266,0.19490012031285464,0.0018448966540804534,0.22469786237799266,0.19490012031285464,0.0018448966540804534,0.22469786237799266,0.9745005924098386,0.0022297125477948715,0.5544168344853857,0.0,1.5982472078029835,0.0,0.0,0.0,0.0,6.499189351613537,0.933423545331529,0.48416779431664414,0.9393403951267195,0.5815990980678793,0.05872801082543978,0.6013531799729364,0.6655879180151025,0.590047393364929,0.3804347826086957,1.9342355728149414,5.428147315979004,6.50861120223999,3.4256224632263184,5.493678092956543,5.201745986938477,3.9488894939422607,4.4637885093688965,5.801690101623535,5.70246696472168,1.7941168546676636,6.199732780456543,nan,0.8234398782343988,0.5476190476190477,0.9629506008010681,0.0,0.0,"[[541, 0, 116], [0, 23, 19], [96, 15, 2885]]","[[498, 132, 214], [562, 674, 688], [215, 95, 617]]",-0.5442723631858826,-0.4491782486438751,-0.4582359492778778,1.7233538627624512,1.5670238733291626,1.5812820196151733,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8,0.0012857959404769736,uncertainty_weighting,-1.0525808422843417,0.587059868569166,0.13039863675650643,0.16115658613657358,0.0019747116954548566,0.13039863675650643,0.16115658613657358,0.0019747116954548566,0.13039863675650643,0.8057829117275884,0.002528312669479164,0.4930656678094298,0.0,0.29964819545860794,0.0,0.0,0.0,0.0,0.4391864820730057,0.23862929754715329,0.19937627098557106,0.0011809131893655727,0.23862929754715329,0.19937627098557106,0.0011809131893655727,0.23862929754715329,0.9968813406114488,0.0016374802976186326,0.6005779148519281,0.0,2.020103096374846,0.0,0.0,0.0,0.0,6.0527188509406615,0.9428958051420839,0.4801082543978349,0.9585615101011685,0.6046614453396413,0.011096075778078484,0.5293640054127199,0.7055016181229773,0.580568720379147,0.39596273291925466,1.6647074222564697,4.836304187774658,5.392964839935303,3.546687602996826,4.873260974884033,4.712312698364258,3.6186158657073975,3.422677755355835,5.60562801361084,6.084847927093506,0.31095266342163086,6.291304111480713,nan,0.974124809741248,0.5476190476190477,0.9415887850467289,0.0,0.0,"[[640, 0, 17], [0, 23, 19], [170, 5, 2821]]","[[490, 128, 226], [549, 630, 745], [173, 100, 654]]",-0.6149989366531372,-0.5117433071136475,-0.523413896560669,1.8496546745300293,1.6681967973709106,1.6877796649932861,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9,0.0012820404482584897,uncertainty_weighting,-1.2045252320554267,0.5983558663028621,0.13885687466831834,0.15868798164510273,0.0016330762743087589,0.13885687466831834,0.15868798164510273,0.0016330762743087589,0.13885687466831834,0.7934398928934278,0.002101688380875187,0.4878925873768208,0.0,0.281583545246131,0.0,0.0,0.0,0.0,0.40544305780905027,0.20578089051543458,0.19804154315885253,0.0016206245594034135,0.20578089051543458,0.19804154315885253,0.0016206245594034135,0.20578089051543458,0.9902077035426449,0.0022547048854947857,0.60158467158897,0.0,1.8547922302605688,0.0,0.0,0.0,0.0,6.875168246031433,0.9431664411366711,0.4730717185385656,0.9580712467386602,0.6095664523849627,0.010013531799729363,0.5288227334235454,0.697950377562028,0.5616113744075829,0.38198757763975155,2.049229621887207,5.364208221435547,6.2071356773376465,4.751971244812012,5.345147609710693,6.595521450042725,5.117435932159424,4.961853504180908,4.6589531898498535,5.83870792388916,-1.065756916999817,6.086378574371338,nan,0.9330289193302892,0.5476190476190477,0.9509345794392523,0.0,0.07142857142857142,"[[613, 0, 44], [3, 23, 16], [139, 8, 2849]]","[[474, 130, 240], [546, 627, 751], [199, 81, 647]]",-0.6828239560127258,-0.5737403035163879,-0.588590681552887,1.9794597625732422,1.7748931646347046,1.801447868347168,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10,0.0012778517870878942,uncertainty_weighting,-1.3941802639545535,0.5669033696462645,0.1267083311417739,0.15523157657811903,0.001511778078834798,0.1267083311417739,0.15523157657811903,0.001511778078834798,0.1267083311417739,0.7761578685510785,0.0019584899360353568,0.470549828496009,0.0,0.2518821246602776,0.0,0.0,0.0,0.0,0.41855292886455264,0.21470533225468597,0.20136588235991895,0.0024817191460705457,0.21470533225468597,0.20136588235991895,0.0024817191460705457,0.21470533225468597,1.0068294004432565,0.003457694751032816,0.6070975831300222,0.0,1.920165967636666,0.0,0.0,0.0,0.0,7.4345405478808155,0.9480378890392422,0.49688768606224626,0.9644398416402277,0.618670360574627,0.008119079837618403,0.49851150202976996,0.6299892125134844,0.5770142180094787,0.4161490683229814,2.5394341945648193,7.018237113952637,5.988770961761475,5.395592212677002,7.241238594055176,5.80280065536499,6.055659770965576,4.468194961547852,7.8880228996276855,8.181241989135742,2.524566411972046,7.581303119659424,nan,0.9619482496194824,0.5714285714285714,0.9502670226969292,0.0,0.14285714285714285,"[[632, 0, 25], [6, 24, 12], [144, 5, 2847]]","[[487, 132, 225], [530, 765, 629], [201, 142, 584]]",-0.7502796649932861,-0.6352637410163879,-0.6537429690361023,2.1175920963287354,1.8875199556350708,1.9227241277694702,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
