controller,zone,t0,t1,duration_s,n_samples,ey_rmse,ey_peak,ey_iae,epsi_rmse,epsi_peak,ev_rmse,ev_peak,eomega_rmse,eomega_peak,xy_rmse,xy_peak,F_rms,F_peak,F_sat595_pct,F_limit_hit_pct,omega_cmd_rms,omega_cmd_peak,omega_sat060_pct,omega_limit_hit_pct,viol_rate,j_du,dF_rms,domega_cmd_rms,solve_time_p50_ms,solve_time_p95_ms,solve_time_p99_ms,solve_time_max_ms,timeout_rate,theta_mae_deg,theta_peak_deg,theta_sched_mae_deg,theta_hat_step_p95_deg,theta_sched_step_p95_deg,main_acc_pct,turn_acc_pct,flat_false_slope_pct,slope_recall_pct,right_recall_pct,left_recall_pct,pred_main_1_pct,pred_main_2_pct,pred_main_3_pct,pred_turn_m1_pct,pred_turn_0_pct,pred_turn_1_pct
baseline_lock,all,0,44,44,4351,0.0353417318337382,0.0880568713344653,1.13501296084005,0.0438205586620913,0.0998485782925873,0.0565547314665031,0.216934629182467,0.0295813297600726,0.110614542386844,0.759372661078766,1.0324359436376,189.918161803409,322.870507404185,0,0,0.0606467232715493,0.218844519817451,0,0,0,7.78615426540432,2.79036271955021,0.00549169816140275,0.0201883,0.02236563,0.025355227,0.3574394,0,0.794694392365761,4.187608,1.16142933202247,0.0349999999999998,0.0410589127817286,90.9905768788784,46.6789243851988,18.7214611872146,94.0431654676259,77.0601336302895,56.4476885644769,19.2599402436222,1.86164100206849,78.8784187543094,31.1882325902091,32.8660078142956,35.9457595954953
baseline_lock,startup,0,3,3,300,0,0,0,0,0,0.217030116741451,0.88,0,0,0.24175226996524,0.258762196039885,158.664920488865,543.801289687864,0,0,5.14011959414524e-05,0.000263699875441503,0,0,0,101.830918944409,10.0911307069246,1.31440263904861e-05,0.0067415,0.02293005,0.13428235,4.3583282,0,0,0,0,0,0,100,100,0,NaN,NaN,NaN,100,0,0,0,100,0
baseline_lock,uphill_long_entry,3,16,13,1300,0.0298863883179625,0.0566227584779253,0.2508133339733,0.0520460660652684,0.0937911692714339,0.0738577620877789,0.216934629182467,0.0236595991257149,0.0718615772752537,0.700566005093319,0.862612747056783,219.968973221424,322.870507404185,0,0,0.0576267863293294,0.110676498675111,0,0,0,12.1778651698625,3.4896791711637,0.00211002577208908,0.0203897,0.0244542,0.0267762,0.0300616,0,0.928165508342533,3.90544296875,1.34644666614385,0.020903426797826,0.0396988002547299,88.4615384615385,77.6153846153846,0,86.8881118881119,NaN,52.3917995444191,20,3.53846153846154,76.4615384615385,0,76,24
baseline_lock,downhill_transition,16,29,13,1300,0.0302377850901338,0.0506934302211546,0.324754221056235,0.0336582019464673,0.0610453207179358,0.047424861707573,0.137502607840363,0.0207534812911153,0.0464873094078903,0.68269423074026,0.875220735091028,166.227708288281,251.632202121464,0,0,0.0636992151248188,0.11709088253619,0,0,0,5.55420830968616,2.35673353279324,0.00391983342106804,0.0200216,0.0214089,0.02250005,0.0256879,0,0.805980457235476,4.187608,1.13297882417594,0.0350000000000002,0.0413631805361381,93.5384615384615,32.3846153846154,35.6521739130435,96.3713080168776,77.0601336302895,NaN,9,0,91,50.5384615384615,5.76923076923077,43.6923076923077
baseline_lock,uphill_return,29,39,10,1000,0.051761528717471,0.0880568713344653,0.432128296172466,0.0407134034017763,0.0998485782925873,0.0571398415836396,0.132791570998226,0.0303513301060823,0.0695459395204422,0.910526581817651,1.0324359436376,215.086557014283,270.444971788244,0,0,0.0475107294199478,0.101978791444906,0,0,0,3.19180032997079,1.78655797186723,0.00330803997007631,0.0202681,0.02154835,0.0223072,0.0237716,0,0.940578984365291,3.9216,1.40460138695177,0.0349999999999998,0.0440246036423091,87.6,28.1,80.9090909090909,98.4269662921348,NaN,52.8481012658228,0,3.5,96.5,44.8,11.4,43.8
baseline_lock,flat_recovery,39,44,5,500,0.0284687842260707,0.0520858924700095,0.126024191409666,0.0583456028243164,0.0993730725825777,0.0288319916118731,0.0627623685966133,0.0565419890082155,0.110614542386844,0.91545517155416,0.973973902779014,150.399445737756,251.386283269536,0,0,0.0911056071958701,0.218844519817451,0,0,0,14.5651178089378,3.81640266035566,0.0137310949329098,0.02029485,0.02140235,0.02207225,0.0230804,0,0.52549312313345,1.54315256885188,0.851008467117424,0.0349999999999998,0.0475744388729633,93.2,13.8,13.9344262295082,100,NaN,100,42,0,58,50.4,0.4,49.2
a2_freeze_early_seed21,all,0,44,44,4351,0.0348170050727177,0.119732976245801,0.909733721161374,0.0353602095956674,0.0899230073349829,0.0661860822452899,0.217333123926174,0.0281576992665021,0.0939098888529757,0.531464639351801,0.84137954010109,190.364710639002,367.349004034939,0,0,0.0575842285057581,0.203763373531371,0,0,0,46.5679777336584,6.82407103707009,0.00567579769742495,0.019621,0.02232025,0.023549013,0.2694973,0,0.996981768276638,4.552,1.44712042796193,0.0349999999999998,0.0515542642802295,87.2902780969892,47.3914042748793,15.8675799086758,89.4388489208633,91.7594654788419,65.2068126520681,19.466789243852,5.9066881176741,74.6265226384739,29.5104573661227,30.728568145254,39.7609744886233
a2_freeze_early_seed21,startup,0,3,3,300,0,0,0,0,0,0.217030116741451,0.88,0,0,0.24175226996524,0.258762196039885,158.664920488865,543.801289687864,0,0,5.14011959414524e-05,0.000263699875441503,0,0,0,101.830918944409,10.0911307069246,1.31440263904861e-05,0.0073335,0.02432705,0.14472505,3.9098407,0,0,0,0,0,0,100,100,0,NaN,NaN,NaN,100,0,0,0,100,0
a2_freeze_early_seed21,uphill_long_entry,3,16,13,1300,0.0277123144351541,0.0538669521983033,0.230727385396953,0.0496515301264091,0.0899230073349829,0.0737446948720884,0.217333123926174,0.0307617782139849,0.0939098888529757,0.689425286313487,0.84137954010109,220.724247260399,332.400979418284,0,0,0.0582538854630298,0.128807180421204,0,0,0,83.7798288563354,9.15313183227438,0.00255290830147078,0.02037225,0.02268995,0.02360675,0.0279,0,0.910942021853771,3.79226875,1.44135572505129,0.0209654298188153,0.0511804436010114,87.3846153846154,67.9230769230769,0,85.6643356643357,NaN,37.8132118451025,19.6923076923077,4.92307692307692,75.3846153846154,4.84615384615385,71.3076923076923,23.8461538461538
a2_freeze_early_seed21,downhill_transition,16,29,13,1300,0.0132808742625639,0.0253750182358091,0.14990875440684,0.0235036926352326,0.0423131715885861,0.0584654634100698,0.153325265141626,0.0280272364079592,0.0792287118856116,0.48346394178057,0.784380120196928,165.374533247918,255.078049588132,0,0,0.0775339457124307,0.185542373449551,0,0,0,6.8156765410981,2.61067472351961,0.00735044719224244,0.01984835,0.02135325,0.02205045,0.0229598,0,1.2031779125073,4.552,1.48893694395705,0.0349999999999998,0.0405381099744366,92,31.6923076923077,40.8695652173913,95.1898734177215,91.7594654788419,NaN,9.61538461538462,0,90.3846153846154,57.3846153846154,0,42.6153846153846
a2_freeze_early_seed21,uphill_return,29,39,10,1000,0.0519728528540355,0.119732976245801,0.317143532958811,0.0197882738952568,0.073741555511422,0.0793466623857713,0.21266906364779,0.0197618634983173,0.0669506119386953,0.45370889384538,0.631604351393722,216.751468529358,367.349004034939,0,0,0.0113208562951692,0.044336323335341,0,0,0,73.9923045562361,8.60187767486586,0.0022411783941022,0.0192907,0.0208259,0.02196205,0.025113,0,1.1250354316848,4.2279296,1.85279132880903,0.0349999999999998,0.0664711160263344,74.4,45,57.2727272727273,83.5955056179775,NaN,95.8860759493671,0,19.3,80.7,33.6,16,50.4
a2_freeze_early_seed21,flat_recovery,39,44,5,500,0.0518618645421195,0.114585244699685,0.2101089972361,0.0474384097860532,0.0839097221049852,0.0453908224291969,0.0804810388560188,0.0401945709555339,0.0841840909922524,0.41234310909302,0.534153771156066,150.100239200348,254.510475305298,0,0,0.0643889597842037,0.203763373531371,0,0,0,21.2183694452124,4.60632788165396,0.0106250604576675,0.0191131,0.02033005,0.02080095,0.0214339,0,0.92895265483492,2.00783116022013,1.26845573669843,0.0349999999999998,0.0562929212928703,94.2,13.4,11.8852459016393,100,NaN,100,43,0,57,27.8,0,72.2
a2_freeze_early_seed42,all,0,44,44,4351,0.0207991478987452,0.0549228069803716,0.60734084561213,0.0259449707679122,0.0696246576673381,0.061591977453515,0.203591303405872,0.0186134866390015,0.0639141873543246,0.418166748957056,0.735384130538815,190.33566932276,349.741380140424,0,0,0.0611249433977903,0.185509732638331,0,0,0,33.7538258070015,5.80980267993437,0.00431592735096901,0.0193249,0.02158316,0.022728946,0.301697,0,0.944109203671476,4.665016,1.37131817354913,0.0331196080749531,0.0529547152053713,88.3015398758906,46.2652263847391,14.2694063926941,90.273381294964,80.1781737193764,39.294403892944,20.0873362445415,4.94139278326821,74.9712709721903,28.9818432544243,38.2440818202712,32.7740749253045
a2_freeze_early_seed42,startup,0,3,3,300,0,0,0,0,0,0.217030116741451,0.88,0,0,0.24175226996524,0.258762196039885,158.664920488865,543.801289687864,0,0,5.14011959414524e-05,0.000263699875441503,0,0,0,101.830918944409,10.0911307069246,1.31440263904861e-05,0.006991,0.0211643,0.1297259,4.1473297,0,0,0,0,0,0,100,100,0,NaN,NaN,NaN,100,0,0,0,100,0
a2_freeze_early_seed42,uphill_long_entry,3,16,13,1300,0.0284268389668243,0.0549228069803716,0.23092305172209,0.0382862232838905,0.0696246576673381,0.0662953498320248,0.203591303405872,0.0210970249808534,0.0639141873543246,0.596430604993333,0.735384130538815,220.838988679148,335.16548754645,0,0,0.0533175232242921,0.100031917110505,0,0,0,53.9489932078826,7.34499759571502,0.00187798382300227,0.0200193,0.0221216,0.02340615,0.0285969,0,0.879538356574755,3.21622578125,1.36674416665699,0.0218222923125663,0.05144971739622,88.8461538461538,80,0,87.3251748251748,NaN,73.5763097949886,19.6923076923077,3.46153846153846,76.8461538461538,1.38461538461538,64.0769230769231,34.5384615384615
a2_freeze_early_seed42,downhill_transition,16,29,13,1300,0.0197551312819171,0.0367657198664988,0.203720802719811,0.0131496625972492,0.0242282387670811,0.058384477474041,0.156337819076183,0.017139999280562,0.0526722922214219,0.307336055982184,0.597390017488591,165.124932006986,255.451904764055,0,0,0.0786124591516077,0.185509732638331,0,0,0,9.03705199143303,3.00616095877592,0.00694847929170119,0.01908905,0.0204628,0.02114385,0.0229602,0,1.19597704839434,4.665016,1.46019578104672,0.0349999999999998,0.0420884016756508,91.8461538461538,27.6923076923077,32.1739130434783,94.1772151898734,80.1781737193764,NaN,11.3076923076923,0,88.6923076923077,50.7692307692308,0,49.2307692307692
a2_freeze_early_seed42,uphill_return,29,39,10,1000,0.0141688987607455,0.0294527699648725,0.106349054959496,0.0236020866723305,0.038992727989576,0.0709003980146237,0.184397274569307,0.0150580511522991,0.0311174808355645,0.323001447445553,0.465467685999689,216.210479567793,349.741380140424,0,0,0.0543428712858332,0.100437778004824,0,0,0,49.7655544752054,7.05447032234152,0.00171651045171236,0.0191855,0.0203936,0.02103015,0.0219078,0,0.898163924955712,3.6033664,1.66614028130985,0.0322647247885539,0.0683216548221767,76.6,30.5,58.1818181818182,86.0674157303371,NaN,0,0,17,83,43.9,45.6,10.5
a2_freeze_early_seed42,flat_recovery,39,44,5,500,0.015725607639198,0.028583111783983,0.0660089707680166,0.0219621512997278,0.0382409791376835,0.0471913320681754,0.0955250986329137,0.0253055059961836,0.0515906407404777,0.331584992616109,0.431706585630432,151.608351985949,255.315577291864,0,0,0.056103587613964,0.100471257385642,0,0,0,29.88536181887,5.46674862719435,0.00461150069915433,0.01908,0.02042395,0.02111905,0.0216361,0,1.0229703875181,2.50283127942165,1.2508430631339,0.0350000000000002,0.064259571551075,95.2,11.6,9.83606557377049,100,NaN,0,44,0,56,28.8,25,46.2
