controller,zone,t0,t1,duration_s,n_samples,ey_rmse,ey_peak,ey_iae,epsi_rmse,epsi_peak,ev_rmse,ev_peak,eomega_rmse,eomega_peak,xy_rmse,xy_peak,F_rms,F_peak,F_sat595_pct,F_limit_hit_pct,omega_cmd_rms,omega_cmd_peak,omega_sat060_pct,omega_limit_hit_pct,viol_rate,j_du,dF_rms,domega_cmd_rms,solve_time_p50_ms,solve_time_p95_ms,solve_time_p99_ms,solve_time_max_ms,timeout_rate,theta_mae_deg,theta_peak_deg,theta_sched_mae_deg,theta_hat_step_p95_deg,theta_sched_step_p95_deg,main_acc_pct,turn_acc_pct,flat_false_slope_pct,slope_recall_pct,right_recall_pct,left_recall_pct,pred_main_1_pct,pred_main_2_pct,pred_main_3_pct,pred_turn_m1_pct,pred_turn_0_pct,pred_turn_1_pct
baseline_lock,all,0,52,52,5151,0.0405837714490269,0.12690287779986,1.40274657735239,0.0415952419404275,0.0946014381012255,0.0355769981358947,0.129934566927505,0.0219126603467524,0.100119389051316,0.513652824986013,0.679181139413126,157.137673102785,224.704391134481,0,0,0.0792461283900394,1.35086687840308,0.07765482430596,0,0,5.32370259076876,2.30721172899333,0.0218318199973113,0.0193552,0.021381655,0.02218459,0.2289991,0,0.600177618700356,3.32314074074074,0.712585144187336,0.016546320359511,0.0240934768744909,94.1370607649,48.8448844884488,12.323064113239,96.1012658227848,91.3473423980222,46.6309341500766,23.4323432343234,0,76.5676567656766,27.4898078043098,36.2065618326539,36.3036303630363
baseline_lock,startup,0,4,4,400,0,0,0,0,0,0.175318965954327,0.82,0,0,0.233527977397704,0.245250100324083,130.519914022882,508.814670318738,0,0,4.14803413030845e-05,0.000245715645736055,0,0,0,66.3592694553824,8.14611990184716,1.05861007494259e-05,0.0079015,0.02089445,0.0875368,3.9381386,0,0,0,0,0,0,100,100,0,NaN,NaN,NaN,100,0,0,0,100,0
baseline_lock,uphill_left_transition,4,22,18,1800,0.0370977796262635,0.0676463369025724,0.465920309573442,0.0542246497684397,0.0946014381012255,0.0372102589791132,0.119434879624378,0.0259447720155561,0.100119389051316,0.543572651072902,0.672205583789543,196.591985211355,224.704391134481,0,0,0.0815649602744738,0.144050227413507,0,0,0,0.962100753869758,0.980862998721816,0.00292089168006242,0.0195934,0.02185395,0.02251085,0.0301834,0,0.567596467858896,3.161125,0.705972030773276,0.0138145104544489,0.0154368517196438,93.9444444444444,63.6111111111111,0,92.985842985843,NaN,43.1396786155748,19.7222222222222,0,80.2777777777778,1.83333333333333,69.7777777777778,28.3888888888889
baseline_lock,downhill_right_transition,22,42,20,2000,0.0199914364131767,0.0390604024821615,0.329998601501967,0.0304047576097038,0.0520949553768676,0.0299067562592184,0.106524686752093,0.0228768139244661,0.0808983703452953,0.499967037273231,0.679181139413126,154.058651191476,221.809355331163,0,0,0.0779749302627381,0.130091277742777,0,0,0,3.48551651072878,1.86694902477694,0.00422488026258057,0.01924285,0.02060785,0.02159675,0.0267914,0,0.523226585822837,3.32314074074074,0.668474050049112,0.0274671289333318,0.0326571263419476,96.6,36.95,14.8387096774194,97.5609756097561,91.3473423980222,NaN,8.85,0,91.15,69.15,0,30.85
baseline_lock,flat_left_exit,42,52,10,1000,0.0721618836080623,0.12690287779986,0.606227812553717,0.0420785602838962,0.074660005086531,0.0451229343193057,0.0695868440689511,0.0146516694551251,0.0454912903434778,0.553321354564253,0.666757367980061,97.5028004854607,157.637758955252,0,0,0.0906178690077542,1.35086687840308,0.4,0,0,18.4221039342532,4.29181755900467,0.0490507336582943,0.01924215,0.0203909,0.0209748,0.0217861,0,1.02338810013385,1.85162068877451,1.06282778604874,0.0155919688414955,0.0212605807831194,87.5,28.2,27.8396436525612,100,NaN,52.3138832997988,32.4,0,67.6,0,25.9,74.1
a2_freeze_early_seed21,all,0,52,52,5151,0.0560260231495886,0.169211710045366,1.76703187361161,0.0338441784005454,0.0764005631504004,0.0362810480302235,0.129934566927505,0.0179812889821512,0.0796799057676141,0.355759992353433,0.565341879692034,156.900416831412,223.852340714584,0,0,0.0941753341652492,1.10798943390105,0.03882741215298,0,0,2.40977291147458,1.55226299511513,0.0158904207240855,0.0193842,0.021435565,0.022416061,0.2394363,0,0.656762070145662,3.161125,0.789573010114094,0.0157396363519688,0.0217495882461811,93.263443991458,54.9407881964667,17.1523730224813,96.4303797468354,90.7292954264524,72.7411944869831,22.0539701028926,0,77.9460298971074,27.8392545136867,29.159386526888,43.0013589594254
a2_freeze_early_seed21,startup,0,4,4,400,0,0,0,0,0,0.175318965954327,0.82,0,0,0.233527977397704,0.245250100324083,130.519914022882,508.814670318738,0,0,4.14803413030845e-05,0.000245715645736055,0,0,0,66.3592694553824,8.14611990184716,1.05861007494259e-05,0.0081631,0.02135205,0.0890972,3.8994292,0,0,0,0,0,0,100,100,0,NaN,NaN,NaN,100,0,0,0,100,0
a2_freeze_early_seed21,uphill_left_transition,4,22,18,1800,0.0299431470944588,0.0572195195576682,0.372057115154667,0.045155259861429,0.0764005631504004,0.0359001643736966,0.121031344704818,0.0217516683566547,0.0796799057676141,0.472373685166442,0.565341879692034,196.665156224604,223.852340714584,0,0,0.0809066901966445,0.145284649531083,0,0,0,0.912196153594828,0.955087473418695,0.00201784873642325,0.01975095,0.02187965,0.0228587,0.0291829,0,0.566949292022451,3.161125,0.704574025126991,0.0139514751277787,0.0153593649044656,93.7777777777778,72.3333333333333,0,92.7927927927928,NaN,62.5463535228677,19.8888888888889,0,80.1111111111111,1.16666666666667,61.0555555555556,37.7777777777778
a2_freeze_early_seed21,downhill_right_transition,22,42,20,2000,0.0184202068456011,0.0459208189917213,0.30774436167318,0.0220808643490032,0.041056701879546,0.0396184493481961,0.0845321169981522,0.0192209797712398,0.0545606170538394,0.263851947453218,0.452001669901893,153.515532148379,219.929345509676,0,0,0.0867220913971767,0.164304233036598,0,0,0,4.16974083509086,2.04199092552926,0.00372761948171437,0.0192327,0.02049155,0.02101365,0.0219376,0,0.84377761062092,2.18527500000001,1.03082163839694,0.0227170193782651,0.0274175542931898,97.3,36.7,16.1290322580645,98.4281842818428,90.7292954264524,NaN,7.95,0,92.05,65.6,0,34.4
a2_freeze_early_seed21,flat_left_exit,42,52,10,1000,0.117795584569877,0.169211710045366,1.0863015035261,0.0353975553982366,0.0663741414106087,0.033446537508303,0.0543181260179186,0.008641078460842,0.0290606138833552,0.300572240815563,0.381979128212564,96.9807171225029,150.703672742764,0,0,0.13731568463597,1.10798943390105,0.2,0,0,2.1214135052973,1.45607244111104,0.035588643332431,0.01920435,0.02057185,0.02113135,0.0221414,0,0.674917476438058,1.55019930680497,0.737213487722312,0.0115649855454403,0.0177127958381701,81.9,44.4,40.3118040089087,100,NaN,89.3360160965795,26.8,0,73.2,10,5.3,84.7
a2_freeze_early_seed42,all,0,52,52,5151,0.041290475536912,0.102899842404207,1.44932044418359,0.0328113802846128,0.0700776467142076,0.0397345174221275,0.134964231095751,0.0188478549864124,0.0771866323605724,0.318342107101658,0.511800286930999,157.239911322669,224.31620576659,0,0,0.0956515239562226,0.890735287664099,0.01941370607649,0,0,2.94825824203367,1.71696263101318,0.0172500938540659,0.0193886,0.021694775,0.022893607,0.2412352,0,0.697838401643269,4.00027488425926,0.860412450170858,0.01787206135091,0.0236924000344187,91.3803145020384,62.3956513298389,23.4804329725229,95.8987341772152,79.8516687268232,84.5329249617152,20.9862162686857,0,79.0137837313143,24.0729955348476,33.993399339934,41.9336051252184
a2_freeze_early_seed42,startup,0,4,4,400,0,0,0,0,0,0.175318965954327,0.82,0,0,0.233527977397704,0.245250100324083,130.519914022882,508.814670318738,0,0,4.14803413030845e-05,0.000245715645736055,0,0,0,66.3592694553824,8.14611990184716,1.05861007494259e-05,0.0077921,0.02080655,0.08802205,3.8677128,0,0,0,0,0,0,100,100,0,NaN,NaN,NaN,100,0,0,0,100,0
a2_freeze_early_seed42,uphill_left_transition,4,22,18,1800,0.0239317219998738,0.0478177136951643,0.293582526856608,0.0360749800754878,0.0610171653972308,0.0348298259485595,0.11896583387948,0.0172006447903913,0.062274136176811,0.401674056492383,0.511800286930999,196.889143315945,224.31620576659,0,0,0.0796307015961033,0.143836921612935,0,0,0,1.32409256883237,1.15069100091467,0.00167010370093406,0.0198752,0.0223727,0.02341175,0.0277571,0,0.603037268029734,2.68125636574074,0.777963056890426,0.0152396634337997,0.0159502603607884,94,77.9444444444444,0,93.0501930501931,NaN,75.0309023485785,19.6666666666667,0,80.3333333333333,0.944444444444444,55.4444444444444,43.6111111111111
a2_freeze_early_seed42,downhill_right_transition,22,42,20,2000,0.0428435922574735,0.0887857389627654,0.600436624542143,0.0352071512356967,0.0700776467142076,0.0448496756026098,0.134964231095751,0.0211086508106668,0.0771866323605724,0.234935619562687,0.388133825571458,153.883146170546,219.193285424801,0,0,0.108449311776479,0.291158080539272,0,0,0,5.49717636431341,2.34455870130141,0.0148613749449091,0.01922045,0.02048665,0.02122605,0.0233115,0,0.915263118470486,4.00027488425926,1.09059383085784,0.0240610479283035,0.0289713625031808,95.95,48.2,17.4193548387097,97.0731707317073,79.8516687268232,NaN,9.1,0,90.9,52.85,20.15,27
a2_freeze_early_seed42,flat_left_exit,42,52,10,1000,0.0638713525281496,0.102899842404207,0.554372516008259,0.0269049484491369,0.0469749641220156,0.0415141342010102,0.0885441119175333,0.0201480866227238,0.0671177338576352,0.317053203364975,0.398785190063409,97.8261532650134,155.126340324452,0,0,0.110406485457555,0.890735287664099,0.1,0,0,1.499513410703,1.22410228063241,0.0329699447001685,0.0191876,0.0205242,0.0209457,0.0211501,0,0.678572287469988,2.35477189094655,0.850452603137178,0.013331864100185,0.0177464275941957,74.5,49.7,56.7928730512249,100,NaN,100,19.4,0,80.6,16.5,0,83.5
