algorithm_recipe,seed,required_for_recipe_comparison,offline_variant_id,offline_status,offline_score,offline_failures,candidate_id,closed_loop_scope,J_control,worst_path_J,path_fail_count,path_catastrophic_count,deployment_champion_gate_status,deployment_champion_gate_reason,recipe_multiseed_status,selected_model_status,checkpoint_file,offline_source_file,closed_loop_source_file
ModernTCN_small_base,21,true,plantfix_passive17_plus_all5_seed21,fail,1.08138457217925,theta_edge_p95_abs_err_ratio=1.21467>1.05;flat_peak_theta_error_ratio=1.24187>1.15,modern_base_seed21,current_v2_three_path_node16,1.00578398807548,1.33073819193599,1,0,fail,mean_J_control=1.00578>baseline=1,recipe_multiseed_comparison_available,not_applicable_for_individual_seed,E:\Matlab\Simulink\S-Function_16\results\paper\agv_model_parameter_correction_workflow\08_models\modern_tcn\modern_tcn_v5_plantfix_passive17_plus_all5_seed21\modern_tcn_seed21.pt,E:\Matlab\Simulink\S-Function_16\results\paper\agv_model_parameter_correction_workflow\08_models\modern_tcn\modern_tcn_v5_plantfix_passive17_plus_all5_seed21\modern_tcn_seed21_summary.csv,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\16_recipe_vs_deployment_comparison\09_modern_base_closed_loop\closed_loop_results.csv
ModernTCN_small_base,42,true,modern_base_seed42,fail,NaN,acc_turn_transition >= 0.7500 unmet actual 0.4903;theta_mae_deg <= 0.7000 unmet actual 0.7671,modern_base_seed42,current_v2_three_path_node16,19.6017807316235,205.78872834781,3,1,fail,mean_J_control=19.6018>baseline=1;path_catastrophic_count=1>0,recipe_multiseed_comparison_available,not_applicable_for_individual_seed,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\16_recipe_vs_deployment_comparison\07_modern_base_seed42_training\modern_base_seed42\modern_tcn_seed42.pt,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\16_recipe_vs_deployment_comparison\07_modern_base_seed42_training\modern_base_seed42\modern_tcn_seed42_summary.csv,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\16_recipe_vs_deployment_comparison\09_modern_base_closed_loop\closed_loop_results.csv
ModernTCN_small_base,73,false,plantfix_passive17_plus_all5_seed73,fail,1.05146783283019,flat_peak_theta_error_ratio=1.17885>1.15,missing,missing,NaN,NaN,NaN,NaN,unavailable,closed-loop evidence missing,recipe_multiseed_comparison_available,not_applicable_for_individual_seed,E:\Matlab\Simulink\S-Function_16\results\paper\agv_model_parameter_correction_workflow\08_models\modern_tcn\modern_tcn_v5_plantfix_passive17_plus_all5_seed73\modern_tcn_seed73.pt,E:\Matlab\Simulink\S-Function_16\results\paper\agv_model_parameter_correction_workflow\08_models\modern_tcn\modern_tcn_v5_plantfix_passive17_plus_all5_seed73\modern_tcn_seed73_summary.csv,
ModernTCN_small_base,101,true,plantfix_passive17_plus_all5_seed101,pass,1.00914528585944,none,modern_base_seed101,current_v2_three_path_node16,13.7637421354444,135.079575090136,3,1,fail,mean_J_control=13.7637>baseline=1;path_catastrophic_count=1>0,recipe_multiseed_comparison_available,not_applicable_for_individual_seed,E:\Matlab\Simulink\S-Function_16\results\paper\agv_model_parameter_correction_workflow\08_models\modern_tcn\modern_tcn_v5_plantfix_passive17_plus_all5_seed101\modern_tcn_seed101.pt,E:\Matlab\Simulink\S-Function_16\results\paper\agv_model_parameter_correction_workflow\08_models\modern_tcn\modern_tcn_v5_plantfix_passive17_plus_all5_seed101\modern_tcn_seed101_summary.csv,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\16_recipe_vs_deployment_comparison\09_modern_base_closed_loop\closed_loop_results.csv
ModernTCN_small_locked_champion,101,false,turn_l020_tt25_tcm14_stw055_slrw060_seed101,pass,1,reference,baseline_lock,current_v2_three_path,1,1,0,0,reference,locked ModernTCN_small champion baseline,not_a_recipe_multiseed_row,not_applicable_for_individual_seed,E:\Matlab\Simulink\S-Function_16\results\paper\agv_model_parameter_correction_workflow\08_models\modern_tcn\modern_tcn_v5_plantfix_turn_l020_tt25_tcm14_stw055_slrw060_seed101\modern_tcn_seed101.pt,E:\Matlab\Simulink\S-Function_16\results\paper\agv_model_parameter_correction_workflow\08_models\modern_tcn\modern_tcn_v5_plantfix_turn_l020_tt25_tcm14_stw055_slrw060_seed101\modern_tcn_seed101_summary.csv,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\12_uncertainty_replacement_qualification\03_closed_loop_representatives\closed_loop_replacement_results.csv
Uncertainty_weighted_same_recipe,21,true,uncertainty_anchor_same_recipe_seed21,fail,1.09351261643159,flat_peak_theta_error_ratio=1.3324>1.15,uncertainty_anchor_same_recipe_seed21,current_v2_three_path,1.13638158707013,1.31925951475442,2,0,fail,mean_J_control=1.13638>baseline=1,recipe_multiseed_comparison_available,not_applicable_for_individual_seed,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\12_uncertainty_replacement_qualification\01_same_recipe_multiseed\uncertainty_anchor_same_recipe_seed21\modern_tcn_seed21.pt,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\12_uncertainty_replacement_qualification\01_same_recipe_multiseed\uncertainty_anchor_same_recipe_seed21\metrics_test.csv,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\12_uncertainty_replacement_qualification\03_closed_loop_representatives\closed_loop_replacement_results.csv
Uncertainty_weighted_same_recipe,42,true,uncertainty_anchor_same_recipe_seed42,fail,1.07901896581399,theta_edge_p95_abs_err_ratio=1.24186>1.05,uncertainty_anchor_same_recipe_seed42,current_v2_three_path,11.9154967909798,113.779469042867,2,1,fail,mean_J_control=11.9155>baseline=1;path_catastrophic_count=1>0,recipe_multiseed_comparison_available,not_applicable_for_individual_seed,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\12_uncertainty_replacement_qualification\01_same_recipe_multiseed\uncertainty_anchor_same_recipe_seed42\modern_tcn_seed42.pt,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\12_uncertainty_replacement_qualification\01_same_recipe_multiseed\uncertainty_anchor_same_recipe_seed42\metrics_test.csv,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\12_uncertainty_replacement_qualification\03_closed_loop_representatives\closed_loop_replacement_results.csv
Uncertainty_weighted_same_recipe,101,true,uncertainty_seed101_rerun_20260622,pass,0.970838817749306,none,uncertainty_seed101_rerun_20260622,current_v2_three_path,0.94411711953914,1.06346989562921,2,0,pass,mean_J_control<=baseline and no path catastrophic failure,recipe_multiseed_comparison_available,not_applicable_for_individual_seed,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_sci_innovation\01_loss_optimization\uncertainty_seed101_rerun_20260622\modern_tcn_seed101.pt,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_sci_innovation\01_loss_optimization\uncertainty_seed101_rerun_20260622\metrics_test.csv,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\12_uncertainty_replacement_qualification\03_closed_loop_representatives\closed_loop_replacement_results.csv
Uncertainty_stability_s01,21,true,s01_lr13_select_edges_flat_seed21,pass,0.532371564183454,none,s01_lr13_select_edges_flat_seed21,current_v2_three_path,1.14311774157566,2.21613537740415,2,1,fail,mean_J_control=1.14312>baseline=1;path_catastrophic_count=1>0,secondary_recipe_multiseed_comparison_available,not_applicable_for_individual_seed,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\14_uncertainty_stability_optimization\01_seed21_42_stability_search\s01_lr13_select_edges_flat_seed21\modern_tcn_seed21.pt,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\14_uncertainty_stability_optimization\02_stability_screen\final_multiseed_offline_metrics.csv,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\14_uncertainty_stability_optimization\04_closed_loop_multiseed\closed_loop_results.csv
Uncertainty_stability_s01,42,true,s01_lr13_select_edges_flat_seed42,pass,0.541869656190068,none,s01_lr13_select_edges_flat_seed42,current_v2_three_path,1.17496689656309,2.37202879808951,1,1,fail,mean_J_control=1.17497>baseline=1;path_catastrophic_count=1>0,secondary_recipe_multiseed_comparison_available,not_applicable_for_individual_seed,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\14_uncertainty_stability_optimization\01_seed21_42_stability_search\s01_lr13_select_edges_flat_seed42\modern_tcn_seed42.pt,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\14_uncertainty_stability_optimization\02_stability_screen\final_multiseed_offline_metrics.csv,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\14_uncertainty_stability_optimization\04_closed_loop_multiseed\closed_loop_results.csv
