algorithm_recipe,candidate_id,seed,evidence_scope,n_paths,J_control,path_count,worst_path_J,path_fail_count,path_catastrophic_count,deployment_champion_gate_status,deployment_champion_gate_reason,source_file
BI_BU_A2_freeze_early,a2_freeze_early_seed42,42,sentinel_three_path,3,1.61319158327678,3,2.58736013155446,2,2,fail,mean_J_control=1.61319>baseline=1;path_catastrophic_count=2>0,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\15_bi_bu_uncertainty_stabilization\06_sentinel_closed_loop\sentinel_closed_loop_aggregate.csv
BI_BU_A2_freeze_early,a2_freeze_early_seed21,21,sentinel_three_path,3,2.12081830264372,3,3.57242748906417,2,2,fail,mean_J_control=2.12082>baseline=1;path_catastrophic_count=2>0,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\15_bi_bu_uncertainty_stabilization\06_sentinel_closed_loop\sentinel_closed_loop_aggregate.csv
ModernTCN_small_base,modern_base_seed21,21,current_v2_three_path_node16,3,1.00578398807548,3,1.33073819193599,1,0,fail,mean_J_control=1.00578>baseline=1,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\16_recipe_vs_deployment_comparison\09_modern_base_closed_loop\closed_loop_results.csv
ModernTCN_small_base,modern_base_seed101,101,current_v2_three_path_node16,3,13.7637421354444,3,135.079575090136,3,1,fail,mean_J_control=13.7637>baseline=1;path_catastrophic_count=1>0,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\16_recipe_vs_deployment_comparison\09_modern_base_closed_loop\closed_loop_results.csv
ModernTCN_small_base,modern_base_seed42,42,current_v2_three_path_node16,3,19.6017807316235,3,205.78872834781,3,1,fail,mean_J_control=19.6018>baseline=1;path_catastrophic_count=1>0,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\16_recipe_vs_deployment_comparison\09_modern_base_closed_loop\closed_loop_results.csv
ModernTCN_small_locked_champion,baseline_lock,101,current_v2_three_path,3,1,3,1,0,0,reference,locked ModernTCN_small champion baseline,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\12_uncertainty_replacement_qualification\03_closed_loop_representatives\closed_loop_replacement_results.csv
Uncertainty_stability_s01,s01_lr13_select_edges_flat_seed101,101,current_v2_three_path,3,1.10544617766553,3,1.4139186311548,1,0,fail,mean_J_control=1.10545>baseline=1,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\14_uncertainty_stability_optimization\04_closed_loop_multiseed\closed_loop_results.csv
Uncertainty_stability_s01,s01_lr13_select_edges_flat_seed21,21,current_v2_three_path,3,1.14311774157566,3,2.21613537740415,2,1,fail,mean_J_control=1.14312>baseline=1;path_catastrophic_count=1>0,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\14_uncertainty_stability_optimization\04_closed_loop_multiseed\closed_loop_results.csv
Uncertainty_stability_s01,s01_lr13_select_edges_flat_seed42,42,current_v2_three_path,3,1.17496689656309,3,2.37202879808951,1,1,fail,mean_J_control=1.17497>baseline=1;path_catastrophic_count=1>0,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\14_uncertainty_stability_optimization\04_closed_loop_multiseed\closed_loop_results.csv
Uncertainty_weighted_same_recipe,uncertainty_seed101_rerun_20260622,101,current_v2_three_path,3,0.94411711953914,3,1.06346989562921,2,0,pass,mean_J_control<=baseline and no path catastrophic failure,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\12_uncertainty_replacement_qualification\03_closed_loop_representatives\closed_loop_replacement_results.csv
Uncertainty_weighted_same_recipe,uncertainty_anchor_same_recipe_seed21,21,current_v2_three_path,3,1.13638158707013,3,1.31925951475442,2,0,fail,mean_J_control=1.13638>baseline=1,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\12_uncertainty_replacement_qualification\03_closed_loop_representatives\closed_loop_replacement_results.csv
Uncertainty_weighted_same_recipe,uncertainty_anchor_same_recipe_seed42,42,current_v2_three_path,3,11.9154967909798,3,113.779469042867,2,1,fail,mean_J_control=11.9155>baseline=1;path_catastrophic_count=1>0,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\12_uncertainty_replacement_qualification\03_closed_loop_representatives\closed_loop_replacement_results.csv
