controller,zone,t0,t1,duration_s,n_samples,ey_rmse,ey_peak,ey_iae,epsi_rmse,epsi_peak,ev_rmse,ev_peak,eomega_rmse,eomega_peak,xy_rmse,xy_peak,F_rms,F_peak,F_sat595_pct,F_limit_hit_pct,omega_cmd_rms,omega_cmd_peak,omega_sat060_pct,omega_limit_hit_pct,viol_rate,j_du,dF_rms,domega_cmd_rms,solve_time_p50_ms,solve_time_p95_ms,solve_time_p99_ms,solve_time_max_ms,timeout_rate,theta_mae_deg,theta_peak_deg,theta_sched_mae_deg,theta_hat_step_p95_deg,theta_sched_step_p95_deg,main_acc_pct,turn_acc_pct,flat_false_slope_pct,slope_recall_pct,right_recall_pct,left_recall_pct,pred_main_1_pct,pred_main_2_pct,pred_main_3_pct,pred_turn_m1_pct,pred_turn_0_pct,pred_turn_1_pct
baseline_lock,all,0,52,52,5151,0.0405837714490269,0.12690287779986,1.40274657735239,0.0415952419404275,0.0946014381012255,0.0355769981358947,0.129934566927505,0.0219126603467524,0.100119389051316,0.513652824986013,0.679181139413126,157.137673102785,224.704391134481,0,0,0.0792461283900394,1.35086687840308,0.07765482430596,0,0,5.32370259076876,2.30721172899333,0.0218318199973113,0.0208541,0.022550575,0.023888691,0.2452377,0,0.600177618700356,3.32314074074074,0.712585144187336,0.016546320359511,0.0240934768744909,94.1370607649,48.8448844884488,12.323064113239,96.1012658227848,91.3473423980222,46.6309341500766,23.4323432343234,0,76.5676567656766,27.4898078043098,36.2065618326539,36.3036303630363
baseline_lock,startup,0,4,4,400,0,0,0,0,0,0.175318965954327,0.82,0,0,0.233527977397704,0.245250100324083,130.519914022882,508.814670318738,0,0,4.14803413030845e-05,0.000245715645736055,0,0,0,66.3592694553824,8.14611990184716,1.05861007494259e-05,0.0073666,0.0220107,0.09793125,4.0511424,0,0,0,0,0,0,100,100,0,NaN,NaN,NaN,100,0,0,0,100,0
baseline_lock,uphill_left_transition,4,22,18,1800,0.0370977796262635,0.0676463369025724,0.465920309573442,0.0542246497684397,0.0946014381012255,0.0372102589791132,0.119434879624378,0.0259447720155561,0.100119389051316,0.543572651072902,0.672205583789543,196.591985211355,224.704391134481,0,0,0.0815649602744738,0.144050227413507,0,0,0,0.962100753869758,0.980862998721816,0.00292089168006242,0.02123025,0.0231167,0.02475845,0.0325373,0,0.567596467858896,3.161125,0.705972030773276,0.0138145104544489,0.0154368517196438,93.9444444444444,63.6111111111111,0,92.985842985843,NaN,43.1396786155748,19.7222222222222,0,80.2777777777778,1.83333333333333,69.7777777777778,28.3888888888889
baseline_lock,downhill_right_transition,22,42,20,2000,0.0199914364131767,0.0390604024821615,0.329998601501967,0.0304047576097038,0.0520949553768676,0.0299067562592184,0.106524686752093,0.0228768139244661,0.0808983703452953,0.499967037273231,0.679181139413126,154.058651191476,221.809355331163,0,0,0.0779749302627381,0.130091277742777,0,0,0,3.48551651072878,1.86694902477694,0.00422488026258057,0.02073045,0.0217703,0.022617,0.0346328,0,0.523226585822837,3.32314074074074,0.668474050049112,0.0274671289333318,0.0326571263419476,96.6,36.95,14.8387096774194,97.5609756097561,91.3473423980222,NaN,8.85,0,91.15,69.15,0,30.85
baseline_lock,flat_left_exit,42,52,10,1000,0.0721618836080623,0.12690287779986,0.606227812553717,0.0420785602838962,0.074660005086531,0.0451229343193057,0.0695868440689511,0.0146516694551251,0.0454912903434778,0.553321354564253,0.666757367980061,97.5028004854607,157.637758955252,0,0,0.0906178690077542,1.35086687840308,0.4,0,0,18.4221039342532,4.29181755900467,0.0490507336582943,0.02069565,0.0220101,0.023293,0.0245591,0,1.02338810013385,1.85162068877451,1.06282778604874,0.0155919688414955,0.0212605807831194,87.5,28.2,27.8396436525612,100,NaN,52.3138832997988,32.4,0,67.6,0,25.9,74.1
modern_base_seed21,all,0,52,52,5151,0.0344601876271659,0.0948115523530848,1.04020798102382,0.0384048600070993,0.0981421601043693,0.0343488354241229,0.129934566927505,0.0172734802206093,0.0955124369334739,0.465579689527345,0.726495713416357,156.885997556451,225.883424946151,0,0,0.0743981640487991,0.285387307169641,0,0,0,2.05057906918558,1.43195370910688,0.00936184600579088,0.0246143,0.037044945,0.049056685,0.2743811,0,0.590713590643823,3.62976446759259,0.658768919367973,0.0167367018335687,0.0219370600136991,93.5740632886818,54.2613084837896,15.4038301415487,96.3037974683544,97.0333745364648,53.1393568147014,22.5587264608814,0,77.4412735391186,30.7318967190837,36.6919044845661,32.5761987963502
modern_base_seed21,startup,0,4,4,400,0,0,0,0,0,0.175318965954327,0.82,0,0,0.233527977397704,0.245250100324083,130.519914022882,508.814670318738,0,0,4.14803413030845e-05,0.000245715645736055,0,0,0,66.3592694553824,8.14611990184716,1.05861007494259e-05,0.0083933,0.0352683,0.102643,4.8610015,0,0,0,0,0,0,100,100,0,NaN,NaN,NaN,100,0,0,0,100,0
modern_base_seed21,uphill_left_transition,4,22,18,1800,0.0527916992144009,0.0948115523530848,0.648894795031086,0.0587378505608721,0.0981421601043693,0.0433636591665932,0.125606398450481,0.0221591073976594,0.0955124369334739,0.602929631819071,0.726495713416357,196.527664643617,225.883424946151,0,0,0.0761775213823041,0.196425436322356,0,0,0,1.31232595352289,1.14554986037939,0.00643979096213992,0.02358365,0.03906745,0.050039,0.0582563,0,0.799826027561968,3.62976446759259,0.904365444415368,0.012888443451256,0.0148223419192784,94.8888888888889,69.9444444444444,0,94.0797940797941,NaN,57.2311495673671,18.7777777777778,0,81.2222222222222,5.33333333333333,60,34.6666666666667
modern_base_seed21,downhill_right_transition,22,42,20,2000,0.0219244528147256,0.0588957451161634,0.285043662125437,0.022747589885154,0.0411180793626115,0.0334708248418813,0.106152011116376,0.0145132046502477,0.0732663543616589,0.452190469025632,0.687073918399812,154.43140479493,224.194445174946,0,0,0.078382166466565,0.239274094345975,0,0,0,3.24927717915294,1.80255809786018,0.00784110908096481,0.02567045,0.03584145,0.0459023,0.0571877,0,0.604934417028032,3.10983425925926,0.790087006374857,0.0228219657208823,0.0276673526019379,94.6,47.35,34.8387096774194,97.0731707317073,97.0333745364648,NaN,7.75,0,92.25,72.25,9.3,18.45
modern_base_seed21,flat_left_exit,42,52,10,1000,0.011785881493367,0.018460578353439,0.105925493382711,0.0187677042205775,0.0309894094067485,0.0157956232038448,0.0445725097457593,0.0152066520811775,0.0481347794305853,0.180467542024347,0.217511727255571,94.4203096872299,152.155144535105,0,0,0.0760116370397387,0.285387307169641,0,0,0,1.39126016717512,1.17940920579392,0.0159402780301415,0.024288,0.0358152,0.0491851,0.0658058,0,0.393210021738723,2.27575231481482,0.185286857613594,0.0121596817621966,0.0176509830879291,86.9,23.9,29.1759465478842,100,NaN,46.4788732394366,31.8,0,68.2,4.2,27.4,68.4
