section,split,flat,stall,slope,run_id,windows,segments,min,median,p95,max,turn_transition
main_class_counts,train,3283,432,12814,,,,,,,,
stall_run_distribution,train,,,,7,10,,,,,,
stall_run_distribution,train,,,,15,9,,,,,,
stall_run_distribution,train,,,,16,13,,,,,,
stall_run_distribution,train,,,,19,15,,,,,,
stall_run_distribution,train,,,,26,9,,,,,,
stall_run_distribution,train,,,,28,11,,,,,,
stall_run_distribution,train,,,,36,13,,,,,,
stall_run_distribution,train,,,,44,11,,,,,,
stall_run_distribution,train,,,,45,13,,,,,,
stall_run_distribution,train,,,,47,12,,,,,,
stall_run_distribution,train,,,,48,13,,,,,,
stall_run_distribution,train,,,,59,14,,,,,,
stall_run_distribution,train,,,,61,13,,,,,,
stall_run_distribution,train,,,,62,15,,,,,,
stall_run_distribution,train,,,,63,9,,,,,,
stall_run_distribution,train,,,,64,12,,,,,,
stall_run_distribution,train,,,,67,13,,,,,,
stall_run_distribution,train,,,,68,10,,,,,,
stall_run_distribution,train,,,,69,11,,,,,,
stall_run_distribution,train,,,,70,13,,,,,,
stall_run_distribution,train,,,,71,9,,,,,,
stall_run_distribution,train,,,,72,9,,,,,,
stall_run_distribution,train,,,,73,11,,,,,,
stall_run_distribution,train,,,,74,9,,,,,,
stall_run_distribution,train,,,,75,12,,,,,,
stall_run_distribution,train,,,,78,24,,,,,,
stall_run_distribution,train,,,,81,13,,,,,,
stall_run_distribution,train,,,,82,13,,,,,,
stall_run_distribution,train,,,,83,12,,,,,,
stall_run_distribution,train,,,,89,15,,,,,,
stall_run_distribution,train,,,,93,9,,,,,,
stall_run_distribution,train,,,,95,10,,,,,,
stall_run_distribution,train,,,,96,13,,,,,,
stall_run_distribution,train,,,,99,16,,,,,,
stall_run_distribution,train,,,,101,9,,,,,,
stall_run_distribution,train,,,,102,9,,,,,,
slope_run_distribution,train,,,,1,555,,,,,,
slope_run_distribution,train,,,,4,568,,,,,,
slope_run_distribution,train,,,,5,575,,,,,,
slope_run_distribution,train,,,,7,573,,,,,,
slope_run_distribution,train,,,,11,576,,,,,,
slope_run_distribution,train,,,,14,556,,,,,,
slope_run_distribution,train,,,,15,564,,,,,,
slope_run_distribution,train,,,,16,562,,,,,,
slope_run_distribution,train,,,,17,540,,,,,,
slope_run_distribution,train,,,,18,556,,,,,,
slope_run_distribution,train,,,,19,583,,,,,,
slope_run_distribution,train,,,,20,585,,,,,,
slope_run_distribution,train,,,,21,162,,,,,,
slope_run_distribution,train,,,,24,165,,,,,,
slope_run_distribution,train,,,,26,175,,,,,,
slope_run_distribution,train,,,,28,169,,,,,,
slope_run_distribution,train,,,,29,143,,,,,,
slope_run_distribution,train,,,,30,141,,,,,,
slope_run_distribution,train,,,,32,164,,,,,,
slope_run_distribution,train,,,,35,139,,,,,,
slope_run_distribution,train,,,,36,141,,,,,,
slope_run_distribution,train,,,,45,167,,,,,,
slope_run_distribution,train,,,,47,145,,,,,,
slope_run_distribution,train,,,,48,136,,,,,,
slope_run_distribution,train,,,,49,163,,,,,,
slope_run_distribution,train,,,,50,162,,,,,,
slope_run_distribution,train,,,,51,160,,,,,,
slope_run_distribution,train,,,,52,153,,,,,,
slope_run_distribution,train,,,,53,166,,,,,,
slope_run_distribution,train,,,,57,164,,,,,,
slope_run_distribution,train,,,,58,164,,,,,,
slope_run_distribution,train,,,,59,169,,,,,,
slope_run_distribution,train,,,,61,108,,,,,,
slope_run_distribution,train,,,,62,102,,,,,,
slope_run_distribution,train,,,,63,113,,,,,,
slope_run_distribution,train,,,,64,119,,,,,,
slope_run_distribution,train,,,,65,124,,,,,,
slope_run_distribution,train,,,,67,106,,,,,,
slope_run_distribution,train,,,,68,113,,,,,,
slope_run_distribution,train,,,,69,101,,,,,,
slope_run_distribution,train,,,,70,101,,,,,,
slope_run_distribution,train,,,,71,116,,,,,,
slope_run_distribution,train,,,,72,108,,,,,,
slope_run_distribution,train,,,,73,110,,,,,,
slope_run_distribution,train,,,,74,108,,,,,,
slope_run_distribution,train,,,,75,94,,,,,,
slope_run_distribution,train,,,,76,106,,,,,,
slope_run_distribution,train,,,,86,117,,,,,,
slope_run_distribution,train,,,,87,103,,,,,,
slope_run_distribution,train,,,,88,104,,,,,,
slope_run_distribution,train,,,,89,117,,,,,,
slope_run_distribution,train,,,,91,120,,,,,,
slope_run_distribution,train,,,,93,115,,,,,,
slope_run_distribution,train,,,,95,115,,,,,,
slope_run_distribution,train,,,,96,108,,,,,,
slope_run_distribution,train,,,,97,116,,,,,,
slope_run_distribution,train,,,,99,107,,,,,,
slope_run_distribution,train,,,,100,122,,,,,,
stall_duration_summary,train,,,,,,411,1,1.0,1.0,3,
slope_duration_summary,train,,,,,,2849,1,3.0,12.0,36,
turn_transition_x_main,train,2704,395,10567,,,,,,,,non_transition
turn_transition_x_main,train,579,37,2247,,,,,,,,transition
main_class_counts,val,657,42,2996,,,,,,,,
stall_run_distribution,val,,,,8,12,,,,,,
stall_run_distribution,val,,,,10,11,,,,,,
stall_run_distribution,val,,,,34,9,,,,,,
stall_run_distribution,val,,,,98,10,,,,,,
slope_run_distribution,val,,,,6,497,,,,,,
slope_run_distribution,val,,,,8,519,,,,,,
slope_run_distribution,val,,,,10,477,,,,,,
slope_run_distribution,val,,,,13,479,,,,,,
slope_run_distribution,val,,,,23,106,,,,,,
slope_run_distribution,val,,,,25,119,,,,,,
slope_run_distribution,val,,,,31,109,,,,,,
slope_run_distribution,val,,,,34,99,,,,,,
slope_run_distribution,val,,,,46,102,,,,,,
slope_run_distribution,val,,,,55,97,,,,,,
slope_run_distribution,val,,,,90,105,,,,,,
slope_run_distribution,val,,,,92,89,,,,,,
slope_run_distribution,val,,,,94,108,,,,,,
slope_run_distribution,val,,,,98,90,,,,,,
stall_duration_summary,val,,,,,,39,1,1.0,2.0,2,
slope_duration_summary,val,,,,,,561,1,4.0,16.0,27,
turn_transition_x_main,val,555,42,2454,,,,,,,,non_transition
turn_transition_x_main,val,102,0,542,,,,,,,,transition
main_class_counts,test,756,96,2750,,,,,,,,
stall_run_distribution,test,,,,3,27,,,,,,
stall_run_distribution,test,,,,12,8,,,,,,
stall_run_distribution,test,,,,22,10,,,,,,
stall_run_distribution,test,,,,27,11,,,,,,
stall_run_distribution,test,,,,33,9,,,,,,
stall_run_distribution,test,,,,54,12,,,,,,
stall_run_distribution,test,,,,60,10,,,,,,
stall_run_distribution,test,,,,85,9,,,,,,
slope_run_distribution,test,,,,2,468,,,,,,
slope_run_distribution,test,,,,3,505,,,,,,
slope_run_distribution,test,,,,9,501,,,,,,
slope_run_distribution,test,,,,12,485,,,,,,
slope_run_distribution,test,,,,22,125,,,,,,
slope_run_distribution,test,,,,27,106,,,,,,
slope_run_distribution,test,,,,33,93,,,,,,
slope_run_distribution,test,,,,54,107,,,,,,
slope_run_distribution,test,,,,56,103,,,,,,
slope_run_distribution,test,,,,60,85,,,,,,
slope_run_distribution,test,,,,66,90,,,,,,
slope_run_distribution,test,,,,85,82,,,,,,
stall_duration_summary,test,,,,,,95,1,1.0,1.0,2,
slope_duration_summary,test,,,,,,665,1,3.0,11.0,32,
turn_transition_x_main,test,588,89,2254,,,,,,,,non_transition
turn_transition_x_main,test,168,7,496,,,,,,,,transition
