"role","exists","size_bytes","sha256","source_path"
"checkpoint","True","521797","E72F366F7378DB9E7CED49FD950D6E5C8EC4D5E27D7D88E0BD9D19B4EE01F3E0","E:\Matlab\Simulink\S-Function_16\results\paper\agv_model_parameter_correction_workflow\08_models\modern_tcn\modern_tcn_v5_plantfix_turn_l020_tt25_tcm14_stw055_slrw060_seed101\modern_tcn_seed101.pt"
"onnx","True","472135","D27D74558E2899C524494440594EEFE89583A66176EBB5CA5790B8265538C172","E:\Matlab\Simulink\S-Function_16\results\paper\agv_model_parameter_correction_workflow\08_models\modern_tcn\modern_tcn_v5_plantfix_turn_l020_tt25_tcm14_stw055_slrw060_seed101\modern_tcn_seed101.onnx"
"dataset","True","446285336","AB5DDE32EF3627AA7032A3B4F7632C87CB471287A638F2B14A25A179A660196F","E:\Matlab\Simulink\S-Function_16\data\tcn\ModernTCN_dataset_agv_dualsteer_theta10_uniform_conf_h0_v5_plantfix_passive17_plus_all5.mat"
"contract","True","3047","6BB404DF7B3FD7B3ABB32EF664E0D558E4DC81505E1B2CE7DB3DECD0116A2457","E:\Matlab\Simulink\S-Function_16\data\tcn\ModernTCN_dataset_agv_dualsteer_theta10_uniform_conf_h0_v5_plantfix_passive17_plus_all5_contract.json"
"current_dataset_pointer","True","1173","7913926B6B73C5D27E22E73B0C53C56CA85A22A33D54F17B0EBB048C852CABAC","E:\Matlab\Simulink\S-Function_16\data\tcn\CURRENT_ModernTCN_DATASET.json"
"baseline_identity","True","1088","00D30F6478B3DB11CCA30CDBFD7E8A8D350A738C9D05B4FE4C136A4EAEC0B8BD","E:\Matlab\Simulink\S-Function_16\results\modern_tcn_ablation\_baseline_snapshot\baseline_identity.md"
"baseline_summary","True","729","3BD5664C7B2596CD6288C4BFAF9D30D8FD8DC185D232196AF37679D1020BDBE1","E:\Matlab\Simulink\S-Function_16\results\modern_tcn_ablation\_baseline_snapshot\baseline_summary.md"
"baseline_offline_metrics_source","True","1083","9604A62FDE4C53CF32B61D6D8BEF148D8995CDC6C9CB1EC09CECAA72B51C9DAB","E:\Matlab\Simulink\S-Function_16\results\modern_tcn_ablation\_baseline_snapshot\baseline_offline_metrics.csv"
"baseline_closed_loop_metrics_source","True","3986","A4DE3CBB1A25528222D6C59F1AF281DC4326951BAC16B8B3C5BB84B751052986","E:\Matlab\Simulink\S-Function_16\results\modern_tcn_ablation\_baseline_snapshot\baseline_closed_loop_metrics.csv"
"handoff","True","7617","46EB23E56097231D5250F911EFF746085E97EF5259464CA56B171E69375C8E21","E:\Matlab\Simulink\S-Function_16\results\paper\agv_model_parameter_correction_workflow\HANDOFF_NEXT_CHAT.md"
"current_result_manifest","True","3737","AD37B6FEC11C11657CD68ECC7813549E54E734E65D8C3348F12FE6285F04FC00","E:\Matlab\Simulink\S-Function_16\results\paper\agv_model_parameter_correction_workflow\CURRENT_RESULT_MANIFEST_20260617.md"
