controller,zone,t0,t1,duration_s,n_samples,ey_rmse,ey_peak,ey_iae,epsi_rmse,epsi_peak,ev_rmse,ev_peak,eomega_rmse,eomega_peak,xy_rmse,xy_peak,F_rms,F_peak,F_sat595_pct,F_limit_hit_pct,omega_cmd_rms,omega_cmd_peak,omega_sat060_pct,omega_limit_hit_pct,viol_rate,j_du,dF_rms,domega_cmd_rms,solve_time_p50_ms,solve_time_p95_ms,solve_time_p99_ms,solve_time_max_ms,timeout_rate,theta_mae_deg,theta_peak_deg,theta_sched_mae_deg,theta_hat_step_p95_deg,theta_sched_step_p95_deg,main_acc_pct,turn_acc_pct,flat_false_slope_pct,slope_recall_pct,right_recall_pct,left_recall_pct,pred_main_1_pct,pred_main_2_pct,pred_main_3_pct,pred_turn_m1_pct,pred_turn_0_pct,pred_turn_1_pct
baseline_lock_seed101,all,0,52,52,5151,0.0405837714490269,0.12690287779986,1.40274657735239,0.0415952419404275,0.0946014381012255,0.0355769981358947,0.129934566927505,0.0219126603467524,0.100119389051316,0.513652824986013,0.679181139413126,157.137673102785,224.704391134481,0,0,0.0792461283900394,1.35086687840308,0.07765482430596,0,0,5.32370259076876,2.30721172899333,0.0218318199973113,0.0205367,0.023242955,0.025462993,3.2166322,0,0.600177618700356,3.32314074074074,0.712585144187336,0.016546320359511,0.0240934768744909,94.1370607649,48.8448844884488,12.323064113239,96.1012658227848,91.3473423980222,46.6309341500766,23.4323432343234,0,76.5676567656766,27.4898078043098,36.2065618326539,36.3036303630363
baseline_lock_seed101,startup,0,4,4,400,0,0,0,0,0,0.175318965954327,0.82,0,0,0.233527977397704,0.245250100324083,130.519914022882,508.814670318738,0,0,4.14803413030845e-05,0.000245715645736055,0,0,0,66.3592694553824,8.14611990184716,1.05861007494259e-05,0.0071873,0.02571465,0.16109845,9.0416145,0,0,0,0,0,0,100,100,0,NaN,NaN,NaN,100,0,0,0,100,0
baseline_lock_seed101,uphill_left_transition,4,22,18,1800,0.0370977796262635,0.0676463369025724,0.465920309573442,0.0542246497684397,0.0946014381012255,0.0372102589791132,0.119434879624378,0.0259447720155561,0.100119389051316,0.543572651072902,0.672205583789543,196.591985211355,224.704391134481,0,0,0.0815649602744738,0.144050227413507,0,0,0,0.962100753869758,0.980862998721816,0.00292089168006242,0.0212794,0.0235732,0.02715785,0.0315731,0,0.567596467858896,3.161125,0.705972030773276,0.0138145104544489,0.0154368517196438,93.9444444444444,63.6111111111111,0,92.985842985843,NaN,43.1396786155748,19.7222222222222,0,80.2777777777778,1.83333333333333,69.7777777777778,28.3888888888889
baseline_lock_seed101,downhill_right_transition,22,42,20,2000,0.0199914364131767,0.0390604024821615,0.329998601501967,0.0304047576097038,0.0520949553768676,0.0299067562592184,0.106524686752093,0.0228768139244661,0.0808983703452953,0.499967037273231,0.679181139413126,154.058651191476,221.809355331163,0,0,0.0779749302627381,0.130091277742777,0,0,0,3.48551651072878,1.86694902477694,0.00422488026258057,0.0203076,0.0215052,0.02264265,0.0312624,0,0.523226585822837,3.32314074074074,0.668474050049112,0.0274671289333318,0.0326571263419476,96.6,36.95,14.8387096774194,97.5609756097561,91.3473423980222,NaN,8.85,0,91.15,69.15,0,30.85
baseline_lock_seed101,flat_left_exit,42,52,10,1000,0.0721618836080623,0.12690287779986,0.606227812553717,0.0420785602838962,0.074660005086531,0.0451229343193057,0.0695868440689511,0.0146516694551251,0.0454912903434778,0.553321354564253,0.666757367980061,97.5028004854607,157.637758955252,0,0,0.0906178690077542,1.35086687840308,0.4,0,0,18.4221039342532,4.29181755900467,0.0490507336582943,0.02025115,0.02145125,0.0223474,0.0260982,0,1.02338810013385,1.85162068877451,1.06282778604874,0.0155919688414955,0.0212605807831194,87.5,28.2,27.8396436525612,100,NaN,52.3138832997988,32.4,0,67.6,0,25.9,74.1
mode_theta_detach_flatreg001_seed21_rerun_20260622,all,0,52,52,5151,0.0280525776575799,0.0572740911271541,1.04811554006496,0.0224362070726686,0.0575058350268075,0.0334776650719439,0.139969461268104,0.0123919082853684,0.0490219412693557,0.312006544025554,0.532036434630239,157.017594933183,223.998123642859,0,0,0.0770487714421215,0.445284609979243,0,0,0,2.44119532752218,1.56240517133059,0.00924165145490614,0.0209332,0.022973165,0.025966839,0.4701564,0,0.563556995732409,4.0872,0.644243645906779,0.0175608754087274,0.0239578927128687,96.039603960396,70.0834789361289,6.07826810990841,96.6835443037975,83.8071693448702,66.0796324655437,24.4418559503009,0,75.5581440496991,23.4905843525529,49.5049504950495,27.0044651523976
mode_theta_detach_flatreg001_seed21_rerun_20260622,startup,0,4,4,400,0,0,0,0,0,0.175318965954327,0.82,0,0,0.233527977397704,0.245250100324083,130.519914022882,508.814670318738,0,0,4.14803413030845e-05,0.000245715645736055,0,0,0,66.3592694553824,8.14611990184716,1.05861007494259e-05,0.00730935,0.02583335,0.0963704,5.1640614,0,0,0,0,0,0,100,100,0,NaN,NaN,NaN,100,0,0,0,100,0
mode_theta_detach_flatreg001_seed21_rerun_20260622,uphill_left_transition,4,22,18,1800,0.0326905619352877,0.0572740911271541,0.406648593773635,0.0353370812883107,0.0575058350268075,0.036455434995934,0.11796368752299,0.0147964982123401,0.0490219412693557,0.431477069964399,0.532036434630239,196.228530512095,223.998123642859,0,0,0.0733848743666116,0.224173034428905,0,0,0,1.16830963948343,1.0808717712,0.00508465401156921,0.0213735,0.02419585,0.0265258,0.0320589,0,0.696890078012255,3.43113425925926,0.795968584033198,0.0150819304286178,0.0207858257526633,94.8888888888889,76.0555555555556,0,94.0797940797941,NaN,70.8281829419036,18.7777777777778,0,81.2222222222222,2.44444444444444,57.3333333333333,40.2222222222222
mode_theta_detach_flatreg001_seed21_rerun_20260622,downhill_right_transition,22,42,20,2000,0.0246812045291223,0.0509407118327941,0.357039255408104,0.00895419049248486,0.0217712476471544,0.0387314269433521,0.139969461268104,0.0109244176846381,0.0322879947779112,0.250347252154407,0.457359825340416,154.831646348138,221.77401230774,0,0,0.0878728564501024,0.172114251310273,0,0,0,4.27938950892859,2.06866750638549,0.00206323857830557,0.02075635,0.0218665,0.02268755,0.031486,0,0.617906693653904,4.0872,0.807589872879406,0.0225049267803648,0.0332700053390503,95.85,71.65,28.3870967741935,97.8861788617886,83.8071693448702,NaN,7.5,0,92.5,47.35,39.65,13
mode_theta_detach_flatreg001_seed21_rerun_20260622,flat_left_exit,42,52,10,1000,0.0301883649196922,0.0395485221268879,0.284190801157175,0.0135958764658951,0.0203635596104176,0.0133423127171662,0.0313276738602857,0.0125770205954823,0.0323611318029153,0.142448883355958,0.172425667599693,95.3514047379855,151.35187377197,0,0,0.0737703139247467,0.445284609979243,0,0,0,1.60293978374092,1.26592045128689,0.0196263790476146,0.02075305,0.0218214,0.02246925,0.0310102,0,0.412666557287774,2.24253490733808,0.270575741333597,0.0184634173227339,0.0213308186022615,97.1,45.7,6.45879732739421,100,NaN,58.3501006036217,42,0,58,21.9,37.4,40.7
