controller,zone,t0,t1,duration_s,n_samples,ey_rmse,ey_peak,ey_iae,epsi_rmse,epsi_peak,ev_rmse,ev_peak,eomega_rmse,eomega_peak,xy_rmse,xy_peak,F_rms,F_peak,F_sat595_pct,F_limit_hit_pct,omega_cmd_rms,omega_cmd_peak,omega_sat060_pct,omega_limit_hit_pct,viol_rate,j_du,dF_rms,domega_cmd_rms,solve_time_p50_ms,solve_time_p95_ms,solve_time_p99_ms,solve_time_max_ms,timeout_rate,theta_mae_deg,theta_peak_deg,theta_sched_mae_deg,theta_hat_step_p95_deg,theta_sched_step_p95_deg,main_acc_pct,turn_acc_pct,flat_false_slope_pct,slope_recall_pct,right_recall_pct,left_recall_pct,pred_main_1_pct,pred_main_2_pct,pred_main_3_pct,pred_turn_m1_pct,pred_turn_0_pct,pred_turn_1_pct
ModernTCN_slope_seed101,all,0,52,52,5151,0.0647755974573575,0.191388376393423,2.30425758779592,0.0563074236199652,0.125815345073663,0.0354509005055687,0.12993456704513,0.0237857535502708,0.125769569324294,0.722346759079737,0.956528663369647,156.980269756271,224.599109707837,0,0,0.0814544773585889,1.47627564897879,0.09706853038245,0.03882741215298,0,3.16605335403916,1.77921138213546,0.0214525457418363,0.0234906,0.04854179,0.053033511,0.4598216,0,0.621999536001651,3.22906655092593,0.745995298106391,0.0167535347193349,0.022652227072055,94.1953018831295,61.5220345563968,11.3238967527061,95.873417721519,66.0074165636588,99.6937212863706,23.8400310619297,0,76.1599689380703,17.9188507086003,29.9165210638711,52.1646282275286
ModernTCN_slope_seed101,startup,0,4,4,400,0,0,0,0,0,0.175318965955981,0.82,0,0,0.233527977599059,0.245250100643681,130.51991401289,508.814670366235,0,0,4.12199722501266e-05,0.00024480981018371,0,0,0,66.3592694922969,8.14611990411311,1.04455151615513e-05,0.01369845,0.0459847,0.172432,4.8374556,0,0,0,0,0,0,100,100,0,NaN,NaN,NaN,100,0,0,0,100,0
ModernTCN_slope_seed101,uphill_left_transition,4,22,18,1800,0.0599689708452766,0.109405226249392,0.736324476308815,0.0622532396436432,0.110844081672554,0.0431689145258256,0.124063874921604,0.015458382261189,0.0670530306106269,0.624198951961718,0.835850410362344,196.033914777264,224.599109707837,0,0,0.0737282190975577,0.199412574918686,0,0,0,1.17503724708927,1.08397749245524,0.00548114401608781,0.03204725,0.04731885,0.0518307,0.0573132,0,0.864790704261176,3.22906655092593,0.992304617535083,0.0114110275448051,0.0109582837197374,93.4444444444444,88.9444444444444,0,92.4066924066924,NaN,99.5055624227441,20.2222222222222,0,79.7777777777778,0,44.4444444444444,55.5555555555556
ModernTCN_slope_seed101,downhill_right_transition,22,42,20,2000,0.0363089733846715,0.0587302662955361,0.616501815556454,0.0489956106315028,0.0807081662778142,0.0321381055883344,0.0997619359739785,0.0194542160988256,0.0635265918858367,0.785499305454754,0.956528663369647,154.889608327457,223.817971049313,0,0,0.0794394430388179,0.168340235680905,0,0,0,3.51745435828405,1.87547637283757,0.00653706448548718,0.033749,0.0504522,0.0545483,0.0769092,0,0.538893013660316,3.10983425925926,0.708713497585095,0.0216281888159588,0.0263591304546356,96,36.05,22.5806451612903,97.5609756097561,66.0074165636588,NaN,8.25,0,91.75,46.15,19.55,34.3
ModernTCN_slope_seed101,flat_left_exit,42,52,10,1000,0.11180352297916,0.191388376393423,0.95028300996755,0.0674780586970081,0.125815345073663,0.0291709148703302,0.0542037120021541,0.0415590806650585,0.125769569324294,0.854949304915394,0.929333159489516,95.5672291125315,150.50363422221,0,0,0.108478621505103,1.47627564897879,0.5,0.2,0,6.85167807241736,2.61714450143689,0.0472517832047038,0.0210235,0.022636,0.0243501,0.0342405,0,0.569510314953759,1.34814814814815,0.639046251777905,0.0172595364920691,0.0200798830769997,89.9,49.7,22.4944320712695,100,NaN,100,34.8,0,65.2,0,0,100
GRU,all,0,52,52,5151,0.0763529141201321,0.231653987915023,2.11416016272317,0.039777054371632,0.123736871557366,0.0399260019200263,0.131911565304738,0.0210900312328395,0.0954758441871865,0.346350978932188,0.614536454837495,156.870830955163,223.082866205363,0,0,0.136843191160763,0.94005110597375,0.01941370607649,0,0,6.74537925091929,2.59705596043986,0.0260689329104395,0.0103285,0.014509205,0.020104455,0.0281257,0,0.662546394527297,3.67076797444586,0.76348006334873,0.0204244330270246,0.018445171483648,92.6033779848573,76.5870704717531,20.233139050791,96.5063291139241,95.1792336217553,97.0137825421133,21.277421859833,0,78.722578140167,24.1118229470006,38.5556202679091,37.3325567850903
GRU,startup,0,4,4,400,0,0,0,0,0,0.18328026155755,0.82,0,0,0.204339489880699,0.244799880394274,131.969397429272,508.814670366235,0,0,5.05677921753523e-05,0.00024480981018371,0,0,0,66.5815809676459,8.15975373203909,1.0951665438708e-05,0.0102937,0.01345535,0.01640725,0.0281257,0,1.28930705582214,2.6279948931945,1.03573031406784,0.0210609082629572,0.0304254040840403,100,100,0,NaN,NaN,NaN,100,0,0,0,100,0
GRU,uphill_left_transition,4,22,18,1800,0.0191808353200017,0.0497270699713271,0.22341136080422,0.0130791729915105,0.0254125317824063,0.0324576547684935,0.0940510667951299,0.0125086324903419,0.0464386312408068,0.0795369433874017,0.125536576309776,195.428817024158,223.082866205363,0,0,0.0872890930333275,0.179111063511006,0,0,0,0.187730150336979,0.433274808428412,0.001758043885354,0.0101946,0.01356835,0.0184764,0.0277975,0,0.606157448511851,2.65361556014,0.654547562192732,0.00993830431036738,0.00940026404726428,94.7777777777778,87,0,93.951093951094,NaN,95.1792336217553,18.8888888888889,0,81.1111111111111,4.38888888888889,46.3888888888889,49.2222222222222
GRU,downhill_right_transition,22,42,20,2000,0.119444971743649,0.231653987915023,1.63972652589479,0.0567957575571606,0.123736871557366,0.0448096642658206,0.131911565304738,0.0198996207971774,0.0878339051349595,0.467272439549342,0.614536454837495,154.715116768115,218.065899335945,0,0,0.182847280589443,0.448197844627049,0,0,0,16.6613899269852,4.08169620277324,0.0338531424206208,0.0106463,0.01644985,0.02088925,0.0250634,0,0.62666751100737,3.67076797444586,0.824568223729301,0.0326733193125209,0.024726447892098,94.95,76.6,36.7741935483871,97.6151761517615,95.1792336217553,NaN,7.1,0,92.9,52.15,40.05,7.8
GRU,flat_left_exit,42,52,10,1000,0.0288483587910218,0.0473892769102645,0.250246428768653,0.0372627160508036,0.0603775230942303,0.0308922268877616,0.0599936634995476,0.0348880297612236,0.0954758441871865,0.392687005341367,0.489882278204715,96.6322343053407,153.789991860782,0,0,0.126002760143658,0.94005110597375,0.1,0,0,0.691197428167088,0.830658410209847,0.0346991889636779,0.0101139,0.01224705,0.0192638,0.0228614,0,0.551826991669964,1.40490131232132,0.690668795625167,0.0186551616909431,0.0163743322005061,81.4,49.7,41.4253897550111,100,NaN,100,26.3,0,73.7,11.9,0,88.1
