controller,zone,t0,t1,duration_s,n_samples,ey_rmse,ey_peak,ey_iae,epsi_rmse,epsi_peak,ev_rmse,ev_peak,eomega_rmse,eomega_peak,xy_rmse,xy_peak,F_rms,F_peak,F_sat595_pct,F_limit_hit_pct,omega_cmd_rms,omega_cmd_peak,omega_sat060_pct,omega_limit_hit_pct,viol_rate,j_du,dF_rms,domega_cmd_rms,solve_time_p50_ms,solve_time_p95_ms,solve_time_p99_ms,solve_time_max_ms,timeout_rate,theta_mae_deg,theta_peak_deg,theta_sched_mae_deg,theta_hat_step_p95_deg,theta_sched_step_p95_deg,main_acc_pct,turn_acc_pct,flat_false_slope_pct,slope_recall_pct,right_recall_pct,left_recall_pct,pred_main_1_pct,pred_main_2_pct,pred_main_3_pct,pred_turn_m1_pct,pred_turn_0_pct,pred_turn_1_pct,path_tag
ModernTCN_turn_seed101_champion,all,0,190,190,18951,0.0273817167042973,0.0813942394560621,3.04253567160796,0.0357905140388164,0.0971495849873885,0.025447538317634,0.126625803468147,0.0085578094591967,0.0433027783728731,0.575137880537959,1.06867585704609,152.120908808093,288.110570323955,0,0,0.0777522053718589,0.350901370283819,0,0,0,1.18279894791005,1.08754260920118,0.00707255837362756,0.0205736,0.022763905,0.026285298,3.2214678,0,0.444973726540696,2.92667747813411,0.475996564726098,0.00821710436403999,0.0106496551243781,98.1900691256398,67.0518706136879,0.518947622495776,97.1870604781997,91.0025062656642,10.5026677899466,45.0794153342832,0,54.9205846657169,34.6630784655163,54.3401403619862,10.9967811724975,path_factory_logistics_showcase_theta10_v3
ModernTCN_turn_seed101_multiseed,all,0,190,190,18951,0.0452725656372917,0.232829359637858,4.03216832700406,0.038805853081146,0.155092317787607,0.0284068732762148,0.126625803468147,0.0129984441105631,0.0893653002892712,0.430591688308527,0.909559230276994,152.133603412903,286.00415879142,0,0,0.0983617948366875,0.477128561751201,0,0,0,3.20376808477365,1.78985816408632,0.0132603630111329,0.0206693,0.02207179,0.023553267,0.454209,0,0.534127350036926,2.07831207232307,0.576417832377358,0.010225114313497,0.00927034592233939,96.6598068703499,56.8202205688354,5.12913347815593,98.0496952648851,56.4661654135338,9.5478798090424,42.5782280618437,0,57.4217719381563,25.8403250488101,55.2160835839797,18.9435913672102,path_factory_logistics_showcase_theta10_v3
ModernTCN_turn_seed202_multiseed,all,0,190,190,18951,0.682040054114854,1.91836588970345,81.9620415935585,0.236671542871554,0.861938064457353,0.368193878351329,0.98,0.0760972513490237,0.385406438881084,9.63800280110851,35.0132083838944,315.078034597891,720.000000000246,17.2655796527888,17.1653210912353,0.610621395382696,1.65600000000045,28.2834678908765,10.1208379505039,0,794.735664510933,28.1909880368762,0.0621129264531662,0.0207497,0.022380565,0.024044664,0.2937412,0,0.694237569887,3.5,0.710711182537293,0.0106505137965492,0.0105613122719518,91.3249960424252,49.4749617434436,2.92058894520879,86.85419596812,54.7619047619048,57.9612468407751,49.8443353912722,0,50.1556646087278,35.5759590522928,42.6204421930241,21.8035987546831,path_factory_logistics_showcase_theta10_v3
ModernTCN_turn_seed303_multiseed,all,0,190,190,18951,0.0316331497455487,0.0873085451918504,3.79057383962624,0.0521860436724107,0.127915444140533,0.02279764136569,0.126625803468147,0.0179178044469521,0.136134464596045,0.736647892648341,1.15072876025709,152.110061455601,285.196351084476,0,0,0.0819600253389226,0.41060714681628,0,0,0,1.69346005213324,1.30128777062829,0.0104971494456062,0.0206031,0.0219798,0.023372851,0.2458867,0,0.373712763299469,2.9418078669552,0.386829178918298,0.00866965884781169,0.00858473658823907,96.4434594480502,55.4271542398818,5.88945208785904,98.2559774964838,72.4812030075188,27.0991294580174,42.1297029180518,0,57.8702970819482,21.4183948076619,51.5487309376814,27.0328742546567,path_factory_logistics_showcase_theta10_v3
ModernTCN_turn_seed101_champion,all,0,44,44,4351,0.0336777019003845,0.0852651182592324,1.00677171462345,0.0390490415373043,0.0813297012783862,0.0545408138842554,0.216934629263656,0.0268438270766492,0.0966102257956524,0.714726142575811,0.936564913155234,189.818890904966,322.870506476377,0,0,0.0582753905763507,0.221883825008534,0,0,0,7.6133537709016,2.75922555744522,0.00530038137293213,0.0206291,0.022704165,0.023927811,0.4270068,0,0.705795990346854,4.187608,1.06585973837355,0.0330845760709794,0.0436439545686893,91.1054929901172,47.7591358308435,20.2054794520548,93.9568345323741,74.6102449888641,65.6934306569343,19.8345207998161,1.05722822339692,79.1082509767869,36.7042059296713,30.820501034245,32.4752930360837,path_closed_loop_long_updown_theta10_v1
ModernTCN_turn_seed101_multiseed,all,0,44,44,4351,0.0377398127062033,0.093486167143051,1.07872786997697,0.0441521804784983,0.101094219834198,0.0641276274767662,0.220351745156134,0.0270594144036634,0.10670450291844,0.784465278575846,1.028744944054,190.108309641933,337.682025179033,0,0,0.0598526326808111,0.138805006874185,0,0,0,16.1242907626743,4.01550388562923,0.00439399259869228,0.020775,0.022489535,0.023776247,0.2459483,0,0.959388887962984,4.52116480000001,1.33833059622263,0.0289324748489224,0.0453549492700236,89.3587680992875,47.4603539416226,15.8675799086758,91.4532374100719,77.9510022271715,61.1922141119221,19.7655711330729,3.99908067111009,76.2353481958171,26.4766720294185,31.6019305906688,41.9213973799127,path_closed_loop_long_updown_theta10_v1
ModernTCN_turn_seed202_multiseed,all,0,44,44,4351,0.0406357254299151,0.0862667915804961,1.28766649035911,0.0540972496945021,0.123984588782113,0.067514135190444,0.228118790851324,0.0410072846899481,0.130259184011277,0.867661166881572,1.10546400223819,190.503431404789,335.414523541693,0,0,0.0678002547216034,0.249209987650764,0,0,0,33.5191772418252,5.7895657478731,0.0102807042440405,0.0207304,0.022527355,0.024060111,0.2429088,0,0.864554979870769,4.552,1.35098410831377,0.0306998016090907,0.0501239457467094,86.4398988738221,42.174212824638,26.2557077625571,89.6402877697842,92.6503340757238,47.2019464720195,19.4208227993565,3.70029878188922,76.8788784187543,32.0386118133762,28.246380142496,39.7150080441278,path_closed_loop_long_updown_theta10_v1
ModernTCN_turn_seed303_multiseed,all,0,44,44,4351,0.0302422525306594,0.0862072381471427,0.839202609290744,0.0427448036997488,0.100924810887829,0.0659063292362673,0.226368717537919,0.0296175645508102,0.114564047665421,0.715807145245898,0.980252636755408,189.962736989583,338.780633994895,0,0,0.0583498471722035,0.223734480051215,0,0,0,20.1345393052073,4.48714840731223,0.00620289953610807,0.0208553,0.02254122,0.023694123,0.2390816,0,0.933021909577411,4.34651484375,1.31505580490956,0.0250433859102577,0.044994313599607,88.5313720983682,49.5058607216732,18.1506849315068,90.2158273381295,77.728285077951,54.5012165450122,20.8687658009653,3.42450011491611,75.7067340841186,28.6370949207079,36.8880717076534,34.4748333716387,path_closed_loop_long_updown_theta10_v1
ModernTCN_turn_seed101_champion,all,0,52,52,5151,0.0271049450983393,0.0631644797495151,1.04240929083508,0.0409388118310221,0.0939343142913258,0.028433751651751,0.12993456704513,0.0235274720318828,0.10224112314768,0.50951942485758,0.684434764126083,156.85608603156,225.070277681079,0,0,0.0780019248353259,0.820375470295926,0.01941370607649,0,0,2.24617673679914,1.49863901779535,0.0160571211782664,0.0208325,0.022506825,0.023688616,0.2410276,0,0.43333163311326,3.161125,0.540926644034091,0.0193227384836287,0.0227451312567396,94.9912638322656,48.1459910696952,10.2414654454621,96.5822784810127,100,36.1408882082695,23.5488254707824,0,76.4511745292176,34.867016113376,36.886041545331,28.246942341293,path_closed_loop_sharp_turn_transition_theta10_v1
ModernTCN_turn_seed101_multiseed,all,0,52,52,5151,0.0382343928254879,0.0977951136905821,1.24498436934863,0.0316180694202381,0.0882170284289376,0.035932772889626,0.12993456704513,0.0156500042663788,0.0628824990175405,0.367946648664031,0.679281645007155,156.927596307391,223.908082190777,0,0,0.0848597295344465,0.469871861091882,0,0,0,3.73061482818668,1.93146711309104,0.00704409216646418,0.0208878,0.022628555,0.023661071,0.2521743,0,0.678003793440325,3.32314074074074,0.745922106797261,0.0181494967627101,0.0218804183307606,93.146961754999,53.0576587070472,14.7377185678601,95.5443037974684,90.3584672435105,52.1439509954058,23.296447291788,0,76.703552708212,34.1875364006989,33.3527470394098,32.4597165598913,path_closed_loop_sharp_turn_transition_theta10_v1
ModernTCN_turn_seed202_multiseed,all,0,52,52,5151,0.0311905223065699,0.080171872915326,1.05888404677403,0.0406697398465677,0.107207754539993,0.0375206558024857,0.136585242096813,0.0213253279776321,0.101513044981153,0.483007135706731,0.718704519033325,157.253176894788,229.774179733024,0,0,0.078826235275463,0.823746350164233,0.01941370607649,0,0,9.76492833082964,3.12484740729397,0.0160315924900324,0.0208525,0.022450855,0.023589129,0.2395443,0,0.62925815569205,4.00027488425926,0.702244137537275,0.0177041999003776,0.0245311970039783,94.6418171228888,55.2319937876141,6.91090757701915,95.1139240506329,98.8875154511743,55.4364471669219,25.4513686662784,0,74.5486313337216,31.6637546107552,37.1190060182489,31.2172393709959,path_closed_loop_sharp_turn_transition_theta10_v1
