controller,zone,t0,t1,duration_s,n_samples,ey_rmse,ey_peak,ey_iae,epsi_rmse,epsi_peak,ev_rmse,ev_peak,eomega_rmse,eomega_peak,xy_rmse,xy_peak,F_rms,F_peak,F_sat595_pct,F_limit_hit_pct,omega_cmd_rms,omega_cmd_peak,omega_sat060_pct,omega_limit_hit_pct,viol_rate,j_du,dF_rms,domega_cmd_rms,solve_time_p50_ms,solve_time_p95_ms,solve_time_p99_ms,solve_time_max_ms,timeout_rate,theta_mae_deg,theta_peak_deg,theta_sched_mae_deg,theta_hat_step_p95_deg,theta_sched_step_p95_deg,main_acc_pct,turn_acc_pct,flat_false_slope_pct,slope_recall_pct,right_recall_pct,left_recall_pct,pred_main_1_pct,pred_main_2_pct,pred_main_3_pct,pred_turn_m1_pct,pred_turn_0_pct,pred_turn_1_pct
ModernTCN_turn_seed101_champion,all,0,52,52,5151,0.0271049450983393,0.0631644797495151,1.04240929083508,0.0409388118310221,0.0939343142913258,0.028433751651751,0.12993456704513,0.0235274720318828,0.10224112314768,0.50951942485758,0.684434764126083,156.85608603156,225.070277681079,0,0,0.0780019248353259,0.820375470295926,0.01941370607649,0,0,2.24617673679914,1.49863901779535,0.0160571211782664,0.0208325,0.022506825,0.023688616,0.2410276,0,0.43333163311326,3.161125,0.540926644034091,0.0193227384836287,0.0227451312567396,94.9912638322656,48.1459910696952,10.2414654454621,96.5822784810127,100,36.1408882082695,23.5488254707824,0,76.4511745292176,34.867016113376,36.886041545331,28.246942341293
ModernTCN_turn_seed101_champion,startup,0,4,4,400,0,0,0,0,0,0.175318965955981,0.82,0,0,0.233527977599059,0.245250100643681,130.51991401289,508.814670366235,0,0,4.12199722501266e-05,0.00024480981018371,0,0,0,66.3592694922969,8.14611990411311,1.04455151615513e-05,0.0074771,0.0224912,0.0936667,3.9891242,0,0,0,0,0,0,100,100,0,NaN,NaN,NaN,100,0,0,0,100,0
ModernTCN_turn_seed101_champion,uphill_left_transition,4,22,18,1800,0.0352508607194877,0.0631644797495151,0.444660307889206,0.0543003342843039,0.0939343142913258,0.0372724999775459,0.119434879625313,0.0266204568839234,0.10224112314768,0.546254646677048,0.678737065023991,196.599423402572,225.070277681079,0,0,0.0820410604485023,0.141609695103387,0,0,0,0.96386905708737,0.981763688889731,0.00301931531939172,0.021108,0.02304445,0.02509015,0.0337214,0,0.575358592245207,3.161125,0.713240358072768,0.0138329029474163,0.0154368531114334,93.9444444444444,61.6111111111111,0,92.985842985843,NaN,38.6897404202719,19.7222222222222,0,80.2777777777778,1.83333333333333,71.7777777777778,26.3888888888889
ModernTCN_turn_seed101_champion,downhill_right_transition,22,42,20,2000,0.0237881714460986,0.0372574709058115,0.416893113032519,0.0340967401166388,0.0515399971319033,0.0222910393753832,0.0817439177280656,0.0257294755983584,0.0821664339685815,0.538309396380204,0.684434764126083,153.832516503013,221.90397471466,0,0,0.0797465622166711,0.15681202310677,0,0,0,3.87708618125988,1.9690236541141,0.00565957587148487,0.02075715,0.0218087,0.0226168,0.0286365,0,0.361555309305292,1.814453125,0.534436985746654,0.024252066393381,0.0295799940186251,97.45,40.45,16.1290322580645,98.5907859078591,100,NaN,7.8,0,92.2,76.3,0,23.7
ModernTCN_turn_seed101_champion,flat_left_exit,42,52,10,1000,0.0203804808760783,0.0364809831604704,0.180199230901709,0.0316285135607591,0.0532807899900979,0.0216221552902593,0.0481655798140836,0.015841796933576,0.0320544075814271,0.446883569538611,0.498535265693746,95.8400495826978,155.62017761543,0,0,0.0806548628431512,0.820375470295926,0.1,0,0,1.77055753685135,1.33015372123454,0.0353357430551721,0.02071005,0.02158985,0.02222655,0.0229556,0,0.473335157514445,1.8304,0.433606436504865,0.0230565280412621,0.022054593612533,90.2,21.2,21.826280623608,100,NaN,31.9919517102616,35.1,0,64.9,23.6,25.8,50.6
ModernTCN_turn_seed101_multiseed,all,0,52,52,5151,0.0382343928254879,0.0977951136905821,1.24498436934863,0.0316180694202381,0.0882170284289376,0.035932772889626,0.12993456704513,0.0156500042663788,0.0628824990175405,0.367946648664031,0.679281645007155,156.927596307391,223.908082190777,0,0,0.0848597295344465,0.469871861091882,0,0,0,3.73061482818668,1.93146711309104,0.00704409216646418,0.0208878,0.022628555,0.023661071,0.2521743,0,0.678003793440325,3.32314074074074,0.745922106797261,0.0181494967627101,0.0218804183307606,93.146961754999,53.0576587070472,14.7377185678601,95.5443037974684,90.3584672435105,52.1439509954058,23.296447291788,0,76.703552708212,34.1875364006989,33.3527470394098,32.4597165598913
ModernTCN_turn_seed101_multiseed,startup,0,4,4,400,0,0,0,0,0,0.175318965955981,0.82,0,0,0.233527977599059,0.245250100643681,130.51991401289,508.814670366235,0,0,4.12199722501266e-05,0.00024480981018371,0,0,0,66.3592694922969,8.14611990411311,1.04455151615513e-05,0.0077051,0.02252455,0.0961568,3.9573396,0,0,0,0,0,0,100,100,0,NaN,NaN,NaN,100,0,0,0,100,0
ModernTCN_turn_seed101_multiseed,uphill_left_transition,4,22,18,1800,0.0339821184740954,0.0689484834947924,0.410172213957787,0.0497076940205003,0.0882170284289376,0.0467787655588175,0.125606398451627,0.0209694682115861,0.0628824990175405,0.522482990653306,0.679281645007155,196.531811765845,223.908082190777,0,0,0.0808229250033094,0.175318260646162,0,0,0,1.11167109976911,1.05435380647936,0.00302498456190084,0.02119765,0.02305455,0.02403485,0.0296832,0,0.950247456649039,2.81874363425926,1.12980160394557,0.0130883785115797,0.0130865730092226,93.2777777777778,60.0555555555556,0,92.2136422136422,NaN,35.2286773794808,20.3888888888889,0,79.6111111111111,13.4444444444444,60.6666666666667,25.8888888888889
ModernTCN_turn_seed101_multiseed,downhill_right_transition,22,42,20,2000,0.00966398803923391,0.0330773441802101,0.150401764311044,0.0128740856699368,0.0303396551509771,0.0337575427916111,0.109290202948354,0.0137960329391504,0.0432230623208128,0.292067809061113,0.487131339367146,153.986732771817,223.583705514546,0,0,0.0820800923489184,0.149826427857739,0,0,0,7.81597173445414,2.79570488526448,0.00243494609461297,0.0207846,0.0219986,0.0231701,0.0293819,0,0.700934481399081,3.32314074074074,0.738378886404525,0.0208896221341172,0.0297733457466191,95.8,45.3,18.7096774193548,97.0189701897019,90.3584672435105,NaN,9.05,0,90.95,61.1,8.75,30.15
ModernTCN_turn_seed101_multiseed,flat_left_exit,42,52,10,1000,0.0725561028129056,0.0977951136905821,0.683709049405592,0.0192463591193842,0.0277791041802288,0.0151738460372328,0.031648635543716,0.0094301300404582,0.0296246907342907,0.121217339790983,0.156854702292636,96.1966320569892,162.446158666805,0,0,0.1089039933542,0.469871861091882,0,0,0,1.27529162500341,1.12918740011948,0.0150811277701569,0.0207477,0.0217488,0.02255825,0.0235486,0,0.380083155244681,1.76822268518518,0.331844023353447,0.0183685609013391,0.0184393742218364,85.2,39.6,32.9621380846325,100,NaN,79.6780684104628,30.1,0,69.9,29.7,10.1,60.2
