controller,zone,t0,t1,duration_s,n_samples,ey_rmse,ey_peak,ey_iae,epsi_rmse,epsi_peak,ev_rmse,ev_peak,eomega_rmse,eomega_peak,xy_rmse,xy_peak,F_rms,F_peak,F_sat595_pct,F_limit_hit_pct,omega_cmd_rms,omega_cmd_peak,omega_sat060_pct,omega_limit_hit_pct,viol_rate,j_du,dF_rms,domega_cmd_rms,solve_time_p50_ms,solve_time_p95_ms,solve_time_p99_ms,solve_time_max_ms,timeout_rate,theta_mae_deg,theta_peak_deg,theta_sched_mae_deg,theta_hat_step_p95_deg,theta_sched_step_p95_deg,main_acc_pct,turn_acc_pct,flat_false_slope_pct,slope_recall_pct,right_recall_pct,left_recall_pct,pred_main_1_pct,pred_main_2_pct,pred_main_3_pct,pred_turn_m1_pct,pred_turn_0_pct,pred_turn_1_pct
ModernTCN,all,0,1,1,51,0,0,0,0,0,0.0653250367258029,0.137656632067751,0,0,0.248720784937345,0.25733676260663,86.7237870087524,157.120465361513,0,0,2.68626322140797e-06,3.29667620313501e-06,0,0,0,7.335072302635,2.70833386099923,1.5942740732674e-07,0.0060623,0.00670642,0.007021179,0.0070218,0,0,0,0,0,0,100,100,0,NaN,NaN,NaN,100,0,0,0,100,0
ModernTCN,startup,0,3,3,101,0,0,0,0,0,0.374003905164013,0.88,0,0,0.210287982054456,0.25733676260663,270.618422641435,543.801289887167,0,0,8.79927594950798e-05,0.000262727728953749,0,0,0,304.378116202589,17.4464356302967,2.24131575386342e-05,0.006133,0.007874385,2.26954534999998,4.6160273,0,0,0,0,0,0,100,100,0,NaN,NaN,NaN,100,0,0,0,100,0
ModernTCN,uphill_long_entry,3,16,13,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ModernTCN,downhill_transition,16,29,13,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ModernTCN,uphill_return,29,39,10,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ModernTCN,flat_recovery,39,44,5,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
GRU,all,0,1,1,51,0,0,0,0,0,0.0653250367258029,0.137656632067751,0,0,0.248720784937345,0.25733676260663,86.7237870087524,157.120465361513,0,0,2.68626322140797e-06,3.29667620313501e-06,0,0,0,7.335072302635,2.70833386099923,1.5942740732674e-07,0.0061229,0.00682986,0.007279367,0.0072835,0,0,0,0,0,0,100,100,0,NaN,NaN,NaN,100,0,0,0,100,0
GRU,startup,0,3,3,101,0,0,0,0,0,0.374003905164013,0.88,0,0,0.210287982054456,0.25733676260663,270.618422641435,543.801289887167,0,0,8.79927594950798e-05,0.000262727728953749,0,0,0,304.378116202589,17.4464356302967,2.24131575386342e-05,0.0061759,0.007343295,0.011987557,0.0135172,0,0,0,0,0,0,100,100,0,NaN,NaN,NaN,100,0,0,0,100,0
GRU,uphill_long_entry,3,16,13,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
GRU,downhill_transition,16,29,13,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
