controller,zone,t0,t1,duration_s,n_samples,ey_rmse,ey_peak,ey_iae,epsi_rmse,epsi_peak,ev_rmse,ev_peak,eomega_rmse,eomega_peak,xy_rmse,xy_peak,F_rms,F_peak,F_sat595_pct,F_limit_hit_pct,omega_cmd_rms,omega_cmd_peak,omega_sat060_pct,omega_limit_hit_pct,viol_rate,j_du,dF_rms,domega_cmd_rms,solve_time_p50_ms,solve_time_p95_ms,solve_time_p99_ms,solve_time_max_ms,timeout_rate,theta_mae_deg,theta_peak_deg,theta_sched_mae_deg,theta_hat_step_p95_deg,theta_sched_step_p95_deg,main_acc_pct,turn_acc_pct,flat_false_slope_pct,slope_recall_pct,right_recall_pct,left_recall_pct,pred_main_1_pct,pred_main_2_pct,pred_main_3_pct,pred_turn_m1_pct,pred_turn_0_pct,pred_turn_1_pct
ModernTCN,all,0,1,1,51,0,0,0,0,0,0.062634504819413,0.12993456704513,0,0,0.232671958400052,0.241418624831252,84.5076219941393,149.727851730771,0,0,2.29118440919735e-06,2.71906627169471e-06,0,0,0,6.20774644454337,2.49153495751983,9.55556081722604e-08,0.0062784,0.00692008,0.006993698,0.0069938,0,0,0,0,0,0,100,100,0,NaN,NaN,NaN,100,0,0,0,100,0
ModernTCN,startup,0,4,4,101,0,0,0,0,0,0.348862803606912,0.82,0,0,0.196535526141751,0.241418624831252,254.300313218719,508.814670366235,0,0,8.20114533983304e-05,0.00024480981018371,0,0,0,264.733380452222,16.2706293809363,2.08641548355369e-05,0.0062906,0.00773407,1.98576115299998,4.0367311,0,0,0,0,0,0,100,100,0,NaN,NaN,NaN,100,0,0,0,100,0
ModernTCN,uphill_left_transition,4,22,18,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ModernTCN,downhill_right_transition,22,42,20,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ModernTCN,flat_left_exit,42,52,10,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
GRU,all,0,1,1,51,0,0,0,0,0,0.062634504819413,0.12993456704513,0,0,0.232671958400052,0.241418624831252,84.5076219941393,149.727851730771,0,0,2.29118440919735e-06,2.71906627169471e-06,0,0,0,6.20774644454337,2.49153495751983,9.55556081722604e-08,0.0060278,0.006824655,0.007432593,0.0074373,0,0,0,0,0,0,100,100,0,NaN,NaN,NaN,100,0,0,0,100,0
GRU,startup,0,4,4,101,0,0,0,0,0,0.348862803606912,0.82,0,0,0.196535526141751,0.241418624831252,254.300313218719,508.814670366235,0,0,8.20114533983304e-05,0.00024480981018371,0,0,0,264.733380452222,16.2706293809363,2.08641548355369e-05,0.0061628,0.00711536,0.010707419,0.0111935,0,0,0,0,0,0,100,100,0,NaN,NaN,NaN,100,0,0,0,100,0
GRU,uphill_left_transition,4,22,18,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
GRU,downhill_right_transition,22,42,20,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
GRU,flat_left_exit,42,52,10,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
