theta_low_deg,theta_high_deg,n,mae_deg,rmse_deg,bias_deg,pred_mean_deg
-10,-8,0,NaN,NaN,NaN,NaN
-8,-6,175,0.65345410535587,0.84158012742403,0.61641208531625,-5.82569843754089
-6,-4,799,0.430480511497016,0.722480151123623,0.193519344629697,-4.74077072555334
-4,-2,1248,0.429338793484044,0.673089797372745,0.224548132008588,-2.97415877488795
-2,0,90,0.402866084028763,0.497833119300634,-0.00266786766214245,-2.00266786766214
0,2,0,NaN,NaN,NaN,NaN
2,4,1061,0.345863897396195,0.459032528049245,-0.135602806071387,2.79352672275185
4,6,778,0.520124648186441,0.641812770241151,-0.408873521769334,4.2109018860076
6,8,311,1.19069204586297,1.37142731916198,-1.19069204586297,4.92637392921741
8,10,0,NaN,NaN,NaN,NaN
