theta_bin_deg,n,mae_deg,rmse_deg,bias_deg
"[-10.0, -8.0]",0,NaN,NaN,NaN
"[-8.0, -6.0]",175,0.542268379417701,0.723366329252792,0.500371523123976
"[-6.0, -4.0]",799,0.390022978855358,0.667382102206136,0.182869131675202
"[-4.0, -2.0]",1248,0.42800771084622,0.660755308111442,0.223102614509675
"[-2.0, 0.0]",90,0.291634462385114,0.448083691544324,0.142331412918265
"[0.0, 2.0]",0,NaN,NaN,NaN
"[2.0, 4.0]",1061,0.322853773836468,0.448721981586701,-0.035833759507473
"[4.0, 6.0]",778,0.387102339494183,0.483123635528144,-0.140495383212106
"[6.0, 8.0]",311,0.824862056114802,1.00914973237978,-0.794115047815888
"[8.0, 10.0]",0,NaN,NaN,NaN
