theta_bin_deg,n,mae_deg,rmse_deg,bias_deg
"[-10.0, -8.0]",0,NaN,NaN,NaN
"[-8.0, -6.0]",175,0.856705826876786,1.20300569847879,0.839715293295149
"[-6.0, -4.0]",799,0.600467017861765,0.879255993401546,0.491727526539273
"[-4.0, -2.0]",1248,0.710729120657277,0.934785224187838,0.620830107082746
"[-2.0, 0.0]",90,0.426052781778481,0.641372784284487,0.388766683968135
"[0.0, 2.0]",0,NaN,NaN,NaN
"[2.0, 4.0]",1061,0.330197523079736,0.424979732057798,0.0820739691916276
"[4.0, 6.0]",778,0.384692595732531,0.508373283380864,-0.0199644741630004
"[6.0, 8.0]",311,0.679766920758286,0.891206649704397,-0.626767033952467
"[8.0, 10.0]",0,NaN,NaN,NaN
