theta_bin_deg,n,mae_deg,rmse_deg,bias_deg
"[-10.0, -8.0]",0,NaN,NaN,NaN
"[-8.0, -6.0]",55,0.276819330515217,0.338244920105133,-0.0891403854597031
"[-6.0, -4.0]",91,0.213031890813791,0.313460926016307,-0.114476074727415
"[-4.0, -2.0]",82,1.22421422164146,1.86041559950391,0.939330469946403
"[-2.0, 0.0]",55,0.657054808286049,0.852272962271127,0.634988106244592
"[0.0, 2.0]",1254,0.144309743097168,0.280421770630573,-0.0819352806364997
"[2.0, 4.0]",51,0.365734554875016,0.626603209290376,-0.204978656695029
"[4.0, 6.0]",184,0.300198970820924,0.534673588407096,-0.118010525218072
"[6.0, 8.0]",68,0.33769587489755,0.526516057105728,-0.102775869938315
"[8.0, 10.0]",0,NaN,NaN,NaN
