theta_bin_deg,n,mae_deg,rmse_deg,bias_deg
"[-10.0, -8.0]",0,NaN,NaN,NaN
"[-8.0, -6.0]",55,0.33312672530048,0.392856275846015,-0.213459902882961
"[-6.0, -4.0]",91,0.282337717920775,0.362622892081749,-0.208961543521427
"[-4.0, -2.0]",82,1.24405669650103,1.85959923615857,0.891424863962048
"[-2.0, 0.0]",55,0.6537909782575,0.849045535699454,0.631010545096337
"[0.0, 2.0]",1254,0.146417331449388,0.282854612470562,-0.0827900375419115
"[2.0, 4.0]",51,0.357038992207816,0.623799918421411,-0.150533287759601
"[4.0, 6.0]",184,0.288407143447083,0.534295702185711,-0.0270340915604515
"[6.0, 8.0]",68,0.360270280061865,0.528311820644609,0.044303590546499
"[8.0, 10.0]",0,NaN,NaN,NaN
