run_idx,segment_idx,ref_segment_idx,theta_true_deg,repeat_idx,variant_idx,v_ref,omega_ref,segment_duration,noise_variant,t0,t1,n_windows,theta_pred_median_deg,theta_pred_mean_deg,theta_pred_std_deg,error_median_deg,error_mean_deg,label_main_mode,conf_main_median
1,1,1,-10,1,1,0.9,0,5,clean,0,4.99,11,-10.0284824517055,-9.99923736684261,0.0829999772806798,-0.0284824517055213,0.000762633157394887,3,0.999981760978699
1,2,2,-9.9,1,1,0.9,0,5,clean,5,9.99,11,-10.0301421876738,-10.0295776104463,0.00239263166566394,-0.130142187673833,-0.129577610446303,3,0.999994397163391
1,3,3,-9.8,1,1,0.9,0,5,clean,10,14.99,11,-9.93251231745132,-9.93250486633586,8.43587907727261e-05,-0.132512317451317,-0.132504866335857,3,0.999993085861206
1,4,4,-9.7,1,1,0.9,0,5,clean,15,19.99,11,-9.81972967255513,-9.81962217469149,0.0004721155903324,-0.119729672555129,-0.119622174691488,3,0.999993801116943
1,5,5,-9.6,1,1,0.9,0,5,clean,20,24.99,11,-9.70348924439162,-9.70344616763038,0.00013661945118861,-0.10348924439162,-0.103446167630377,3,0.999994516372681
1,6,6,-9.5,1,1,0.9,0,5,clean,25,29.99,11,-9.58314899517881,-9.58312089826427,0.000240425889078533,-0.0831489951788118,-0.083120898264271,3,0.999995112419128
1,7,7,-9.4,1,1,0.9,0,5,clean,30,34.99,11,-9.46307512334363,-9.46295629357523,0.000293701563825419,-0.0630751233436335,-0.0629562935752315,3,0.999995946884155
1,8,8,-9.3,1,1,0.9,0,5,clean,35,39.99,11,-9.34327958171713,-9.34332320178888,0.000126074042753547,-0.0432795817171332,-0.0433232017888781,3,0.999996662139893
1,9,9,-9.2,1,1,0.9,0,5,clean,40,44.99,11,-9.22464431847589,-9.22474343383464,0.000513281367619963,-0.0246443184758913,-0.0247434338346419,3,0.999997138977051
1,10,10,-9.1,1,1,0.9,0,5,clean,45,49.99,11,-9.10889054129074,-9.10896489721375,0.000700840778964793,-0.00889054129074474,-0.0089648972137546,3,0.99999725818634
1,11,11,-9,1,1,0.9,0,5,clean,50,54.99,11,-8.99285416502869,-8.99295646263467,0.000875370486245339,0.00714583497130938,0.00704353736533214,3,0.999997496604919
1,12,12,-8.9,1,1,0.9,0,5,clean,55,59.99,11,-8.8752886801662,-8.87534316644799,0.000975682408653293,0.0247113198338003,0.0246568335520116,3,0.999997615814209
1,13,13,-8.8,1,1,0.9,0,5,clean,60,64.99,11,-8.75465387904543,-8.75468500297563,0.000903800794810827,0.0453461209545658,0.04531499702437,3,0.999997854232788
1,14,14,-8.7,1,1,0.9,0,5,clean,65,69.99,11,-8.63666236113346,-8.63678072520715,0.00101772785831036,0.0633376388665354,0.0632192747928499,3,0.999998092651367
1,15,15,-8.6,1,1,0.9,0,5,clean,70,74.99,11,-8.52576997109008,-8.52586287718595,0.00126293346946446,0.0742300289099234,0.0741371228140544,3,0.999998211860657
1,16,16,-8.5,1,1,0.9,0,5,clean,75,79.99,11,-8.4217316758788,-8.4218938152558,0.00179980152194187,0.0782683241212041,0.0781061847442022,3,0.999998450279236
1,17,17,-8.4,1,1,0.9,0,5,clean,80,84.99,11,-8.32338890466166,-8.32345371384299,0.00154386004616698,0.0766110953383414,0.0765462861570114,3,0.999998688697815
1,18,18,-8.3,1,1,0.9,0,5,clean,85,89.99,11,-8.22558144952072,-8.22570198683642,0.00156396063138323,0.0744185504792778,0.0742980131635846,3,0.999998927116394
1,19,19,-8.2,1,1,0.9,0,5,clean,90,94.99,11,-8.13252695226847,-8.13266790253589,0.00200915453866026,0.0674730477315304,0.0673320974641118,3,0.999998927116394
1,20,20,-8.1,1,1,0.9,0,5,clean,95,99.99,11,-8.03583281796224,-8.03592393889503,0.00223731657158459,0.064167182037755,0.0640760611049647,3,0.999998927116394
1,21,21,-8,1,1,0.9,0,5,clean,100,104.99,11,-7.93822514585453,-7.93836601850616,0.00208610717980169,0.0617748541454679,0.0616339814938378,3,0.999998807907104
1,22,22,-7.9,1,1,0.9,0,5,clean,105,109.99,11,-7.8432069692159,-7.84335676768293,0.00291569323705522,0.0567930307841005,0.0566432323170751,3,0.999998569488525
1,23,23,-7.8,1,1,0.9,0,5,clean,110,114.99,11,-7.74708827834725,-7.74730630109019,0.00296241646700195,0.0529117216527508,0.0526936989098115,3,0.999998450279236
1,24,24,-7.7,1,1,0.9,0,5,clean,115,119.99,11,-7.65494731889648,-7.6551238171939,0.00274665163205434,0.0450526811035159,0.0448761828061013,3,0.999998211860657
1,25,25,-7.6,1,1,0.9,0,5,clean,120,124.99,11,-7.56516106716208,-7.56536628330033,0.00235286039736187,0.0348389328379177,0.0346337166996733,3,0.999997735023499
