run_idx,segment_idx,ref_segment_idx,theta_true_deg,repeat_idx,variant_idx,variant_name,v_ref,omega_ref,radius_m,segment_duration,noise_variant,t0,t1,n_windows,theta_pred_median_deg,theta_pred_mean_deg,theta_pred_std_deg,error_median_deg,error_mean_deg,label_main_mode,conf_main_median
1,1,1,-10,1,1,straight_v080,0.8,0,Inf,3.2,clean,0,3.19,13,-9.5768652211424,-9.57106540541362,0.0332328591645226,0.4231347788576,0.428934594586378,3,0.99999988079071
1,2,2,-9,1,1,straight_v080,0.8,0,Inf,3.2,clean,3.2,6.39,13,-9.1760244706428,-9.17238266631727,0.0110575773832925,-0.176024470642801,-0.172382666317265,3,0.999940156936646
1,3,3,-8,1,1,straight_v080,0.8,0,Inf,3.2,clean,6.4,9.59,13,-8.22495734098531,-8.22100312118015,0.0526111461189928,-0.224957340985313,-0.221003121180146,3,0.99989116191864
1,4,4,-7,1,1,straight_v080,0.8,0,Inf,3.2,clean,9.6,12.79,13,-7.37744527065533,-7.37537454118869,0.00969939269312096,-0.377445270655329,-0.375374541188689,3,0.999677300453186
1,5,5,-6,1,1,straight_v080,0.8,0,Inf,3.2,clean,12.8,15.99,13,-6.40532877863633,-6.40555548837686,0.00960093914125968,-0.405328778636332,-0.40555548837686,3,0.999664187431335
1,6,6,-5,1,1,straight_v080,0.8,0,Inf,3.2,clean,16,19.19,13,-5.46151189478281,-5.44193440534999,0.0739592288077475,-0.461511894782814,-0.441934405349993,3,0.999916672706604
1,7,7,-4,1,1,straight_v080,0.8,0,Inf,3.2,clean,19.2,22.39,13,-4.38094950110376,-4.37178896960375,0.104921498058686,-0.380949501103763,-0.371788969603754,3,0.999991178512573
1,8,8,-3,1,1,straight_v080,0.8,0,Inf,3.2,clean,22.4,25.59,13,-3.35362949922202,-3.34077782513096,0.0477322111235648,-0.353629499222019,-0.340777825130957,3,0.999998927116394
1,9,9,-2,1,1,straight_v080,0.8,0,Inf,3.2,clean,25.6,28.79,13,-2.21720277487802,-2.21688479345097,0.00970001360021427,-0.217202774878023,-0.216884793450966,3,0.999998569488525
1,10,10,-1,1,1,straight_v080,0.8,0,Inf,3.2,clean,28.8,31.99,13,-0.975143653203488,-0.966844784546597,0.0389421938301899,0.0248563467965125,0.0331552154534035,1,0.987702786922455
1,11,11,0,1,1,straight_v080,0.8,0,Inf,3.2,clean,32,35.19,13,0.0370873802444271,0.0339735487207988,0.0158647343610444,0.0370873802444271,0.0339735487207988,1,0.990214169025421
1,12,12,1,1,1,straight_v080,0.8,0,Inf,3.2,clean,35.2,38.39,13,0.989236574617045,0.986656807241914,0.0491823031896992,-0.0107634253829548,-0.0133431927580858,1,0.996697425842285
1,13,13,2,1,1,straight_v080,0.8,0,Inf,3.2,clean,38.4,41.59,13,1.71581235500743,1.72464264850294,0.0354151317675417,-0.284187644992568,-0.275357351497057,1,0.998856425285339
1,14,14,3,1,1,straight_v080,0.8,0,Inf,3.2,clean,41.6,44.79,13,2.46691235649957,2.47251724913742,0.0246715294709531,-0.533087643500427,-0.527482750862577,3,0.998488903045654
1,15,15,4,1,1,straight_v080,0.8,0,Inf,3.2,clean,44.8,47.99,13,3.31162938535514,3.30855192540978,0.0569381005559359,-0.688370614644858,-0.691448074590221,3,0.99885356426239
1,16,16,5,1,1,straight_v080,0.8,0,Inf,3.2,clean,48,51.19,13,4.18198395614718,4.19919248641123,0.0555557721586061,-0.818016043852824,-0.800807513588769,3,0.998388171195984
1,17,17,6,1,1,straight_v080,0.8,0,Inf,3.2,clean,51.2,54.39,13,5.44200999715514,5.44547296873923,0.0314316558998676,-0.557990002844865,-0.554527031260774,3,0.999766170978546
1,18,18,7,1,1,straight_v080,0.8,0,Inf,3.2,clean,54.4,57.59,13,6.66671029977579,6.66266630238797,0.039991790132441,-0.333289700224212,-0.337333697612026,3,0.999973177909851
1,19,19,8,1,1,straight_v080,0.8,0,Inf,3.2,clean,57.6,60.79,13,7.69747549176357,7.6875280436613,0.0864502010840337,-0.302524508236432,-0.312471956338702,3,0.999997019767761
1,20,20,9,1,1,straight_v080,0.8,0,Inf,3.2,clean,60.8,63.99,13,8.52651104661502,8.53088328713237,0.108882657114676,-0.473488953384978,-0.469116712867628,3,0.999991893768311
1,21,21,10,1,1,straight_v080,0.8,0,Inf,3.2,clean,64,67.19,13,9.71729134915692,9.73393172589685,0.0940857930380317,-0.282708650843077,-0.266068274103153,3,1
1,22,22,-10,2,2,straight_v095,0.95,0,Inf,3.2,clean,67.2,70.39,13,-9.85677832616057,-9.87844815210077,0.0816556315574762,0.143221673839431,0.12155184789923,3,1
1,23,23,-9,2,2,straight_v095,0.95,0,Inf,3.2,clean,70.4,73.59,13,-9.02921723839619,-8.99973039230071,0.0836712318373847,-0.0292172383961926,0.000269607699294738,3,0.999994039535522
1,24,24,-8,2,2,straight_v095,0.95,0,Inf,3.2,clean,73.6,76.79,13,-8.04830815848127,-8.04826185767969,0.0215949620995124,-0.048308158481273,-0.0482618576796892,3,0.999998331069946
1,25,25,-7,2,2,straight_v095,0.95,0,Inf,3.2,clean,76.8,79.99,13,-7.2154161080697,-7.21253442498891,0.00928014802159167,-0.215416108069701,-0.212534424988913,3,0.999979257583618
1,26,26,-6,2,2,straight_v095,0.95,0,Inf,3.2,clean,80,83.19,13,-6.20063825449481,-6.20573459357652,0.0177497455799702,-0.200638254494805,-0.205734593576521,3,0.999953985214233
1,27,27,-5,2,2,straight_v095,0.95,0,Inf,3.2,clean,83.2,86.39,13,-5.32800944415257,-5.32150953403386,0.0162165598457507,-0.328009444152568,-0.321509534033863,3,0.999977111816406
1,28,28,-4,2,2,straight_v095,0.95,0,Inf,3.2,clean,86.4,89.59,13,-4.3675486699522,-4.34599508857768,0.0344727756826663,-0.367548669952198,-0.345995088577681,3,0.999997735023499
1,29,29,-3,2,2,straight_v095,0.95,0,Inf,3.2,clean,89.6,92.79,13,-3.12438167024995,-3.12885396647115,0.00966301738514672,-0.124381670249946,-0.128853966471148,3,0.99999988079071
1,30,30,-2,2,2,straight_v095,0.95,0,Inf,3.2,clean,92.8,95.99,13,-2.00882160070716,-2.00899212557428,0.00901005560391172,-0.00882160070716109,-0.00899212557427598,3,0.999999165534973
1,31,31,-1,2,2,straight_v095,0.95,0,Inf,3.2,clean,96,99.19,13,-0.844926790368282,-0.847021963210226,0.0283199754003644,0.155073209631718,0.152978036789774,1,0.697766661643982
1,32,32,0,2,2,straight_v095,0.95,0,Inf,3.2,clean,99.2,102.39,13,0.207369865946663,0.195420885089911,0.040292598958859,0.207369865946663,0.195420885089911,1,0.996431469917297
1,33,33,1,2,2,straight_v095,0.95,0,Inf,3.2,clean,102.4,105.59,13,1.28959403664665,1.25420488093802,0.0773677443970026,0.28959403664665,0.254204880938024,1,0.999826014041901
1,34,34,2,2,2,straight_v095,0.95,0,Inf,3.2,clean,105.6,108.79,13,2.24457774618461,2.23434968567103,0.0750384284434163,0.24457774618461,0.234349685671032,1,0.999991297721863
1,35,35,3,2,2,straight_v095,0.95,0,Inf,3.2,clean,108.8,111.99,13,2.79590186480817,2.7975207181538,0.00996521110536003,-0.204098135191835,-0.202479281846198,3,0.997795581817627
1,36,36,4,2,2,straight_v095,0.95,0,Inf,3.2,clean,112,115.19,13,3.71749779541411,3.72471595903144,0.0157432793477399,-0.282502204585895,-0.275284040968557,3,0.999758422374725
1,37,37,5,2,2,straight_v095,0.95,0,Inf,3.2,clean,115.2,118.39,13,4.78541110563712,4.78568480576564,0.00647196987880024,-0.214588894362884,-0.214315194234365,3,0.999945521354675
1,38,38,6,2,2,straight_v095,0.95,0,Inf,3.2,clean,118.4,121.59,13,5.91241835878543,5.906321594015,0.0138539853257532,-0.0875816412145696,-0.0936784059850044,3,0.999991178512573
1,39,39,7,2,2,straight_v095,0.95,0,Inf,3.2,clean,121.6,124.79,13,7.01907933216992,7.01351965669788,0.0223037098248808,0.0190793321699232,0.013519656697877,3,0.999999284744263
1,40,40,8,2,2,straight_v095,0.95,0,Inf,3.2,clean,124.8,127.99,13,8.03831729927284,8.02366378515753,0.0566312754727428,0.0383172992728369,0.023663785157531,3,0.999999761581421
