run_idx,segment_idx,ref_segment_idx,theta_true_deg,repeat_idx,variant_idx,variant_name,v_ref,omega_ref,radius_m,segment_duration,noise_variant,t0,t1,n_windows,theta_pred_median_deg,theta_pred_mean_deg,theta_pred_std_deg,error_median_deg,error_mean_deg,label_main_mode,conf_main_median
1,1,1,-10,1,1,straight_v090,0.9,0,Inf,3.2,clean,0,3.19,13,-9.55523059694638,-9.56284881919189,0.027854189651608,0.444769403053616,0.437151180808113,3,1
1,2,2,-9.5,1,1,straight_v090,0.9,0,Inf,3.2,clean,3.2,6.39,13,-9.56523597030681,-9.56106206797497,0.0275678005148816,-0.0652359703068068,-0.0610620679749712,3,0.999997138977051
1,3,3,-9,1,1,straight_v090,0.9,0,Inf,3.2,clean,6.4,9.59,13,-9.0118361145058,-9.01115099399213,0.00222070887261172,-0.0118361145058028,-0.0111509939921337,3,0.999997138977051
1,4,4,-8.5,1,1,straight_v090,0.9,0,Inf,3.2,clean,9.6,12.79,13,-8.55454128919511,-8.55907023001399,0.0195854638106678,-0.0545412891951091,-0.0590702300139938,3,0.999995827674866
1,5,5,-8,1,1,straight_v090,0.9,0,Inf,3.2,clean,12.8,15.99,13,-8.13260208434934,-8.1380622295167,0.0392355837569023,-0.13260208434934,-0.138062229516702,3,0.999990582466125
1,6,6,-7.5,1,1,straight_v090,0.9,0,Inf,3.2,clean,16,19.19,13,-7.67454569294619,-7.67747380817835,0.039639979896374,-0.174545692946189,-0.177473808178354,3,0.999974489212036
1,7,7,-7,1,1,straight_v090,0.9,0,Inf,3.2,clean,19.2,22.39,13,-7.21338412679162,-7.20728460367556,0.0395247252260994,-0.213384126791623,-0.207284603675562,3,0.999937176704407
1,8,8,-6.5,1,1,straight_v090,0.9,0,Inf,3.2,clean,22.4,25.59,13,-6.73812675773744,-6.73849818211101,0.0233879571190594,-0.238126757737442,-0.23849818211101,3,0.999851107597351
1,9,9,-6,1,1,straight_v090,0.9,0,Inf,3.2,clean,25.6,28.79,13,-6.24353568446389,-6.24625833578434,0.0319902844086314,-0.243535684463893,-0.246258335784342,3,0.999745190143585
1,10,10,-5.5,1,1,straight_v090,0.9,0,Inf,3.2,clean,28.8,31.99,13,-5.74542834442826,-5.74110168228864,0.0423415982871493,-0.245428344428258,-0.241101682288638,3,0.999784052371979
