run_idx,path_idx,path_file,segment_idx,ref_segment_idx,theta_true_deg,repeat_idx,variant_idx,variant_name,v_ref,omega_ref,radius_m,segment_duration,noise_variant,t0,t1,n_windows,theta_pred_median_deg,theta_pred_mean_deg,theta_pred_std_deg,error_median_deg,error_mean_deg,label_main_mode,conf_main_median
1,1,E:\Matlab\Simulink\S-Function_16\data\paths\modern_tcn_theta_sweep_multicond_shortpaths_v1_smoke\path_modern_tcn_theta_sweep_multicond_shortpaths_v1_smoke_001_p09p5_p09p6.mat,1,1,9.5,1,1,straight_v080,0.8,0,Inf,3.2,clean,0,3.19,13,8.80766553851484,8.8003497491648,0.0470556456737205,-0.692334461485157,-0.6996502508352,3,0.999995946884155
1,1,E:\Matlab\Simulink\S-Function_16\data\paths\modern_tcn_theta_sweep_multicond_shortpaths_v1_smoke\path_modern_tcn_theta_sweep_multicond_shortpaths_v1_smoke_001_p09p5_p09p6.mat,2,2,9.6,1,1,straight_v080,0.8,0,Inf,3.2,clean,3.2,6.39,13,9.36868959297687,9.35790623480003,0.0641731703606694,-0.231310407023125,-0.242093765199972,3,0.999999761581421
1,1,E:\Matlab\Simulink\S-Function_16\data\paths\modern_tcn_theta_sweep_multicond_shortpaths_v1_smoke\path_modern_tcn_theta_sweep_multicond_shortpaths_v1_smoke_001_p09p5_p09p6.mat,3,3,9.5,2,2,straight_v095,0.95,0,Inf,3.2,clean,6.4,9.59,13,9.19574749564486,9.20934160801496,0.0539264731125644,-0.304252504355143,-0.290658391985044,3,0.999998927116394
1,1,E:\Matlab\Simulink\S-Function_16\data\paths\modern_tcn_theta_sweep_multicond_shortpaths_v1_smoke\path_modern_tcn_theta_sweep_multicond_shortpaths_v1_smoke_001_p09p5_p09p6.mat,4,4,9.6,2,2,straight_v095,0.95,0,Inf,3.2,clean,9.6,12.79,13,9.27051074629982,9.27825355382278,0.030949231317643,-0.329489253700181,-0.321746446177222,3,0.999997615814209
1,1,E:\Matlab\Simulink\S-Function_16\data\paths\modern_tcn_theta_sweep_multicond_shortpaths_v1_smoke\path_modern_tcn_theta_sweep_multicond_shortpaths_v1_smoke_001_p09p5_p09p6.mat,5,5,9.5,3,3,straight_v115,1.15,0,Inf,3.2,clean,12.8,15.99,13,9.31751781571514,9.32029205466629,0.012093144768069,-0.182482184284861,-0.17970794533371,3,0.999999642372131
1,1,E:\Matlab\Simulink\S-Function_16\data\paths\modern_tcn_theta_sweep_multicond_shortpaths_v1_smoke\path_modern_tcn_theta_sweep_multicond_shortpaths_v1_smoke_001_p09p5_p09p6.mat,6,6,9.6,3,3,straight_v115,1.15,0,Inf,3.2,clean,16,19.19,13,9.50199951764989,9.50522034589293,0.0136144628166817,-0.0980004823501091,-0.0947796541070733,3,0.999999761581421
1,1,E:\Matlab\Simulink\S-Function_16\data\paths\modern_tcn_theta_sweep_multicond_shortpaths_v1_smoke\path_modern_tcn_theta_sweep_multicond_shortpaths_v1_smoke_001_p09p5_p09p6.mat,7,7,9.5,4,4,left_R40_v095,0.95,0.02375,40,3.2,clean,19.2,22.39,13,9.62227402629194,9.63711438548598,0.0556658172959794,0.122274026291937,0.137114385485978,3,1
1,1,E:\Matlab\Simulink\S-Function_16\data\paths\modern_tcn_theta_sweep_multicond_shortpaths_v1_smoke\path_modern_tcn_theta_sweep_multicond_shortpaths_v1_smoke_001_p09p5_p09p6.mat,8,8,9.6,4,4,left_R40_v095,0.95,0.02375,40,3.2,clean,22.4,25.59,13,9.29804750771237,9.29810379109813,0.00115174004024152,-0.301952492287629,-0.301896208901873,3,0.999965786933899
1,1,E:\Matlab\Simulink\S-Function_16\data\paths\modern_tcn_theta_sweep_multicond_shortpaths_v1_smoke\path_modern_tcn_theta_sweep_multicond_shortpaths_v1_smoke_001_p09p5_p09p6.mat,9,9,9.5,5,5,right_R40_v095,0.95,-0.02375,40,3.2,clean,25.6,28.79,13,9.09820983297614,9.25590727645516,0.268514431900084,-0.401790167023863,-0.244092723544837,3,0.999940395355225
1,1,E:\Matlab\Simulink\S-Function_16\data\paths\modern_tcn_theta_sweep_multicond_shortpaths_v1_smoke\path_modern_tcn_theta_sweep_multicond_shortpaths_v1_smoke_001_p09p5_p09p6.mat,10,10,9.6,5,5,right_R40_v095,0.95,-0.02375,40,3.2,clean,28.8,31.99,13,9.28293656794736,9.29311762165423,0.0565950738926372,-0.317063432052636,-0.306882378345774,3,0.999987244606018
1,1,E:\Matlab\Simulink\S-Function_16\data\paths\modern_tcn_theta_sweep_multicond_shortpaths_v1_smoke\path_modern_tcn_theta_sweep_multicond_shortpaths_v1_smoke_001_p09p5_p09p6.mat,11,11,9.5,6,6,left_R30_v105,1.05,0.035,30,3.2,clean,32,35.19,13,9.63036865423205,9.63023960306167,0.000937524317577803,0.130368654232049,0.130239603061673,3,0.99999988079071
1,1,E:\Matlab\Simulink\S-Function_16\data\paths\modern_tcn_theta_sweep_multicond_shortpaths_v1_smoke\path_modern_tcn_theta_sweep_multicond_shortpaths_v1_smoke_001_p09p5_p09p6.mat,12,12,9.6,6,6,left_R30_v105,1.05,0.035,30,3.2,clean,35.2,38.39,13,9.74020748759596,9.81294125261889,0.17140220715816,0.140207487595962,0.212941252618887,3,0.99999988079071
1,1,E:\Matlab\Simulink\S-Function_16\data\paths\modern_tcn_theta_sweep_multicond_shortpaths_v1_smoke\path_modern_tcn_theta_sweep_multicond_shortpaths_v1_smoke_001_p09p5_p09p6.mat,13,13,9.5,7,7,right_R30_v105,1.05,-0.035,30,3.2,clean,38.4,41.59,13,9.10705236663036,9.10687202336632,0.000565014252379564,-0.392947633369635,-0.39312797663368,3,0.999981284141541
1,1,E:\Matlab\Simulink\S-Function_16\data\paths\modern_tcn_theta_sweep_multicond_shortpaths_v1_smoke\path_modern_tcn_theta_sweep_multicond_shortpaths_v1_smoke_001_p09p5_p09p6.mat,14,14,9.6,7,7,right_R30_v105,1.05,-0.035,30,3.2,clean,41.6,44.79,13,9.19210017462807,9.19043676086559,0.00533229107216614,-0.407899825371928,-0.409563239134409,3,0.999984383583069
2,2,E:\Matlab\Simulink\S-Function_16\data\paths\modern_tcn_theta_sweep_multicond_shortpaths_v1_smoke\path_modern_tcn_theta_sweep_multicond_shortpaths_v1_smoke_002_p09p7_p09p8.mat,15,1,9.7,1,1,straight_v080,0.8,0,Inf,3.2,clean,0,3.19,13,9.02680276652459,9.02216743237441,0.0564537492442629,-0.673197233475406,-0.677832567625593,3,0.999998569488525
2,2,E:\Matlab\Simulink\S-Function_16\data\paths\modern_tcn_theta_sweep_multicond_shortpaths_v1_smoke\path_modern_tcn_theta_sweep_multicond_shortpaths_v1_smoke_002_p09p7_p09p8.mat,16,2,9.8,1,1,straight_v080,0.8,0,Inf,3.2,clean,3.2,6.39,13,9.61109727548886,9.60103437091966,0.057976813988672,-0.188902724511143,-0.198965629080343,3,0.99999988079071
2,2,E:\Matlab\Simulink\S-Function_16\data\paths\modern_tcn_theta_sweep_multicond_shortpaths_v1_smoke\path_modern_tcn_theta_sweep_multicond_shortpaths_v1_smoke_002_p09p7_p09p8.mat,17,3,9.7,2,2,straight_v095,0.95,0,Inf,3.2,clean,6.4,9.59,13,9.51227212216159,9.51849521259422,0.0373600377840041,-0.187727877838411,-0.181504787405778,3,0.999999642372131
2,2,E:\Matlab\Simulink\S-Function_16\data\paths\modern_tcn_theta_sweep_multicond_shortpaths_v1_smoke\path_modern_tcn_theta_sweep_multicond_shortpaths_v1_smoke_002_p09p7_p09p8.mat,18,4,9.8,2,2,straight_v095,0.95,0,Inf,3.2,clean,9.6,12.79,13,9.59244659018649,9.59504087992297,0.0334103150950897,-0.20755340981351,-0.204959120077028,3,0.999999165534973
2,2,E:\Matlab\Simulink\S-Function_16\data\paths\modern_tcn_theta_sweep_multicond_shortpaths_v1_smoke\path_modern_tcn_theta_sweep_multicond_shortpaths_v1_smoke_002_p09p7_p09p8.mat,19,5,9.7,3,3,straight_v115,1.15,0,Inf,3.2,clean,12.8,15.99,13,9.49073995080312,9.49511160024641,0.0165177462878233,-0.209260049196875,-0.204888399753589,3,0.999999642372131
2,2,E:\Matlab\Simulink\S-Function_16\data\paths\modern_tcn_theta_sweep_multicond_shortpaths_v1_smoke\path_modern_tcn_theta_sweep_multicond_shortpaths_v1_smoke_002_p09p7_p09p8.mat,20,6,9.8,3,3,straight_v115,1.15,0,Inf,3.2,clean,16,19.19,13,9.67999339364678,9.68250690326134,0.0130761736031481,-0.120006606353224,-0.117493096738659,3,0.999999642372131
2,2,E:\Matlab\Simulink\S-Function_16\data\paths\modern_tcn_theta_sweep_multicond_shortpaths_v1_smoke\path_modern_tcn_theta_sweep_multicond_shortpaths_v1_smoke_002_p09p7_p09p8.mat,21,7,9.7,4,4,left_R40_v095,0.95,0.02375,40,3.2,clean,19.2,22.39,13,9.87100561020171,9.87294853632099,0.040983547376017,0.171005610201707,0.172948536320993,3,1
2,2,E:\Matlab\Simulink\S-Function_16\data\paths\modern_tcn_theta_sweep_multicond_shortpaths_v1_smoke\path_modern_tcn_theta_sweep_multicond_shortpaths_v1_smoke_002_p09p7_p09p8.mat,22,8,9.8,4,4,left_R40_v095,0.95,0.02375,40,3.2,clean,22.4,25.59,13,9.53476991151397,9.53279519874508,0.00542358216900311,-0.265230088486035,-0.26720480125492,3,0.999977469444275
2,2,E:\Matlab\Simulink\S-Function_16\data\paths\modern_tcn_theta_sweep_multicond_shortpaths_v1_smoke\path_modern_tcn_theta_sweep_multicond_shortpaths_v1_smoke_002_p09p7_p09p8.mat,23,9,9.7,5,5,right_R40_v095,0.95,-0.02375,40,3.2,clean,25.6,28.79,13,9.26746789702458,9.26502794329338,0.00850392276089911,-0.432532102975422,-0.434972056706618,3,0.999966382980347
2,2,E:\Matlab\Simulink\S-Function_16\data\paths\modern_tcn_theta_sweep_multicond_shortpaths_v1_smoke\path_modern_tcn_theta_sweep_multicond_shortpaths_v1_smoke_002_p09p7_p09p8.mat,24,10,9.8,5,5,right_R40_v095,0.95,-0.02375,40,3.2,clean,28.8,31.99,13,9.59913334538393,9.51265566355344,0.145563840663769,-0.200866654616068,-0.287344336446557,3,0.999992370605469
2,2,E:\Matlab\Simulink\S-Function_16\data\paths\modern_tcn_theta_sweep_multicond_shortpaths_v1_smoke\path_modern_tcn_theta_sweep_multicond_shortpaths_v1_smoke_002_p09p7_p09p8.mat,25,11,9.7,6,6,left_R30_v105,1.05,0.035,30,3.2,clean,32,35.19,13,9.78346734447788,9.78349019934165,0.00133977893437224,0.0834673444778851,0.0834901993416466,3,1
2,2,E:\Matlab\Simulink\S-Function_16\data\paths\modern_tcn_theta_sweep_multicond_shortpaths_v1_smoke\path_modern_tcn_theta_sweep_multicond_shortpaths_v1_smoke_002_p09p7_p09p8.mat,26,12,9.8,6,6,left_R30_v105,1.05,0.035,30,3.2,clean,35.2,38.39,13,9.7871872362546,9.78603352535893,0.0108139141999027,-0.0128127637453979,-0.0139664746410677,3,1
2,2,E:\Matlab\Simulink\S-Function_16\data\paths\modern_tcn_theta_sweep_multicond_shortpaths_v1_smoke\path_modern_tcn_theta_sweep_multicond_shortpaths_v1_smoke_002_p09p7_p09p8.mat,27,13,9.7,7,7,right_R30_v105,1.05,-0.035,30,3.2,clean,38.4,41.59,13,9.31277424933656,9.32058036745914,0.0266041104983818,-0.387225750663434,-0.379419632540859,3,0.999984979629517
2,2,E:\Matlab\Simulink\S-Function_16\data\paths\modern_tcn_theta_sweep_multicond_shortpaths_v1_smoke\path_modern_tcn_theta_sweep_multicond_shortpaths_v1_smoke_002_p09p7_p09p8.mat,28,14,9.8,7,7,right_R30_v105,1.05,-0.035,30,3.2,clean,41.6,44.79,13,9.36393919640913,9.36032661741226,0.0216759542976802,-0.436060803590872,-0.439673382587745,3,0.999996900558472
3,3,E:\Matlab\Simulink\S-Function_16\data\paths\modern_tcn_theta_sweep_multicond_shortpaths_v1_smoke\path_modern_tcn_theta_sweep_multicond_shortpaths_v1_smoke_003_p09p9_p10p0.mat,29,1,9.9,1,1,straight_v080,0.8,0,Inf,3.2,clean,0,3.19,13,9.21615439333756,9.22480673249336,0.0646905258782241,-0.683845606662436,-0.675193267506636,3,0.999999284744263
3,3,E:\Matlab\Simulink\S-Function_16\data\paths\modern_tcn_theta_sweep_multicond_shortpaths_v1_smoke\path_modern_tcn_theta_sweep_multicond_shortpaths_v1_smoke_003_p09p9_p10p0.mat,30,2,10,1,1,straight_v080,0.8,0,Inf,3.2,clean,3.2,6.39,13,9.83550399444327,9.82471728684674,0.046787825622074,-0.164496005556728,-0.175282713153262,3,1
3,3,E:\Matlab\Simulink\S-Function_16\data\paths\modern_tcn_theta_sweep_multicond_shortpaths_v1_smoke\path_modern_tcn_theta_sweep_multicond_shortpaths_v1_smoke_003_p09p9_p10p0.mat,31,3,9.9,2,2,straight_v095,0.95,0,Inf,3.2,clean,6.4,9.59,13,9.78491449080828,9.7915125848963,0.0185491645409846,-0.11508550919172,-0.108487415103697,3,0.99999988079071
3,3,E:\Matlab\Simulink\S-Function_16\data\paths\modern_tcn_theta_sweep_multicond_shortpaths_v1_smoke\path_modern_tcn_theta_sweep_multicond_shortpaths_v1_smoke_003_p09p9_p10p0.mat,32,4,10,2,2,straight_v095,0.95,0,Inf,3.2,clean,9.6,12.79,13,9.85467975053808,9.85460474980701,0.0217304698519952,-0.145320249461916,-0.145395250192994,3,0.999999523162842
3,3,E:\Matlab\Simulink\S-Function_16\data\paths\modern_tcn_theta_sweep_multicond_shortpaths_v1_smoke\path_modern_tcn_theta_sweep_multicond_shortpaths_v1_smoke_003_p09p9_p10p0.mat,33,5,9.9,3,3,straight_v115,1.15,0,Inf,3.2,clean,12.8,15.99,13,9.65320709926928,9.66460812984174,0.0233593784216837,-0.246792900730721,-0.235391870158262,3,0.999999523162842
3,3,E:\Matlab\Simulink\S-Function_16\data\paths\modern_tcn_theta_sweep_multicond_shortpaths_v1_smoke\path_modern_tcn_theta_sweep_multicond_shortpaths_v1_smoke_003_p09p9_p10p0.mat,34,6,10,3,3,straight_v115,1.15,0,Inf,3.2,clean,16,19.19,13,9.8455870612055,9.84794741696291,0.0183070775204421,-0.154412938794495,-0.15205258303709,3,0.999999642372131
3,3,E:\Matlab\Simulink\S-Function_16\data\paths\modern_tcn_theta_sweep_multicond_shortpaths_v1_smoke\path_modern_tcn_theta_sweep_multicond_shortpaths_v1_smoke_003_p09p9_p10p0.mat,35,7,9.9,4,4,left_R40_v095,0.95,0.02375,40,3.2,clean,19.2,22.39,13,10.0291996215684,10.0166754846017,0.0304925013046192,0.129199621568372,0.116675484601714,3,1
3,3,E:\Matlab\Simulink\S-Function_16\data\paths\modern_tcn_theta_sweep_multicond_shortpaths_v1_smoke\path_modern_tcn_theta_sweep_multicond_shortpaths_v1_smoke_003_p09p9_p10p0.mat,36,8,10,4,4,left_R40_v095,0.95,0.02375,40,3.2,clean,22.4,25.59,13,9.77411254663591,9.77335249106605,0.00620846790077999,-0.225887453364095,-0.226647508933947,3,0.999985456466675
