run_idx,path_idx,path_file,segment_idx,ref_segment_idx,theta_true_deg,repeat_idx,variant_idx,variant_name,v_ref,omega_ref,radius_m,segment_duration,noise_variant,t0,t1,n_windows,theta_pred_median_deg,theta_pred_mean_deg,theta_pred_std_deg,error_median_deg,error_mean_deg,label_main_mode,conf_main_median
1,1,E:\Matlab\Simulink\S-Function_16\data\paths\modern_tcn_theta_sweep_multicond_shortpaths_v1_theta0p1\path_modern_tcn_theta_sweep_multicond_shortpaths_v1_theta0p1_001_m10p0_m09p9.mat,1,1,-10,1,1,straight_v080,0.8,0,Inf,3.2,clean,0,3.19,8,-9.56712835959372,-9.57202987409685,0.0396802980914563,0.432871640406276,0.427970125903146,3,0.999998450279236
1,1,E:\Matlab\Simulink\S-Function_16\data\paths\modern_tcn_theta_sweep_multicond_shortpaths_v1_theta0p1\path_modern_tcn_theta_sweep_multicond_shortpaths_v1_theta0p1_001_m10p0_m09p9.mat,2,2,-9.9,1,1,straight_v080,0.8,0,Inf,3.2,clean,3.2,6.39,8,-9.98194410402199,-9.98001329492099,0.018417395649701,-0.081944104021991,-0.0800132949209935,3,0.999858021736145
1,1,E:\Matlab\Simulink\S-Function_16\data\paths\modern_tcn_theta_sweep_multicond_shortpaths_v1_theta0p1\path_modern_tcn_theta_sweep_multicond_shortpaths_v1_theta0p1_001_m10p0_m09p9.mat,3,3,-10,2,2,straight_v095,0.95,0,Inf,3.2,clean,6.4,9.59,8,-10.1030740938576,-10.1031267076585,0.00733362544806364,-0.103074093857582,-0.103126707658534,3,0.999996423721313
1,1,E:\Matlab\Simulink\S-Function_16\data\paths\modern_tcn_theta_sweep_multicond_shortpaths_v1_theta0p1\path_modern_tcn_theta_sweep_multicond_shortpaths_v1_theta0p1_001_m10p0_m09p9.mat,4,4,-9.9,2,2,straight_v095,0.95,0,Inf,3.2,clean,9.6,12.79,8,-10.0343090299544,-10.0343072156854,8.54916328434991e-06,-0.134309029954364,-0.134307215685366,3,0.999995946884155
1,1,E:\Matlab\Simulink\S-Function_16\data\paths\modern_tcn_theta_sweep_multicond_shortpaths_v1_theta0p1\path_modern_tcn_theta_sweep_multicond_shortpaths_v1_theta0p1_001_m10p0_m09p9.mat,5,5,-10,3,3,straight_v115,1.15,0,Inf,3.2,clean,12.8,15.99,8,-10.1163131349032,-10.1163307439846,0.000475402544593641,-0.116313134903184,-0.116330743984637,3,0.999999642372131
1,1,E:\Matlab\Simulink\S-Function_16\data\paths\modern_tcn_theta_sweep_multicond_shortpaths_v1_theta0p1\path_modern_tcn_theta_sweep_multicond_shortpaths_v1_theta0p1_001_m10p0_m09p9.mat,6,6,-9.9,3,3,straight_v115,1.15,0,Inf,3.2,clean,16,19.19,8,-10.0113036721693,-10.0114006821998,0.00252045499020272,-0.111303672169292,-0.111400682199847,3,0.999999761581421
1,1,E:\Matlab\Simulink\S-Function_16\data\paths\modern_tcn_theta_sweep_multicond_shortpaths_v1_theta0p1\path_modern_tcn_theta_sweep_multicond_shortpaths_v1_theta0p1_001_m10p0_m09p9.mat,7,7,-10,4,4,left_R40_v095,0.95,0.02375,40,3.2,clean,19.2,22.39,8,-10.0370948933621,-10.0329562256119,0.0452307062272042,-0.0370948933620827,-0.0329562256118781,3,0.999998688697815
1,1,E:\Matlab\Simulink\S-Function_16\data\paths\modern_tcn_theta_sweep_multicond_shortpaths_v1_theta0p1\path_modern_tcn_theta_sweep_multicond_shortpaths_v1_theta0p1_001_m10p0_m09p9.mat,8,8,-9.9,4,4,left_R40_v095,0.95,0.02375,40,3.2,clean,22.4,25.59,8,-9.7324774210028,-9.73465785217362,0.0180727072930432,0.1675225789972,0.165342147826379,3,0.999994218349457
1,1,E:\Matlab\Simulink\S-Function_16\data\paths\modern_tcn_theta_sweep_multicond_shortpaths_v1_theta0p1\path_modern_tcn_theta_sweep_multicond_shortpaths_v1_theta0p1_001_m10p0_m09p9.mat,9,9,-10,5,5,right_R40_v095,0.95,-0.02375,40,3.2,clean,25.6,28.79,8,-10.049288061691,-10.0238757025538,0.100768206957477,-0.0492880616910263,-0.0238757025537595,3,0.999999940395355
1,1,E:\Matlab\Simulink\S-Function_16\data\paths\modern_tcn_theta_sweep_multicond_shortpaths_v1_theta0p1\path_modern_tcn_theta_sweep_multicond_shortpaths_v1_theta0p1_001_m10p0_m09p9.mat,10,10,-9.9,5,5,right_R40_v095,0.95,-0.02375,40,3.2,clean,28.8,31.99,8,-9.55093739616621,-9.5517236149727,0.00833387014624107,0.349062603833792,0.348276385027301,3,0.999999821186066
