run_idx,segment_idx,ref_segment_idx,theta_true_deg,repeat_idx,variant_idx,variant_name,v_ref,omega_ref,radius_m,segment_duration,noise_variant,t0,t1,n_windows,theta_pred_median_deg,theta_pred_mean_deg,theta_pred_std_deg,error_median_deg,error_mean_deg,label_main_mode,conf_main_median
1,1,1,-10,1,1,straight_v080,0.8,0,Inf,3.2,clean,0,3.19,13,-9.5768652211424,-9.57106540541362,0.0332328591645226,0.4231347788576,0.428934594586378,3,0.99999988079071
1,2,2,-9.9,1,1,straight_v080,0.8,0,Inf,3.2,clean,3.2,6.39,13,-9.96206142334809,-9.96765863202312,0.0220554172488025,-0.0620614233480854,-0.0676586320231198,3,0.999833106994629
1,3,3,-9.8,1,1,straight_v080,0.8,0,Inf,3.2,clean,6.4,9.59,13,-9.97297350432083,-9.97266562040901,0.0110181145561092,-0.172973504320826,-0.17266562040901,3,0.999979138374329
1,4,4,-9.7,1,1,straight_v080,0.8,0,Inf,3.2,clean,9.6,12.79,13,-9.81709834217738,-9.81705210705069,0.000470362884350336,-0.117098342177382,-0.117052107050693,3,0.999979019165039
1,5,5,-9.6,1,1,straight_v080,0.8,0,Inf,3.2,clean,12.8,15.99,13,-9.70677029651416,-9.70648172102173,0.0016423461428914,-0.106770296514165,-0.106481721021732,3,0.999979257583618
1,6,6,-9.5,1,1,straight_v080,0.8,0,Inf,3.2,clean,16,19.19,13,-9.59815321323804,-9.59771168091313,0.00255771704014349,-0.0981532132380369,-0.0977116809131324,3,0.999980092048645
1,7,7,-9.4,1,1,straight_v080,0.8,0,Inf,3.2,clean,19.2,22.39,13,-9.48832462515788,-9.48772816575363,0.00253869553128527,-0.0883246251578775,-0.0877281657536262,3,0.999980807304382
1,8,8,-9.3,1,1,straight_v080,0.8,0,Inf,3.2,clean,22.4,25.59,13,-9.37875558426618,-9.37859074027756,0.00319503577918508,-0.0787555842661796,-0.0785907402775567,3,0.999981880187988
1,9,9,-9.2,1,1,straight_v080,0.8,0,Inf,3.2,clean,25.6,28.79,13,-9.27212267094394,-9.27169000472998,0.00352378601072232,-0.0721226709439424,-0.0716900047299784,3,0.999982714653015
1,10,10,-9.1,1,1,straight_v080,0.8,0,Inf,3.2,clean,28.8,31.99,13,-9.16695824829326,-9.16679044893432,0.00414596868699577,-0.0669582482932558,-0.0667904489343183,3,0.999983549118042
