segment_idx,theta_true_deg,t0,t1,n_windows,theta_pred_median_deg,theta_pred_mean_deg,theta_pred_std_deg,error_median_deg,error_mean_deg,label_main_mode,conf_main_median
1,-10,0,4.99,11,-10.1214985291437,-10.1564243910014,0.0602072450865042,-0.121498529143693,-0.15642439100141,3,0.999998807907104
2,-9.9,5,9.99,11,-9.88537718198906,-9.8860427373542,0.00830946336044381,0.01462281801094,0.0139572626457962,3,0.999957680702209
3,-9.8,10,14.99,11,-9.72066290128597,-9.72062285154038,0.000473275689074869,0.0793370987140296,0.0793771484596189,3,0.999932646751404
4,-9.7,15,19.99,11,-9.61255978974489,-9.61250654531568,0.000882119598387996,0.0874402102551119,0.0874934546843242,3,0.999926924705505
5,-9.6,20,24.99,11,-9.50938722101091,-9.50932210136643,0.000794966709517631,0.0906127789890938,0.0906778986335688,3,0.999920964241028
6,-9.5,25,29.99,11,-9.40566994469062,-9.40559993525162,0.000941202561411717,0.0943300553093849,0.0944000647483794,3,0.99991500377655
7,-9.4,30,34.99,11,-9.30135502681795,-9.30123953452835,0.00110362059510808,0.0986449731820507,0.0987604654716527,3,0.999909043312073
8,-9.3,35,39.99,11,-9.19641600040987,-9.1963542182442,0.000956413173122743,0.103583999590127,0.103645781755802,3,0.999903202056885
9,-9.2,40,44.99,11,-9.0913386626711,-9.09122526600772,0.00103248395783162,0.108661337328895,0.108774733992275,3,0.999896764755249
10,-9.1,45,49.99,11,-8.98421312195498,-8.98412215625376,0.00126503018356694,0.115786878045022,0.11587784374624,3,0.999890685081482
11,-9,50,54.99,11,-8.87865852474796,-8.87853899643748,0.00134488710934945,0.121341475252045,0.121461003562523,3,0.99988317489624
12,-8.9,55,59.99,11,-8.77278376242359,-8.77267921395982,0.0015161880763125,0.127216237576413,0.127320786040185,3,0.99987518787384
13,-8.8,60,64.99,11,-8.66493336788179,-8.66492320021382,0.00104005249595278,0.135066632118207,0.135076799786177,3,0.999867796897888
14,-8.7,65,69.99,11,-8.55871026590976,-8.55866066942249,0.00101481759823571,0.141289734090243,0.141339330577512,3,0.999860405921936
15,-8.6,70,74.99,11,-8.4526954847074,-8.45260793410077,0.00099738752103649,0.147304515292598,0.147392065899231,3,0.999852657318115
16,-8.5,75,79.99,11,-8.34373091555725,-8.34364740097149,0.00117945402764545,0.15626908444275,0.15635259902851,3,0.999845504760742
17,-8.4,80,84.99,11,-8.23392452559189,-8.23396147070604,0.000818286887138081,0.166075474408107,0.166038529293958,3,0.999839544296265
18,-8.3,85,89.99,11,-8.13058034835502,-8.13052663823109,0.000220407402200781,0.169419651644985,0.169473361768912,3,0.999833822250366
19,-8.2,90,94.99,11,-8.02833241647993,-8.02832380112768,0.000176493600813501,0.171667583520074,0.171676198872323,3,0.999828696250916
20,-8.1,95,99.99,11,-7.92196502676167,-7.92196999417198,2.57687448749811e-05,0.178034973238329,0.178030005828023,3,0.999823033809662
21,-8,100,104.99,11,-7.81516562757841,-7.81518565245121,5.55062715382091e-05,0.184834372421587,0.184814347548794,3,0.999816238880157
22,-7.9,105,109.99,11,-7.70831414820273,-7.7083559831114,0.000223270215476713,0.191685851797268,0.191644016888603,3,0.999809086322784
23,-7.8,110,114.99,11,-7.59948020642046,-7.59954020342305,0.000620838118151611,0.200519793579542,0.200459796576947,3,0.99980217218399
24,-7.7,115,119.99,11,-7.49307354311448,-7.49314409586397,0.000700374649866903,0.206926456885525,0.206855904136031,3,0.999792635440826
25,-7.6,120,124.99,11,-7.38824977614864,-7.38841013036256,0.00117019848106559,0.211750223851356,0.211589869637435,3,0.999782025814056
26,-7.5,125,129.99,11,-7.28664473582918,-7.2867856860966,0.00122720477443061,0.21335526417082,0.213214313903404,3,0.999770224094391
27,-7.4,130,134.99,11,-7.18580296914946,-7.18580653947562,0.000548774568090775,0.214197030850536,0.214193460524378,3,0.999762117862701
28,-7.3,135,139.99,11,-7.08125966682643,-7.08132680448134,0.000594952001242739,0.218740333173574,0.218673195518664,3,0.999758422374725
29,-7.2,140,144.99,11,-6.97871718304338,-6.97877477395661,0.000457235822081031,0.221282816956621,0.221225226043392,3,0.999758660793304
30,-7.1,145,149.99,11,-6.88128624208044,-6.88131387330027,0.000595943120420792,0.21871375791956,0.218686126699734,3,0.999760210514069
31,-7,150,154.99,11,-6.78496520685763,-6.7850286577627,0.000480249963089629,0.215034793142372,0.2149713422373,3,0.999761521816254
32,-6.9,155,159.99,11,-6.68995471418181,-6.69007587242379,0.00081333107155822,0.21004528581819,0.209924127576207,3,0.999764025211334
33,-6.8,160,164.99,11,-6.59711494100159,-6.59720660524488,0.000876961655950429,0.20288505899841,0.202793394755118,3,0.999761998653412
34,-6.7,165,169.99,11,-6.50352043191808,-6.50358283501004,0.000839929279026455,0.196479568081918,0.196417164989956,3,0.9997598528862
35,-6.6,170,174.99,11,-6.40921814448183,-6.40928427313152,0.00114595866108946,0.190781855518169,0.190715726868477,3,0.999758422374725
36,-6.5,175,179.99,11,-6.31294790879097,-6.31294868494883,0.000665492263914997,0.187052091209029,0.187051315051168,3,0.99975460767746
37,-6.4,180,184.99,11,-6.21036700519384,-6.21045843658978,0.000505368296218743,0.189632994806159,0.189541563410223,3,0.999753177165985
38,-6.3,185,189.99,11,-6.10033863408046,-6.10029299599828,0.000111497813267186,0.19966136591954,0.199707004001721,3,0.999755918979645
39,-6.2,190,194.99,11,-5.98456778142239,-5.98456634553035,0.000387183584519002,0.21543221857761,0.215433654469652,3,0.999756395816803
40,-6.1,195,199.99,11,-5.868643249508,-5.86848208032832,0.00104182297863809,0.231356750492004,0.23151791967168,3,0.999756276607513
41,-6,200,204.99,11,-5.74627443411169,-5.74607302114696,0.00113740495832322,0.253725565888307,0.253926978853036,3,0.999756157398224
42,-5.9,205,209.99,11,-5.62798665674447,-5.62786763293661,0.00135260040504544,0.272013343255527,0.272132367063392,3,0.999768912792206
43,-5.8,210,214.99,11,-5.51185295028675,-5.51183273137449,0.000688526715727249,0.288147049713253,0.288167268625513,3,0.999782025814056
44,-5.7,215,219.99,11,-5.40999177787341,-5.4099707439954,0.000160298371363112,0.290008222126592,0.290029256004605,3,0.999800622463226
45,-5.6,220,224.99,11,-5.30724054643385,-5.3071481060327,0.000914527291230637,0.292759453566148,0.292851893967302,3,0.999819815158844
46,-5.5,225,229.99,11,-5.19678571538417,-5.19682009917738,0.000878968559661664,0.303214284615833,0.303179900822625,3,0.999839901924133
47,-5.4,230,234.99,11,-5.09380140373918,-5.09360262971118,0.00145881766466133,0.306198596260816,0.30639737028882,3,0.999857783317566
48,-5.3,235,239.99,11,-4.99361576210661,-4.99349778611186,0.00123478402380646,0.306384237893385,0.30650221388814,3,0.999876022338867
49,-5.2,240,244.99,11,-4.90012541340795,-4.89988717175275,0.00134723283968159,0.299874586592051,0.300112828247249,3,0.999896168708801
50,-5.1,245,249.99,11,-4.80219330731466,-4.80206939371227,0.00154853420848476,0.29780669268534,0.297930606287726,3,0.999913454055786
51,-5,250,254.99,11,-4.71422473967313,-4.71405507156488,0.00133266027781132,0.285775260326873,0.285944928435119,3,0.999927282333374
52,-4.9,255,259.99,11,-4.62159243348894,-4.62141023043126,0.00203243706153778,0.278407566511055,0.278589769568744,3,0.999938130378723
53,-4.8,260,264.99,11,-4.52745791257418,-4.52724415869948,0.00251590419562598,0.272542087425817,0.272755841300524,3,0.999948382377625
54,-4.7,265,269.99,11,-4.44857989983111,-4.44839020685007,0.00212806144677449,0.251420100168887,0.251609793149926,3,0.999959230422974
55,-4.6,270,274.99,11,-4.36741249305562,-4.36713284337858,0.00263788593214707,0.232587506944379,0.232867156621419,3,0.999967932701111
56,-4.5,275,279.99,11,-4.28769308638417,-4.28750731300032,0.00279709838421202,0.212306913615829,0.212492686999675,3,0.999975800514221
57,-4.4,280,284.99,11,-4.22239391659791,-4.22204480079238,0.00324885558992241,0.17760608340209,0.177955199207622,3,0.999980926513672
