segment_idx,theta_true_deg,t0,t1,n_windows,theta_pred_median_deg,theta_pred_mean_deg,theta_pred_std_deg,error_median_deg,error_mean_deg,label_main_mode,conf_main_median
1,-10,0,4.99,11,-9.98214217950792,-10.0173420250903,0.0586646709088963,0.0178578204920772,-0.0173420250902989,3,0.999998807907104
2,-9.9,5,9.99,11,-9.73336619936855,-9.73397012779959,0.00829832487909803,0.166633800631452,0.166029872200408,3,0.999959945678711
3,-9.8,10,14.99,11,-9.56782546577589,-9.56778976251432,0.000509514890139195,0.232174534224113,0.232210237485685,3,0.999936461448669
4,-9.7,15,19.99,11,-9.45979150990015,-9.45970100989365,0.000896266508421005,0.24020849009985,0.240298990106352,3,0.999930500984192
5,-9.6,20,24.99,11,-9.3571935308301,-9.35711281041263,0.000906375075131282,0.242806469169903,0.242887189587368,3,0.999925017356873
6,-9.5,25,29.99,11,-9.25395863661994,-9.2539050041118,0.000938380499242968,0.246041363380062,0.246094995888203,3,0.999919295310974
7,-9.4,30,34.99,11,-9.15071605844696,-9.15060483502559,0.00103270951813717,0.249283941553037,0.249395164974406,3,0.999913454055786
8,-9.3,35,39.99,11,-9.0469125509884,-9.04687288932175,0.000985576148119615,0.253087449011598,0.253127110678255,3,0.999907612800598
9,-9.2,40,44.99,11,-8.94261129349408,-8.94248772916273,0.00106323624538744,0.257388706505923,0.257512270837269,3,0.999901294708252
10,-9.1,45,49.99,11,-8.83616364905308,-8.83605296894221,0.00131672470881103,0.263836350946924,0.263947031057794,3,0.999895811080933
11,-9,50,54.99,11,-8.73167541513022,-8.73155495543031,0.00133251915747306,0.268324584869781,0.268445044569688,3,0.99988865852356
12,-8.9,55,59.99,11,-8.62718888875466,-8.62712516619433,0.00144178847833996,0.272811111245343,0.272874833805668,3,0.999880909919739
13,-8.8,60,64.99,11,-8.52187761703682,-8.521871019695,0.000925719413305479,0.278122382963184,0.278128980304999,3,0.999873995780945
14,-8.7,65,69.99,11,-8.4172442415941,-8.41713612280417,0.00110873612862768,0.282755758405902,0.282863877195831,3,0.999866962432861
15,-8.6,70,74.99,11,-8.31150608305313,-8.3114185324465,0.00108899217570367,0.288493916946869,0.288581467553504,3,0.999859571456909
16,-8.5,75,79.99,11,-8.20319550451601,-8.20312572792437,0.00131753241983618,0.296804495483993,0.296874272075627,3,0.999852538108826
17,-8.4,80,84.99,11,-8.09386295892432,-8.09388344949183,0.00103155000988422,0.306137041075679,0.306116550508172,3,0.999846816062927
18,-8.3,85,89.99,11,-7.99115655060119,-7.99112573713414,0.000334926044070676,0.308843449398808,0.308874262865861,3,0.99984085559845
19,-8.2,90,94.99,11,-7.88936026498497,-7.88934155958054,0.000279132399851589,0.310639735015031,0.310658440419462,3,0.999835014343262
20,-8.1,95,99.99,11,-7.78383640362921,-7.78385161632327,0.000127091207985175,0.31616359637079,0.31614838367673,3,0.999828934669495
