segment_idx,theta_true_deg,t0,t1,n_windows,theta_pred_median_deg,theta_pred_mean_deg,theta_pred_std_deg,error_median_deg,error_mean_deg,label_main_mode,conf_main_median
1,-10,0,4.99,11,-9.39588740625186,-9.40432548404513,0.0364863215387948,0.604112593748136,0.595674515954874,3,0.999998688697815
2,-9.9,5,9.99,11,-9.69596835234179,-9.69808089880576,0.00807466326336387,0.20403164765821,0.201919101194241,3,0.999964237213135
3,-9.8,10,14.99,11,-9.54420154898411,-9.54417710001151,0.000290621156323677,0.255798451015893,0.255822899988493,3,0.999950885772705
4,-9.7,15,19.99,11,-9.43613600348346,-9.43608733838562,0.000742318356240435,0.263863996516543,0.263912661614379,3,0.999947905540466
5,-9.6,20,24.99,11,-9.32946808544172,-9.32942345636476,0.000891792553427248,0.270531914558278,0.27057654363524,3,0.999945282936096
6,-9.5,25,29.99,11,-9.22352502122565,-9.22345082053422,0.00102618033753791,0.276474978774345,0.276549179465782,3,0.999942660331726
7,-9.4,30,34.99,11,-9.12054199024114,-9.12046468491826,0.000917763651516619,0.27945800975886,0.279535315081739,3,0.999940156936646
8,-9.3,35,39.99,11,-9.01769470926638,-9.01761235891741,0.000807199377370959,0.282305290733619,0.28238764108259,3,0.999937534332275
9,-9.2,40,44.99,11,-8.91154844692251,-8.91147036544177,0.00117965205922503,0.288451553077493,0.288529634558234,3,0.999935269355774
10,-9.1,45,49.99,11,-8.80093097199321,-8.8008321670976,0.00145646782992968,0.299069028006789,0.299167832902397,3,0.999933242797852
11,-9,50,54.99,11,-8.69152585564159,-8.69140710348898,0.00152152507749489,0.308474144358408,0.308592896511023,3,0.99993097782135
12,-8.9,55,59.99,11,-8.5833911544756,-8.5832628555813,0.00138607600068547,0.316608845524405,0.316737144418699,3,0.99992835521698
13,-8.8,60,64.99,11,-8.47465881175722,-8.47468535635604,0.000970838131883529,0.325341188242776,0.325314643643958,3,0.999925971031189
14,-8.7,65,69.99,11,-8.36564216241465,-8.36554591883998,0.00121386269671006,0.334357837585348,0.334454081160015,3,0.999923944473267
15,-8.6,70,74.99,11,-8.25457474877378,-8.25451777878684,0.00124750214254679,0.345425251226219,0.345482221213159,3,0.999921083450317
16,-8.5,75,79.99,11,-8.14179722651947,-8.14174747480063,0.00125048668132657,0.35820277348053,0.358252525199372,3,0.999918341636658
17,-8.4,80,84.99,11,-8.03187472333822,-8.03193929967219,0.000902455162945128,0.368125276661777,0.368060700327806,3,0.999915599822998
18,-8.3,85,89.99,11,-7.9287789942324,-7.92876711901714,0.000193801899149045,0.371221005767596,0.371232880982857,3,0.99991250038147
19,-8.2,90,94.99,11,-7.82436845371136,-7.82432623072376,9.54512549499803e-05,0.375631546288641,0.375673769276237,3,0.99990975856781
20,-8.1,95,99.99,11,-7.71488308263699,-7.71491482749348,0.000122303674213021,0.385116917363007,0.385085172506523,3,0.999906539916992
21,-8,100,104.99,11,-7.60633515502621,-7.60634454653632,4.03574025250732e-05,0.393664844973789,0.393655453463681,3,0.999902844429016
22,-7.9,105,109.99,11,-7.49996349643973,-7.50005601445667,0.000294866837192518,0.400036503560275,0.399943985543334,3,0.999898791313171
23,-7.8,110,114.99,11,-7.39264841797413,-7.39268373315677,0.000404955068781787,0.407351582025869,0.407316266843227,3,0.999894738197327
24,-7.7,115,119.99,11,-7.29007775966076,-7.29007248178731,0.000386712683846747,0.409922240339244,0.409927518212694,3,0.999889016151428
25,-7.6,120,124.99,11,-7.18872543634058,-7.18879591147429,0.000378077994892151,0.411274563659416,0.411204088525707,3,0.999882936477661
26,-7.5,125,129.99,11,-7.08917158720624,-7.08924602074504,0.000296574671585779,0.41082841279376,0.410753979254964,3,0.999875903129578
27,-7.4,130,134.99,11,-6.99019873103817,-6.99020773446935,0.00028450233857904,0.40980126896183,0.409792265530652,3,0.999868154525757
28,-7.3,135,139.99,11,-6.88710129438506,-6.88693523541086,0.000448418630034752,0.412898705614941,0.413064764589136,3,0.999861240386963
29,-7.2,140,144.99,11,-6.77883212386978,-6.77889076259612,0.000576288903396281,0.421167876130221,0.421109237403883,3,0.99985682964325
30,-7.1,145,149.99,11,-6.67548410465149,-6.67542511665412,0.000779210395356792,0.424515895348507,0.424574883345883,3,0.999853134155273
31,-7,150,154.99,11,-6.57400883792626,-6.5739747257883,0.000490394697395593,0.42599116207374,0.426025274211696,3,0.999850273132324
32,-6.9,155,159.99,11,-6.47140658998797,-6.47138908762823,0.000618010144399289,0.428593410012026,0.428610912371775,3,0.999848127365112
33,-6.8,160,164.99,11,-6.36925726896903,-6.36920309315038,0.000486238425377047,0.430742731030974,0.430796906849618,3,0.999843716621399
34,-6.7,165,169.99,11,-6.26362711279431,-6.26368256927342,0.000799343643159784,0.436372887205692,0.436317430726578,3,0.999842524528503
35,-6.6,170,174.99,11,-6.1580340957732,-6.15801368282148,0.000201577008205131,0.441965904226795,0.44198631717852,3,0.999841451644897
36,-6.5,175,179.99,11,-6.05108784752279,-6.05105777140571,0.000231749174987018,0.44891215247721,0.448942228594293,3,0.999837636947632
37,-6.4,180,184.99,11,-5.94489121253379,-5.94488492565512,2.54877466518356e-05,0.455108787466214,0.455115074344882,3,0.99983286857605
38,-6.3,185,189.99,11,-5.83426434609438,-5.83413546508169,0.00116631568297907,0.465735653905617,0.465864534918308,3,0.999830484390259
39,-6.2,190,194.99,11,-5.71153267689842,-5.71150822792583,0.00105489676884368,0.488467323101577,0.488491772074175,3,0.999829888343811
40,-6.1,195,199.99,11,-5.58581920324293,-5.58574034560433,0.00157463612616503,0.514180796757069,0.514259654395668,3,0.999828696250916
41,-6,200,204.99,11,-5.45299977152969,-5.45286107212006,0.00151557767095363,0.547000228470314,0.547138927879937,3,0.999822914600372
42,-5.9,205,209.99,11,-5.32230324798785,-5.32212601234046,0.00217058436360254,0.577696752012155,0.577873987659538,3,0.999824702739716
43,-5.8,210,214.99,11,-5.1934986868461,-5.19343220892537,0.00175607488766727,0.606501313153901,0.60656779107463,3,0.999829888343811
44,-5.7,215,219.99,11,-5.06274880245137,-5.06266777157076,0.00125982766364293,0.637251197548633,0.637332228429241,3,0.999841213226318
45,-5.6,220,224.99,11,-4.9393524704718,-4.93935844688733,0.00139810360304633,0.660647529528198,0.660641553112674,3,0.999855160713196
46,-5.5,225,229.99,11,-4.82633717225701,-4.82622734591979,0.000740681142096077,0.673662827742991,0.673772654080213,3,0.999866604804993
47,-5.4,230,234.99,11,-4.71782510313937,-4.71764138657385,0.000728725647847424,0.68217489686063,0.682358613426146,3,0.999877333641052
48,-5.3,235,239.99,11,-4.61527963114856,-4.61511454237169,0.00133991815266717,0.68472036885144,0.684885457628311,3,0.999890089035034
49,-5.2,240,244.99,11,-4.5124268006451,-4.51214967348111,0.00175371136891457,0.6875731993549,0.687850326518895,3,0.999903917312622
50,-5.1,245,249.99,11,-4.40668010436767,-4.40656449565439,0.00171777508079167,0.693319895632329,0.693435504345611,3,0.999916911125183
51,-5,250,254.99,11,-4.30929996293668,-4.30918928282582,0.00113126134283861,0.690700037063317,0.690810717174185,3,0.999928712844849
52,-4.9,255,259.99,11,-4.21144512335838,-4.21126334718751,0.00165517549482758,0.688554876641621,0.688736652812486,3,0.999937415122986
53,-4.8,260,264.99,11,-4.10271961082918,-4.10258948796391,0.00182351133990431,0.697280389170822,0.69741051203609,3,0.999945759773254
54,-4.7,265,269.99,11,-4.00689419120801,-4.00676810436362,0.000696114939817158,0.693105808791985,0.69323189563638,3,0.999955534934998
55,-4.6,270,274.99,11,-3.92188053415616,-3.92168533045431,0.00149594543461206,0.678119465843841,0.678314669545689,3,0.999964356422424
56,-4.5,275,279.99,11,-3.83382232028177,-3.83378428854662,0.00166423816732682,0.666177679718231,0.666215711453382,3,0.999971985816956
57,-4.4,280,284.99,11,-3.75657501520304,-3.75639684816622,0.00124408265255279,0.64342498479696,0.643603151833776,3,0.999977350234985
58,-4.3,285,289.99,11,-3.68376605242435,-3.68378293385781,0.00167029499710886,0.616233947575649,0.616217066142189,3,0.999981880187988
59,-4.2,290,294.99,11,-3.61796699816821,-3.6179031979921,0.00198287075076258,0.58203300183179,0.582096802007901,3,0.999985933303833
60,-4.1,295,299.99,11,-3.55612369065856,-3.55596019300531,0.00126750943378152,0.543876309341436,0.544039806994693,3,0.999989151954651
61,-4,300,304.99,11,-3.47217340868311,-3.47199562972523,0.00109770978511387,0.527826591316886,0.528004370274771,3,0.999991297721863
62,-3.9,305,309.99,11,-3.38294488458313,-3.38292468507481,0.000768207012704131,0.517055115416874,0.517075314925187,3,0.999992251396179
63,-3.8,310,314.99,11,-3.29984709559346,-3.29985202419587,0.000725132835117247,0.500152904406542,0.50014797580413,3,0.999992489814758
64,-3.7,315,319.99,11,-3.21612711905908,-3.21600378757509,0.000681328620279692,0.483872880940916,0.483996212424906,3,0.9999920129776
65,-3.6,320,324.99,11,-3.13748752260673,-3.1374502088176,0.000405709504321057,0.462512477393269,0.4625497911824,3,0.999990463256836
66,-3.5,325,329.99,11,-3.06159857139919,-3.06157204620432,0.000101374974315674,0.438401428600811,0.438427953795684,3,0.999987959861755
67,-3.4,330,334.99,11,-2.96847812013276,-2.96841860822883,0.000703693819635492,0.431521879867238,0.431581391771171,3,0.999985575675964
68,-3.3,335,339.99,11,-2.8723628443587,-2.87228579128712,0.000795030539924251,0.427637155641304,0.427714208712878,3,0.99998414516449
69,-3.2,340,344.99,11,-2.76724964812679,-2.76723957747855,0.000722170286796895,0.432750351873215,0.432760422521451,3,0.999983072280884
70,-3.1,345,349.99,11,-2.64474422894708,-2.64505182030709,0.000861114960304894,0.455255771052917,0.454948179692908,3,0.999983668327332
71,-3,350,354.99,11,-2.52532349395129,-2.52524003757737,0.00110618659513044,0.474676506048713,0.474759962422634,3,0.999984502792358
72,-2.9,355,359.99,11,-2.43691864797652,-2.43681456520746,0.000824208610846943,0.46308135202348,0.463185434792537,3,0.999984264373779
73,-2.8,360,364.99,11,-2.33871781662807,-2.33861239498671,0.00145251631359957,0.461282183371927,0.461387605013293,3,0.999981880187988
74,-2.7,365,369.99,11,-2.25379914189436,-2.25368605569413,0.000721249548800014,0.446200858105638,0.446313944305873,3,0.999980330467224
75,-2.6,370,374.99,11,-2.18116434893951,-2.18125946708528,0.00124570715398426,0.418835651060492,0.418740532914721,3,0.9999760389328
76,-2.5,375,379.99,11,-2.11019782968943,-2.110072480195,0.00157425266288854,0.389802170310571,0.389927519804998,3,0.999966740608215
77,-2.4,380,384.99,11,-2.08512164392537,-2.08502654518355,0.00172480812991683,0.314878356074626,0.314973454816451,3,0.999964594841003
78,-2.3,385,389.99,11,-2.04424168108238,-2.04421399165071,0.00125280305984932,0.255758318917622,0.255786008349286,3,0.999971747398376
79,-2.2,390,394.99,11,-1.98814811219341,-1.98809651709965,0.00161841791025724,0.211851887806587,0.211903482900346,3,0.999982476234436
80,-2.1,395,399.99,11,-1.9196600978384,-1.91961055956297,0.0018724926147337,0.180339902161597,0.180389440437026,3,0.999990344047546
81,-2,400,404.99,11,-1.85726482566646,-1.85723752431372,0.0020752640615008,0.142735174333544,0.142762475686278,3,0.999994277954102
82,-1.9,405,409.99,11,-1.7721016515048,-1.77208845682118,0.00188812535258094,0.1278983484952,0.127911543178824,3,0.999995589256287
83,-1.8,410,414.99,11,-1.65465868316055,-1.65470416601116,0.00105843886662923,0.145341316839454,0.145295833988845,3,0.999991536140442
84,-1.7,415,419.99,11,-1.50440103144432,-1.50441967863691,0.000192577028333445,0.195598968555682,0.19558032136309,3,0.999944448471069
85,-1.6,420,424.99,11,-1.34568899291779,-1.34576253387505,0.000231217374453531,0.25431100708221,0.254237466124954,3,0.998074173927307
86,-1.5,425,429.99,11,-1.16038542712681,-1.16052090548132,0.000468430285978311,0.339614572873185,0.339479094518682,3,0.697043538093567
87,-1.4,430,434.99,11,-0.873788555118964,-0.87407761571006,0.000834933695433955,0.526211444881036,0.52592238428994,1,0.99591076374054
88,-1.3,435,439.99,11,-0.542271129765526,-0.542398177105272,0.000295345796342107,0.757728870234474,0.757601822894728,1,0.999966979026794
89,-1.2,440,444.99,11,-0.165209442737488,-0.16544835382884,0.000930036347402836,1.03479055726251,1.03455164617116,1,0.999983668327332
90,-1.1,445,449.99,11,-0.052195798709135,-0.0522645468916048,0.00186038216186776,1.04780420129087,1.0477354531084,1,0.999974489212036
91,-1,450,454.99,11,0.159947849199051,0.159624322347975,0.00231895351582505,1.15994784919905,1.15962432234797,1,0.999969124794006
92,-0.9,455,459.99,11,0.318507916016547,0.318182468174766,0.000944513322208689,1.21850791601655,1.21818246817477,1,0.999969482421875
93,-0.8,460,464.99,11,0.356539476532236,0.35620338077481,0.00137827932756035,1.15653947653224,1.15620338077481,1,0.999969005584717
94,-0.7,465,469.99,11,0.330128362311413,0.32980717363589,0.00332643890988853,1.03012836231141,1.02980717363589,1,0.999967098236084
95,-0.6,470,474.99,11,0.299191073826693,0.298935237643002,0.00304417965386938,0.899191073826693,0.898935237643002,1,0.999964952468872
96,-0.5,475,479.99,11,0.261318261848354,0.261263537868221,0.00311637855353171,0.761318261848354,0.761263537868221,1,0.99996292591095
97,-0.4,480,484.99,11,0.204388688477151,0.204200921337802,0.0016454236883421,0.604388688477151,0.604200921337802,1,0.999961018562317
98,-0.3,485,489.99,11,0.181452593079131,0.181307354539535,0.0011892296905346,0.481452593079131,0.481307354539535,1,0.999959230422974
99,-0.2,490,494.99,11,0.16637057489639,0.1661017526215,0.00315367373212264,0.36637057489639,0.3661017526215,1,0.999957799911499
100,-0.1,495,499.99,11,0.181986628494861,0.181672590173626,0.00333682407367793,0.281986628494861,0.281672590173626,1,0.999956846237183
101,0,500,504.99,11,0.138967002172653,0.139021891086331,0.0015053078583888,0.138967002172653,0.139021891086331,1,0.999952077865601
102,0.1,505,509.99,11,0.125577536882754,0.125233194448063,0.00296741236342568,0.0255775368827537,0.0252331944480632,1,0.999949932098389
103,0.2,510,514.99,11,0.166083600229544,0.166067092322054,0.000149235245210986,-0.0339163997704559,-0.0339329076779457,1,0.999939918518066
104,0.3,515,519.99,11,0.236419767724425,0.236334686269984,0.000208249482155286,-0.0635802322755753,-0.0636653137300163,1,0.999923706054688
105,0.4,520,524.99,11,0.29982841585362,0.299838782412041,0.000355164747714014,-0.10017158414638,-0.100161217587959,1,0.999895095825195
