segment_idx,theta_true_deg,t0,t1,n_windows,theta_pred_median_deg,theta_pred_mean_deg,theta_pred_std_deg,error_median_deg,error_mean_deg,label_main_mode,conf_main_median
1,-10,0,4.99,11,-9.91037908944589,-9.93365295904271,0.0456442143061738,0.0896209105541086,0.0663470409572895,3,0.999998688697815
2,-9.9,5,9.99,11,-9.72476101478798,-9.72619287080853,0.0110520870256778,0.175238985212022,0.173807129191474,3,0.999964237213135
3,-9.8,10,14.99,11,-9.54964947862084,-9.5495974760442,0.000626934941729095,0.250350521379163,0.250402523955797,3,0.999950885772705
4,-9.7,15,19.99,11,-9.43923434804571,-9.4391244440927,0.00151247509161344,0.260765651954294,0.260875555907303,3,0.999947905540466
5,-9.6,20,24.99,11,-9.33276792058448,-9.3326500998213,0.00170650105657668,0.267232079415516,0.267349900178697,3,0.999945282936096
6,-9.5,25,29.99,11,-9.22689913467564,-9.2267666445289,0.00176242340501923,0.273100865324359,0.273233355471099,3,0.999942660331726
7,-9.4,30,34.99,11,-9.12409624993049,-9.12395809383137,0.00166165149773852,0.275903750069514,0.276041906168635,3,0.999940156936646
8,-9.3,35,39.99,11,-9.02158791709329,-9.02145806588327,0.00158121767220445,0.278412082906712,0.278541934116728,3,0.999937534332275
9,-9.2,40,44.99,11,-8.9174036265885,-8.91728153695708,0.0017750368051604,0.282596373411501,0.282718463042915,3,0.999935269355774
10,-9.1,45,49.99,11,-8.80976155281639,-8.80961097819151,0.00202183612538579,0.29023844718361,0.290389021808494,3,0.999933242797852
11,-9,50,54.99,11,-8.70206142243634,-8.70190789841158,0.00201468264741101,0.297938577563663,0.298092101588416,3,0.99993097782135
12,-8.9,55,59.99,11,-8.59561292422169,-8.59545777026543,0.00182007553579744,0.304387075778312,0.304542229734572,3,0.99992835521698
13,-8.8,60,64.99,11,-8.48895269014277,-8.48889882478727,0.00149019724535823,0.311047309857232,0.311101175212732,3,0.999925971031189
14,-8.7,65,69.99,11,-8.38224805983424,-8.3821011331513,0.00173222932112171,0.317751940165754,0.317898866848696,3,0.999923944473267
15,-8.6,70,74.99,11,-8.27184915095839,-8.27172962264791,0.00179882667489097,0.328150849041609,0.328270377352085,3,0.999921083450317
16,-8.5,75,79.99,11,-8.15941313816258,-8.15929981911498,0.00174699129660947,0.340586861837421,0.340700180885015,3,0.999918341636658
17,-8.4,80,84.99,11,-8.04906033306362,-8.04908695527823,0.00124228600235815,0.350939666936378,0.350913044721773,3,0.999915599822998
18,-8.3,85,89.99,11,-7.94640344361198,-7.94635175149848,0.000548491509848307,0.353596556388025,0.353648248501517,3,0.99991250038147
19,-8.2,90,94.99,11,-7.84336320979316,-7.84330670550094,0.000479863448358149,0.356636790206836,0.356693294499061,3,0.99990975856781
20,-8.1,95,99.99,11,-7.73685323987598,-7.73684431406059,0.000445189437107489,0.363146760124015,0.363155685939407,3,0.999906539916992
21,-8,100,104.99,11,-7.63146256720904,-7.63146248959326,0.000313505277069188,0.368537432790959,0.368537510406743,3,0.999902844429016
22,-7.9,105,109.99,11,-7.52733974840678,-7.52738228185752,8.84303596929447e-05,0.372660251593218,0.372617718142477,3,0.999898791313171
23,-7.8,110,114.99,11,-7.42226838708354,-7.42226644668889,5.22410286364094e-05,0.377731612916462,0.377733553311112,3,0.999894738197327
24,-7.7,115,119.99,11,-7.32069237506805,-7.32066792609545,0.000151474109755985,0.379307624931953,0.379332073904551,3,0.999889016151428
25,-7.6,120,124.99,11,-7.2208597688382,-7.22092675126154,0.000443780070521728,0.379140231161798,0.379073248738461,3,0.999882936477661
26,-7.5,125,129.99,11,-7.12265445517811,-7.12272050621202,0.000310909916720037,0.377345544821888,0.377279493787984,3,0.999875903129578
27,-7.4,130,134.99,11,-7.02462075002092,-7.02463115053625,0.0002599876927378,0.375379249979082,0.375368849463754,3,0.999868154525757
28,-7.3,135,139.99,11,-6.92519539382034,-6.92510361315336,0.000154162656858333,0.374804606179664,0.374896386846635,3,0.999861240386963
29,-7.2,140,144.99,11,-6.82267126617068,-6.82269424044334,0.000223086399146036,0.377328733829318,0.377305759556656,3,0.99985682964325
30,-7.1,145,149.99,11,-6.72317376609699,-6.72315509950045,0.000372328087766647,0.376826233903008,0.376844900499548,3,0.999853134155273
31,-7,150,154.99,11,-6.62559085342502,-6.62556962550754,0.000247087026632732,0.374409146574981,0.374430374492457,3,0.999850273132324
