model,seed,best_epoch,acc_main,acc_turn,acc_turn_pure,acc_turn_transition,theta_mae_deg,flat_recall,stall_recall,slope_recall,uphill_recall,downhill_recall
TCN,11,64,0.925842696629213,0.885393258426966,0.910891089108911,0.634146341463415,0.884649288491037,0.943396226415094,0.777777777777778,0.91358024691358,0.932330827067669,0.827586206896552
GRU,11,15,0.941573033707865,0.856179775280899,0.893564356435644,0.48780487804878,0.504843181203323,0.943396226415094,0.777777777777778,0.95679012345679,0.977443609022556,0.862068965517241
TCN,21,64,0.937078651685393,0.876404494382023,0.903465346534653,0.609756097560976,0.731856628988419,0.969811320754717,0.722222222222222,0.907407407407407,0.924812030075188,0.827586206896552
GRU,21,14,0.946067415730337,0.847191011235955,0.886138613861386,0.463414634146341,0.753633183688115,0.954716981132075,0.777777777777778,0.950617283950617,0.969924812030075,0.862068965517241
TCN,42,69,0.808988764044944,0.898876404494382,0.928217821782178,0.609756097560976,0.684509370875678,0.841509433962264,0.777777777777778,0.759259259259259,0.736842105263158,0.862068965517241
GRU,42,9,0.932584269662921,0.840449438202247,0.878712871287129,0.463414634146341,0.825614310143842,0.947169811320755,0.666666666666667,0.938271604938272,0.962406015037594,0.827586206896552
TCN,73,67,0.919101123595506,0.898876404494382,0.925742574257426,0.634146341463415,1.29100630274115,0.928301886792453,0.777777777777778,0.919753086419753,0.93984962406015,0.827586206896552
GRU,73,11,0.912359550561798,0.851685393258427,0.891089108910891,0.463414634146341,0.820258049237572,0.89811320754717,0.777777777777778,0.950617283950617,0.969924812030075,0.862068965517241
TCN,101,68,0.928089887640449,0.885393258426966,0.910891089108911,0.634146341463415,1.30949543894674,0.954716981132075,0.777777777777778,0.901234567901235,0.917293233082707,0.827586206896552
GRU,101,17,0.943820224719101,0.862921348314607,0.903465346534653,0.463414634146341,0.508712684503104,0.954716981132075,0.722222222222222,0.950617283950617,0.977443609022556,0.827586206896552
