case_name,phase,best_epoch,base_best_epoch,pg_score,production_score,main_score,acc_main,acc_turn,acc_turn_pure,acc_turn_transition,theta_mae_deg,flat_recall,stall_recall,slope_recall,uphill_recall,downhill_recall,flat_as_slope,lambda_phy,lambda_smooth,turn_transition_weight,seed,staged,model_file,report_file
production_current_phy0p000_smooth0p000_trans1p00_staged_seed101,pg_staged,64,58,0.166596989001053,0.134218711847494,0.0957917455553596,0.941573033707865,0.871910112359551,0.898514851485149,0.609756097560976,0.765446742478472,0.973584905660377,0.722222222222222,0.91358024691358,0.932330827067669,0.827586206896552,0.0113207547169811,0,0,1,101,1,E:\Matlab\Simulink\S-Function_16\data\models\TCN_model_pg_confirm_v3_production_current_phy0p000_smooth0p000_trans1p00_staged_seed101.mat,E:\Matlab\Simulink\S-Function_16\results\tcn\experiments\pg_confirm_v3\production_current_phy0p000_smooth0p000_trans1p00_staged_seed101\TCN_train_report.md
production_current_phy0p005_smooth0p000_trans1p00_staged_seed21,pg_staged,64,50,0.175148641115306,0.157029752904034,0.120625258522012,0.928089887640449,0.878651685393258,0.905940594059406,0.609756097560976,0.992602141374475,0.954716981132075,0.777777777777778,0.901234567901235,0.917293233082707,0.827586206896552,0.0226415094339623,0.005,0,1,21,1,E:\Matlab\Simulink\S-Function_16\data\models\TCN_model_pg_confirm_v3_production_current_phy0p005_smooth0p000_trans1p00_staged_seed21.mat,E:\Matlab\Simulink\S-Function_16\results\tcn\experiments\pg_confirm_v3\production_current_phy0p005_smooth0p000_trans1p00_staged_seed21\TCN_train_report.md
production_current_phy0p005_smooth0p000_trans1p00_staged_seed11,pg_staged,73,59,0.18068534304091,0.162349311095751,0.129989760533953,0.928089887640449,0.892134831460674,0.920792079207921,0.609756097560976,1.1889788426164,0.950943396226415,0.777777777777778,0.907407407407407,0.924812030075188,0.827586206896552,0.030188679245283,0.005,0,1,11,1,E:\Matlab\Simulink\S-Function_16\data\models\TCN_model_pg_confirm_v3_production_current_phy0p005_smooth0p000_trans1p00_staged_seed11.mat,E:\Matlab\Simulink\S-Function_16\results\tcn\experiments\pg_confirm_v3\production_current_phy0p005_smooth0p000_trans1p00_staged_seed11\TCN_train_report.md
production_current_phy0p000_smooth0p000_trans1p00_staged_seed42,pg_staged,69,57,0.189164053955747,0.166444720331075,0.135995282128827,0.91685393258427,0.901123595505618,0.930693069306931,0.609756097560976,1.02048215702716,0.939622641509434,0.777777777777778,0.895061728395062,0.909774436090226,0.827586206896552,0.0377358490566038,0,0,1,42,1,E:\Matlab\Simulink\S-Function_16\data\models\TCN_model_pg_confirm_v3_production_current_phy0p000_smooth0p000_trans1p00_staged_seed42.mat,E:\Matlab\Simulink\S-Function_16\results\tcn\experiments\pg_confirm_v3\production_current_phy0p000_smooth0p000_trans1p00_staged_seed42\TCN_train_report.md
production_current_phy0p000_smooth0p000_trans1p00_staged_seed11,pg_staged,67,61,0.19426107142415,0.170487404956369,0.138127854394571,0.921348314606742,0.892134831460674,0.923267326732673,0.585365853658537,1.22389186328917,0.954716981132075,0.777777777777778,0.882716049382716,0.894736842105263,0.827586206896552,0.030188679245283,0,0,1,11,1,E:\Matlab\Simulink\S-Function_16\data\models\TCN_model_pg_confirm_v3_production_current_phy0p000_smooth0p000_trans1p00_staged_seed11.mat,E:\Matlab\Simulink\S-Function_16\results\tcn\experiments\pg_confirm_v3\production_current_phy0p000_smooth0p000_trans1p00_staged_seed11\TCN_train_report.md
production_current_phy0p005_smooth0p000_trans1p00_staged_seed101,pg_staged,64,63,0.201982420282453,0.168471790015228,0.130044823723094,0.928089887640449,0.871910112359551,0.900990099009901,0.585365853658537,1.24695919592982,0.954716981132075,0.777777777777778,0.901234567901235,0.917293233082707,0.827586206896552,0.0188679245283019,0.005,0,1,101,1,E:\Matlab\Simulink\S-Function_16\data\models\TCN_model_pg_confirm_v3_production_current_phy0p005_smooth0p000_trans1p00_staged_seed101.mat,E:\Matlab\Simulink\S-Function_16\results\tcn\experiments\pg_confirm_v3\production_current_phy0p005_smooth0p000_trans1p00_staged_seed101\TCN_train_report.md
production_current_phy0p000_smooth0p000_trans1p00_staged_seed73,pg_staged,64,63,0.209282703952717,0.179893133999007,0.146185268830467,0.923595505617978,0.887640449438202,0.915841584158416,0.609756097560976,1.5181042668715,0.943396226415094,0.777777777777778,0.907407407407407,0.917293233082707,0.862068965517241,0.0452830188679245,0,0,1,73,1,E:\Matlab\Simulink\S-Function_16\data\models\TCN_model_pg_confirm_v3_production_current_phy0p000_smooth0p000_trans1p00_staged_seed73.mat,E:\Matlab\Simulink\S-Function_16\results\tcn\experiments\pg_confirm_v3\production_current_phy0p000_smooth0p000_trans1p00_staged_seed73\TCN_train_report.md
production_current_phy0p000_smooth0p000_trans1p00_staged_seed21,pg_staged,64,50,0.247494190455963,0.185219557510256,0.146230793465312,0.912359550561798,0.876404494382023,0.903465346534653,0.609756097560976,1.10740661629259,0.928301886792453,0.722222222222222,0.907407407407407,0.924812030075188,0.827586206896552,0.0490566037735849,0,0,1,21,1,E:\Matlab\Simulink\S-Function_16\data\models\TCN_model_pg_confirm_v3_production_current_phy0p000_smooth0p000_trans1p00_staged_seed21.mat,E:\Matlab\Simulink\S-Function_16\results\tcn\experiments\pg_confirm_v3\production_current_phy0p000_smooth0p000_trans1p00_staged_seed21\TCN_train_report.md
production_current_phy0p005_smooth0p000_trans1p00_staged_seed73,pg_staged,68,62,0.257626812121642,0.204202066217768,0.174539144869453,0.925842696629213,0.901123595505618,0.930693069306931,0.609756097560976,2.35860264124025,0.947169811320755,0.777777777777778,0.907407407407407,0.917293233082707,0.862068965517241,0.030188679245283,0.005,0,1,73,1,E:\Matlab\Simulink\S-Function_16\data\models\TCN_model_pg_confirm_v3_production_current_phy0p005_smooth0p000_trans1p00_staged_seed73.mat,E:\Matlab\Simulink\S-Function_16\results\tcn\experiments\pg_confirm_v3\production_current_phy0p005_smooth0p000_trans1p00_staged_seed73\TCN_train_report.md
production_current_phy0p005_smooth0p000_trans1p00_staged_seed42,pg_staged,67,62,0.890271316833476,0.327427541500221,0.268551137005839,0.81123595505618,0.89438202247191,0.923267326732673,0.609756097560976,0.824972378866391,0.841509433962264,0.777777777777778,0.765432098765432,0.744360902255639,0.862068965517241,0.128301886792453,0.005,0,1,42,1,E:\Matlab\Simulink\S-Function_16\data\models\TCN_model_pg_confirm_v3_production_current_phy0p005_smooth0p000_trans1p00_staged_seed42.mat,E:\Matlab\Simulink\S-Function_16\results\tcn\experiments\pg_confirm_v3\production_current_phy0p005_smooth0p000_trans1p00_staged_seed42\TCN_train_report.md
