case_name,phase,best_epoch,base_best_epoch,pg_score,production_score,main_score,acc_main,acc_turn,acc_turn_pure,acc_turn_transition,theta_mae_deg,flat_recall,stall_recall,slope_recall,uphill_recall,downhill_recall,flat_as_slope,lambda_phy,lambda_smooth,turn_transition_weight,staged,model_file,report_file
phy0p002_smooth0p003_trans1p25_base,pg_base,48,NaN,0.423203126267032,0.346287739335385,0.279209087649992,0.8,0.876404494382023,0.908415841584158,0.560975609756098,0.660004464621909,0.833962264150943,0.777777777777778,0.746913580246914,0.721804511278195,0.862068965517241,0.135849056603774,0.002,0.003,1.25,0,E:\Matlab\Simulink\S-Function_16\data\models\TCN_model_pg_sweep_base_v1_phy0p002_smooth0p003_trans1p25_base.mat,E:\Matlab\Simulink\S-Function_16\results\tcn\experiments\pg_sweep_base_v1\phy0p002_smooth0p003_trans1p25_base\TCN_train_report.md
phy0p005_smooth0p001_trans1p25_base,pg_base,47,NaN,0.436942852526191,0.35872431810614,0.288499599005017,0.795505617977528,0.869662921348315,0.903465346534653,0.536585365853659,0.798350030181439,0.815094339622642,0.777777777777778,0.765432098765432,0.744360902255639,0.862068965517241,0.154716981132075,0.005,0.001,1.25,0,E:\Matlab\Simulink\S-Function_16\data\models\TCN_model_pg_sweep_base_v1_phy0p005_smooth0p001_trans1p25_base.mat,E:\Matlab\Simulink\S-Function_16\results\tcn\experiments\pg_sweep_base_v1\phy0p005_smooth0p001_trans1p25_base\TCN_train_report.md
phy0p005_smooth0p000_trans1p25_base,pg_base,37,NaN,0.439308992619962,0.365150491559296,0.291217907289633,0.78876404494382,0.862921348314607,0.891089108910891,0.585365853658537,0.622438577435133,0.807547169811321,0.777777777777778,0.759259259259259,0.736842105263158,0.862068965517241,0.162264150943396,0.005,0,1.25,0,E:\Matlab\Simulink\S-Function_16\data\models\TCN_model_pg_sweep_base_v1_phy0p005_smooth0p000_trans1p25_base.mat,E:\Matlab\Simulink\S-Function_16\results\tcn\experiments\pg_sweep_base_v1\phy0p005_smooth0p000_trans1p25_base\TCN_train_report.md
phy0p010_smooth0p001_trans1p00_base,pg_base,56,NaN,0.442825819642024,0.362584813311861,0.285955599828715,0.78876404494382,0.853932584269663,0.886138613861386,0.536585365853659,0.509606951346286,0.80377358490566,0.777777777777778,0.765432098765432,0.744360902255639,0.862068965517241,0.166037735849057,0.01,0.001,1,0,E:\Matlab\Simulink\S-Function_16\data\models\TCN_model_pg_sweep_base_v1_phy0p010_smooth0p001_trans1p00_base.mat,E:\Matlab\Simulink\S-Function_16\results\tcn\experiments\pg_sweep_base_v1\phy0p010_smooth0p001_trans1p00_base\TCN_train_report.md
phy0p020_smooth0p001_trans1p25_base,pg_base,47,NaN,0.443988316808432,0.362224992508522,0.277618250935489,0.8,0.817977528089888,0.849009900990099,0.51219512195122,0.638817743099235,0.826415094339623,0.777777777777778,0.759259259259259,0.736842105263158,0.862068965517241,0.147169811320755,0.02,0.001,1.25,0,E:\Matlab\Simulink\S-Function_16\data\models\TCN_model_pg_sweep_base_v1_phy0p020_smooth0p001_trans1p25_base.mat,E:\Matlab\Simulink\S-Function_16\results\tcn\experiments\pg_sweep_base_v1\phy0p020_smooth0p001_trans1p25_base\TCN_train_report.md
phy0p000_smooth0p001_trans1p00_base,pg_base,47,NaN,0.446304634350095,0.36665083805506,0.300471062774161,0.795505617977528,0.88314606741573,0.910891089108911,0.609756097560976,1.04145844310773,0.826415094339623,0.777777777777778,0.746913580246914,0.721804511278195,0.862068965517241,0.143396226415094,0,0.001,1,0,E:\Matlab\Simulink\S-Function_16\data\models\TCN_model_pg_sweep_base_v1_phy0p000_smooth0p001_trans1p00_base.mat,E:\Matlab\Simulink\S-Function_16\results\tcn\experiments\pg_sweep_base_v1\phy0p000_smooth0p001_trans1p00_base\TCN_train_report.md
phy0p002_smooth0p000_trans1p25_base,pg_base,37,NaN,0.447097431923181,0.373111580903622,0.300190232589015,0.782022471910112,0.871910112359551,0.898514851485149,0.609756097560976,0.621603610492093,0.79622641509434,0.777777777777778,0.759259259259259,0.736842105263158,0.862068965517241,0.173584905660377,0.002,0,1.25,0,E:\Matlab\Simulink\S-Function_16\data\models\TCN_model_pg_sweep_base_v1_phy0p002_smooth0p000_trans1p25_base.mat,E:\Matlab\Simulink\S-Function_16\results\tcn\experiments\pg_sweep_base_v1\phy0p002_smooth0p000_trans1p25_base\TCN_train_report.md
phy0p010_smooth0p001_trans1p25_base,pg_base,46,NaN,0.449232629855676,0.366355532977326,0.292085870055978,0.795505617977528,0.856179775280899,0.888613861386139,0.536585365853659,0.831828625153155,0.826415094339623,0.777777777777778,0.746913580246914,0.721804511278195,0.862068965517241,0.143396226415094,0.01,0.001,1.25,0,E:\Matlab\Simulink\S-Function_16\data\models\TCN_model_pg_sweep_base_v1_phy0p010_smooth0p001_trans1p25_base.mat,E:\Matlab\Simulink\S-Function_16\results\tcn\experiments\pg_sweep_base_v1\phy0p010_smooth0p001_trans1p25_base\TCN_train_report.md
phy0p005_smooth0p003_trans1p25_base,pg_base,46,NaN,0.457005421496087,0.370494575124916,0.299033900967613,0.793258426966292,0.867415730337079,0.900990099009901,0.536585365853659,0.930481698134835,0.822641509433962,0.777777777777778,0.746913580246914,0.721804511278195,0.862068965517241,0.147169811320755,0.005,0.003,1.25,0,E:\Matlab\Simulink\S-Function_16\data\models\TCN_model_pg_sweep_base_v1_phy0p005_smooth0p003_trans1p25_base.mat,E:\Matlab\Simulink\S-Function_16\results\tcn\experiments\pg_sweep_base_v1\phy0p005_smooth0p003_trans1p25_base\TCN_train_report.md
phy0p020_smooth0p000_trans1p00_base,pg_base,47,NaN,0.457885579227743,0.374099783017721,0.28780764818626,0.793258426966292,0.817977528089888,0.849009900990099,0.51219512195122,0.687277499469221,0.815094339622642,0.777777777777778,0.759259259259259,0.736842105263158,0.862068965517241,0.154716981132075,0.02,0,1,0,E:\Matlab\Simulink\S-Function_16\data\models\TCN_model_pg_sweep_base_v1_phy0p020_smooth0p000_trans1p00_base.mat,E:\Matlab\Simulink\S-Function_16\results\tcn\experiments\pg_sweep_base_v1\phy0p020_smooth0p000_trans1p00_base\TCN_train_report.md
phy0p000_smooth0p003_trans1p00_base,pg_base,28,NaN,0.459644587318476,0.378010099263233,0.304976391398065,0.784269662921348,0.869662921348315,0.900990099009901,0.560975609756098,0.741117310602715,0.807547169811321,0.777777777777778,0.746913580246914,0.721804511278195,0.862068965517241,0.169811320754717,0,0.003,1,0,E:\Matlab\Simulink\S-Function_16\data\models\TCN_model_pg_sweep_base_v1_phy0p000_smooth0p003_trans1p00_base.mat,E:\Matlab\Simulink\S-Function_16\results\tcn\experiments\pg_sweep_base_v1\phy0p000_smooth0p003_trans1p00_base\TCN_train_report.md
phy0p000_smooth0p001_trans1p25_base,pg_base,47,NaN,0.462055088593553,0.374509027905315,0.308891050377225,0.797752808988764,0.88314606741573,0.908415841584158,0.634146341463415,1.32700583299353,0.830188679245283,0.777777777777778,0.746913580246914,0.721804511278195,0.862068965517241,0.139622641509434,0,0.001,1.25,0,E:\Matlab\Simulink\S-Function_16\data\models\TCN_model_pg_sweep_base_v1_phy0p000_smooth0p001_trans1p25_base.mat,E:\Matlab\Simulink\S-Function_16\results\tcn\experiments\pg_sweep_base_v1\phy0p000_smooth0p001_trans1p25_base\TCN_train_report.md
phy0p002_smooth0p000_trans1p00_base,pg_base,47,NaN,0.464838106024007,0.37734756109368,0.307909358846489,0.793258426966292,0.874157303370787,0.905940594059406,0.560975609756098,1.20854632640904,0.811320754716981,0.777777777777778,0.765432098765432,0.744360902255639,0.862068965517241,0.158490566037736,0.002,0,1,0,E:\Matlab\Simulink\S-Function_16\data\models\TCN_model_pg_sweep_base_v1_phy0p002_smooth0p000_trans1p00_base.mat,E:\Matlab\Simulink\S-Function_16\results\tcn\experiments\pg_sweep_base_v1\phy0p002_smooth0p000_trans1p00_base\TCN_train_report.md
phy0p000_smooth0p000_trans1p25_base,pg_base,48,NaN,0.465178471071095,0.37942796995453,0.310776284561271,0.791011235955056,0.878651685393258,0.908415841584158,0.585365853658537,1.16771964860119,0.815094339622642,0.777777777777778,0.753086419753086,0.729323308270677,0.862068965517241,0.154716981132075,0,0,1.25,0,E:\Matlab\Simulink\S-Function_16\data\models\TCN_model_pg_sweep_base_v1_phy0p000_smooth0p000_trans1p25_base.mat,E:\Matlab\Simulink\S-Function_16\results\tcn\experiments\pg_sweep_base_v1\phy0p000_smooth0p000_trans1p25_base\TCN_train_report.md
phy0p000_smooth0p003_trans1p25_base,pg_base,28,NaN,0.465254108648646,0.385876594377232,0.312955246062626,0.782022471910112,0.871910112359551,0.900990099009901,0.585365853658537,0.865399113313342,0.8,0.777777777777778,0.753086419753086,0.729323308270677,0.862068965517241,0.181132075471698,0,0.003,1.25,0,E:\Matlab\Simulink\S-Function_16\data\models\TCN_model_pg_sweep_base_v1_phy0p000_smooth0p003_trans1p25_base.mat,E:\Matlab\Simulink\S-Function_16\results\tcn\experiments\pg_sweep_base_v1\phy0p000_smooth0p003_trans1p25_base\TCN_train_report.md
phy0p010_smooth0p000_trans1p25_base,pg_base,45,NaN,0.467776174030489,0.376194223410191,0.302486358241651,0.797752808988764,0.856179775280899,0.888613861386139,0.536585365853659,1.18561459003829,0.826415094339623,0.777777777777778,0.753086419753086,0.729323308270677,0.862068965517241,0.143396226415094,0.01,0,1.25,0,E:\Matlab\Simulink\S-Function_16\data\models\TCN_model_pg_sweep_base_v1_phy0p010_smooth0p000_trans1p25_base.mat,E:\Matlab\Simulink\S-Function_16\results\tcn\experiments\pg_sweep_base_v1\phy0p010_smooth0p000_trans1p25_base\TCN_train_report.md
phy0p020_smooth0p000_trans1p25_base,pg_base,47,NaN,0.46961858413028,0.381389995467424,0.296446175242705,0.793258426966292,0.82247191011236,0.853960396039604,0.51219512195122,0.865788555012137,0.822641509433962,0.777777777777778,0.746913580246914,0.721804511278195,0.862068965517241,0.147169811320755,0.02,0,1.25,0,E:\Matlab\Simulink\S-Function_16\data\models\TCN_model_pg_sweep_base_v1_phy0p020_smooth0p000_trans1p25_base.mat,E:\Matlab\Simulink\S-Function_16\results\tcn\experiments\pg_sweep_base_v1\phy0p020_smooth0p000_trans1p25_base\TCN_train_report.md
phy0p005_smooth0p001_trans1p00_base,pg_base,31,NaN,0.470430089922334,0.379225987825303,0.304394527151145,0.793258426966292,0.856179775280899,0.888613861386139,0.536585365853659,1.04577129228904,0.826415094339623,0.777777777777778,0.740740740740741,0.714285714285714,0.862068965517241,0.143396226415094,0.005,0.001,1,0,E:\Matlab\Simulink\S-Function_16\data\models\TCN_model_pg_sweep_base_v1_phy0p005_smooth0p001_trans1p00_base.mat,E:\Matlab\Simulink\S-Function_16\results\tcn\experiments\pg_sweep_base_v1\phy0p005_smooth0p001_trans1p00_base\TCN_train_report.md
phy0p002_smooth0p001_trans1p00_base,pg_base,46,NaN,0.471702304922346,0.377832473449497,0.309517866707924,0.797752808988764,0.874157303370787,0.905940594059406,0.560975609756098,1.34267624126102,0.830188679245283,0.777777777777778,0.746913580246914,0.721804511278195,0.862068965517241,0.139622641509434,0.002,0.001,1,0,E:\Matlab\Simulink\S-Function_16\data\models\TCN_model_pg_sweep_base_v1_phy0p002_smooth0p001_trans1p00_base.mat,E:\Matlab\Simulink\S-Function_16\results\tcn\experiments\pg_sweep_base_v1\phy0p002_smooth0p001_trans1p00_base\TCN_train_report.md
phy0p010_smooth0p003_trans1p00_base,pg_base,28,NaN,0.472989068351372,0.38598612002189,0.308120951482564,0.786516853932584,0.851685393258427,0.883663366336634,0.536585365853659,0.838317103033688,0.815094339622642,0.777777777777778,0.740740740740741,0.714285714285714,0.862068965517241,0.169811320754717,0.01,0.003,1,0,E:\Matlab\Simulink\S-Function_16\data\models\TCN_model_pg_sweep_base_v1_phy0p010_smooth0p003_trans1p00_base.mat,E:\Matlab\Simulink\S-Function_16\results\tcn\experiments\pg_sweep_base_v1\phy0p010_smooth0p003_trans1p00_base\TCN_train_report.md
phy0p000_smooth0p000_trans1p00_base,pg_base,58,NaN,0.474893412867163,0.379945522962913,0.315451140940441,0.802247191011236,0.88314606741573,0.910891089108911,0.609756097560976,1.65982955712645,0.833962264150943,0.777777777777778,0.753086419753086,0.729323308270677,0.862068965517241,0.135849056603774,0,0,1,0,E:\Matlab\Simulink\S-Function_16\data\models\TCN_model_pg_sweep_base_v1_phy0p000_smooth0p000_trans1p00_base.mat,E:\Matlab\Simulink\S-Function_16\results\tcn\experiments\pg_sweep_base_v1\phy0p000_smooth0p000_trans1p00_base\TCN_train_report.md
phy0p002_smooth0p003_trans1p00_base,pg_base,35,NaN,0.486435034699045,0.393597344004971,0.320675995690364,0.782022471910112,0.871910112359551,0.905940594059406,0.536585365853659,1.15247374845993,0.792452830188679,0.777777777777778,0.765432098765432,0.744360902255639,0.862068965517241,0.177358490566038,0.002,0.003,1,0,E:\Matlab\Simulink\S-Function_16\data\models\TCN_model_pg_sweep_base_v1_phy0p002_smooth0p003_trans1p00_base.mat,E:\Matlab\Simulink\S-Function_16\results\tcn\experiments\pg_sweep_base_v1\phy0p002_smooth0p003_trans1p00_base\TCN_train_report.md
phy0p010_smooth0p003_trans1p25_base,pg_base,35,NaN,0.489182974539497,0.396336922093637,0.318584113104873,0.784269662921348,0.853932584269663,0.886138613861386,0.536585365853659,1.17522438363185,0.79622641509434,0.777777777777778,0.765432098765432,0.744360902255639,0.862068965517241,0.173584905660377,0.01,0.003,1.25,0,E:\Matlab\Simulink\S-Function_16\data\models\TCN_model_pg_sweep_base_v1_phy0p010_smooth0p003_trans1p25_base.mat,E:\Matlab\Simulink\S-Function_16\results\tcn\experiments\pg_sweep_base_v1\phy0p010_smooth0p003_trans1p25_base\TCN_train_report.md
phy0p005_smooth0p003_trans1p00_base,pg_base,37,NaN,0.491701924740618,0.399000140867296,0.323269803788644,0.784269662921348,0.860674157303371,0.891089108910891,0.560975609756098,1.29236665072612,0.79622641509434,0.777777777777778,0.765432098765432,0.744360902255639,0.862068965517241,0.173584905660377,0.005,0.003,1,0,E:\Matlab\Simulink\S-Function_16\data\models\TCN_model_pg_sweep_base_v1_phy0p005_smooth0p003_trans1p00_base.mat,E:\Matlab\Simulink\S-Function_16\results\tcn\experiments\pg_sweep_base_v1\phy0p005_smooth0p003_trans1p00_base\TCN_train_report.md
phy0p020_smooth0p003_trans1p25_base,pg_base,46,NaN,0.491915835558665,0.395575904790868,0.307261298049295,0.793258426966292,0.81123595505618,0.841584158415842,0.51219512195122,1.13616662517687,0.822641509433962,0.777777777777778,0.746913580246914,0.721804511278195,0.862068965517241,0.147169811320755,0.02,0.003,1.25,0,E:\Matlab\Simulink\S-Function_16\data\models\TCN_model_pg_sweep_base_v1_phy0p020_smooth0p003_trans1p25_base.mat,E:\Matlab\Simulink\S-Function_16\results\tcn\experiments\pg_sweep_base_v1\phy0p020_smooth0p003_trans1p25_base\TCN_train_report.md
phy0p020_smooth0p003_trans1p00_base,pg_base,48,NaN,0.49234532703405,0.396219553377731,0.305994834276607,0.791011235955056,0.806741573033708,0.839108910891089,0.48780487804878,1.06690945191869,0.811320754716981,0.777777777777778,0.759259259259259,0.736842105263158,0.862068965517241,0.158490566037736,0.02,0.003,1,0,E:\Matlab\Simulink\S-Function_16\data\models\TCN_model_pg_sweep_base_v1_phy0p020_smooth0p003_trans1p00_base.mat,E:\Matlab\Simulink\S-Function_16\results\tcn\experiments\pg_sweep_base_v1\phy0p020_smooth0p003_trans1p00_base\TCN_train_report.md
