case_name,phase,best_epoch,base_best_epoch,pg_score,production_score,main_score,acc_main,acc_turn,acc_turn_pure,acc_turn_transition,theta_mae_deg,flat_recall,stall_recall,slope_recall,uphill_recall,downhill_recall,flat_as_slope,lambda_phy,lambda_smooth,turn_transition_weight,staged,model_file,report_file
production_current_phy0p005_smooth0p000_trans1p00_staged,pg_staged,64,62,0.18503846884335,0.156003437564223,0.119598943182201,0.925842696629213,0.878651685393258,0.910891089108911,0.560975609756098,0.966229674530633,0.954716981132075,0.777777777777778,0.895061728395062,0.902255639097744,0.862068965517241,0.0339622641509434,0.005,0,1,1,E:\Matlab\Simulink\S-Function_16\data\models\TCN_model_pg_sweep_staged_v2_production_current_phy0p005_smooth0p000_trans1p00_staged.mat,E:\Matlab\Simulink\S-Function_16\results\tcn\experiments\pg_sweep_staged_v2\production_current_phy0p005_smooth0p000_trans1p00_staged\TCN_train_report.md
production_current_phy0p000_smooth0p000_trans1p00_staged,pg_staged,64,59,0.188121314649296,0.159704853518393,0.124648673743112,0.914606741573034,0.887640449438202,0.918316831683168,0.585365853658537,0.71837302115998,0.943396226415094,0.777777777777778,0.882716049382716,0.894736842105263,0.827586206896552,0.030188679245283,0,0,1,1,E:\Matlab\Simulink\S-Function_16\data\models\TCN_model_pg_sweep_staged_v2_production_current_phy0p000_smooth0p000_trans1p00_staged.mat,E:\Matlab\Simulink\S-Function_16\results\tcn\experiments\pg_sweep_staged_v2\production_current_phy0p000_smooth0p000_trans1p00_staged\TCN_train_report.md
production_current_phy0p005_smooth0p003_trans1p00_staged,pg_staged,64,59,0.194517809936522,0.162736415781188,0.127006078702536,0.923595505617978,0.880898876404494,0.913366336633663,0.560975609756098,1.09522828725812,0.939622641509434,0.777777777777778,0.91358024691358,0.924812030075188,0.862068965517241,0.0339622641509434,0.005,0.003,1,1,E:\Matlab\Simulink\S-Function_16\data\models\TCN_model_pg_sweep_staged_v2_production_current_phy0p005_smooth0p003_trans1p00_staged.mat,E:\Matlab\Simulink\S-Function_16\results\tcn\experiments\pg_sweep_staged_v2\production_current_phy0p005_smooth0p003_trans1p00_staged\TCN_train_report.md
production_current_phy0p001_smooth0p001_trans1p25_staged,pg_staged,64,63,0.250652126764555,0.19009538935543,0.152679659018351,0.907865168539326,0.885393258426966,0.913366336633663,0.609756097560976,1.30607351913061,0.928301886792453,0.777777777777778,0.888888888888889,0.894736842105263,0.862068965517241,0.0415094339622641,0.001,0.001,1.25,1,E:\Matlab\Simulink\S-Function_16\data\models\TCN_model_pg_sweep_staged_v2_production_current_phy0p001_smooth0p001_trans1p25_staged.mat,E:\Matlab\Simulink\S-Function_16\results\tcn\experiments\pg_sweep_staged_v2\production_current_phy0p001_smooth0p001_trans1p25_staged\TCN_train_report.md
production_current_phy0p001_smooth0p000_trans1p00_staged,pg_staged,64,63,0.394791622318851,0.235244997504772,0.190975334583423,0.88314606741573,0.88314606741573,0.915841584158416,0.560975609756098,1.4756765594128,0.894339622641509,0.777777777777778,0.876543209876543,0.879699248120301,0.862068965517241,0.0754716981132075,0.001,0,1,1,E:\Matlab\Simulink\S-Function_16\data\models\TCN_model_pg_sweep_staged_v2_production_current_phy0p001_smooth0p000_trans1p00_staged.mat,E:\Matlab\Simulink\S-Function_16\results\tcn\experiments\pg_sweep_staged_v2\production_current_phy0p001_smooth0p000_trans1p00_staged\TCN_train_report.md
production_current_phy0p002_smooth0p003_trans1p25_staged,pg_staged,69,63,0.462989725636669,0.264144007810272,0.219649625787801,0.860674157303371,0.901123595505618,0.925742574257426,0.658536585365854,1.27338410232808,0.849056603773585,0.777777777777778,0.888888888888889,0.902255639097744,0.827586206896552,0.124528301886792,0.002,0.003,1.25,1,E:\Matlab\Simulink\S-Function_16\data\models\TCN_model_pg_sweep_staged_v2_production_current_phy0p002_smooth0p003_trans1p25_staged.mat,E:\Matlab\Simulink\S-Function_16\results\tcn\experiments\pg_sweep_staged_v2\production_current_phy0p002_smooth0p003_trans1p25_staged\TCN_train_report.md
production_current_phy0p000_smooth0p001_trans1p00_staged,pg_staged,64,62,0.50573120932605,0.260869944384669,0.211207023036354,0.856179775280899,0.887640449438202,0.918316831683168,0.585365853658537,1.11863222208227,0.856603773584906,0.777777777777778,0.864197530864197,0.864661654135338,0.862068965517241,0.113207547169811,0,0.001,1,1,E:\Matlab\Simulink\S-Function_16\data\models\TCN_model_pg_sweep_staged_v2_production_current_phy0p000_smooth0p001_trans1p00_staged.mat,E:\Matlab\Simulink\S-Function_16\results\tcn\experiments\pg_sweep_staged_v2\production_current_phy0p000_smooth0p001_trans1p00_staged\TCN_train_report.md
production_current_phy0p001_smooth0p003_trans1p25_staged,pg_staged,64,63,0.648930624922244,0.29334108407053,0.236374791935699,0.826966292134831,0.887640449438202,0.915841584158416,0.609756097560976,0.789336436420655,0.818867924528302,0.777777777777778,0.845679012345679,0.842105263157895,0.862068965517241,0.150943396226415,0.001,0.003,1.25,1,E:\Matlab\Simulink\S-Function_16\data\models\TCN_model_pg_sweep_staged_v2_production_current_phy0p001_smooth0p003_trans1p25_staged.mat,E:\Matlab\Simulink\S-Function_16\results\tcn\experiments\pg_sweep_staged_v2\production_current_phy0p001_smooth0p003_trans1p25_staged\TCN_train_report.md
production_current_phy0p002_smooth0p001_trans1p00_staged,pg_staged,75,63,0.716788764119867,0.293694013214704,0.242345698607963,0.835955056179775,0.898876404494382,0.928217821782178,0.609756097560976,1.10771747942533,0.860377358490566,0.777777777777778,0.802469135802469,0.789473684210526,0.862068965517241,0.109433962264151,0.002,0.001,1,1,E:\Matlab\Simulink\S-Function_16\data\models\TCN_model_pg_sweep_staged_v2_production_current_phy0p002_smooth0p001_trans1p00_staged.mat,E:\Matlab\Simulink\S-Function_16\results\tcn\experiments\pg_sweep_staged_v2\production_current_phy0p002_smooth0p001_trans1p00_staged\TCN_train_report.md
production_current_phy0p005_smooth0p003_trans1p25_staged,pg_staged,64,63,0.805332098198707,0.314075107758291,0.253962748207729,0.82247191011236,0.880898876404494,0.910891089108911,0.585365853658537,0.910405399696083,0.845283018867925,0.777777777777778,0.790123456790123,0.774436090225564,0.862068965517241,0.124528301886792,0.005,0.003,1.25,1,E:\Matlab\Simulink\S-Function_16\data\models\TCN_model_pg_sweep_staged_v2_production_current_phy0p005_smooth0p003_trans1p25_staged.mat,E:\Matlab\Simulink\S-Function_16\results\tcn\experiments\pg_sweep_staged_v2\production_current_phy0p005_smooth0p003_trans1p25_staged\TCN_train_report.md
