time_s,ModernTCN_e_y_m,ModernTCN_causal_e_y_m,ModernTCN_e_psi_rad,ModernTCN_causal_e_psi_rad,ModernTCN_X_m,ModernTCN_Y_m,ModernTCN_causal_X_m,ModernTCN_causal_Y_m,reference_X_m,reference_Y_m
0,0,0,0,0,0,0,0,0,0,0
0.01,0,0,0,0,6.104675899e-06,0,6.104675899e-06,0,0.007999994391,0
0.02,0,0,0,0,3.796755599e-05,0,3.796755599e-05,0,0.01599998878,0
0.03,0,0,0,0,0.0001227947203,0,0.0001227947203,0,0.02399998317,0
0.04,0,0,0,0,0.0002873878703,0,0.0002873878703,0,0.03199997756,0
0.05,0,0,0,0,0.0005570461804,0,0.0005570461804,0,0.03999997195,0
0.06,0,0,0,0,0.0009547818971,0,0.0009547818971,0,0.04799992444,0
0.07,0,0,0,0,0.001500846691,0,0.001500846691,0,0.05599987693,0
0.08,0,0,0,0,0.002212504884,0,0.002212504884,0,0.06399982942,0
0.09,0,0,0,0,0.003103989278,0,0.003103989278,0,0.07199978191,0
0.1,0,0,0,0,0.004186588305,0,0.004186588305,0,0.07999973439,0
0.11,0,0,0,0,0.005468824167,0,0.005468824167,0,0.08799959893,0
0.12,0,0,0,0,0.006956691025,0,0.006956691025,0,0.09599946346,0
0.13,0,0,0,0,0.008653927553,0,0.008653927553,0,0.103999328,0
0.14,0,0,0,0,0.01056230243,0,0.01056230243,0,0.1119991925,0
0.15,0,0,0,0,0.01268189745,0,0.01268189745,0,0.1199990571,0
0.16,0,0,0,0,0.01501137642,0,0.01501137642,0,0.1279987882,0
0.17,0,0,0,0,0.01754823418,0,0.01754823418,0,0.1359985193,0
0.18,0,0,0,0,0.02028902174,0,0.02028902174,0,0.1439982504,0
0.19,0,0,0,0,0.02322954382,0,0.02322954382,0,0.1519979815,0
0.2,0,0,0,0,0.02636502963,0,0.02636502963,0,0.1599977126,0
0.21,0,0,0,0,0.02969027748,0,0.02969027748,0,0.1679972654,0
0.22,0,0,0,0,0.0331997777,0,0.0331997777,0,0.1759968182,0
0.23,0,0,0,0,0.03688781635,0,0.03688781635,0,0.183996371,0
0.24,0,0,0,0,0.04074855939,0,0.04074855939,0,0.1919959238,0
0.25,0,0,0,0,0.04477612073,0,0.04477612073,0,0.1999954766,0
0.26,0,0,0,0,0.04896461548,0,0.04896461548,0,0.2079948068,0
0.27,0,0,0,0,0.0533082038,0,0.0533082038,0,0.2159941369,0
0.28,0,0,0,0,0.05780112731,0,0.05780112731,0,0.2239934671,0
0.29,0,0,0,0,0.06243773572,0,0.06243773572,0,0.2319927973,0
0.3,0,0,0,0,0.06721250652,0,0.06721250652,0,0.2399921275,0
0.31,0,0,0,0,0.07212005753,0,0.07212005753,0,0.2479911914,0
0.32,0,0,0,0,0.07715515765,0,0.07715515765,0,0.2559902553,0
0.33,0,0,0,0,0.08231273647,0,0.08231273647,0,0.2639893191,0
0.34,0,0,0,0,0.0875878887,0,0.0875878887,0,0.271988383,0
0.35,0,0,0,0,0.09297587579,0,0.09297587579,0,0.2799874469,0
0.36,0,0,0,0,0.09847212365,0,0.09847212365,0,0.2879862013,0
0.37,0,0,0,0,0.1040722218,0,0.1040722218,0,0.2959849558,0
0.38,0,0,0,0,0.1097719242,0,0.1097719242,0,0.3039837102,0
